GMfasc			GMext		
t	x	y	t	x	y
0	-4.362364435	1.148149608	0	-6.755233408	11.2773785
0.059612519	-4.273620277	1.138752816	0.059612519	-6.754391085	11.27620227
0.119225037	-4.229038114	1.130515718	0.119225037	-6.755055055	11.27599883
0.178837556	-4.206094035	1.131330927	0.178837556	-6.756408991	11.27613678
0.238450075	-4.098969116	1.120602396	0.238450075	-6.755305947	11.2763714
0.298062593	-4.026936356	1.11314334	0.298062593	-6.754542402	11.27614198
0.357675112	-3.908467898	1.097398208	0.357675112	-6.755676149	11.27615363
0.41728763	-3.814684862	1.083858914	0.41728763	-6.756070025	11.27631474
0.476900149	-3.637120578	1.045425822	0.476900149	-6.755021816	11.27594713
0.536512668	-3.504767683	1.028955071	0.536512668	-6.75455904	11.27588789
0.596125186	-3.466573727	1.021293953	0.596125186	-6.755019498	11.27598972
0.655737705	-3.379302719	1.01245091	0.655737705	-6.754222819	11.27615721
0.715350224	-3.329747631	1.008837941	0.715350224	-6.755400684	11.27610219
0.774962742	-3.233703953	1.002380082	0.774962742	-6.754655677	11.27581601
0.834575261	-3.20838266	1.007279007	0.834575261	-6.756022675	11.27597597
0.894187779	-3.193388834	1.007146838	0.894187779	-6.755129454	11.27620267
0.953800298	-3.139880039	1.008402386	0.953800298	-6.752054537	11.27553551
1.013412817	-3.045986543	1.000647054	1.013412817	-6.753918014	11.27537497
1.073025335	-2.936572421	0.995805217	1.073025335	-6.756067497	11.27649663
1.132637854	-2.925076066	0.999907438	1.132637854	-6.754405903	11.27554842
1.192250373	-2.862425092	0.995831143	1.192250373	-6.754705415	11.27591233
1.251862891	-2.817962418	0.999199152	1.251862891	-6.753685772	11.27498803
1.31147541	-2.816033603	1.009298534	1.31147541	-6.75124579	11.27504003
1.371087928	-2.781017502	1.022844073	1.371087928	-6.751514486	11.27530103
1.430700447	-2.749767208	1.033190255	1.430700447	-6.753289875	11.27533977
1.490312966	-2.662074101	1.029681527	1.490312966	-6.750640046	11.27516887
1.549925484	-2.62373982	1.032589321	1.549925484	-6.752005574	11.27555321
1.609538003	-2.537726488	1.027807046	1.609538003	-6.750849567	11.27553103
1.669150522	-2.50959492	1.027192598	1.669150522	-6.75260304	11.275732
1.72876304	-2.461702387	1.029257775	1.72876304	-6.752233115	11.27570797
1.788375559	-2.417433442	1.026842221	1.788375559	-6.752714735	11.27595746
1.847988077	-2.313953904	1.020198147	1.847988077	-6.751334494	11.27562905
1.907600596	-2.171757953	1.010008476	1.907600596	-6.74874707	11.27523544
1.967213115	-2.16578494	1.013718176	1.967213115	-6.7512074	11.27536121
2.026825633	-2.036356503	0.999252148	2.026825633	-6.749724157	11.2751615
2.086438152	-1.979785385	0.993704216	2.086438152	-6.748138314	11.27470636
2.146050671	-1.906752132	0.990019662	2.146050671	-6.7478036	11.27464746
2.205663189	-1.864799102	0.989218295	2.205663189	-6.750994218	11.2749516
2.265275708	-1.787724733	0.982144744	2.265275708	-6.747099088	11.27463902
2.324888227	-1.723885599	0.974449317	2.324888227	-6.75113278	11.27502083
2.384500745	-1.63024692	0.959802362	2.384500745	-6.749648161	11.27506811
2.444113264	-1.577412089	0.951642756	2.444113264	-6.752312134	11.27508844
2.503725782	-1.533831903	0.944560227	2.503725782	-6.752519192	11.27492575
2.563338301	-1.470497682	0.939317052	2.563338301	-6.751845131	11.2753766
2.62295082	-1.382593785	0.936422956	2.62295082	-6.750939769	11.27519485
2.682563338	-1.276708967	0.929260598	2.682563338	-6.750945361	11.27462733
2.742175857	-1.249632565	0.930359339	2.742175857	-6.752393826	11.275284
2.801788376	-1.177362577	0.929952852	2.801788376	-6.751829179	11.27509707
2.861400894	-1.110590425	0.927638061	2.861400894	-6.752270865	11.27534
2.921013413	-1.052115272	0.921430166	2.921013413	-6.75126024	11.27536095
2.980625931	-0.947408041	0.907494137	2.980625931	-6.750001058	11.27416486
3.04023845	-0.92036313	0.911819048	3.04023845	-6.754679885	11.27594633
3.099850969	-0.902323826	0.917827135	3.099850969	-6.749451439	11.27474961
3.159463487	-0.811836704	0.913110128	3.159463487	-6.753027802	11.27473135
3.219076006	-0.785617536	0.911985197	3.219076006	-6.749028521	11.27168756
3.278688525	-0.718942485	0.903538527	3.278688525	-6.754211248	11.27496093
3.338301043	-0.621300967	0.891176978	3.338301043	-6.752799462	11.27458786
3.397913562	-0.533947588	0.882902166	3.397913562	-6.750930625	11.27204184
3.45752608	-0.462628353	0.880099598	3.45752608	-6.749332595	11.27224221
3.517138599	-0.43778092	0.88185866	3.517138599	-6.75419922	11.27369197
3.576751118	-0.42240405	0.880677561	3.576751118	-6.752161848	11.27488304
3.636363636	-0.318673867	0.873127925	3.636363636	-6.757116045	11.27490459
3.695976155	-0.25645962	0.869419319	3.695976155	-6.753628123	11.27447688
3.755588674	-0.169028294	0.865622131	3.755588674	-6.75443514	11.27403343
3.815201192	-0.111568246	0.862580224	3.815201192	-6.748642814	11.27272275
3.874813711	-0.047870105	0.86176898	3.874813711	-6.75241062	11.27374911
3.93442623	-0.012085489	0.864045006	3.93442623	-6.748568396	11.27224789
3.994038748	0.082484187	0.856277324	3.994038748	-6.747614068	11.27112287
4.053651267	0.166057275	0.848180782	4.053651267	-6.746593192	11.27270239
4.113263785	0.216765949	0.845477242	4.113263785	-6.750742506	11.2737266
4.172876304	0.2834751	0.840073792	4.172876304	-6.747128538	11.27342282
4.232488823	0.33805462	0.835399899	4.232488823	-6.74590899	11.27352371
4.292101341	0.376482077	0.834805346	4.292101341	-6.749056436	11.27355042
4.35171386	0.449078344	0.829188096	4.35171386	-6.748480814	11.27318484
4.411326379	0.50892075	0.825552414	4.411326379	-6.748433421	11.27243775
4.470938897	0.574140218	0.820505904	4.470938897	-6.745348661	11.27175595
4.530551416	0.70862333	0.81034636	4.530551416	-6.7466318	11.27294346
4.590163934	0.755458771	0.807513961	4.590163934	-6.743253097	11.27161517
4.649776453	0.790924367	0.805119521	4.649776453	-6.741729534	11.27119195
4.709388972	0.798802236	0.808335618	4.709388972	-6.739533827	11.27107509
4.76900149	0.820306014	0.81295894	4.76900149	-6.732094187	11.27394949
4.828614009	0.814904483	0.814076933	4.828614009	-6.731772131	11.27042249
4.888226528	0.899329249	0.808488645	4.888226528	-6.734775354	11.27095892
4.947839046	0.928326231	0.803380214	4.947839046	-6.738423033	11.27154485
5.007451565	1.029138823	0.791076466	5.007451565	-6.736116099	11.27310827
5.067064083	1.120930776	0.782136607	5.067064083	-6.737524523	11.27488705
5.126676602	1.175260604	0.777849242	5.126676602	-6.735521811	11.27449812
5.186289121	1.220195056	0.777952072	5.186289121	-6.73674965	11.2714872
5.245901639	1.280292391	0.772393236	5.245901639	-6.735268263	11.2745564
5.305514158	1.351303028	0.765318879	5.305514158	-6.737705944	11.2712723
5.365126677	1.383312176	0.763253925	5.365126677	-6.737783641	11.27201978
5.424739195	1.419064792	0.7621438	5.424739195	-6.738058412	11.27303213
5.484351714	1.450142118	0.761926152	5.484351714	-6.737823612	11.27511715
5.543964232	1.489818599	0.76132868	5.543964232	-6.740892863	11.27312151
5.603576751	1.543181279	0.756456129	5.603576751	-6.735161405	11.27176881
5.66318927	1.624478851	0.750018949	5.66318927	-6.73656015	11.27116595
5.722801788	1.700854906	0.746171551	5.722801788	-6.740121746	11.27214169
5.782414307	1.733170373	0.745496325	5.782414307	-6.735069103	11.27477717
5.842026826	1.731750432	0.745745792	5.842026826	-6.739145285	11.27288233
5.901639344	1.818697014	0.740580159	5.901639344	-6.738866925	11.27317365
5.961251863	1.839410652	0.741027794	5.961251863	-6.742176687	11.27320365
6.020864382	1.874889628	0.738447148	6.020864382	-6.743413116	11.27370475
6.0804769	1.931055236	0.735501121	6.0804769	-6.741143213	11.27157209
6.140089419	1.978656215	0.728781332	6.140089419	-6.740810785	11.27549639
6.199701937	2.098766639	0.719214707	6.199701937	-6.738810309	11.27321927
6.259314456	2.117525278	0.718340938	6.259314456	-6.740999963	11.27307398
6.318926975	2.173565837	0.715192379	6.318926975	-6.740658572	11.27286469
6.378539493	2.263514335	0.710960647	6.378539493	-6.744071141	11.272815
6.438152012	2.349441478	0.708576921	6.438152012	-6.742600773	11.27353176
6.497764531	2.389442061	0.706335473	6.497764531	-6.74509208	11.272596
6.557377049	2.40117524	0.706351998	6.557377049	-6.744727948	11.27268667
6.616989568	2.43430963	0.703359614	6.616989568	-6.743359532	11.27373013
6.676602086	2.500972491	0.694718785	6.676602086	-6.741161611	11.27253394
6.736214605	2.550039228	0.692154443	6.736214605	-6.744262814	11.27306158
6.795827124	2.637902796	0.683576317	6.795827124	-6.747872179	11.27337412
6.855439642	2.677665992	0.682080433	6.855439642	-6.74397796	11.27254544
6.915052161	2.735159227	0.676074048	6.915052161	-6.743207671	11.27321419
6.97466468	2.815122528	0.671379875	6.97466468	-6.742775212	11.27260391
7.034277198	2.908526788	0.665227931	7.034277198	-6.743550996	11.27292265
7.093889717	2.950266643	0.661135794	7.093889717	-6.744551422	11.27317959
7.153502235	3.017131956	0.65592181	7.153502235	-6.745063953	11.27359723
7.213114754	3.090189405	0.65147651	7.213114754	-6.746099038	11.27484502
7.272727273	3.150778195	0.650158105	7.272727273	-6.749254347	11.27441386
7.332339791	3.202645475	0.64666024	7.332339791	-6.744882033	11.27371194
7.39195231	3.238776616	0.645348871	7.39195231	-6.746473813	11.27370932
7.451564829	3.309179086	0.641119636	7.451564829	-6.745216538	11.27245832
7.511177347	3.399644009	0.631929887	7.511177347	-6.745664794	11.27393261
7.570789866	3.419559201	0.631131854	7.570789866	-6.746531134	11.2738951
7.630402385	3.536826632	0.623487767	7.630402385	-6.744439714	11.27386369
7.690014903	3.55726352	0.62386774	7.690014903	-6.747189168	11.27418471
7.749627422	3.57753767	0.620024432	7.749627422	-6.747486883	11.2740655
7.80923994	3.632748444	0.617460789	7.80923994	-6.742059462	11.27331542
7.868852459	3.723476169	0.612731917	7.868852459	-6.746185322	11.27406758
7.928464978	3.7345133	0.613507465	7.928464978	-6.747238406	11.27398146
7.988077496	3.767048173	0.61218636	7.988077496	-6.74881329	11.27448037
8.047690015	3.857888831	0.604302358	8.047690015	-6.746756952	11.27470048
8.107302534	3.873957429	0.603674964	8.107302534	-6.744052962	11.27392597
