 CALbump 			 CALext 		
 t 	 x 	 y 	 t 	 x 	 y 
 0 	 15.67619682 	 10.55604257 	 0 	 -15.64210492 	 13.53684181 
 0.01872835 	 15.67528074 	 10.55613822 	 0.01872835 	 -15.64216288 	 13.53580270 
 0.03745669 	 15.67478085 	 10.55597311 	 0.03745669 	 -15.64315370 	 13.53530973 
 0.05618504 	 15.67245271 	 10.55624649 	 0.05618504 	 -15.64341855 	 13.53540087 
 0.07491338 	 15.66846551 	 10.55677347 	 0.07491338 	 -15.64402391 	 13.53520171 
 0.09364173 	 15.66812653 	 10.55675898 	 0.09364173 	 -15.64538719 	 13.53511833 
 0.11237007 	 15.66514230 	 10.55704345 	 0.11237007 	 -15.64412973 	 13.53437726 
 0.13109842 	 15.66709573 	 10.55701259 	 0.13109842 	 -15.64381044 	 13.53386168 
 0.14982676 	 15.67022491 	 10.55660093 	 0.14982676 	 -15.64330383 	 13.53539963 
 0.16855511 	 15.67335066 	 10.55618913 	 0.16855511 	 -15.64192121 	 13.53248783 
 0.18728345 	 15.67198137 	 10.55621166 	 0.18728345 	 -15.64093663 	 13.53300845 
 0.20601180 	 15.67091962 	 10.55633459 	 0.20601180 	 -15.64239033 	 13.53212162 
 0.22474014 	 15.67017884 	 10.55652481 	 0.22474014 	 -15.64262058 	 13.53295484 
 0.24346849 	 15.67181321 	 10.55615495 	 0.24346849 	 -15.64407057 	 13.53460170 
 0.26219683 	 15.67058204 	 10.55631689 	 0.26219683 	 -15.64307193 	 13.53546203 
 0.28092518 	 15.66951834 	 10.55635970 	 0.28092518 	 -15.64397568 	 13.53585423 
 0.29965353 	 15.67103832 	 10.55641915 	 0.29965353 	 -15.64452983 	 13.53603748 
 0.31838187 	 15.67146517 	 10.55652712 	 0.31838187 	 -15.64396886 	 13.53535149 
 0.33711022 	 15.67267086 	 10.55605132 	 0.33711022 	 -15.64402016 	 13.53482006 
 0.35583856 	 15.67403928 	 10.55557159 	 0.35583856 	 -15.64273424 	 13.53497005 
 0.37456691 	 15.67456385 	 10.55548195 	 0.37456691 	 -15.64184715 	 13.53475338 
 0.39329525 	 15.67643741 	 10.55544816 	 0.39329525 	 -15.64193430 	 13.53530327 
 0.41202360 	 15.67678463 	 10.55538467 	 0.41202360 	 -15.64179404 	 13.53613417 
