"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	-10.316	4.81109	2.96821	-1.20868	-1.60969	-0.391214	-0.687527	1.00796	-0.0790051	-13.4278	-12.0544	-13.5805	-12.9702	-0.00287934	-87.1294
0.0007	-8.17771	9.08342	2.05244	0.316697	-1.91362	-0.99977	-0.382477	0.111995	-0.0790051	-13.2753	-12.2072	-13.5805	-12.9702	-0.00287934	-50.3469
0.0013	-7.56949	6.94725	1.7479	1.84207	-1.91362	-1.61267	0.227914	-0.522644	-0.0790051	-13.2753	-12.2072	-13.5805	-13.2753	-0.00242203	-49.4411
0.0020	-6.04419	1.45464	0.832128	0.926848	-1.60969	-3.13841	0.227914	0.111995	-0.0790051	-13.1227	-12.0544	-13.4276	-13.2753	-0.00257447	-60.4207
0.0027	-3.90592	-1.90181	0.527586	-1.20868	-1.60969	-1.61267	-0.382477	0.111995	-0.0790051	-13.1227	-12.3596	-13.4276	-13.1227	-0.00303178	-54.478
0.0033	-2.99358	-1.59741	-0.388183	0.316697	-0.999585	1.44315	-0.382477	-0.186659	-0.0790051	-13.2753	-12.5124	-13.7329	-13.2753	-0.00333665	-55.2291
0.0040	-2.99358	-1.29301	-1.30395	3.06238	-0.693406	2.35598	-0.382477	-0.186659	-0.0790051	-12.8172	-12.2072	-13.5805	-13.2753	-0.00272691	-55.5384
0.0047	-2.68472	-1.29301	-0.69487	3.06238	-0.0832988	3.57744	-0.687527	-0.186659	-0.0851277	-12.8172	-12.2072	-13.7329	-13.2753	-0.00257447	-55.2291
0.0053	-2.99358	-0.985923	-0.69487	1.537	1.13692	6.02035	-0.382477	0.111995	-0.0851277	-13.2753	-12.5124	-13.8854	-13.5804	-0.00318421	-55.3838
0.0060	-2.38061	-0.681526	-0.999411	-0.903604	1.13692	8.15465	-0.382477	0.410649	-0.0790051	-13.2753	-12.3596	-13.5805	-13.2753	-0.00303178	-56.0023
0.0067	-1.77239	-0.377129	-0.69487	-1.20868	0.832987	8.76755	-0.687527	0.111995	-0.0790051	-13.1227	-12.3596	-13.5805	-12.9702	-0.00303178	-56.0023
0.0073	-2.38061	-0.681526	-0.0836417	0.0116219	0.832987	8.76755	-0.382477	0.111995	-0.0851277	-13.1227	-12.3596	-13.2751	-12.8172	-0.00303178	-55.2291
0.0080	-2.68472	2.37052	-0.0836417	2.14715	0.832987	8.15465	-0.992868	-0.186659	-0.0851277	-12.8172	-12.2072	-13.2751	-12.9702	-0.0022696	-55.0745
