GF_namemissing			GFext		
t	x	y	t	x	y
0.0000000000	2.9922260280	8.2608906820	0.0000000000	23.0834444000	29.4125374100
0.0569346390	2.9820676920	8.2702439240	0.0569346390	23.0822268100	29.4112707600
0.1138692781	2.9642052090	8.2692831130	0.1138692781	23.0845344000	29.4111130900
0.1708039171	2.9574297220	8.2623532910	0.1708039171	23.0854506800	29.4105520800
0.2277385561	2.8655322890	8.2664120040	0.2277385561	23.0864129100	29.4103740700
0.2846731952	2.7538370540	8.2664204000	0.2846731952	23.0885206100	29.4109776100
0.3416078342	2.7238955750	8.2620126830	0.3416078342	23.0892476700	29.4119343400
0.3985424732	2.6512796120	8.2768162560	0.3985424732	23.0898613000	29.4117685400
0.4554771123	2.5252897830	8.2692223920	0.4554771123	23.0902164500	29.4113029900
0.5124117513	2.4563183880	8.2673196780	0.5124117513	23.0905825700	29.4121499600
0.5693463903	2.4075013120	8.2820653350	0.5693463903	23.0928878100	29.4118626500
0.6262810294	2.3715441490	8.2755230510	0.6262810294	23.0884824000	29.4117789100
0.6832156684	2.2956934940	8.2684593420	0.6832156684	23.0897632500	29.4118080000
0.7401503074	2.2387671280	8.2700365430	0.7401503074	23.0918482600	29.4118698800
0.7970849465	2.1879875140	8.2664400500	0.7970849465	23.0963353500	29.4127349600
0.8540195855	2.0924826910	8.2669221510	0.8540195855	23.0947931800	29.4121050700
0.9109542246	2.0695432260	8.2660660300	0.9109542246	23.0954495100	29.4119722700
0.9678888636	2.0327360000	8.2684045870	0.9678888636	23.0971126500	29.4124991800
1.0248235030	1.9801681390	8.2625759440	1.0248235030	23.0967266000	29.4122754100
1.0817581420	1.9292578890	8.2631222990	1.0817581420	23.0980716900	29.4121708900
1.1386927810	1.9124355630	8.2628992510	1.1386927810	23.0962763500	29.4122688900
1.1956274200	1.7753377010	8.2569943450	1.1956274200	23.0963871000	29.4114785200
1.2525620590	1.7268987440	8.2597129490	1.2525620590	23.0987527200	29.4117639400
1.3094966980	1.6618164070	8.2582153270	1.3094966980	23.1003419900	29.4112124100
1.3664313370	1.6109005900	8.2526021510	1.3664313370	23.0990737900	29.4113367900
1.4233659760	1.5097541750	8.2560501350	1.4233659760	23.1028710500	29.4118364300
1.4803006150	1.4784524480	8.2531313490	1.4803006150	23.1055813200	29.4111545700
1.5372352540	1.4371652570	8.2515245390	1.5372352540	23.1040388400	29.4117614300
1.5941698930	1.3503790700	8.2536920600	1.5941698930	23.1050803500	29.4115863200
1.6511045320	1.3796789770	8.2534880890	1.6511045320	23.1057931000	29.4112466600
1.7080391710	1.3238347030	8.2450979740	1.7080391710	23.1030612500	29.4113177900
1.7649738100	1.2776089010	8.2530515200	1.7649738100	23.1086065800	29.4112818600
1.8219084490	1.2753638580	8.2497638110	1.8219084490	23.1132968900	29.4109806000
1.8788430880	1.2523160180	8.2385599470	1.8788430880	23.1236903300	29.4107145400
1.9357777270	1.1802783300	8.2391565050	1.9357777270	23.1254186100	29.4105652200
1.9927123660	1.1433027940	8.2380073690	1.9927123660	23.1349828900	29.4115174300
2.0496470050	1.0910811770	8.2373732900	2.0496470050	23.1373921100	29.4121663300
2.1065816440	1.0008821060	8.2480833460	2.1065816440	23.1465477200	29.4117169600
2.1635162830	0.9848177845	8.2511356860	2.1635162830	23.1476866300	29.4126074500
2.2204509220	0.8971111324	8.2470170180	2.2204509220	23.1559516600	29.4084542700
2.2773855610	0.8768191446	8.2380559050	2.2773855610	23.1805129700	29.4082172200
2.3343202000	0.8268337670	8.2391806830	2.3343202000	23.1888871900	29.4083603400
2.3912548390	0.7698251162	8.2424250700	2.3912548390	23.1944693300	29.4075447500
2.4481894780	0.7497504662	8.2220285590	2.4481894780	23.1993244100	29.4084916400
2.5051241180	0.6715902700	8.2398459890	2.5051241180	23.2074819800	29.4092063300
2.5620587570	0.6331854575	8.2244635220	2.5620587570	23.2211352000	29.4086704000
2.6189933960	0.5644496354	8.2299098570	2.6189933960	23.2225830300	29.4083338000
2.6759280350	0.5186339339	8.2261414920	2.6759280350	23.2267943000	29.4086967000
2.7328626740	0.5006943615	8.2276701960	2.7328626740	23.2336227600	29.4086439100
2.7897973130	0.4542932246	8.2056033660	2.7897973130	23.2454866400	29.4080320400
2.8467319520	0.4047957059	8.1833291710	2.8467319520	23.2522279500	29.4090846200
2.9036665910	0.3797273461	8.1497223530	2.9036665910	23.2633078000	29.4093374100
2.9606012300	0.2320825719	8.1485592780	2.9606012300	23.2648843900	29.4090403600
3.0175358690	0.1841197713	8.1562706490	3.0175358690	23.2719387300	29.4093297700
3.0744705080	0.1387107348	8.1418975080	3.0744705080	23.2650029700	29.4084989100
3.1314051470	0.1412630511	8.1338126340	3.1314051470	23.2817085400	29.4078069400
3.1883397860	0.1358656517	8.1471509120	3.1883397860	23.2780631600	29.4097490100
3.2452744250	0.0924629731	8.1324657630	3.2452744250	23.2998580700	29.4059095700
3.3022090640	0.0875437291	8.1342582800	3.3022090640	23.3293408600	29.4071334200
3.3591437030	0.0448313066	8.1272814680	3.3591437030	23.3393446700	29.4067878800
3.4160783420	0.0496369934	8.1197195210	3.4160783420	23.3491608000	29.4082194100
3.4730129810	-0.0495392925	8.0977268190	3.4730129810	23.3443364600	29.4095788200
3.5299476200	-0.1112157357	8.0944941440	3.5299476200	23.3561576700	29.4107978200
