GMfasMMM			GMext		
t	x	y	t	x	y
0.0000000000	26.2273719800	0.5890433730	0.0000000000	46.9803653000	13.2430166300
0.0184097645	26.2271710800	0.5889088678	0.0184097645	46.9807133100	13.2430982100
0.0368195291	26.2268646600	0.5891737382	0.0368195291	46.9806408400	13.2426804200
0.0552292936	26.2272772500	0.5887223115	0.0552292936	46.9802592300	13.2426542900
0.0736390582	26.2277198500	0.5889249902	0.0736390582	46.9801641700	13.2428148900
0.0920488227	26.2264318300	0.5889099298	0.0920488227	46.9804717500	13.2424977400
0.1104585872	26.2264796000	0.5890575686	0.1104585872	46.9803215800	13.2423517700
0.1288683518	26.2271650300	0.5888610419	0.1288683518	46.9807399100	13.2423395200
0.1472781163	26.2266504000	0.5889878823	0.1472781163	46.9796823300	13.2420241600
0.1656878809	26.2266829800	0.5891244570	0.1656878809	46.9803901300	13.2421240200
0.1840976454	26.2264613900	0.5890409044	0.1840976454	46.9807207200	13.2419790600
0.2025074099	26.2263673200	0.5888246582	0.2025074099	46.9799995100	13.2414167100
0.2209171745	26.2262894700	0.5890949920	0.2209171745	46.9795358600	13.2415332700
0.2393269390	26.2263311600	0.5889473447	0.2393269390	46.9800950400	13.2412710500
0.2577367035	26.2267211600	0.5889529718	0.2577367035	46.9801565200	13.2412908800
0.2761464681	26.2265277600	0.5888371159	0.2761464681	46.9802542500	13.2410258200
0.2945562326	26.2269203900	0.5888675772	0.2945562326	46.9807884600	13.2409561700
0.3129659972	26.2266503800	0.5887191185	0.3129659972	46.9797001800	13.2404402600
0.3313757617	26.2267547200	0.5888085557	0.3313757617	46.9800375700	13.2403247100
0.3497855262	26.2259319000	0.5887201095	0.3497855262	46.9797482200	13.2402950900
0.3681952908	26.2269489100	0.5885574087	0.3681952908	46.9792957200	13.2401512200
0.3866050553	26.2267654500	0.5886059352	0.3866050553	46.9794058400	13.2403367600
0.4050148199	26.2266066000	0.5886083353	0.4050148199	46.9788864900	13.2397494900
0.4234245844	26.2267108300	0.5887177921	0.4234245844	46.9792047600	13.2393011300
0.4418343489	26.2266830700	0.5886749786	0.4418343489	46.9788127700	13.2391033300
0.4602441135	26.2256114700	0.5889659213	0.4602441135	46.9798125400	13.2398621800
0.4786538780	26.2253880000	0.5892633885	0.4786538780	46.9785892700	13.2390686000
0.4970636426	26.2254553000	0.5896250532	0.4970636426	46.9791545100	13.2387572800
0.5154734071	26.2256457800	0.5894745544	0.5154734071	46.9791965100	13.2389405600
