SOLfas			SOLext		
t	x	y	t	x	y
0.0000000000	22.8087366100	11.0761355500	0.0000000000	39.4739626500	16.7712632900
0.0182498403	22.8094860600	11.0758679600	0.0182498403	39.4736405600	16.7705239700
0.0364996806	22.8095765800	11.0762089500	0.0364996806	39.4738459100	16.7707128800
0.0547495209	22.8085844700	11.0759777700	0.0547495209	39.4732113500	16.7708372900
0.0729993613	22.8080359400	11.0756929600	0.0729993613	39.4740705600	16.7706562600
0.0912492016	22.8076168000	11.0752118900	0.0912492016	39.4738908700	16.7703531500
0.1094990419	22.8075049100	11.0758605800	0.1094990419	39.4732561800	16.7709284100
0.1277488822	22.8085076800	11.0758895000	0.1277488822	39.4739555700	16.7708920600
0.1459987225	22.8087055600	11.0757610200	0.1459987225	39.4737500300	16.7707562800
0.1642485628	22.8081966800	11.0753699200	0.1642485628	39.4738282800	16.7708694500
0.1824984031	22.8083837200	11.0755904400	0.1824984031	39.4738038900	16.7709208300
0.2007482435	22.8083117600	11.0754642300	0.2007482435	39.4745233800	16.7707812800
0.2189980838	22.8085701800	11.0757391400	0.2189980838	39.4740657200	16.7709263600
0.2372479241	22.8080322600	11.0759696100	0.2372479241	39.4742740700	16.7709896900
0.2554977644	22.8082674600	11.0759888000	0.2554977644	39.4736564200	16.7709815400
0.2737476047	22.8086419200	11.0753750700	0.2737476047	39.4743174400	16.7707636000
0.2919974450	22.8084128100	11.0758383300	0.2919974450	39.4743620900	16.7706927200
0.3102472853	22.8079251400	11.0753551300	0.3102472853	39.4739910000	16.7706421100
0.3284971257	22.8072231200	11.0753370300	0.3284971257	39.4735476600	16.7706877500
0.3467469660	22.8077826500	11.0750853800	0.3467469660	39.4740449500	16.7709042400
0.3649968063	22.8074868400	11.0748766800	0.3649968063	39.4745725700	16.7707350700
0.3832466466	22.8084028200	11.0748757600	0.3832466466	39.4742465200	16.7705855900
0.4014964869	22.8068663400	11.0748926700	0.4014964869	39.4737737300	16.7709184500
0.4197463272	22.8074743700	11.0748181900	0.4197463272	39.4735233300	16.7710638700
0.4379961675	22.8079797700	11.0750840400	0.4379961675	39.4745975800	16.7707020200
0.4562460078	22.8086113800	11.0748943700	0.4562460078	39.4734309300	16.7709668800
0.4744958482	22.8092129000	11.0742713800	0.4744958482	39.4738347800	16.7709909600
0.4927456885	22.8085387900	11.0735534800	0.4927456885	39.4748145700	16.7707197100
0.5109955288	22.8092475100	11.0741017200	0.5109955288	39.4742889100	16.7706766500
0.5292453691	22.8095351400	11.0745105000	0.5292453691	39.4741462200	16.7707395700
0.5474952094	22.8096054500	11.0741719700	0.5474952094	39.4742262000	16.7706740800
0.5657450497	22.8115965500	11.0741945200	0.5657450497	39.4735909400	16.7705484300
0.5839948900	22.8109657000	11.0747403500	0.5839948900	39.4742521900	16.7708540300
0.6022447304	22.8094603200	11.0744321200	0.6022447304	39.4749013000	16.7705980700
0.6204945707	22.8104706100	11.0742069100	0.6204945707	39.4750321100	16.7709178800
0.6387444110	22.8101818700	11.0738771700	0.6387444110	39.4745723100	16.7709729300
0.6569942513	22.8107873900	11.0742075100	0.6569942513	39.4743642900	16.7706762500
0.6752440916	22.8118475600	11.0744414500	0.6752440916	39.4743102300	16.7706734100
0.6934939319	22.8117918300	11.0747428900	0.6934939319	39.4752522600	16.7708772000
0.7117437722	22.8107875300	11.0741923000	0.7117437722	39.4741944200	16.7707323400
0.7299936126	22.8094010400	11.0746897100	0.7299936126	39.4752016200	16.7704710700
0.7482434529	22.8088444500	11.0745678500	0.7482434529	39.4752712900	16.7706746200
0.7664932932	22.8103313400	11.0753299900	0.7664932932	39.4742757400	16.7705725200
0.7847431335	22.8096004200	11.0753157600	0.7847431335	39.4751024200	16.7704694400
0.8029929738	22.8119071200	11.0759420700	0.8029929738	39.4751180400	16.7707299800
0.8212428141	22.8127156700	11.0757172500	0.8212428141	39.4753782000	16.7707751000
0.8394926544	22.8140310100	11.0765250400	0.8394926544	39.4750045600	16.7709404300
0.8577424948	22.8145568200	11.0773514100	0.8577424948	39.4749924000	16.7712516500
0.8759923351	22.8134068300	11.0762749700	0.8759923351	39.4754800300	16.7713897800
0.8942421754	22.8163695000	11.0769741800	0.8942421754	39.4750936100	16.7713610200
0.9124920157	22.8219769000	11.0763531100	0.9124920157	39.4751696400	16.7711520100
0.9307418560	22.8287027000	11.0743549900	0.9307418560	39.4754220900	16.7709394100
0.9489916963	22.8366278500	11.0763865000	0.9489916963	39.4764016100	16.7706622400
0.9672415366	22.8355284300	11.0754070900	0.9672415366	39.4758052900	16.7709492900
0.9854913770	22.8365476900	11.0752559400	0.9854913770	39.4775789600	16.7707104000
1.0037412170	22.8372790000	11.0767045100	1.0037412170	39.4765992900	16.7707235400
1.0219910580	22.8354014700	11.0763653300	1.0219910580	39.4762615900	16.7710277100
1.0402408980	22.8219778300	11.0744210000	1.0402408980	39.4766320600	16.7704855600
1.0584907380	22.6856962700	11.0620904000	1.0584907380	39.4743312400	16.7714689300
1.0767405790	22.4333666000	11.0246448300	1.0767405790	39.4690407100	16.7730322800
1.0949904190	22.0795249400	11.0074354300	1.0949904190	39.4487048800	16.7851022600
1.1132402590	21.7439500300	11.0020258100	1.1132402590	39.4500303100	16.8436997100
1.1314900990	21.5815178700	10.9994324200	1.1314900990	39.3965417900	16.8494645800
1.1497399400	21.2384138600	11.0047978100	1.1497399400	39.3728980800	16.8566048900
1.1679897800	20.9674108900	11.0066103800	1.1679897800	39.3513358700	16.8847524300
1.1862396200	20.6810014400	10.9976276900	1.1862396200	39.2737166000	16.9200829000
1.2044894610	20.4365989200	10.9950647100	1.2044894610	39.2495023000	16.9284563300
1.2227393010	20.3355122900	11.0032579800	1.2227393010	39.2494998300	16.9252511400
1.2409891410	20.1392514500	10.9953548200	1.2409891410	39.2343580700	16.9278329900
1.2592389820	19.9691110600	10.9858565100	1.2592389820	39.2216784500	16.9314010300
1.2774888220	19.8340619700	10.9785899600	1.2774888220	39.2093026900	16.9452749100
1.2957386620	19.7720347300	10.9852963700	1.2957386620	39.2029460500	16.9456051400
1.3139885030	19.5899680300	10.9845697500	1.3139885030	39.2329325800	16.9607690700
1.3322383430	19.3930016600	10.9810779400	1.3322383430	39.2555611700	16.9722627800
1.3504881830	19.1721201100	10.9778806700	1.3504881830	39.2740451100	16.9771337700
1.3687380240	19.0551122800	10.9799629600	1.3687380240	39.2779632700	16.9778919500
1.3869878640	18.7943374100	10.9759510900	1.3869878640	39.2609513200	16.9801233300
1.4052377040	18.5203686600	10.9661432200	1.4052377040	39.2366430700	16.9813044000
1.4234875440	18.2691030500	10.9474018700	1.4234875440	39.2295193700	16.9816958500
1.4417373850	18.0295140800	10.9226071600	1.4417373850	39.2224108000	16.9829849300
1.4599872250	17.8863925900	10.9133980600	1.4599872250	39.2200718400	16.9841404500
1.4782370650	17.6384700500	10.8996769300	1.4782370650	39.2069664500	16.9870204000
1.4964869060	17.3955461400	10.9043065100	1.4964869060	39.1921648000	16.9903395100
1.5147367460	17.1708673800	10.9062173100	1.5147367460	39.1821078000	16.9930116800
1.5329865860	16.9982223200	10.9045286300	1.5329865860	39.1806820600	16.9924428400
1.5512364270	16.9136681600	10.9051308200	1.5512364270	39.1774444300	16.9919252700
1.5694862670	16.7282709800	10.9012602600	1.5694862670	39.1803830800	16.9923938200
1.5877361070	16.5790415700	10.9015465600	1.5877361070	39.1670968400	16.9929991100
1.6059859480	16.4222891700	10.9027306000	1.6059859480	39.1484377600	16.9952192100
1.6242357880	16.3383268500	10.9067303400	1.6242357880	39.1565052200	16.9947842300
1.6424856280	16.1840575200	10.9078681200	1.6424856280	39.1518692900	16.9940112100
1.6607354690	16.0723416100	10.9073687600	1.6607354690	39.1421122600	16.9915665800
1.6789853090	15.9386710200	10.9064815600	1.6789853090	39.1463547500	16.9907670500
1.6972351490	15.7641346000	10.9050839300	1.6972351490	39.1467185700	16.9909391300
1.7154849900	15.6973691700	10.9061156800	1.7154849900	39.1519939800	16.9910800400
1.7337348300	15.5414139600	10.9072272400	1.7337348300	39.1554970700	16.9901930000
1.7519846700	15.3942823900	10.9051295400	1.7519846700	39.1544067300	16.9902108900
1.7702345100	15.2586190800	10.9044964600	1.7702345100	39.1545597500	16.9894195300
1.7884843510	15.1971940500	10.9128891000	1.7884843510	39.1548210100	16.9887353700
1.8067341910	15.0638542900	10.9176183100	1.8067341910	39.1463109200	16.9884126300
1.8249840310	14.9249259100	10.9122300600	1.8249840310	39.1409761500	16.9881200200
1.8432338720	14.8888687100	10.9151268200	1.8432338720	39.1410334900	16.9886134000
