SOLfas			SOLext		
t	x	y	t	x	y
0.0000000000	23.5305419400	10.1936318500	0.0000000000	40.8535521800	16.9637245500
0.0183402109	23.5315330800	10.1934565100	0.0183402109	40.8536689400	16.9627587400
0.0366804218	23.5335677900	10.1933520400	0.0366804218	40.8534510500	16.9627229300
0.0550206327	23.5350039700	10.1934749300	0.0550206327	40.8543104000	16.9632143300
0.0733608437	23.5319046500	10.1937340900	0.0733608437	40.8533497100	16.9633133000
0.0917010546	23.5310936100	10.1942396100	0.0917010546	40.8535226700	16.9633899300
0.1100412655	23.5318553500	10.1944009200	0.1100412655	40.8533644100	16.9631797600
0.1283814764	23.5355221400	10.1939176900	0.1283814764	40.8536308700	16.9632937600
0.1467216873	23.5317326300	10.1939157600	0.1467216873	40.8551783300	16.9627512000
0.1650618982	23.5295813500	10.1943269700	0.1650618982	40.8537459000	16.9634329600
0.1834021091	23.5305589200	10.1946192900	0.1834021091	40.8541777400	16.9628670500
0.2017423200	23.5311421400	10.1945231800	0.2017423200	40.8545187100	16.9629019900
0.2200825309	23.5304000900	10.1944538000	0.2200825309	40.8543670000	16.9631906800
0.2384227419	23.5264896700	10.1948989900	0.2384227419	40.8533634200	16.9633665300
0.2567629528	23.5269571100	10.1951775200	0.2567629528	40.8539836400	16.9631757000
0.2751031637	23.5308589800	10.1947794300	0.2751031637	40.8531778000	16.9633364700
0.2934433746	23.5305126300	10.1948697100	0.2934433746	40.8535442500	16.9630196900
0.3117835855	23.5285224900	10.1955595600	0.3117835855	40.8532066500	16.9628907100
0.3301237964	23.5283507100	10.1951275200	0.3301237964	40.8544535700	16.9627246300
0.3484640073	23.5323672500	10.1949285600	0.3484640073	40.8532600500	16.9631787000
0.3668042182	23.5350190400	10.1948085300	0.3668042182	40.8554373600	16.9626362000
0.3851444292	23.5329966500	10.1949126100	0.3851444292	40.8549593400	16.9628174400
0.4034846401	23.5299687300	10.1946585200	0.4034846401	40.8532350700	16.9631275200
0.4218248510	23.5301966200	10.1946115000	0.4218248510	40.8537076300	16.9626853100
0.4401650619	23.5329294000	10.1943597100	0.4401650619	40.8542880000	16.9627099000
0.4585052728	23.5323467700	10.1948776200	0.4585052728	40.8545280300	16.9633300000
0.4768454837	23.5314742400	10.1951613900	0.4768454837	40.8546041900	16.9632342400
0.4951856946	23.5304026600	10.1951217000	0.4951856946	40.8534005600	16.9633828100
0.5135259055	23.5300941200	10.1944285000	0.5135259055	40.8536433400	16.9625579800
0.5318661165	23.5310721500	10.1940029900	0.5318661165	40.8539987100	16.9631625800
0.5502063274	23.5312962900	10.1942248900	0.5502063274	40.8540637100	16.9630821700
0.5685465383	23.5298707500	10.1944608800	0.5685465383	40.8536006000	16.9631210300
0.5868867492	23.5289091400	10.1950862400	0.5868867492	40.8541732000	16.9632110600
0.6052269601	23.5297344800	10.1950360600	0.6052269601	40.8536280600	16.9630859000
0.6235671710	23.5299527500	10.1951326400	0.6235671710	40.8539484200	16.9628673600
0.6419073819	23.5294601200	10.1950201500	0.6419073819	40.8537006800	16.9629196200
0.6602475928	23.5307135200	10.1948290300	0.6602475928	40.8546362300	16.9626878200
0.6785878038	23.5318129800	10.1948917100	0.6785878038	40.8551833100	16.9633333400
0.6969280147	23.5297487100	10.1944290000	0.6969280147	40.8536098800	16.9627300400
0.7152682256	23.5298403400	10.1942237100	0.7152682256	40.8526569800	16.9628103200
0.7336084365	23.5311789400	10.1944416300	0.7336084365	40.8534647000	16.9625728500
0.7519486474	23.5336119700	10.1944742900	0.7519486474	40.8543348300	16.9632577600
0.7702888583	23.5325114700	10.1949361500	0.7702888583	40.8547947200	16.9626518900
0.7886290692	23.5318984900	10.1951962100	0.7886290692	40.8545069800	16.9631303300
0.8069692801	23.5326360200	10.1949953300	0.8069692801	40.8541329200	16.9629736400
0.8253094911	23.5356329700	10.1944387100	0.8253094911	40.8540266700	16.9629701100
0.8436497020	23.5357487400	10.1938956600	0.8436497020	40.8536980200	16.9627799400
0.8619899129	23.5330483200	10.1940796800	0.8619899129	40.8547914700	16.9630962700
0.8803301238	23.5314879800	10.1946445100	0.8803301238	40.8537838400	16.9629175300
0.8986703347	23.5337318700	10.1946925600	0.8986703347	40.8539691000	16.9628645000
0.9170105456	23.5382018300	10.1946366200	0.9170105456	40.8556090300	16.9626881400
0.9353507565	23.5379221500	10.1943344600	0.9353507565	40.8559547400	16.9629780900
0.9536909674	23.5372641200	10.1946334000	0.9536909674	40.8554791800	16.9630832000
0.9720311784	23.5374562200	10.1955233500	0.9720311784	40.8565779900	16.9626922200
0.9903713893	23.5397873900	10.1957998200	0.9903713893	40.8562807300	16.9632130500
1.0087116000	23.5423456800	10.1960146200	1.0087116000	40.8566159900	16.9629039500
1.0270518110	23.5367411700	10.1969521300	1.0270518110	40.8575230200	16.9630594300
1.0453920220	23.5383091900	10.1974775700	1.0453920220	40.8569536600	16.9627222000
1.0637322330	23.5457283000	10.1964441100	1.0637322330	40.8580279100	16.9627323100
1.0820724440	23.5476004000	10.1959047200	1.0820724440	40.8588319300	16.9630363300
1.1004126550	23.5450065000	10.1958950600	1.1004126550	40.8580558300	16.9629855900
1.1187528660	23.5353640200	10.1954897800	1.1187528660	40.8568208600	16.9625717800
1.1370930770	23.5390992500	10.1949910700	1.1370930770	40.8561013000	16.9629566700
1.1554332870	23.5434942200	10.1947004400	1.1554332870	40.8581967900	16.9627914100
1.1737734980	23.5493830600	10.1948977300	1.1737734980	40.8597521800	16.9625827100
1.1921137090	23.5372206900	10.1950012900	1.1921137090	40.8580738500	16.9629510200
1.2104539200	23.5342303100	10.1949426000	1.2104539200	40.8576518500	16.9629223100
1.2287941310	23.5369585900	10.1945870000	1.2287941310	40.8586713500	16.9631000600
1.2471343420	23.5357164000	10.1942506600	1.2471343420	40.8575108500	16.9633457500
1.2654745530	23.5322608100	10.1942599300	1.2654745530	40.8565186500	16.9632225400
1.2838147640	23.5295287700	10.1940326600	1.2838147640	40.8586217100	16.9634771200
1.3021549750	23.5309348000	10.1939266500	1.3021549750	40.8568197600	16.9628301600
1.3204951860	23.5226529100	10.1939485500	1.3204951860	40.8556374700	16.9631901700
1.3388353970	23.5096791300	10.1942379300	1.3388353970	40.8559438800	16.9634376200
1.3571756080	23.4352726400	10.1899821100	1.3571756080	40.8541908500	16.9631494700
1.3755158180	23.3542270000	10.1880028600	1.3755158180	40.8541853600	16.9622194300
1.3938560290	23.2560564500	10.1826540100	1.3938560290	40.8532924700	16.9626981000
1.4121962400	23.1138475900	10.1839914600	1.4121962400	40.8529816400	16.9645925400
1.4305364510	23.0635195000	10.1902306500	1.4305364510	40.8510113900	16.9635724500
1.4488766620	22.9444007900	10.1928590000	1.4488766620	40.8493581800	16.9634259000
1.4672168730	22.9077759100	10.2019709400	1.4672168730	40.8457330000	16.9612155500
1.4855570840	22.8492392900	10.2003001500	1.4855570840	40.8431518000	16.9597555700
1.5038972950	22.8459648400	10.1999991400	1.5038972950	40.8407928500	16.9610818100
1.5222375060	22.8349733100	10.2034478500	1.5222375060	40.8370759800	16.9620726600
1.5405777170	22.8470998200	10.2039942300	1.5405777170	40.8360965200	16.9612485500
1.5589179280	22.8559757300	10.2040118500	1.5589179280	40.8397506600	16.9612979400
1.5772581380	22.8584761200	10.2027614900	1.5772581380	40.8423146500	16.9604757400
1.5955983490	22.8636437000	10.2026738700	1.5955983490	40.8424005100	16.9608171800
1.6139385600	22.8483658700	10.2048373800	1.6139385600	40.8414014100	16.9613339600
1.6322787710	22.7059066700	10.2085666500	1.6322787710	40.8315747900	16.9635369200
1.6506189820	22.6612136800	10.2132798700	1.6506189820	40.8347820100	16.9631173600
1.6689591930	22.5974357100	10.2446284700	1.6689591930	40.8295163400	16.9654757800
1.6872994040	22.4279403700	10.2490030700	1.6872994040	40.8236282000	16.9696688500
1.7056396150	22.2363971100	10.2548043200	1.7056396150	40.7985580500	16.9691857900
1.7239798260	22.1876515200	10.2484621200	1.7239798260	40.7871180900	16.9690610900
1.7423200370	22.0177173500	10.2588826600	1.7423200370	40.7848032500	16.9670470000
1.7606602480	21.8523245300	10.2713300200	1.7606602480	40.7734433500	16.9669470300
1.7790004590	21.6683082400	10.2689786500	1.7790004590	40.7594986400	16.9662939200
1.7973406690	21.5644624700	10.2714484300	1.7973406690	40.7494166100	16.9702125700
1.8156808800	21.3992454700	10.2645846600	1.8156808800	40.7336690600	16.9660762300
1.8340210910	21.2518888900	10.2634834100	1.8340210910	40.7274303500	16.9659961600
1.8523613020	21.1053476800	10.2713207900	1.8523613020	40.7322046800	16.9579500800
1.8707015130	20.9504351500	10.2675981100	1.8707015130	40.7372404800	16.9794029400
1.8890417240	20.8431365800	10.2638419900	1.8890417240	40.7309434600	16.9813274000
1.9073819350	20.6755619800	10.2634054800	1.9073819350	40.7566981000	16.9959421900
1.9257221460	20.5537553800	10.2647835300	1.9257221460	40.6939397700	16.9812978500
1.9440623570	20.4272197300	10.2669158400	1.9440623570	40.6982795900	16.9901706600
1.9624025680	20.3855137300	10.2642342200	1.9624025680	40.6845732700	16.9820404400
