GMfasBetter			GMext		
t	x	y	t	x	y
0.0000000000	10.5334124400	1.7948489670	0.0000000000	26.3292654400	15.9898965700
0.0240882594	10.5333586100	1.7948825580	0.0240882594	26.3298540400	15.9900821300
0.0481765188	10.5329189500	1.7947775780	0.0481765188	26.3285269800	15.9901086200
0.0722647782	10.5342536700	1.7946215800	0.0722647782	26.3283249100	15.9899856000
0.0963530375	10.5343075500	1.7942255000	0.0963530375	26.3283600000	15.9900055900
0.1204412969	10.5348184400	1.7942853800	0.1204412969	26.3291980700	15.9898383300
0.1445295563	10.5348651300	1.7943059660	0.1445295563	26.3295449100	15.9898422800
0.1686178157	10.5348490700	1.7944798390	0.1686178157	26.3297734000	15.9897876900
0.1927060751	10.5336617000	1.7946290110	0.1927060751	26.3288807500	15.9899746900
0.2167943344	10.5334071800	1.7945303950	0.2167943344	26.3290244300	15.9900899900
0.2408825938	10.5343415900	1.7947008830	0.2408825938	26.3292013900	15.9897942900
0.2649708532	10.5342419800	1.7946251100	0.2649708532	26.3298694600	15.9898906400
0.2890591126	10.5335990000	1.7947640040	0.2890591126	26.3295095300	15.9899468500
0.3131473720	10.5337460800	1.7946951500	0.3131473720	26.3285777800	15.9899940900
0.3372356314	10.5335268400	1.7947843660	0.3372356314	26.3295073100	15.9899763000
0.3613238907	10.5338327800	1.7947518320	0.3613238907	26.3287348400	15.9901780500
0.3854121501	10.5345728300	1.7947886660	0.3854121501	26.3288951100	15.9900318100
0.4095004095	10.5339095000	1.7948601660	0.4095004095	26.3285523900	15.9898981600
0.4335886689	10.5334741400	1.7946807420	0.4335886689	26.3303097500	15.9897187400
0.4576769283	10.5334749200	1.7944355290	0.4576769283	26.3293050000	15.9897267500
0.4817651876	10.5335705200	1.7947683190	0.4817651876	26.3294742400	15.9898683800
0.5058534470	10.5338276600	1.7949666080	0.5058534470	26.3293972000	15.9900702700
0.5299417064	10.5331908800	1.7951891300	0.5299417064	26.3296385500	15.9899970000
0.5540299658	10.5337020000	1.7953282200	0.5540299658	26.3280647700	15.9902034000
0.5781182252	10.5335875700	1.7953913510	0.5781182252	26.3281758200	15.9903221000
0.6022064846	10.5325455400	1.7954558010	0.6022064846	26.3285321100	15.9901815800
0.6262947439	10.5334922800	1.7953346170	0.6262947439	26.3297189000	15.9900382000
0.6503830033	10.5336721600	1.7952633850	0.6503830033	26.3289283200	15.9902616700
0.6744712627	10.5340065700	1.7952650180	0.6744712627	26.3298303700	15.9900792000
0.6985595221	10.5350309500	1.7948097660	0.6985595221	26.3298692900	15.9900203300
0.7226477815	10.5351804400	1.7948275850	0.7226477815	26.3290837300	15.9898620400
0.7467360409	10.5343534500	1.7947389580	0.7467360409	26.3293184100	15.9899403800
0.7708243002	10.5346223600	1.7946970180	0.7708243002	26.3281551800	15.9898776200
0.7949125596	10.5324144500	1.7942499800	0.7949125596	26.3293615100	15.9898467400
0.8190008190	10.5309769900	1.7941791890	0.8190008190	26.3288815900	15.9902619200
0.8430890784	10.5165605400	1.7967919190	0.8430890784	26.3288994800	15.9903198400
0.8671773378	10.4546838300	1.8316971880	0.8671773378	26.3308710800	15.9905919900
0.8912655971	10.4053740700	1.8578986700	0.8912655971	26.3305009300	15.9906558200
0.9153538565	10.3888662300	1.8844925170	0.9153538565	26.3293789300	15.9907819800
0.9394421159	10.3825706300	1.8926356010	0.9394421159	26.3299724500	15.9906030200
0.9635303753	10.3727156000	1.8984497150	0.9635303753	26.3299597600	15.9906118500
0.9876186347	10.3368588500	1.9115167920	0.9876186347	26.3301111800	15.9906043600
1.0117068940	10.3030741000	1.9174363780	1.0117068940	26.3308230500	15.9903719500
1.0357951530	10.1120119900	1.9842003940	1.0357951530	26.3330798800	15.9896710100
1.0598834130	9.9577497720	2.0124589530	1.0598834130	26.3320399600	15.9893931200
1.0839716720	9.8722497020	2.0259883800	1.0839716720	26.3330350200	15.9891978100
1.1080599320	9.7823134400	2.0399883850	1.1080599320	26.3339485800	15.9887118800
1.1321481910	9.6882448920	2.0634215460	1.1321481910	26.3336810500	15.9882180600
1.1562364500	9.4997549960	2.1050898070	1.1562364500	26.3333610300	15.9880693900
1.1803247100	9.3976140860	2.1360946160	1.1803247100	26.3327994500	15.9880551800
1.2044129690	9.3093166260	2.1465839590	1.2044129690	26.3321867400	15.9878387600
1.2285012290	9.2080734260	2.1609129570	1.2285012290	26.3316074500	15.9879546000
1.2525894880	9.1271759510	2.1675564210	1.2525894880	26.3311430300	15.9877295000
1.2766777470	9.0761250230	2.1735931510	1.2766777470	26.3309968500	15.9878248200
1.3007660070	8.8764942450	2.1915642160	1.3007660070	26.3314789300	15.9874423800
1.3248542660	8.7634622290	2.1994491470	1.3248542660	26.3307977000	15.9876987900
1.3489425250	8.5948487890	2.2175964830	1.3489425250	26.3308881800	15.9868755800
1.3730307850	8.4828322820	2.2261500020	1.3730307850	26.3312233700	15.9870095900
