GMfasBEST			GMext		
t	x	y	t	x	y
0	28.43585444	0.642110589	0	48.68897667	9.341131647
0.023945787	28.43549079	0.642043537	0.023945787	48.68931336	9.340526628
0.047891573	28.43388493	0.641912518	0.047891573	48.68936083	9.340491154
0.07183736	28.43544859	0.641737594	0.07183736	48.68957883	9.34034494
0.095783147	28.43345849	0.641767448	0.095783147	48.68958312	9.339998936
0.119728934	28.43198972	0.642562813	0.119728934	48.68895725	9.339975716
0.14367472	28.43316875	0.643512779	0.14367472	48.68894354	9.339966467
0.167620507	28.42983976	0.643996722	0.167620507	48.6887563	9.340471131
0.191566294	28.43011612	0.643090918	0.191566294	48.68960636	9.340064088
0.215512081	28.43232103	0.642511997	0.215512081	48.68932057	9.340149232
0.239457867	28.43297253	0.642008256	0.239457867	48.68901234	9.340052267
0.263403654	28.43388013	0.641669681	0.263403654	48.68899096	9.340454847
0.287349441	28.43594845	0.641743518	0.287349441	48.68834642	9.34014329
0.311295228	28.43712768	0.642141263	0.311295228	48.68852206	9.340121193
0.335241014	28.43599054	0.642317772	0.335241014	48.68898676	9.340622699
0.359186801	28.43515216	0.642565789	0.359186801	48.68873423	9.340129733
0.383132588	28.43824504	0.64304708	0.383132588	48.68906573	9.34024203
0.407078375	28.43658594	0.644259584	0.407078375	48.68899013	9.340284488
0.431024161	28.43674814	0.643799602	0.431024161	48.68792787	9.340364466
0.454969948	28.42924155	0.64452084	0.454969948	48.68782761	9.341084048
0.478915735	28.41824267	0.645430452	0.478915735	48.68787931	9.341075995
0.502861522	28.41594761	0.645540142	0.502861522	48.68802427	9.341271378
0.526807308	28.41445808	0.644567913	0.526807308	48.68841799	9.340768768
0.550753095	28.4100907	0.645123772	0.550753095	48.68842703	9.340531406
0.574698882	28.39974348	0.648699264	0.574698882	48.68570478	9.341242241
0.598644669	28.4132951	0.646335078	0.598644669	48.68679121	9.341066826
0.622590455	28.42156288	0.644969066	0.622590455	48.68831439	9.34076451
0.646536242	28.42735727	0.643422267	0.646536242	48.68640086	9.341358518
0.670482029	28.43119209	0.642195767	0.670482029	48.68591716	9.341518218
0.694427815	28.43349826	0.641594955	0.694427815	48.68718592	9.341361927
0.718373602	28.43276892	0.6423007	0.718373602	48.68675945	9.341368809
0.742319389	28.42628763	0.645610605	0.742319389	48.68536404	9.342209507
0.766265176	28.42513534	0.647814627	0.766265176	48.68552561	9.341917897
0.790210962	28.36749514	0.658011726	0.790210962	48.68632758	9.34111193
0.814156749	28.27207172	0.668489813	0.814156749	48.6845516	9.341140178
0.838102536	28.20276632	0.686902751	0.838102536	48.6824033	9.341743182
0.862048323	28.03068732	0.694476901	0.862048323	48.68038669	9.339071465
0.885994109	27.91412485	0.684976168	0.885994109	48.68010831	9.339445771
0.909939896	27.86919293	0.67807965	0.909939896	48.67764999	9.339348149
0.933885683	27.82832622	0.673808978	0.933885683	48.67536983	9.33973958
0.95783147	27.70964522	0.677642233	0.95783147	48.67589671	9.337955926
0.981777256	27.57773375	0.671595191	0.981777256	48.67030284	9.339424722
1.005723043	27.50534973	0.680298176	1.005723043	48.67267855	9.341029085
1.02966883	27.42892597	0.6756876	1.02966883	48.67008902	9.34465434
1.053614617	27.31707206	0.673617991	1.053614617	48.66595785	9.347342952
1.077560403	27.08540575	0.669983998	1.077560403	48.66704065	9.34878845
1.10150619	26.99087172	0.656782298	1.10150619	48.66672725	9.350065383
1.125451977	26.84665338	0.660730984	1.125451977	48.66766677	9.348898781
1.149397763	26.76544149	0.67002969	1.149397763	48.66246822	9.349832584
1.17334355	26.58227158	0.681805414	1.17334355	48.66488401	9.352346059
1.197289337	26.48405163	0.675578363	1.197289337	48.66518639	9.354439432
1.221235124	26.34858508	0.702196636	1.221235124	48.66367733	9.357257927
1.24518091	26.26397509	0.706845195	1.24518091	48.66241534	9.358008562
1.269126697	26.13963015	0.733047642	1.269126697	48.66365674	9.359265075
1.293072484	26.09522786	0.736327016	1.293072484	48.66213585	9.359986764
1.317018271	25.86076954	0.771607143	1.317018271	48.65734771	9.367657888
1.340964057	25.79552261	0.777240982	1.340964057	48.65412633	9.368660014
1.364909844	25.70672431	0.784108868	1.364909844	48.64948366	9.374287629
1.388855631	25.54164339	0.776832505	1.388855631	48.63925106	9.391912165
1.412801418	25.46367586	0.780597394	1.412801418	48.63747977	9.395406305
1.436747204	25.29044356	0.784132658	1.436747204	48.62239891	9.412809554
1.460692991	25.22422699	0.785391455	1.460692991	48.59991979	9.428097461
1.484638778	25.16734302	0.792788675	1.484638778	48.59484486	9.431265932
1.508584565	24.95930219	0.814246982	1.508584565	48.56935034	9.445574759
1.532530351	24.82031495	0.824529167	1.532530351	48.55770405	9.451281995
1.556476138	24.78412723	0.829063055	1.556476138	48.54985547	9.454705141
1.580421925	24.66305832	0.819886858	1.580421925	48.5411353	9.460607457
1.604367712	24.46954627	0.793563053	1.604367712	48.52603909	9.469715036
1.628313498	24.34025432	0.779197681	1.628313498	48.51954249	9.47666628
1.652259285	24.32016579	0.770306073	1.652259285	48.5188116	9.478442966
1.676205072	24.12659512	0.792865791	1.676205072	48.51522697	9.495550891
1.700150858	23.99357049	0.806266394	1.700150858	48.52010318	9.501288204
1.724096645	23.84596267	0.829240098	1.724096645	48.51495471	9.516268696
1.748042432	23.77007837	0.843326863	1.748042432	48.50948007	9.524544146
1.771988219	23.67241679	0.852544171	1.771988219	48.51119685	9.526484595
1.795934005	23.58933006	0.856283652	1.795934005	48.50062378	9.530022925
1.819879792	23.545537	0.853708191	1.819879792	48.49005071	9.533561255
1.843825579	23.45093777	0.840965043	1.843825579	48.47310556	9.541239639
1.867771366	23.3018403	0.819715049	1.867771366	48.45973005	9.548154751
1.891717152	23.25625062	0.817125528	1.891717152	48.45612601	9.555694231
1.915662939	23.14149599	0.819789246	1.915662939	48.44797731	9.56595391
1.939608726	23.09342843	0.81932708	1.939608726	48.44343435	9.568261631
1.963554513	23.05439527	0.82788363	1.963554513	48.44491285	9.574703691
1.987500299	23.02431086	0.835104293	1.987500299	48.4466156	9.574590505
2.011446086	22.98414609	0.840899964	2.011446086	48.45341693	9.585349633
2.035391873	22.87112292	0.866973061	2.035391873	48.45252245	9.600608159
2.05933766	22.82066951	0.856601586	2.05933766	48.45695788	9.607282485
2.083283446	22.80625832	0.850577786	2.083283446	48.45254384	9.612945978
2.107229233	22.70719711	0.878184532	2.107229233	48.44190903	9.6162139
2.13117502	22.69595974	0.886499698	2.13117502	48.44512879	9.614159351
2.155120806	22.70041135	0.888279721	2.155120806	48.44381526	9.616020618
2.179066593	22.69849196	0.888695403	2.179066593	48.44458919	9.618021184
2.20301238	22.69006175	0.884191607	2.20301238	48.44535685	9.621482216
2.226958167	22.64637093	0.880008488	2.226958167	48.44609078	9.622661711
2.250903953	22.57270321	0.895392498	2.250903953	48.43708299	9.624185778
2.27484974	22.54673877	0.906256001	2.27484974	48.42954667	9.624814747
2.298795527	22.52421406	0.908420656	2.298795527	48.42547663	9.625062196
2.322741314	22.48033099	0.918650975	2.322741314	48.42481802	9.631936057
2.3466871	22.43461874	0.932911969	2.3466871	48.41449911	9.635810902
2.370632887	22.38740682	0.943654259	2.370632887	48.40835901	9.642641365
2.394578674	22.31580388	0.954232981	2.394578674	48.40753034	9.642447761
2.418524461	22.27943303	0.960716806	2.418524461	48.40355636	9.638645916
2.442470247	22.26050013	0.962927384	2.442470247	48.40335188	9.639622562
2.466416034	22.12832344	0.978226621	2.466416034	48.39321671	9.648396289
2.490361821	21.99619809	0.96551799	2.490361821	48.39312504	9.653020164
2.514307608	21.93940667	0.940570025	2.514307608	48.3832654	9.66281925
2.538253394	21.79453166	0.906299632	2.538253394	48.38619074	9.672599803
2.562199181	21.7777416	0.891486318	2.562199181	48.38714532	9.679453243
2.586144968	21.62447569	0.868620525	2.586144968	48.36369787	9.701790424
2.610090755	21.53464394	0.871341211	2.610090755	48.35777165	9.705476848
2.634036541	21.48415139	0.869219467	2.634036541	48.35636446	9.707847938
2.657982328	21.33827015	0.859793484	2.657982328	48.35480475	9.710854212
2.681928115	21.17595084	0.878094043	2.681928115	48.35505605	9.7204587
2.705873901	21.16072711	0.879437821	2.705873901	48.35422914	9.719015345
2.729819688	21.10770651	0.886140885	2.729819688	48.35421541	9.727636047
2.753765475	21.06000782	0.891154095	2.753765475	48.34990488	9.726894473
2.777711262	20.96062875	0.892347941	2.777711262	48.35109665	9.734231263
2.801657048	20.85750123	0.893303733	2.801657048	48.34694172	9.740305135
2.825602835	20.73414637	0.892845749	2.825602835	48.34631591	9.740271986
2.849548622	20.65129773	0.893028904	2.849548622	48.35824361	9.751465156
2.873494409	20.54540558	0.899253501	2.873494409	48.35419594	9.762434719
2.897440195	20.52195927	0.89452849	2.897440195	48.3564876	9.765633451
2.921385982	20.3324138	0.906877739	2.921385982	48.3460366	9.779639142
2.945331769	20.28367455	0.922835597	2.945331769	48.3470115	9.784049388
2.969277556	20.28596961	0.94297266	2.969277556	48.34734454	9.784449661
2.993223342	20.3008711	0.947816876	2.993223342	48.34978535	9.784962853
3.017169129	20.32681273	0.947640103	3.017169129	48.34712558	9.78382121
3.041114916	20.2642443	0.939610007	3.041114916	48.34949859	9.784660183
3.065060703	20.2648377	0.940883396	3.065060703	48.35246493	9.783992697
3.089006489	20.27346088	0.94010892	3.089006489	48.35392802	9.782333495
3.112952276	20.27562689	0.942527162	3.112952276	48.354924	9.783387629
3.136898063	20.26684315	0.942976125	3.136898063	48.35562091	9.783952987
3.16084385	20.26038755	0.957296663	3.16084385	48.35620317	9.782440769
3.184789636	20.27394542	0.971573979	3.184789636	48.36014935	9.782335325
3.208735423	20.27378336	0.96896922	3.208735423	48.35908219	9.782684952
3.23268121	20.20550952	0.970385683	3.23268121	48.35913631	9.784093356
3.256626996	20.1186719	0.987768215	3.256626996	48.35583598	9.786774252
