GFsupBEST?			GFext		
t	x	y	t	x	y
0	21.13223363	21.0224558	0	2.297951362	24.54407625
0.055260831	21.12969092	21.02175812	0.055260831	2.297675039	24.54336426
0.110521662	21.13060556	21.02292531	0.110521662	2.300001173	24.54387965
0.165782493	21.13707521	21.0241036	0.165782493	2.30027219	24.54386677
0.221043325	21.13141593	21.02331665	0.221043325	2.302611637	24.54364984
0.276304156	21.14760434	21.025221	0.276304156	2.302634775	24.54416269
0.331564987	21.14798703	21.0262119	0.331564987	2.30629659	24.54432514
0.386825818	21.13792081	21.02526779	0.386825818	2.305668236	24.54412378
0.442086649	21.14038389	21.02513323	0.442086649	2.308141663	24.54493502
0.49734748	21.14152584	21.02552844	0.49734748	2.304967921	24.54426837
0.552608311	21.13680926	21.02587068	0.552608311	2.308860933	24.54526283
0.607869142	21.14401758	21.02626698	0.607869142	2.308943758	24.54374123
0.663129974	21.13844862	21.02601437	0.663129974	2.31037283	24.54443788
0.718390805	21.16925464	21.02607224	0.718390805	2.314158516	24.54423172
0.773651636	21.15570408	21.02567192	0.773651636	2.315005958	24.5424972
0.828912467	21.15580066	21.02549138	0.828912467	2.315015048	24.54308012
0.884173298	21.16274953	21.02582052	0.884173298	2.316968182	24.54431753
0.939434129	21.16321942	21.0245989	0.939434129	2.315186842	24.54384022
0.99469496	21.1535502	21.02468077	0.99469496	2.318418771	24.54574706
1.049955791	21.15732542	21.02522924	1.049955791	2.326338974	24.54423305
1.105216622	21.169784	21.02391013	1.105216622	2.325015313	24.54461305
1.160477454	21.16365002	21.02651718	1.160477454	2.327141299	24.54509269
1.215738285	21.14991435	21.02659078	1.215738285	2.326141231	24.5454703
1.270999116	21.14965574	21.02456305	1.270999116	2.323186497	24.54536739
1.326259947	21.1664698	21.02634479	1.326259947	2.325778832	24.54566328
1.381520778	21.16614527	21.02659872	1.381520778	2.324730278	24.54502536
1.436781609	21.15575342	21.02562544	1.436781609	2.331600192	24.54457477
1.49204244	21.14467855	21.02409942	1.49204244	2.312459845	24.54454025
1.547303271	21.12330658	21.02478033	1.547303271	2.335534285	24.54526545
1.602564103	21.12805108	21.02522764	1.602564103	2.346009663	24.54720477
1.657824934	21.14187512	21.02311056	1.657824934	2.414778121	24.54696113
1.713085765	21.12440711	21.02245903	1.713085765	2.451555469	24.54589556
