SOLfasSLIDES			SOLext		
t	x	y	t	x	y
0	13.67253122	5.861344411	0	27.26505566	13.38682962
0.018583216	13.67233257	5.860935844	0.018583216	27.26486511	13.3867443
0.037166431	13.67153895	5.861085931	0.037166431	27.26492201	13.38684546
0.055749647	13.67167462	5.861210404	0.055749647	27.26517345	13.38691682
0.074332863	13.67279621	5.86081048	0.074332863	27.26488504	13.38698964
0.092916078	13.67403519	5.861298182	0.092916078	27.26529497	13.38697662
0.111499294	13.67349779	5.861181578	0.111499294	27.26552481	13.38684929
0.13008251	13.67268765	5.861207032	0.13008251	27.26508835	13.38678749
0.148665725	13.67171301	5.861417178	0.148665725	27.2651413	13.3867969
0.167248941	13.67142869	5.861670969	0.167248941	27.26460474	13.38722247
0.185832156	13.66893837	5.862123694	0.185832156	27.26455155	13.38699413
0.204415372	13.67055162	5.861709232	0.204415372	27.26490969	13.38719275
0.222998588	13.67106413	5.861831389	0.222998588	27.26504845	13.38692959
0.241581803	13.66981621	5.861973459	0.241581803	27.26455155	13.38716385
0.260165019	13.67171564	5.861436593	0.260165019	27.26538759	13.38701682
0.278748235	13.67143976	5.861204282	0.278748235	27.26515492	13.3869211
0.29733145	13.67339155	5.861225785	0.29733145	27.26515405	13.38715783
0.315914666	13.67352702	5.860978277	0.315914666	27.26567911	13.38691089
0.334497882	13.67441337	5.86110622	0.334497882	27.26510296	13.3870455
0.353081097	13.67341117	5.861834298	0.353081097	27.26515724	13.38695929
0.371664313	13.67444918	5.861479199	0.371664313	27.26526128	13.38703287
0.390247528	13.67537184	5.861242088	0.390247528	27.26577394	13.38691168
0.408830744	13.67336778	5.861170444	0.408830744	27.26546755	13.38672264
0.42741396	13.67272018	5.860829368	0.42741396	27.26552906	13.38681401
0.445997175	13.67224924	5.861136374	0.445997175	27.26511367	13.38717767
0.464580391	13.67245599	5.860746363	0.464580391	27.26506997	13.38666777
0.483163607	13.67369909	5.861196979	0.483163607	27.26528927	13.38690089
0.501746822	13.67227366	5.861107289	0.501746822	27.26537684	13.38711926
0.520330038	13.67151826	5.860813941	0.520330038	27.26522332	13.38686139
0.538913254	13.67208789	5.861286412	0.538913254	27.26531275	13.38705859
