CALbump			CALext2		
t	x	y	t	x	y
0.0	17.34083427	7.923018316	0.0	0.4775529052	15.05618187
0.05961251863	17.34128293	7.922730997	0.05961251863	0.476294256	15.05608496
0.1192250373	17.34435595	7.921121839	0.1192250373	0.4779226417	15.05629469
0.1788375559	17.34429721	7.921486866	0.1788375559	0.477449186	15.05605076
0.2384500745	17.34268284	7.921492337	0.2384500745	0.4777393508	15.05605411
0.2980625931	17.34509773	7.9212315	0.2980625931	0.4774030667	15.05618467
0.3576751118	17.34574799	7.922185541	0.3576751118	0.4766508765	15.05604733
0.4172876304	17.34535644	7.921926155	0.4172876304	0.4772718769	15.05613323
0.476900149	17.34591399	7.922377797	0.476900149	0.4778113024	15.05613734
0.5365126677	17.34628601	7.923218372	0.5365126677	0.4779781438	15.05605484
0.5961251863	17.34641688	7.922894933	0.5961251863	0.4770718554	15.05596012
0.6557377049	17.34588544	7.923397806	0.6557377049	0.4774556369	15.0560318
0.7153502235	17.34787306	7.923003072	0.7153502235	0.4771033038	15.05604638
0.7749627422	17.34552682	7.923545545	0.7749627422	0.477152625	15.05598987
0.8345752608	17.34609454	7.923480243	0.8345752608	0.4768309332	15.05609041
0.8941877794	17.34546532	7.922991484	0.8941877794	0.4777694946	15.05609635
0.9538002981	17.34483901	7.923821218	0.9538002981	0.4773904401	15.0560425
1.013412817	17.34135675	7.927699195	1.013412817	0.4769708066	15.05610638
1.073025335	17.33580196	7.929757799	1.073025335	0.4765406894	15.05608201
1.132637854	17.33096223	7.929985803	1.132637854	0.4778927279	15.05609132
1.192250373	17.33271996	7.928077506	1.192250373	0.4770444778	15.05622469
1.251862891	17.338355	7.925967758	1.251862891	0.4782062548	15.05608188
1.31147541	17.34652276	7.925439726	1.31147541	0.4780062686	15.05604549
1.371087928	17.35599256	7.923627117	1.371087928	0.4780390714	15.05609969
1.430700447	17.35692856	7.924029455	1.430700447	0.4787360077	15.05611103
1.490312966	17.36758105	7.922591425	1.490312966	0.4784010163	15.05602185
1.549925484	17.36221102	7.920880137	1.549925484	0.4777861397	15.05599467
1.609538003	17.37227391	7.918460902	1.609538003	0.4774565621	15.05605245
1.669150522	17.3991436	7.91639793	1.669150522	0.4818083943	15.05593903
