"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
17.5947	0.558778	-3.19676	-0.687071	-1.52971	0.980135	6.08792	0.780569	1.14267	2.65682	-62.5604	-62.4094	-63.0195	-62.7132	0.00593549	-65.172
17.5953	-0.0447022	-4.44767	-0.687071	-4.26133	0.980135	16.4555	0.477159	0.226023	2.65682	-62.5604	-62.2558	-62.7146	-63.0195	0.00622007	-64.075
17.5960	1.18461	-5.32794	0.229024	-4.86229	1.59466	15.8527	0.477159	-2.82529	2.66287	-62.5604	-61.9504	-62.7146	-63.0195	0.00609811	-57.0812
17.5967	1.18461	-5.65225	1.45048	-3.33258	1.59466	6.69068	0.171155	-5.87661	2.66287	-62.8659	-62.2558	-63.0195	-63.1706	0.00577288	-63.1836
17.5973	-0.0447022	-3.52107	2.06121	-1.52971	1.29129	3.64672	0.171155	-1.90864	2.65682	-62.5604	-62.1041	-62.8661	-62.7132	0.00609811	-60.7152
17.5980	0.268213	-1.66788	2.36658	-0.273162	0.67676	5.78654	0.171155	1.4566	2.65682	-62.2549	-61.4934	-62.4077	-62.409	0.00638269	-60.5781
17.5987	0.268213	-1.66788	1.75585	0.327795	0.373385	6.3893	0.171155	0.226023	2.65682	-62.5604	-62.1041	-62.5611	-62.8663	0.00609811	-61.3323
17.5993	-0.0447022	-1.3899	0.839753	1.52971	0.373385	7.0222	-0.134849	-0.67807	2.65682	-62.7132	-62.4094	-63.171	-63.0195	0.00609811	-61.0238
17.6000	0.558778	-1.06559	-0.0763412	1.8575	0.373385	8.22773	-0.134849	-0.376706	2.65682	-62.2549	-61.3398	-62.5611	-62.409	0.00682988	-60.1324
17.6007	0.871693	-1.3899	-0.381706	-0.600957	0.373385	7.32359	-0.134849	-0.0753412	2.66287	-61.9514	-61.3398	-62.2562	-62.1028	0.00715511	-60.1324
17.6013	1.18461	-1.06559	-0.0763412	-1.20191	0.67676	5.48515	-0.744264	0.226023	2.66287	-62.1041	-61.9504	-63.0195	-62.5601	0.00670792	-60.7152
17.6020	1.47517	-1.06559	-0.381706	-2.73162	1.89804	3.94811	-0.744264	0.226023	2.66287	-62.1041	-62.1041	-62.4077	-62.2559	0.00670792	-60.5781
17.6027	1.47517	-0.787608	-0.381706	-8.85045	2.20141	2.13981	-0.43826	-0.0753412	2.66287	-62.1041	-61.9504	-62.4077	-62.1028	0.00715511	-60.441
