cm_A			cmCALext		
t	x	y	t	x	y
0.0	19.60294794	6.465367815	0.0	0.152576078	14.64445323
0.05961251863	19.60075174	6.464429907	0.05961251863	0.1523698979	14.64202192
0.1192250373	19.60135587	6.463904203	0.1192250373	0.1528528808	14.6421825
0.1788375559	19.60426595	6.463829237	0.1788375559	0.1529976109	14.64184765
0.2384500745	19.5989173	6.462113866	0.2384500745	0.1523406446	14.64207264
0.2980625931	19.59769966	6.4592389	0.2980625931	0.1519732028	14.64178059
0.3576751118	19.58774879	6.451638858	0.3576751118	0.1530862335	14.64166411
0.4172876304	19.59717512	6.451486859	0.4172876304	0.1515025832	14.64115001
0.476900149	19.59376732	6.45567621	0.476900149	0.15067202	14.64142787
0.5365126677	19.58078164	6.454176082	0.5365126677	0.1466091759	14.64141811
0.5961251863	19.59647817	6.467735258	0.5961251863	0.1473244425	14.64090121
0.6557377049	19.59775384	6.465126417	0.6557377049	0.1491703351	14.64103499
0.7153502235	19.53402065	6.438787464	0.7153502235	0.1434059688	14.64081026
0.7749627422	19.48479083	6.424118742	0.7749627422	0.1428569524	14.64113064
0.8345752608	19.37032426	6.39481422	0.8345752608	0.1495169813	14.64055281
0.8941877794	19.31711094	6.390122873	0.8941877794	0.1502768314	14.64040079
0.9538002981	19.36593422	6.393171582	0.9538002981	0.1540948178	14.64107737
1.013412817	19.43615813	6.423353478	1.013412817	0.1520738438	14.64076829
1.073025335	19.44746237	6.434998617	1.073025335	0.1532619725	14.64018514
1.132637854	19.4662319	6.44348142	1.132637854	0.1497485418	14.64039519
1.192250373	19.47026974	6.450192064	1.192250373	0.1497435602	14.64051353
1.251862891	19.46423979	6.448581887	1.251862891	0.1428239405	14.6408093
1.31147541	19.55586393	6.453914744	1.31147541	0.1462369889	14.64104939
1.371087928	19.58031838	6.442185283	1.371087928	0.1430593164	14.64090688
1.430700447	19.51154965	6.438961419	1.430700447	0.1424107138	14.64135798
1.490312966	19.43255594	6.421815829	1.490312966	0.1398696253	14.6438967
1.549925484	19.43698223	6.420963124	1.549925484	0.1434735531	14.64137574
1.609538003	19.45802323	6.428152964	1.609538003	0.1447473847	14.64083265
1.669150522	19.46741161	6.431691898	1.669150522	0.1460511911	14.64064286
1.72876304	19.47285498	6.433100228	1.72876304	0.1488636865	14.64094205
1.788375559	19.50457007	6.433736594	1.788375559	0.1471168714	14.64077908
1.847988077	19.54322636	6.432168925	1.847988077	0.1447641212	14.64088108
1.907600596	19.55437962	6.427170106	1.907600596	0.1442705284	14.64065004
1.967213115	19.54321068	6.424729845	1.967213115	0.1444710902	14.64091336
2.026825633	19.534531	6.42042298	2.026825633	0.1447596026	14.64103216
2.086438152	19.52429804	6.417741851	2.086438152	0.1505823829	14.64114923
2.146050671	19.53454422	6.420819294	2.146050671	0.1441539764	14.64076817
2.205663189	19.53864906	6.422285296	2.205663189	0.1461942754	14.64134126
2.265275708	19.55867753	6.427791079	2.265275708	0.1461820311	14.64071558
2.324888227	19.55878157	6.42518451	2.324888227	0.1450675269	14.64054121
2.384500745	19.56188346	6.425771866	2.384500745	0.1453361378	14.64080594
