GMfasBEST			GMextMMM		
t	x	y	t	x	y
0.0000000000	25.5207868400	2.0854529730	0.0000000000	46.2292715000	11.8377542200
0.0235888000	25.5236149300	2.0862330200	0.0235888000	46.2292924300	11.8378367600
0.0471776001	25.5223479700	2.0859783870	0.0471776001	46.2289469400	11.8379191700
0.0707664001	25.5190164500	2.0860660800	0.0707664001	46.2287892000	11.8384140300
0.0943552002	25.5224276100	2.0887539340	0.0943552002	46.2278753300	11.8403230700
0.1179440002	25.5227138900	2.0893881630	0.1179440002	46.2275833600	11.8401399100
0.1415328002	25.5240131200	2.0890576210	0.1415328002	46.2271635100	11.8401715400
0.1651216003	25.5224418700	2.0887826460	0.1651216003	46.2272504000	11.8400568200
0.1887104003	25.5236075000	2.0890341960	0.1887104003	46.2270898600	11.8405476800
0.2122992003	25.5227199800	2.0894277150	0.2122992003	46.2270578600	11.8419065100
0.2358880004	25.5216960900	2.0891088180	0.2358880004	46.2269768600	11.8421995600
0.2594768004	25.5242357900	2.0889903630	0.2594768004	46.2264262700	11.8418695300
0.2830656005	25.5257885200	2.0882401550	0.2830656005	46.2290680700	11.8406361100
0.3066544005	25.5245175100	2.0881626590	0.3066544005	46.2272419600	11.8410295300
0.3302432005	25.5303823300	2.0897713830	0.3302432005	46.2277075000	11.8412320400
0.3538320006	25.5383156500	2.0902653650	0.3538320006	46.2274424200	11.8410816500
0.3774208006	25.5304250100	2.0900160400	0.3774208006	46.2275974600	11.8408088600
0.4010096006	25.5342442100	2.0929445100	0.4010096006	46.2243145800	11.8426558600
0.4245984007	25.5392235200	2.0960205150	0.4245984007	46.2246904900	11.8430891900
0.4481872007	25.5477019200	2.1164940630	0.4481872007	46.2251932500	11.8449758300
0.4717760008	25.5320623900	2.1180830470	0.4717760008	46.2208397300	11.8550457200
0.4953648008	25.4084290700	2.1582828530	0.4953648008	46.2494256000	11.8834787700
0.5189536008	25.3805399600	2.1690330980	0.5189536008	46.2497234000	11.8924735900
0.5425424009	25.1739617300	2.2427803640	0.5425424009	46.2455624500	11.9138854600
0.5661312009	25.0650519100	2.2877306750	0.5661312009	46.2437615100	11.9337455100
0.5897200009	24.9749288700	2.3093773790	0.5897200009	46.2378109300	11.9482882200
0.6133088010	24.6782127500	2.3446778160	0.6133088010	46.2603657900	11.9790057700
0.6368976010	24.5170066400	2.3786700850	0.6368976010	46.2602476200	11.9900504700
0.6604864011	24.4145700000	2.3861348380	0.6604864011	46.2553757300	11.9978926800
0.6840752011	24.0539408200	2.4178794410	0.6840752011	46.2759985800	12.0448812400
0.7076640011	23.8787845600	2.3917560900	0.7076640011	46.2594515900	12.0611921400
0.7312528012	23.7511251600	2.4157120650	0.7312528012	46.2532334700	12.0678191200
0.7548416012	23.1659721000	2.5309522300	0.7548416012	46.2896324800	12.1054346400
0.7784304012	23.0158960400	2.5777600670	0.7784304012	46.2814037600	12.1250662600
0.8020192013	22.7646014500	2.6156965660	0.8020192013	46.2725132900	12.1459746100
0.8256080013	22.4477828000	2.6348035170	0.8256080013	46.3082445400	12.1812587700
0.8491968014	22.3465723900	2.5896126400	0.8491968014	46.3061156800	12.1931165300
0.8727856014	22.2156168400	2.5973433530	0.8727856014	46.3080304800	12.1963319600
0.8963744014	22.3308782000	2.2017593540	0.8963744014	46.2952555400	12.2157295900
0.9199632015	22.0987348600	2.2326322240	0.9199632015	46.2923739000	12.2229794400
0.9435520015	22.0180944600	2.2460031330	0.9435520015	46.2907446700	12.2258960400
