"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
6.6533	-0.294159	0.206063	-0.425921	-1.40199	53.0785	0.555082	0.246174	-0.826805	2.50884	-12.8176	-11.7492	-13.2751	-12.8173	0.0435673	-59.8074
6.6540	1.54434	0.206063	-2.25738	-0.79446	51.543	-0.0541543	0.246174	-1.13236	2.50884	-12.512	-11.4441	-13.4276	-12.5123	0.0432173	-57.0685
6.6547	1.21341	0.489399	-0.745362	-0.171354	-10.3993	0.250464	0.858091	-0.521247	2.50884	-12.8176	-11.7492	-13.4276	-12.8173	0.0427799	-42.4085
6.6553	-0.294159	0.206063	1.0861	-0.482907	-48.5419	-0.0541543	-0.0633018	-0.215688	2.51488	-12.9701	-12.0544	-13.1225	-12.6648	0.0431298	-56.4623
6.6560	-0.588319	-0.103031	0.787955	-1.40199	-37.8634	-0.358772	-0.668185	-0.521247	2.51488	-12.8176	-11.902	-13.2751	-12.5123	0.0432173	-51.7253
6.6567	-0.294159	-0.103031	1.40554	-1.09044	-34.1992	-0.358772	-0.0633018	-0.521247	2.51488	-12.6646	-11.902	-13.5805	-12.9698	0.0429549	-51.5681
6.6573	0.294159	-0.103031	2.32127	-0.79446	-33.8851	-0.358772	-0.365744	0.395429	2.51488	-12.8176	-12.0544	-13.1225	-12.9698	0.0431298	-52.1743
6.6580	0.625089	0.206063	1.0861	-0.79446	-22.8925	-0.66339	-1.2801	0.0898702	2.51488	-13.1227	-11.902	-13.2751	-13.1224	0.0432173	-52.3315
6.6587	0.294159	-0.103031	0.787955	0.124621	-13.4354	-0.358772	-1.58254	0.0898702	2.51488	-13.2752	-12.0544	-13.5805	-13.1224	0.0431298	-52.4886
6.6593	0.294159	-0.412126	1.40554	-0.171354	-8.27061	-0.0541543	-1.2801	0.700987	2.50884	-13.1227	-12.2072	-13.2751	-12.6648	0.0429549	-52.1743
6.6600	0.294159	0.206063	0.48981	-0.482907	-5.82782	-0.358772	-0.0633018	1.00655	2.51488	-13.1227	-12.5124	-13.4276	-12.6648	0.0429549	-52.1743
6.6607	-0.294159	-0.103031	-2.25738	-0.79446	-6.73514	-0.358772	0.548615	1.00655	2.51488	-12.9701	-12.2072	-13.2751	-12.9698	0.0435673	-52.0396
6.6613	-0.919248	-0.103031	-3.49255	-1.09044	-10.9926	-0.66339	-0.668185	1.00655	2.51488	-12.9701	-12.0544	-13.1225	-12.9698	0.0433923	-52.0396
6.6620	-0.588319	0.489399	-2.25738	-1.09044	-16.1923	-0.968008	-1.2801	1.3121	2.50884	-13.2752	-12.2072	-13.5805	-12.8173	0.0431298	-52.3315
6.6627	-0.294159	0.798494	-1.66109	-0.79446	-21.3919	-0.66339	-0.365744	1.92322	2.51488	-12.8176	-11.902	-13.1225	-12.8173	0.0433923	-52.1743
6.6633	-0.294159	0.798494	-0.745362	-0.482907	-24.1139	-0.66339	-0.365744	2.22878	2.51488	-12.512	-11.7492	-12.97	-12.8173	0.0433923	-52.0396
6.6640	0.294159	0.489399	-0.127776	-0.482907	-25.0561	-0.358772	-0.668185	1.92322	2.51488	-12.512	-11.902	-13.1225	-12.9698	0.0431298	-52.3315
6.6647	0.919248	-0.103031	-1.34165	-0.482907	-23.2066	-0.968008	0.246174	1.92322	2.51488	-12.6646	-11.7492	-13.1225	-12.9698	0.0432173	-52.4886
6.6653	1.21341	-0.412126	-1.95924	-0.482907	0.593251	-1.27263	1.16053	1.61766	2.50884	-12.9701	-11.902	-12.97	-12.6648	0.0433923	-52.4886
6.6660	0.625089	0.206063	-0.745362	-0.79446	39.0499	-0.66339	1.16053	1.92322	2.50884	-12.8176	-12.0544	-12.97	-12.6648	0.0438297	-52.3315
6.6667	0	0.489399	0.48981	-0.79446	49.7284	-0.66339	-0.0633018	2.53434	2.50884	-12.6646	-11.902	-13.1225	-12.8173	0.0440047	-52.3315
6.6673	-0.294159	-0.103031	0.787955	-0.79446	33.2569	-1.27263	-0.977661	2.8399	2.50884	-12.512	-11.5969	-12.665	-12.5123	0.0435673	-52.3315
6.6680	-0.919248	-0.103031	0.787955	-1.40199	17.6928	-1.27263	-0.977661	3.44502	2.50884	-12.2069	-11.4441	-12.512	-12.3598	0.0437422	-52.3315
6.6687	-1.8385	0.489399	1.40554	-1.40199	13.4005	-0.968008	-0.977661	3.75058	2.50884	-12.512	-11.902	-12.97	-12.5123	0.0440047	-52.3315
6.6693	-1.8385	0.489399	2.32127	-0.79446	16.4714	-1.27263	-0.977661	3.75058	2.50884	-12.8176	-12.2072	-13.1225	-12.8173	0.0438297	-52.4886
6.6700	-2.13266	0.798494	2.91756	-0.79446	8.51489	-1.27263	-0.0633018	3.44502	2.50884	-12.512	-11.7492	-12.665	-12.5123	0.0435673	-52.4886
6.6707	-1.50757	1.10759	2.32127	-1.09044	-9.17794	-0.968008	0.548615	2.53434	2.51488	-12.2069	-11.7492	-12.665	-12.3598	0.0437422	-52.1743
6.6713	-0.588319	0.798494	-0.127776	-1.09044	-19.5424	-0.968008	1.46297	1.92322	2.50884	-12.2069	-11.7492	-13.1225	-12.5123	0.0435673	-52.4886
6.6720	-0.294159	0.489399	-0.745362	-1.09044	-19.2632	-0.968008	1.77245	1.92322	2.50884	-12.512	-11.5969	-13.1225	-12.6648	0.0435673	-52.6458
