GMfas			GMext		
t	x	y	t	x	y
0.0000000000	19.4651441100	0.6926435055	0.0000000000	42.5119218200	6.9608413180
0.0240401952	19.4659578700	0.6925816810	0.0240401952	42.5126526100	6.9603513010
0.0480803904	19.4653182100	0.6921794522	0.0480803904	42.5122685100	6.9603763780
0.0721205856	19.4654416800	0.6925740697	0.0721205856	42.5118795200	6.9600970510
0.0961607808	19.4657800200	0.6924322889	0.0961607808	42.5122002200	6.9603242620
0.1202009760	19.4659901000	0.6924452524	0.1202009760	42.5125221600	6.9600173880
0.1442411712	19.4647126700	0.6924775704	0.1442411712	42.5118359600	6.9603812160
0.1682813664	19.4658647900	0.6922396772	0.1682813664	42.5117957100	6.9601172230
0.1923215617	19.4656104200	0.6921774740	0.1923215617	42.5125743200	6.9604545180
0.2163617569	19.4655208500	0.6921914750	0.2163617569	42.5122661100	6.9603404290
0.2404019521	19.4651584600	0.6925687379	0.2404019521	42.5116964100	6.9605224770
0.2644421473	19.4654661600	0.6925731332	0.2644421473	42.5121045400	6.9603107510
0.2884823425	19.4653690100	0.6924062079	0.2884823425	42.5124656500	6.9604798910
0.3125225377	19.4656316100	0.6922355578	0.3125225377	42.5119104200	6.9605134300
0.3365627329	19.4653977000	0.6922726656	0.3365627329	42.5118908900	6.9604355270
0.3606029281	19.4659310000	0.6921499327	0.3606029281	42.5120806000	6.9606026680
0.3846431233	19.4655856900	0.6923071356	0.3846431233	42.5118001400	6.9602150530
0.4086833185	19.4656128000	0.6920657814	0.4086833185	42.5122932000	6.9604535880
0.4327235137	19.4656505000	0.6923271966	0.4327235137	42.5120506000	6.9604896350
0.4567637089	19.4662935500	0.6918221093	0.4567637089	42.5118574200	6.9601552750
0.4808039041	19.4666236100	0.6917825860	0.4808039041	42.5123098400	6.9604784940
0.5048440993	19.4663425200	0.6922185764	0.5048440993	42.5124066200	6.9604884420
0.5288842945	19.4664866700	0.6923617296	0.5288842945	42.5120549300	6.9604684730
0.5529244897	19.4644551500	0.6927059592	0.5529244897	42.5121001700	6.9610804780
0.5769646850	19.4639744000	0.6928884848	0.5769646850	42.5120922600	6.9611362340
0.6010048802	19.4624813500	0.6925121824	0.6010048802	42.5121812100	6.9610520420
0.6250450754	19.4625416400	0.6925911823	0.6250450754	42.5123563500	6.9613869320
0.6490852706	19.4626677700	0.6924476831	0.6490852706	42.5118985000	6.9610440250
0.6731254658	19.4637254000	0.6925562670	0.6731254658	42.5120674100	6.9609957160
0.6971656610	19.4630509000	0.6923589954	0.6971656610	42.5119274300	6.9606867230
0.7212058562	19.4629898300	0.6923530751	0.7212058562	42.5119836800	6.9609114360
0.7452460514	19.4644031700	0.6923326347	0.7452460514	42.5118289300	6.9604557910
0.7692862466	19.4636564100	0.6923368653	0.7692862466	42.5121472200	6.9610357250
0.7933264418	19.4640084500	0.6918913863	0.7933264418	42.5122986100	6.9607902950
0.8173666370	19.4611990000	0.6923131621	0.8173666370	42.5121494300	6.9606142300
0.8414068322	19.4584900300	0.6927155217	0.8414068322	42.5120371200	6.9607858570
0.8654470274	19.4373757700	0.7001282978	0.8654470274	42.5119305500	6.9605954450
0.8894872226	19.3075141900	0.7236026401	0.8894872226	42.5114442800	6.9594435820
0.9135274178	19.2541267100	0.7313709887	0.9135274178	42.5101560800	6.9589639140
0.9375676130	19.1801134900	0.7425113557	0.9375676130	42.5087344900	6.9575121320
0.9616078083	19.1612433400	0.7399534599	0.9616078083	42.5084409900	6.9570719830
0.9856480035	19.1320628100	0.7375935633	0.9856480035	42.5069092300	6.9555712450
1.0096881990	19.1170066200	0.7432753669	1.0096881990	42.5077372300	6.9555011310
1.0337283940	19.0257113100	0.7554741654	1.0337283940	42.5061834300	6.9535282890
1.0577685890	18.9804409700	0.7632276796	1.0577685890	42.5039789900	6.9538151350
1.0818087840	18.9283505300	0.7690095260	1.0818087840	42.5024784000	6.9523603620
1.1058489790	18.8869355500	0.7758289831	1.1058489790	42.5010813400	6.9508969470
1.1298891750	18.8670070100	0.7737377238	1.1298891750	42.5021424000	6.9504108880
1.1539293700	18.7588122600	0.7738581805	1.1539293700	42.5014707400	6.9478176830
1.1779695650	18.7092515000	0.7794357457	1.1779695650	42.5014920600	6.9479241950
1.2020097600	18.5463642700	0.8049916628	1.2020097600	42.5009292500	6.9458049270
1.2260499560	18.2739992600	0.8400141668	1.2260499560	42.4987707100	6.9448678660
1.2500901510	17.8790547000	0.8937950778	1.2500901510	42.4930166700	6.9465988650
1.2741303460	17.5265845500	0.9412053747	1.2741303460	42.4808603300	6.9471088100
1.2981705410	17.1026144100	1.0046756720	1.2981705410	42.4621758100	6.9436656090
1.3222107360	16.8548285500	1.0412236950	1.3222107360	42.4470375400	6.9424011480
1.3462509320	16.4419580100	1.0982325660	1.3462509320	42.4206365800	6.9418871940
1.3702911270	16.3367425800	1.1046544450	1.3702911270	42.4109266300	6.9444790920
1.3943313220	16.0993440100	1.1561996370	1.3943313220	42.4075126300	6.9467681370
1.4183715170	15.9119423400	1.1964280050	1.4183715170	42.3999406000	6.9495127680
1.4424117120	15.5713514700	1.2293930630	1.4424117120	42.3932045000	6.9549260350
1.4664519080	15.4855422400	1.2568773200	1.4664519080	42.3867222500	6.9582245200
1.4904921030	15.3238606700	1.2734513590	1.4904921030	42.3822962900	6.9597124230
1.5145322980	15.1601419500	1.2912610140	1.5145322980	42.3760108900	6.9644775010
1.5385724930	14.8610103100	1.3304346850	1.5385724930	42.3791301000	6.9704694870
1.5626126880	14.6844704000	1.3462629530	1.5626126880	42.3744336200	6.9738296420
1.5866528840	14.4020436100	1.3828289190	1.5866528840	42.3724156100	6.9795090890
1.6106930790	14.2384521900	1.4024435960	1.6106930790	42.3718661700	6.9829212470
1.6347332740	14.0955452700	1.4225706600	1.6347332740	42.3727367900	6.9831639460
1.6587734690	13.8298321400	1.4632801780	1.6587734690	42.3698350600	6.9835759920
1.6828136640	13.7177313200	1.4791182480	1.6828136640	42.3725939700	6.9877425910
1.7068538600	13.5278752900	1.5122665990	1.7068538600	42.3715066800	6.9952501790
1.7308940550	13.3763625700	1.5245341670	1.7308940550	42.3770216000	6.9941301600
1.7549342500	13.2578047700	1.5446872880	1.7549342500	42.3757549100	6.9962186220
1.7789744450	13.0930914200	1.5664049910	1.7789744450	42.3776845200	7.0012396030
1.8030146400	12.9906523400	1.5728116620	1.8030146400	42.3782459600	6.9992840330
1.8270548360	12.9197431400	1.5835327350	1.8270548360	42.3788617800	7.0062547180
1.8510950310	12.7123004900	1.6186743180	1.8510950310	42.3758707300	7.0177658070
1.8751352260	12.6497266200	1.6289409850	1.8751352260	42.3704689600	7.0255655250
1.8991754210	12.5274455400	1.6306216800	1.8991754210	42.3742975500	7.0323241230
1.9232156170	12.2551107100	1.6732877380	1.9232156170	42.3662382400	7.0446711100
1.9472558120	12.1224247900	1.6871774790	1.9472558120	42.3698237500	7.0494113090
1.9712960070	12.0837163000	1.6840023730	1.9712960070	42.3702942500	7.0513131040
1.9953362020	11.9433491700	1.7041684650	1.9953362020	42.3662822900	7.0547151330
2.0193763970	11.8271655500	1.7223272260	2.0193763970	42.3674138200	7.0586345390
2.0434165930	11.7429308000	1.7254505100	2.0434165930	42.3659775900	7.0612072190
2.0674567880	11.5401282000	1.7505299590	2.0674567880	42.3650551900	7.0654433700
2.0914969830	11.4557988800	1.7607505580	2.0914969830	42.3574799700	7.0700320590
2.1155371780	11.3604176500	1.7691964080	2.1155371780	42.3618737700	7.0730200180
2.1395773730	11.2598674000	1.7738139260	2.1395773730	42.3579690500	7.0733862640
2.1636175690	11.2395573500	1.7828012080	2.1636175690	42.3608238000	7.0705606750
2.1876577640	11.1319498100	1.7862975310	2.1876577640	42.3594088500	7.0713291860
2.2116979590	11.0699074900	1.7920526310	2.2116979590	42.3598118800	7.0699493750
2.2357381540	10.9605404700	1.7932307760	2.2357381540	42.3632907100	7.0714038330
2.2597783490	10.9075033500	1.8033961500	2.2597783490	42.3636632500	7.0730357250
2.2838185450	10.8667886900	1.8096374740	2.2838185450	42.3659391700	7.0742977710
2.3078587400	10.7435097700	1.8164698170	2.3078587400	42.3583082800	7.0741866020
2.3318989350	10.7051817500	1.8320643050	2.3318989350	42.3630598400	7.0743664110
2.3559391300	10.6406956400	1.8368581400	2.3559391300	42.3667980500	7.0741987520
2.3799793250	10.4633261300	1.8563640010	2.3799793250	42.3688167300	7.0818737020
2.4040195210	10.3829317800	1.8679228660	2.4040195210	42.3675329900	7.0848235050
2.4280597160	10.3165493300	1.8834608410	2.4280597160	42.3689724400	7.0850729470
2.4520999110	10.2527602600	1.8973910800	2.4520999110	42.3647870800	7.0936354260
2.4761401060	10.1864046700	1.9122689770	2.4761401060	42.3696449400	7.1033432790
2.5001803010	10.0627240000	1.9284739840	2.5001803010	42.3680921100	7.1066461820
2.5242204970	10.0417823000	1.9319087240	2.5242204970	42.3673051000	7.1093821650
2.5482606920	10.0236172300	1.9359009650	2.5482606920	42.3671979700	7.1118195620
2.5723008870	9.9613009710	1.9461246110	2.5723008870	42.3685494700	7.1148313600
2.5963410820	9.8818436400	1.9618324930	2.5963410820	42.3694223500	7.1199204330
2.6203812770	9.8680531210	1.9626881930	2.6203812770	42.3706007200	7.1205992000
2.6444214730	9.8115905010	1.9667281100	2.6444214730	42.3739416600	7.1212644700
2.6684616680	9.7266735310	1.9810361240	2.6684616680	42.3767195700	7.1232050610
2.6925018630	9.7096210140	1.9852630430	2.6925018630	42.3764518100	7.1238675360
2.7165420580	9.6423926940	1.9913951100	2.7165420580	42.3760303900	7.1254420580
2.7405822540	9.5954421950	1.9954490490	2.7405822540	42.3767359800	7.1267969520
2.7646224490	9.4936157170	2.0111747020	2.7646224490	42.3794400400	7.1281174550
2.7886626440	9.3840637310	2.0206832500	2.7886626440	42.3802050800	7.1308084020
2.8127028390	9.3456884750	2.0273011060	2.8127028390	42.3778315600	7.1319771030
2.8367430340	9.3426929230	2.0214200320	2.8367430340	42.3782472600	7.1322877720
2.8607832300	9.3288160630	2.0148103950	2.8607832300	42.3803740700	7.1308527340
2.8848234250	9.3082028330	2.0187965150	2.8848234250	42.3793621700	7.1311886060
2.9088636200	9.2971751060	2.0197927130	2.9088636200	42.3784344800	7.1311754480
2.9329038150	9.2837863470	2.0191914840	2.9329038150	42.3793640600	7.1308759590
2.9569440100	9.2405224400	2.0162071060	2.9569440100	42.3796583200	7.1317451870
2.9809842060	9.0987212700	2.0381303360	2.9809842060	42.3805197500	7.1338553520
3.0050244010	9.0328045180	2.0461349730	3.0050244010	42.3819473600	7.1350443430
3.0290645960	8.8406601310	2.0718037490	3.0290645960	42.3822681800	7.1402774920
3.0531047910	8.8002929930	2.0775597110	3.0531047910	42.3828965200	7.1418806730
3.0771449860	8.7072162920	2.0886961190	3.0771449860	42.3833566800	7.1478813280
3.1011851820	8.6292339080	2.1042534900	3.1011851820	42.3840440800	7.1589559910
3.1252253770	8.5495231510	2.1087178750	3.1252253770	42.3767267100	7.1681373920
3.1492655720	8.4709779520	2.1172346850	3.1492655720	42.3789136100	7.1840502950
3.1733057670	8.3372196100	2.1359589250	3.1733057670	42.3836391000	7.1962014130
3.1973459620	8.2398213540	2.1453484200	3.1973459620	42.3874083000	7.1993171290
3.2213861580	8.0939726610	2.1550842290	3.2213861580	42.3871661000	7.2028043210
3.2454263530	7.9663652530	2.1634433960	3.2454263530	42.3910798100	7.2046130190
3.2694665480	7.8375866490	2.1808032970	3.2694665480	42.3927232700	7.2075185810
3.2935067430	7.7296755560	2.1839383160	3.2935067430	42.3939623200	7.2097894280
3.3175469380	7.6738406040	2.1951758390	3.3175469380	42.3951142000	7.2124843850
3.3415871340	7.5658962240	2.1928111110	3.3415871340	42.3983350000	7.2167673320
3.3656273290	7.3801183890	2.2176647620	3.3656273290	42.4026752400	7.2311568090
3.3896675240	7.2899341200	2.2344773860	3.3896675240	42.3939565000	7.2400208700
3.4137077190	7.2422348580	2.2464071340	3.4137077190	42.3945892800	7.2506338980
3.4377479150	7.1357104710	2.2509628230	3.4377479150	42.3983101800	7.2614340500
3.4617881100	7.0185903890	2.2661244180	3.4617881100	42.4003365800	7.2674052480
3.4858283050	6.7762017780	2.2612800520	3.4858283050	42.4042803500	7.2756724150
3.5098685000	6.7082181140	2.2669433310	3.5098685000	42.4040459900	7.2773512410
3.5339086950	6.5375656900	2.2834645770	3.5339086950	42.4076225500	7.2821543090
3.5579488910	6.1786684480	2.3299067270	3.5579488910	42.4145828700	7.3060636000
3.5819890860	6.0254550540	2.3436237880	3.5819890860	42.4068699700	7.3251976250
3.6060292810	5.8294056400	2.3651267950	3.6060292810	42.4103549300	7.3433990550
3.6300694760	5.7301543370	2.3750859540	3.6300694760	42.4151493700	7.3480946940
3.6541096710	5.6003993260	2.3927110160	3.6541096710	42.4172025900	7.3515947240
3.6781498670	5.5643748290	2.3930853880	3.6781498670	42.4177141600	7.3527832290
3.7021900620	5.4410553090	2.4092409030	3.7021900620	42.4216299700	7.3597946180
3.7262302570	5.3895304830	2.4198984810	3.7262302570	42.4232781800	7.3612524080
3.7502704520	5.3155299620	2.4278246850	3.7502704520	42.4287798900	7.3654697250
3.7743106470	5.1336996500	2.4440475370	3.7743106470	42.4316755200	7.3754969280
3.7983508430	5.0353943320	2.4441024510	3.7983508430	42.4412638100	7.3831046360
3.8223910380	4.8056879380	2.4664068920	3.8223910380	42.4352929900	7.4034897820
3.8464312330	4.6756444820	2.4800862910	3.8464312330	42.4387417600	7.4123724000
3.8704714280	4.5047324130	2.4939081860	3.8704714280	42.4393474000	7.4188248260
3.8945116230	4.1518094650	2.5209234920	3.8945116230	42.4427495200	7.4269481310
3.9185518190	4.0787853370	2.5197984750	3.9185518190	42.4428331000	7.4298873490
3.9425920140	3.7594421150	2.5491534590	3.9425920140	42.4517838200	7.4457295720
3.9666322090	3.4536258980	2.5713116320	3.9666322090	42.4514894400	7.4738709270
3.9906724040	3.3809344260	2.5834678430	3.9906724040	42.4513969300	7.4806446510
4.0147125990	3.2546650310	2.5996117770	4.0147125990	42.4543234400	7.4904422340
4.0387527950	3.0551551760	2.6291521530	4.0387527950	42.4643669000	7.4988352550
4.0627929900	3.0184587100	2.6328336200	4.0627929900	42.4677796200	7.4987776940
