"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
5.9800	-0.217587	-0.895538	1.11883	0.456384	-0.745932	3.32703	-0.715878	0.894027	1.30038	1699.37	-8.09074	-39.9819	-42.1143	0.00095549	-0.900197
5.9807	-0.217587	-0.286075	1.42392	0.151464	-3.79634	1.49638	-0.410275	0.894027	1.30038	1699.98	-6.10909	-39.9819	-41.5039	0.000497553	-44.2482
5.9813	1.00282	0.324944	0.813744	-0.153955	-4.40475	0.885711	0.199997	0.588321	1.30038	1700.87	-3.50599	-39.2181	-40.5884	0.00034505	-28.8409
5.9820	1.00282	0.0202118	0.813744	-0.458875	-4.10054	-0.0299549	-0.410275	-0.0219933	1.30655	1700.76	-2.28651	-39.8228	-40.5884	0.000497553	-34.1729
5.9827	-0.522849	-0.286075	1.42392	-1.06921	-4.10054	-1.86061	-0.715878	-0.3266	1.30655	1697.86	-3.96329	-42.8779	-43.1824	-0.000417894	-36.0079
5.9833	-2.04852	-0.286075	0.813744	-1.37463	-5.32154	-1.86061	-0.105606	-0.3266	1.31247	1695.85	-5.48763	-45.1692	-45.4712	-0.00102833	-34.7961
5.9840	-1.43864	-0.286075	0.813744	-1.06921	-8.37194	-0.639945	0.504666	-0.3266	1.31247	1695.12	-5.95666	-46.3892	-46.5393	-0.000570397	-35.2462
5.9847	0.0876748	-0.286075	2.33971	-0.458875	-9.28873	-0.0299549	0.199997	-0.0219933	1.31247	1694.62	-5.95666	-47.153	-47.1497	-0.000875617	-35.5578
5.9853	0.697559	0.324944	2.6448	0.151464	-2.27113	1.19071	-0.410275	0.588321	1.31864	1695.68	-4.72546	-46.3892	-46.0815	-0.000570397	-35.1077
5.9860	0.0876748	0.324944	2.33971	0.456384	10.243	0.885711	-0.410275	-0.0219933	1.31247	1697.52	-2.89625	-44.4055	-44.2505	0.000497553	-33.7228
5.9867	-0.828111	0.324944	1.11883	-0.153955	11.464	-0.33495	-0.715878	-0.3266	1.31864	1698.03	-1.67678	-43.7902	-43.4875	0.000497553	-33.7228
5.9873	-0.522849	0.629675	-0.407129	0.151464	3.52963	-0.33495	-0.410275	-0.0219933	1.31864	1697.52	-1.82921	-44.554	-43.7927	-0.000112674	-34.4845
5.9880	0.0876748	0.935962	-1.628	0.456384	-0.745932	-0.0299549	0.199997	0.283713	1.31247	1695.68	-3.65842	-46.3892	-45.0134	-0.00118084	-35.6963
5.9887	-0.522849	0.629675	-2.23818	-0.153955	-0.437558	-0.0299549	0.199997	0.283713	1.31247	1694.96	-5.18276	-47.3015	-46.2341	-0.00179128	-36.458
5.9893	-1.43864	0.0202118	-1.01731	-0.153955	0.475063	0.580716	-0.410275	0.283713	1.31864	1696.63	-4.72546	-46.0815	-45.4712	-0.00026539	-34.9346
5.9900	-1.74326	0.324944	0.813744	0.456384	1.08764	0.580716	-0.715878	0.588321	1.31247	1696.91	-4.87789	-45.4663	-44.8608	0.00095549	-33.5843
5.9907	-1.74326	0.324944	2.33971	0.151464	1.08764	-0.0299549	-0.715878	0.588321	1.31247	1696.3	-6.5664	-46.3892	-45.7764	0.00110799	-34.346
5.9913	-1.13337	0.0202118	2.33971	-0.764293	-1.05014	-0.0299549	-0.715878	0.283713	1.31864	1696.18	-7.9383	-47.3015	-46.2341	0.00110799	-34.7961
5.9920	-0.217587	-0.286075	0.508654	-0.458875	-1.96276	0.275721	-0.105606	-0.0219933	1.31864	1695.85	-8.24317	-46.8453	-45.929	0.00065027	-34.346
5.9927	-0.522849	0.0202118	-0.10204	0.151464	-0.437558	0.580716	0.504666	0.283713	1.31247	1696.46	-7.17613	-45.3178	-44.7083	0.00034505	-34.0344
5.9933	-0.828111	0.0202118	0.203049	0.151464	1.39185	0.580716	0.81027	0.283713	1.31247	1697.86	-6.10909	-44.8616	-43.4875	0.000192546	-34.623
5.9940	-0.522849	0.629675	0.508654	-0.153955	3.83384	0.275721	0.81027	-0.3266	1.31864	1699.37	-5.7925	-44.0978	-42.2668	0.00065027	-34.623
5.9947	-0.217587	0.935962	1.42392	-0.153955	5.66325	0.580716	0.504666	-0.3266	1.31864	1699.81	-4.87789	-43.1855	-41.9617	0.00110799	-33.7228
5.9953	-0.828111	0.324944	2.33971	0.456384	5.97162	0.885711	0.504666	-0.0219933	1.31864	1698.75	-4.26816	-43.6417	-43.4875	0.00065027	-34.1729
5.9960	0.392937	-0.895538	1.42392	0.761802	5.97162	-0.0299549	0.199997	-0.632307	1.32481	1698.58	-4.57303	-44.2463	-30.9753	0.000497553	-34.623
5.9967	1.30808	-0.895538	0.813744	0.456384	6.58004	-0.33495	0.199997	-0.632307	1.32481	1698.58	-3.65842	-44.8616	-54.9316	0.000192546	-34.346
5.9973	0.0876748	-0.590806	2.0341	0.456384	7.19262	-0.0299549	1.42054	-0.632307	1.32481	1698.3	-2.13408	-44.8616	-76.9043	0.00034505	-34.1729
5.9980	0.0876748	-0.895538	1.42392	-0.458875	5.97162	0.885711	1.11494	-0.3266	1.32481	1698.3	-1.21947	-43.9493	104.065	0.000802774	-33.7228
5.9987	1.30808	-1.50656	-1.01731	-1.67955	3.83384	0.885711	0.504666	0.588321	1.33098	1698.3	-0.609737	-44.2463	-287.018	0.00034505	-33.7228
5.9993	2.22387	-2.11602	-2.54327	-1.37463	0.475063	-0.0299549	0.504666	0.283713	1.33098	1699.09	0.304868	-44.2463	117.035	0.00095549	-33.8613
6.0000	1.91861	-3.3365	-2.84836	-1.06921	-3.49213	-0.33495	0.199997	-0.0219933	1.33098	1700.15	1.98164	-42.5703	3301.85	0.00171843	-33.5843
6.0007	1.91861	-2.72704	-2.23818	-0.153955	-5.01733	0.275721	0.199997	0.283713	1.33691	1700.59	3.04868	-42.1141	4999.85	0.00095549	-34.346
6.0013	1.91861	0.935962	-1.628	1.37214	-2.57534	0.885711	0.504666	-0.0219933	1.33691	1700.31	3.35355	-42.5703	4973.6	-0.000112674	-35.2462
6.0020	1.00282	3.68166	-0.712219	1.67706	0.783437	0.885711	0.504666	-0.632307	1.33691	1699.98	3.65842	-42.5703	4926.3	0.000192546	-34.346
6.0027	0.697559	3.07219	-0.712219	1.06672	2.00443	-0.33495	0.199997	-0.0219933	1.33691	1699.37	3.20112	-43.4826	4999.85	0.00110799	-33.7228
6.0033	-0.217587	2.15644	-1.628	0.456384	1.08764	-0.33495	0.504666	0.588321	1.33691	1697.52	1.82921	-45.7739	4987.64	0.000497553	-34.4845
