"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	-1.40004	-1.59053	-0.0906229	-0.656625	2.03643	6.89841	2.69575	-1.59141	-0.0224883	-12.9701	-11.7491	-13.1227	-12.512	0.00734608	-72.1764
0.0007	-1.09271	-0.368429	-0.0906229	-1.87668	-0.410571	11.7811	3.31352	-0.981214	-0.0224883	-13.2752	-12.0546	-13.4278	-12.6646	0.00719616	-59.3627
0.0013	-0.478061	-0.065149	-0.0906229	-2.18169	-3.76083	5.06692	1.17939	-0.676115	-0.0285789	-13.2752	-12.0546	-13.5804	-13.1227	0.00627522	-42.2621
0.0020	-0.478061	-0.368429	-0.0906229	-1.57166	-6.50345	2.62593	-1.85333	-0.981214	-0.0224883	-12.9701	-11.7491	-13.1227	-13.1227	0.00627522	-58.291
0.0027	-0.785386	-0.673955	0.521082	-0.656625	-6.81548	2.01569	-3.36968	-0.371016	-0.0224883	-12.9701	-12.0546	-13.2753	-12.9701	0.00689632	-52.6529
0.0033	-0.785386	-0.979482	1.13279	-0.351612	-5.28816	-0.42605	-2.75191	-0.0659165	-0.0163977	-12.9701	-12.3597	-13.2753	-13.1227	0.00719616	-52.187
0.0040	-1.09271	-0.979482	1.43864	-0.656625	-4.07286	-2.56229	-0.617775	-1.28631	-0.0163977	-12.9701	-12.2072	-12.9702	-12.9701	0.00719616	-52.4898
0.0047	-1.70736	-0.979482	2.05034	-0.656625	-3.15319	-2.86779	1.51636	-2.50671	-0.0224883	-13.1227	-12.3597	-13.2753	-12.512	0.00689632	-52.6529
0.0053	-2.01469	-0.673955	2.66205	-0.961637	-4.36848	-2.25679	2.69575	-2.20161	-0.0224883	-13.1227	-12.3597	-13.5804	-12.8176	0.00642514	-53.0956
0.0060	-1.70736	-0.368429	2.05034	-0.961637	-6.81548	-2.25679	2.13413	-2.20161	-0.0163977	-13.1227	-12.3597	-13.2753	-13.1227	0.00642514	-53.2586
0.0067	-1.70736	-0.065149	1.43864	-0.351612	-3.46522	-1.95204	0.561614	-3.11691	-0.0224883	-12.9701	-12.3597	-13.2753	-12.9701	0.0067464	-53.2586
0.0073	-2.01469	0.240377	1.13279	0.26265	1.7244	-2.25679	-0.0561614	-4.03221	-0.0224883	-12.9701	-12.0546	-13.2753	-12.8176	0.00657506	-53.0956
0.0080	-1.70736	1.46248	1.13279	-0.961637	2.64408	-2.25679	-1.57252	-3.72711	-0.0163977	-13.1227	-12.0546	-12.9702	-12.8176	0.0067464	-52.7927
0.0087	-1.40004	2.07129	0.826934	-1.26665	1.42879	-1.34179	-3.98746	-3.11691	-0.0224883	-12.9701	-11.9021	-12.8172	-12.8176	0.00657506	-52.9558
0.0093	-1.09271	1.76576	0.521082	-0.656625	1.11675	-1.95204	-2.4711	-2.50671	-0.0224883	-12.6646	-11.7491	-13.1227	-12.8176	0.00657506	-53.2586
0.0100	-0.785386	1.15696	0.215229	-0.351612	2.03643	-3.47803	4.54907	-0.981214	-0.0163977	-12.6646	-11.9021	-13.2753	-12.8176	0.00704624	-53.0956
0.0107	0.443914	0.240377	-0.996852	-0.961637	3.56376	-3.47803	6.06543	-0.371016	-0.0163977	-12.9701	-12.0546	-12.9702	-12.8176	0.0067464	-53.0956
0.0113	0.751239	-0.673955	-1.3027	-2.18169	7.22605	-2.86779	-3.98746	-1.28631	-0.0103071	-12.6646	-11.7491	-12.8172	-12.512	0.00642514	-53.2586
0.0120	0.751239	-0.673955	-0.996852	-3.09673	11.184	-2.86779	-10.109	-2.50671	-0.0103071	-12.3595	-11.2914	-12.8172	-12.512	0.00657506	-53.3984
0.0127	0.443914	-1.59053	-0.0906229	-3.09673	9.96867	-1.64654	-1.23555	-3.11691	-0.0103071	-12.6646	-11.444	-13.1227	-12.8176	0.00642514	-53.2586
0.0133	0.136589	-3.42145	1.13279	-2.79171	5.09108	-1.34179	8.19956	-3.42201	-0.0163977	-12.2069	-11.444	-12.9702	-12.512	0.00689632	-52.9558
0.0140	0.136589	-3.72697	1.43864	-2.4867	2.33204	-2.56229	7.30098	-3.11691	-0.0224883	-12.0544	-11.7491	-13.1227	-12.6646	0.00719616	-53.2586
0.0147	0.136589	-2.50487	1.74449	-0.961637	4.1714	-2.86779	3.65049	-1.59141	-0.0163977	-12.512	-12.0546	-13.2753	-12.6646	0.00642514	-53.3984
0.0153	0.443914	-0.368429	1.74449	0.26265	9.04899	-2.56229	0.898582	0.239183	-0.0163977	-12.3595	-11.5965	-13.1227	-12.512	0.00642514	-53.3984
0.0160	1.33174	1.46248	0.521082	-0.351612	10.5763	-1.64654	-2.75191	0.239183	-0.0163977	-12.3595	-11.444	-12.9702	-12.6646	0.0067464	-53.3984
0.0167	2.86837	1.46248	-0.691	-0.961637	9.04899	-0.42605	-8.59269	-0.0659165	-0.0103071	-12.512	-11.5965	-12.8172	-12.512	0.00704624	-53.2586
0.0173	3.79034	0.545904	-1.91441	-0.351612	8.12931	0.184197	-13.1418	0.544282	-0.00421656	-12.6646	-11.444	-12.9702	-12.6646	0.00734608	-53.2586
0.0180	5.01964	-0.065149	-3.13782	0.567663	5.99434	0.184197	-13.7595	1.76468	-0.00421656	-12.6646	-11.444	-13.2753	-12.8176	0.0067464	-53.5615
0.0187	5.01964	-0.368429	-3.74952	0.26265	3.25172	0.794444	-12.524	2.37676	-0.0103071	-12.6646	-12.0546	-13.5804	-12.6646	0.00627522	-53.7013
0.0193	3.79034	-0.368429	-2.83197	-0.656625	0.821142	-0.731547	-15.2759	2.06978	-0.00421656	-12.512	-12.0546	-13.4278	-12.8176	0.00642514	-53.7013
0.0200	2.86837	0.545904	-1.91441	-0.961637	-0.706182	-5.91902	-17.41	2.68186	-0.00421656	-12.6646	-11.7491	-13.1227	-12.8176	0.00642514	-53.3984
0.0207	1.94639	0.545904	-0.996852	-0.656625	-1.01822	-8.6655	-13.7595	3.29206	-0.00421656	-12.6646	-11.5965	-12.9702	-12.3595	0.00657506	-52.9558
0.0213	1.05856	0.240377	-0.691	-1.87668	-0.706182	-6.52927	-8.59269	2.68186	-0.00421656	-12.6646	-12.0546	-13.1227	-12.8176	0.00657506	-53.5615
0.0220	1.63907	0.85143	-1.3027	-3.09673	-0.706182	-5.30877	-4.88604	1.45958	0.00194096	-12.9701	-12.3597	-13.2753	-12.8176	0.00627522	-53.8644
0.0227	2.56104	3.59892	-0.996852	-4.01176	-1.01822	-5.30877	-0.954744	-0.0659165	-0.00421656	-12.9701	-12.2072	-13.2753	-12.8176	0.00627522	-53.7013
0.0233	2.25372	5.12431	-0.0906229	-3.09673	-0.410571	-4.39303	3.65049	-1.89651	-0.00421656	-13.1227	-12.0546	-13.4278	-13.1227	0.0061253	-54.0275
0.0240	1.94639	4.51325	0.826934	2.09273	-0.706182	-3.47803	6.96401	-2.20161	0.00194096	-13.1227	-11.9021	-13.1227	-12.8176	0.00627522	-54.0275
0.0247	0.443914	2.98787	0.826934	6.05789	-3.46522	-3.78278	9.43511	-0.0659165	0.00194096	-12.9701	-12.0546	-13.1227	-12.3595	0.00657506	-53.2586
0.0253	-2.32201	-0.065149	0.826934	3.61779	-7.73516	-3.17253	10.6707	1.45958	0.00194096	-13.2752	-12.5123	-13.4278	-13.1227	0.00597538	-53.3984
