GMfas1MMM			GMextMMM		
t	x	y	t	x	y
0.0000000000	20.4848437700	2.5908727000	0.0000000000	46.1950730100	9.0593839670
0.0238640703	20.4848413400	2.5904665790	0.0238640703	46.1945288700	9.0591748820
0.0477281405	20.4836827400	2.5905051430	0.0477281405	46.1944280700	9.0592236670
0.0715922108	20.4853432000	2.5903279950	0.0715922108	46.1938725500	9.0594305810
0.0954562810	20.4858299900	2.5907444080	0.0954562810	46.1937666400	9.0594632360
0.1193203513	20.4856903400	2.5908689400	0.1193203513	46.1938176800	9.0594796460
0.1431844215	20.4855777100	2.5908562660	0.1431844215	46.1927930400	9.0599064160
0.1670484918	20.4846213100	2.5911514380	0.1670484918	46.1934090700	9.0600524160
0.1909125620	20.4846546300	2.5912937480	0.1909125620	46.1923532600	9.0603049880
0.2147766323	20.4858158200	2.5915109880	0.2147766323	46.1922894800	9.0604092760
0.2386407026	20.4840546100	2.5923371500	0.2386407026	46.1926100600	9.0605888770
0.2625047728	20.4850685700	2.5919168130	0.2625047728	46.1920463700	9.0606594180
0.2863688431	20.4841511600	2.5919788060	0.2863688431	46.1913266900	9.0612677130
0.3102329133	20.4839152400	2.5920228070	0.3102329133	46.1915582500	9.0610832060
0.3340969836	20.4843222800	2.5914074060	0.3340969836	46.1919063900	9.0609048520
0.3579610538	20.4860448200	2.5912851880	0.3579610538	46.1902408500	9.0612760680
0.3818251241	20.4864888000	2.5910834460	0.3818251241	46.1901360200	9.0616241580
0.4056891943	20.4859884200	2.5910543950	0.4056891943	46.1911403100	9.0609963740
0.4295532646	20.4837144000	2.5915065290	0.4295532646	46.1893054700	9.0624173750
0.4534173349	20.4831543900	2.5915899450	0.4534173349	46.1888193700	9.0624257150
0.4772814051	20.4819102300	2.5917044500	0.4772814051	46.1878888100	9.0633411300
0.5011454754	20.4803034900	2.5918508930	0.5011454754	46.1868529000	9.0639979090
0.5250095456	20.4815769400	2.5914746910	0.5250095456	46.1862432900	9.0643174620
0.5488736159	20.4828844700	2.5914042600	0.5488736159	46.1857820900	9.0641218400
0.5727376861	20.4826898000	2.5913168420	0.5727376861	46.1849870000	9.0648003350
0.5966017564	20.4844817900	2.5910565350	0.5966017564	46.1860929900	9.0644464200
0.6204658267	20.4846581800	2.5910655820	0.6204658267	46.1858885600	9.0649664850
0.6443298969	20.4838686100	2.5909877780	0.6443298969	46.1853247500	9.0647746200
0.6681939672	20.4844945000	2.5906711270	0.6681939672	46.1853362100	9.0648659560
0.6920580374	20.4877909100	2.5902490910	0.6920580374	46.1872351300	9.0640123530
0.7159221077	20.4868001100	2.5904172800	0.7159221077	46.1867571700	9.0641770790
0.7397861779	20.4871761500	2.5905018420	0.7397861779	46.1865083200	9.0641296610
0.7636502482	20.4886003000	2.5903510240	0.7636502482	46.1860253300	9.0638630970
0.7875143184	20.4853731800	2.5908331060	0.7875143184	46.1862432700	9.0638429170
0.8113783887	20.4840422800	2.5912818050	0.8113783887	46.1864150900	9.0638379280
0.8352424590	20.4838017900	2.5913721210	0.8352424590	46.1858904300	9.0649980810
0.8591065292	20.4834586700	2.5915416720	0.8591065292	46.1870026800	9.0643748690
0.8829705995	20.4830844600	2.5915805820	0.8829705995	46.1849218700	9.0654536610
0.9068346697	20.4834774900	2.5912224400	0.9068346697	46.1847181600	9.0646606000
0.9306987400	20.4839986200	2.5909118250	0.9306987400	46.1849102000	9.0646522680
0.9545628102	20.4809853300	2.5924297660	0.9545628102	46.1849144000	9.0646013090
0.9784268805	20.4776555000	2.5927762240	0.9784268805	46.1846056400	9.0642929440
1.0022909510	20.4779392600	2.5924280200	1.0022909510	46.1858065200	9.0635838530
1.0261550210	20.4762427000	2.5918377140	1.0261550210	46.1865114900	9.0630611080
1.0500190910	20.4710077300	2.5924372070	1.0500190910	46.1863406400	9.0624470870
1.0738831620	20.4498687700	2.5950575120	1.0738831620	46.1860918100	9.0625082850
1.0977472320	20.4371455700	2.5985323100	1.0977472320	46.1849365400	9.0626032070
1.1216113020	20.3705163200	2.6099660290	1.1216113020	46.1845360100	9.0618035350
1.1454753720	20.2270607600	2.6150235440	1.1454753720	46.1841640700	9.0587334640
1.1693394430	20.1888724600	2.6214309510	1.1693394430	46.1838464300	9.0575522470
1.1932035130	20.1038640800	2.6274951680	1.1932035130	46.1826635700	9.0553699000
1.2170675830	20.0737362700	2.6085435580	1.2170675830	46.1828634400	9.0509980910
1.2409316530	20.0207357000	2.6033403920	1.2409316530	46.1842321200	9.0482101650
1.2647957240	19.9988532500	2.6014369460	1.2647957240	46.1812417300	9.0478650940
1.2886597940	19.9785182400	2.6041487820	1.2886597940	46.1824560000	9.0462060240
1.3125238640	19.9577192100	2.6068725970	1.3125238640	46.1840065900	9.0448448030
1.3363879340	19.9451153000	2.6069401490	1.3363879340	46.1818796600	9.0468132880
1.3602520050	19.9168730700	2.6057142530	1.3602520050	46.1834418800	9.0453668010
1.3841160750	19.8523197400	2.6081037240	1.3841160750	46.1832958400	9.0396806550
1.4079801450	19.7837107800	2.5910690150	1.4079801450	46.1752798100	9.0194393300
1.4318442150	19.7239166300	2.5839032820	1.4318442150	46.1772023500	9.0084143450
1.4557082860	19.6057733300	2.5931590290	1.4557082860	46.1743085000	9.0006473050
1.4795723560	19.4544950300	2.6145996980	1.4795723560	46.1758509200	8.9937536900
1.5034364260	19.2662679200	2.6331953750	1.5034364260	46.1775682400	8.9898411570
1.5273004960	19.2405809700	2.6079609610	1.5273004960	46.1801018100	8.9870813640
1.5511645670	19.0231035600	2.6244875050	1.5511645670	46.1825138400	8.9817850470
1.5750286370	18.8898207600	2.6307740760	1.5750286370	46.1839328600	8.9777462830
1.5988927070	18.8047857100	2.5968409180	1.5988927070	46.1816769600	8.9737644370
1.6227567770	18.6845550300	2.6041812010	1.6227567770	46.1855309100	8.9668271740
1.6466208480	18.5552037900	2.6176584360	1.6466208480	46.1853354400	8.9610689590
1.6704849180	18.4030142500	2.6389872800	1.6704849180	46.1859992400	8.9534826030
1.6943489880	18.3027311800	2.6522482090	1.6943489880	46.1712109200	8.9486715150
1.7182130580	18.2514014600	2.6252090890	1.7182130580	46.1688202400	8.9328805740
1.7420771290	17.9547386200	2.6425457780	1.7420771290	46.1733844300	8.9174157180
1.7659411990	17.8697527900	2.6558630110	1.7659411990	46.1724641200	8.9149696270
1.7898052690	17.7052955900	2.6623816690	1.7898052690	46.1779618100	8.9082141900
1.8136693390	17.5523357500	2.6732971850	1.8136693390	46.1808719700	8.9036771660
1.8375334100	17.3606669200	2.6928682080	1.8375334100	46.1859291200	8.8983643300
1.8613974800	17.2287895900	2.7112192380	1.8613974800	46.1845462300	8.8936275320
1.8852615500	17.0873624800	2.7239498430	1.8852615500	46.1909042800	8.8813377260
1.9091256200	17.0432955900	2.6990117580	1.9091256200	46.1895809900	8.8785170960
1.9329896910	16.9068806600	2.7058192760	1.9329896910	46.1592648300	8.8706197370
1.9568537610	16.8393188300	2.7147732770	1.9568537610	46.1586797100	8.8631706270
1.9807178310	16.6375821000	2.7437350380	1.9807178310	46.1649866900	8.8486739140
2.0045819010	16.5376745300	2.7589512650	2.0045819010	46.1673015100	8.8459363760
2.0284459720	16.4334106500	2.7769052640	2.0284459720	46.1675429500	8.8397830670
