GMfasBEST1MMM			GMext		
t	x	y	t	x	y
0.0000000000	21.6414759900	2.0140710060	0.0000000000	46.0734318700	10.6344178400
0.0237834752	21.6429560000	2.0143634750	0.0237834752	46.0722474300	10.6350481600
0.0475669505	21.6477490300	2.0161557660	0.0475669505	46.0727535700	10.6349575400
0.0713504257	21.6480275600	2.0159098040	0.0713504257	46.0733359300	10.6346835300
0.0951339010	21.6444855700	2.0158280860	0.0951339010	46.0721732000	10.6352882400
0.1189173762	21.6415636600	2.0153266300	0.1189173762	46.0721348700	10.6352246500
0.1427008514	21.6452494000	2.0149010770	0.1427008514	46.0716720500	10.6356331700
0.1664843267	21.6496805400	2.0143993950	0.1664843267	46.0730340800	10.6349722000
0.1902678019	21.6571800600	2.0139388100	0.1902678019	46.0730739800	10.6348627500
0.2140512772	21.6573591700	2.0142461730	0.2140512772	46.0732708200	10.6352832000
0.2378347524	21.7000413000	2.0074198130	0.2378347524	46.0721562300	10.6355273700
0.2616182277	21.7117938600	2.0048296990	0.2616182277	46.0728099500	10.6353238300
0.2854017029	21.7176685500	2.0036305820	0.2854017029	46.0728961000	10.6351067600
0.3091851781	21.7513745700	2.0008296330	0.3091851781	46.0723618200	10.6360716000
0.3329686534	21.7492567800	2.0002559520	0.3329686534	46.0724267000	10.6358159900
0.3567521286	21.7581354200	1.9988387460	0.3567521286	46.0716784900	10.6363186900
0.3805356039	21.7893022200	1.9934898070	0.3805356039	46.0717123100	10.6363184600
0.4043190791	21.8072107900	1.9903351830	0.4043190791	46.0724940300	10.6363745400
0.4281025543	21.8158522000	1.9892294270	0.4281025543	46.0721784600	10.6362573700
0.4518860296	21.8295564500	1.9894976770	0.4518860296	46.0717113900	10.6366907400
0.4756695048	21.8617371600	1.9847356430	0.4756695048	46.0721417400	10.6363848500
0.4994529801	21.8865050300	1.9808424610	0.4994529801	46.0738336500	10.6357559000
0.5232364553	21.8791977600	1.9776090350	0.5232364553	46.0726736100	10.6357608200
0.5470199306	21.8768850600	1.9773226530	0.5470199306	46.0720235200	10.6359667400
0.5708034058	21.8839615000	1.9775613150	0.5708034058	46.0735817200	10.6358301400
0.5945868810	21.8868767600	1.9765833530	0.5945868810	46.0738524000	10.6356698700
0.6183703563	21.8790180100	1.9759399770	0.6183703563	46.0741712800	10.6350179500
0.6421538315	21.8743841700	1.9756417570	0.6421538315	46.0736481200	10.6348327000
0.6659373068	21.8668780100	1.9758586450	0.6659373068	46.0736734300	10.6347522500
0.6897207820	21.8470560800	1.9743324250	0.6897207820	46.0734841200	10.6340816700
0.7135042572	21.8374689100	1.9730539640	0.7135042572	46.0737759300	10.6337294100
0.7372877325	21.8241267600	1.9744292740	0.7372877325	46.0734393800	10.6333383800
0.7610712077	21.7823503700	1.9804338990	0.7610712077	46.0747883800	10.6324584500
0.7848546830	21.7579317100	1.9780583860	0.7848546830	46.0751187200	10.6322905700
0.8086381582	21.7302060100	1.9791380410	0.8086381582	46.0748197700	10.6324462500
0.8324216334	21.6989908700	1.9861012100	0.8324216334	46.0738881500	10.6326414600
0.8562051087	21.6849934300	1.9906572770	0.8562051087	46.0726879700	10.6332700000
0.8799885839	21.6863084100	1.9935526960	0.8799885839	46.0721975500	10.6333697600
0.9037720592	21.6192555800	1.9975537220	0.9037720592	46.0718501200	10.6332779400
0.9275555344	21.5878589400	1.9973823680	0.9275555344	46.0717204800	10.6322460300
0.9513390097	21.5507075500	2.0029388660	0.9513390097	46.0727332000	10.6320734900
0.9751224849	21.5395504900	1.9868291040	0.9751224849	46.0742339900	10.6302566100
0.9989059601	21.4408313600	1.9702659540	0.9989059601	46.0727963400	10.6282007300
1.0226894350	21.3912814400	1.9680074830	1.0226894350	46.0766835800	10.6278003100
1.0464729110	21.3331488000	1.9322040530	1.0464729110	46.0752612600	10.6264985400
1.0702563860	21.2613002100	1.9165010250	1.0702563860	46.0741812100	10.6258170200
1.0940398610	21.2321383100	1.9126017210	1.0940398610	46.0760593600	10.6259934300
1.1178233360	21.2245107000	1.8844181030	1.1178233360	46.0752267300	10.6256896900
1.1416068120	21.1703440600	1.8720166640	1.1416068120	46.0763576100	10.6250483200
1.1653902870	21.0681062000	1.8755918450	1.1653902870	46.0767744900	10.6227513500
1.1891737620	21.0344953700	1.8838344930	1.1891737620	46.0758165500	10.6256989300
1.2129572370	20.7945026900	1.9111470150	1.2129572370	46.0740392700	10.6243581700
1.2367407130	20.7587419000	1.8884627090	1.2367407130	46.0727884000	10.6251681700
1.2605241880	20.6113010500	1.8938377780	1.2605241880	46.0760087600	10.6253584800
1.2843076630	20.5031460400	1.9068553660	1.2843076630	46.0740184400	10.6268960800
1.3080911380	20.3814991200	1.9095958530	1.3080911380	46.0743704400	10.6269810600
1.3318746140	20.2767483600	1.8888306920	1.3318746140	46.0752016100	10.6227286700
1.3556580890	20.1308199000	1.9020680960	1.3556580890	46.0757968500	10.6248728000
1.3794415640	19.9905896100	1.9021396810	1.3794415640	46.0745102900	10.6207858400
1.4032250390	19.9089441600	1.8891745150	1.4032250390	46.0756076000	10.6214462900
1.4270085140	19.7472668000	1.9041429620	1.4270085140	46.0758979300	10.6216485200
1.4507919900	19.4840730600	1.9347594610	1.4507919900	46.0757638700	10.6177442300
1.4745754650	19.3651854200	1.9244779250	1.4745754650	46.0772547800	10.6164248900
1.4983589400	18.9639872600	1.9585443980	1.4983589400	46.0543981400	10.5944846400
1.5221424150	18.8751383700	1.9731830700	1.5221424150	46.0554588500	10.5747128900
1.5459258910	18.7269030700	1.9992677850	1.5459258910	46.0550272000	10.5668666400
1.5697093660	18.5678735200	2.0222766180	1.5697093660	46.0589521500	10.5615350600
1.5934928410	18.4080306100	2.0546249090	1.5934928410	46.0617043900	10.5584573100
1.6172763160	18.1972059500	2.0857649750	1.6172763160	46.0591103000	10.5569212600
1.6410597920	18.0955723600	2.1078392480	1.6410597920	46.0595450700	10.5567182700
1.6648432670	18.0618390400	2.0767057160	1.6648432670	46.0596561800	10.5529575200
1.6886267420	18.0461481600	2.0682982680	1.6886267420	46.0601641400	10.5547109200
1.7124102170	17.8413126900	2.0879034460	1.7124102170	46.0576200400	10.5501080400
1.7361936930	17.6945620500	2.1111939500	1.7361936930	46.0576533000	10.5484117300
1.7599771680	17.6417409200	2.1260613060	1.7599771680	46.0581505900	10.5517521500
1.7837606430	17.5039239600	2.1551785410	1.7837606430	46.0577739900	10.5513042000
1.8075441180	17.3619138900	2.1799315440	1.8075441180	46.0583704800	10.5501745300
1.8313275940	17.0295650900	2.2564669450	1.8313275940	46.0579722800	10.5327154800
1.8551110690	16.9220665400	2.2824501490	1.8551110690	46.0590953800	10.5366701300
1.8788945440	16.5769233800	2.3481315420	1.8788945440	46.0569988400	10.5307932200
1.9026780190	16.3239823400	2.3822157160	1.9026780190	46.0553917500	10.5352817700
1.9264614950	15.9717703000	2.4172982010	1.9264614950	46.0340463100	10.5249241400
1.9502449700	15.7653011800	2.4564613870	1.9502449700	46.0383128400	10.5040615600
1.9740284450	15.3812952000	2.5234949960	1.9740284450	46.0392624800	10.4918946800
1.9978119200	15.2896095900	2.5475288220	1.9978119200	46.0405658800	10.4896540300
2.0215953960	15.1174298200	2.5758072070	2.0215953960	46.0419175700	10.4875111800
2.0453788710	14.9847382300	2.5944108680	2.0453788710	46.0473360200	10.4843424700
2.0691623460	14.9647606300	2.5964175860	2.0691623460	46.0478729500	10.4848906700
2.0929458210	14.9499033100	2.5965269370	2.0929458210	46.0472066900	10.4850953500
2.1167292960	14.9188692200	2.5616923310	2.1167292960	46.0460980000	10.4848210000
2.1405127720	14.6552213900	2.5735306890	2.1405127720	46.0451799600	10.4824767700
2.1642962470	14.4980057000	2.5907660210	2.1642962470	46.0432224200	10.4808775800
