SOLfas2BEST			SOLext					
t	x	y	t	x	y			
0.0	7.663157728	10.06315768	0.0	27.07499941	13.9124997			
0.02355490649	7.663229041	10.06310501	0.02355490649	27.07569783	13.9109895			
0.04710981297	7.663012241	10.06272363	0.04710981297	27.07575838	13.91106745			
0.07066471946	7.662352601	10.06304247	0.07066471946	27.07422481	13.91147722			
0.09421962595	7.662894614	10.06283269	0.09421962595	27.07458134	13.91155896			
0.1177745324	7.663242861	10.06264799	0.1177745324	27.07480222	13.9112234			
0.1413294389	7.662834359	10.06291944	0.1413294389	27.07439539	13.91066963			
0.1648843454	7.66358702	10.06286	0.1648843454	27.07509359	13.91185245			
0.1884392519	7.664500533	10.06243434	0.1884392519	27.07509174	13.91142036			
0.2119941584	7.663792546	10.06245468	0.2119941584	27.07371366	13.91138728			
0.2355490649	7.664137667	10.06252966	0.2355490649	27.07373969	13.91143811			
0.2591039714	7.664499512	10.06271611	0.2591039714	27.0755125	13.9113701			
0.2826588778	7.664624216	10.06258957	0.2826588778	27.07505314	13.91140263			
0.3062137843	7.664356093	10.06273473	0.3062137843	27.07440897	13.91135729			
0.3297686908	7.665051019	10.06241298	0.3297686908	27.07548355	13.9113723			
0.3533235973	7.66407761	10.0625069	0.3533235973	27.0751449	13.91138763			
0.3768785038	7.664039368	10.06244341	0.3768785038	27.07484529	13.91151992			
0.4004334103	7.664785216	10.06206397	0.4004334103	27.07457579	13.91177883			
0.4239883168	7.664921318	10.06194239	0.4239883168	27.074164	13.91110157			
0.4475432233	7.66470385	10.06233774	0.4475432233	27.0755664	13.91066779			
0.4710981297	7.665394091	10.06206457	0.4710981297	27.07448733	13.91123655			
0.4946530362	7.664574647	10.06281944	0.4946530362	27.07580748	13.9113403			
0.5182079427	7.665167268	10.06242285	0.5182079427	27.07446398	13.91153237			
0.5417628492	7.666435468	10.06160438	0.5417628492	27.07448368	13.91081851			
0.5653177557	7.664709366	10.06228934	0.5653177557	27.07621169	13.91093639			
0.5888726622	7.666248489	10.06228069	0.5888726622	27.07467594	13.91104368			
0.6124275687	7.665163582	10.06217577	0.6124275687	27.07507958	13.91122444			
0.6359824751	7.66542518	10.06238139	0.6359824751	27.07441248	13.91067255			
0.6595373816	7.66447474	10.06197834	0.6595373816	27.07480471	13.91107709			
0.6830922881	7.665616027	10.06176733	0.6830922881	27.07510716	13.91113278			
0.7066471946	7.666279747	10.06166384	0.7066471946	27.07469539	13.91105236			
0.7302021011	7.666560861	10.0615361	0.7302021011	27.0749592	13.91129516			
0.7537570076	7.666115788	10.06173613	0.7537570076	27.07432195	13.91083679			
0.7773119141	7.665835116	10.06125768	0.7773119141	27.07536743	13.91116164			
0.8008668206	7.664447256	10.06182762	0.8008668206	27.07523246	13.91186666			
0.824421727	7.66552785	10.06158969	0.824421727	27.07536782	13.91116046			
0.8479766335	7.662968423	10.06159555	0.8479766335	27.07471921	13.9118339			
0.87153154	7.661160305	10.06216536	0.87153154	27.07408942	13.91138612			
0.8950864465	7.658928589	10.06276275	0.8950864465	27.07434985	13.9109709			
0.918641353	7.660042976	10.06264101	0.918641353	27.0755505	13.91164043			
0.9421962595	7.661491286	10.06338647	0.9421962595	27.07506685	13.91131715			
0.965751166	7.65977338	10.06297302	0.965751166	27.07373247	13.91143383			
0.9893060725	7.661397624	10.06320057	0.9893060725	27.07619861	13.91183025			
1.012860979	7.661515243	10.06314452	1.012860979	27.07514269	13.91211877			
1.036415885	7.657611549	10.06475492	1.036415885	27.07554173	13.91167547			
1.059970792	7.655184076	10.06509733	1.059970792	27.07571189	13.91143987			
1.083525698	7.64716171	10.06733533	1.083525698	27.07688201	13.91100243			
1.107080605	7.543960355	10.07290151	1.107080605	27.07669268	13.91103747			
1.130635511	7.519420854	10.07877719	1.130635511	27.07597509	13.91287361			
1.154190418	7.482509018	10.09751205	1.154190418	27.07571751	13.91229527			
1.177745324	7.48600715	10.12504925	1.177745324	27.07677546	13.91150414			
1.201300231	7.460326301	10.12630979	1.201300231	27.07698097	13.9128211			
1.224855137	7.429183013	10.13433839	1.224855137	27.07606449	13.91212918			
1.248410044	7.385023198	10.13982188	1.248410044	27.07555331	13.91151217			
1.27196495	7.28085333	10.14537079	1.27196495	27.07572429	13.91196972			
1.295519857	7.26672874	10.1448097	1.295519857	27.07267367	13.91194674			
1.319074763	7.232341806	10.14572568	1.319074763	27.0732293	13.90974684			
1.34262967	7.169462089	10.14766302	1.34262967	27.06279889	13.91194164			
1.366184576	7.144982108	10.14922803	1.366184576	27.06233431	13.9121947			
1.389739483	7.117002986	10.16076435	1.389739483	27.05684003	13.9136822			
1.413294389	7.102964187	10.16308703	1.413294389	27.04693336	13.9156143			
1.436849296	7.087334285	10.15998162	1.436849296	27.04531272	13.91602971			
1.460404202	7.057625798	10.16616637	1.460404202	27.04626683	13.9155284			
1.483959109	7.047590393	10.16438003	1.483959109	27.04579493	13.91486095			
1.507514015	7.042737145	10.19342966	1.507514015	27.03233658	13.91230812			
1.531068922	6.997702135	10.20069234	1.531068922	27.02174348	13.91334321			
1.554623828	6.915036192	10.20483116	1.554623828	27.01934223	13.91511484			
1.578178735	6.859269132	10.20889191	1.578178735	27.01732646	13.91858191			
1.601733641	6.773220645	10.21708963	1.601733641	27.00955223	13.92170111			
1.625288548	6.725135583	10.21458864	1.625288548	27.00625987	13.92214937			
1.648843454	6.618949216	10.21865267	1.648843454	27.00261814	13.93050231			
1.672398361	6.600849925	10.21738414	1.672398361	26.99698008	13.9294849			
1.695953267	6.579118485	10.2180519	1.695953267	26.98908776	13.93005278			
1.719508174	6.543818371	10.21445743	1.719508174	26.98609679	13.93509104			
1.74306308	6.465529152	10.21598065	1.74306308	26.98541199	13.93821646			
1.766617987	6.407558686	10.21599306	1.766617987	26.99282701	13.93576424			
1.790172893	6.335231034	10.21610769	1.790172893	26.99665614	13.94294821			
1.8137278	6.292059284	10.21953139	1.8137278	27.00197066	13.94056726			
1.837282706	6.160307795	10.22268446	1.837282706	26.99048743	13.95315582			
1.860837612	6.138238658	10.22636613	1.860837612	27.00003689	13.96633233			
1.884392519	6.052327872	10.23430499	1.884392519	26.98758885	13.97131428			
1.907947425	5.977689966	10.24271543	1.907947425	26.99377267	13.9711695			
1.931502332	5.915581063	10.23953859	1.931502332	27.00781148	13.97569141			
1.955057238	5.901936407	10.24118525	1.955057238	27.00312971	13.97222562			
1.978612145	5.799052787	10.24322146	1.978612145	27.01211781	13.96693989			
2.002167051	5.765431124	10.24808093	2.002167051	27.00390273	13.96907588			
2.025721958	5.740341988	10.24213496	2.025721958	27.00028216	13.96806789			
2.049276864	5.692371727	10.24122186	2.049276864	26.99078261	13.96835465			
2.072831771	5.690204814	10.235324	2.072831771	26.99367854	13.9712052			
2.096386677	5.696767116	10.23170278	2.096386677	27.00407555	13.97005771			
2.119941584	5.693019636	10.22637868	2.119941584	27.00890288	13.97439768			
2.14349649	5.684019092	10.22467297	2.14349649	27.00170579	13.97421713			
2.167051397	5.676572906	10.22203591	2.167051397	27.00774793	13.97545263			
2.190606303	5.671880604	10.21868812	2.190606303	27.00789609	13.97367432			
2.21416121	5.657168594	10.21764818	2.21416121	26.99801305	13.97628244			
2.237716116	5.638669267	10.21680395	2.237716116	26.99853187	13.97289636			
2.261271023	5.590802914	10.22302253	2.261271023	27.00661448	13.97361016			
2.284825929	5.566630919	10.22329783	2.284825929	27.00730005	13.97359069			
2.308380836	5.457829059	10.2292683	2.308380836	27.01323016	13.97158433			
2.331935742	5.408776162	10.22953579	2.331935742	27.0089604	13.9743693			
2.355490649	5.368647596	10.23385363	2.355490649	27.01497661	13.9747421			
2.379045555	5.33904893	10.23197147	2.379045555	27.01315923	13.97708037			
2.402600462	5.275597797	10.23980666	2.402600462	27.01761344	13.97844773			
2.426155368	5.227891227	10.23825846	2.426155368	27.01703331	13.97978559			
2.449710275	5.178306883	10.25633021	2.449710275	27.00444125	13.98771587			
2.473265181	5.166421959	10.26753993	2.473265181	27.01034785	13.98945058			
2.496820088	5.111829424	10.27818812	2.496820088	27.01665906	13.989354			
2.520374994	5.118267241	10.28123986	2.520374994	27.00675227	13.99163553			
