"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	0.487675	0.796952	-3.74444	-0.5701	14.6978	0.668801	1.50633	0.467681	0.235422	-37.2315	-36.3164	-37.2308	-37.3834	0.0014602	-43.7875
0.0007	0.183877	0.796952	-3.13483	0.0402423	18.666	0.668801	2.11742	0.155894	0.235422	-36.9258	-36.6205	-37.2308	-37.3834	0.00131418	-37.3824
0.0013	-0.11992	1.10217	-2.2183	-0.261575	13.4762	0.35872	3.031	-0.155894	0.241548	-37.8418	-37.2315	-38.1464	-38.299	-7.30099e-005	-31.4432
0.0020	-0.423718	1.7126	-0.387356	-0.871917	7.67959	0.0547201	3.33654	0.155894	0.235422	-38.9093	-37.9946	-39.062	-39.2146	-0.00144195	-38.8963
0.0027	-1.9507	1.7126	0.222253	0.0402423	5.23838	0.35872	2.11742	-0.155894	0.235422	-38.2991	-37.537	-38.4516	-38.6042	-0.000821361	-35.6938
0.0033	-2.87009	1.40738	-1.30389	0.650584	3.71136	0.668801	0.5897	-0.467681	0.235422	-37.2315	-36.4684	-37.3834	-37.536	0.000383302	-34.3254
0.0040	-1.34311	2.01782	-4.04925	0.348767	3.40596	0.35872	-0.323877	-0.779468	0.235422	-36.9258	-36.0109	-37.0782	-37.2308	0.000547574	-34.471
0.0047	-0.11992	2.01782	-5.88231	0.348767	3.10055	0.0547201	-0.934965	-1.35108	0.241548	-36.6213	-36.0109	-37.0782	-37.0782	0.000383302	-34.6457
0.0053	-1.03931	1.10217	-7.10153	-0.261575	2.18637	-0.553281	-1.54605	-1.03929	0.235422	-36.4684	-36.1629	-37.0782	-37.0782	9.12624e-005	-34.471
0.0060	2.31846	1.40738	-7.40633	-0.871917	1.57556	-0.24928	-1.8516	0.467681	0.235422	-36.3155	-36.3164	-36.7743	-37.0782	-7.30099e-005	-34.3254
0.0067	7.2032	1.7126	-6.18711	-0.5701	1.57556	0.0547201	-2.15714	1.09125	0.235422	-36.4684	-36.1629	-36.7743	-36.9256	9.12624e-005	-34.6457
0.0073	2.62225	1.40738	-5.88231	-0.261575	1.57556	0.0547201	-1.24051	-0.155894	0.235422	-36.7742	-36.0109	-37.3834	-36.9256	0.000237282	-34.471
0.0080	-3.47768	1.40738	-6.18711	0.348767	1.57556	-0.553281	-0.629421	0.155894	0.235422	-36.9258	-36.1629	-37.3834	-36.9256	9.12624e-005	-34.3254
0.0087	-1.9507	1.7126	-3.74444	0.348767	0.659348	-0.553281	-1.24051	0.467681	0.241548	-37.0786	-36.1629	-37.3834	-37.2308	-7.30099e-005	-34.471
0.0093	-0.423718	1.7126	-0.694278	0.0402423	-5.74806	0.0547201	-0.934965	-0.779468	0.235422	-36.9258	-35.7054	-36.9256	-37.2308	0.000547574	-34.471
0.0100	-1.03931	1.40738	0.222253	-0.261575	-16.4291	0.0547201	-0.934965	-1.03929	0.235422	-36.4684	-35.5533	-36.7743	-36.7743	0.00114991	-34.3254
0.0107	-0.11992	0.491736	0.831863	-0.261575	-21.3135	0.0547201	-1.54605	0.155894	0.235422	-36.7742	-36.1629	-36.9256	-36.9256	0.000693594	-34.6457
0.0113	1.10326	0.186521	1.74839	0.0402423	-19.1757	-0.857281	-1.54605	1.40304	0.235422	-37.9947	-37.537	-37.8412	-37.9938	-0.000985633	-35.6938
0.0120	1.40706	-0.118695	2.358	0.650584	-21.3135	-1.16736	-1.8516	0.467681	0.241548	-38.7578	-37.9946	-38.9094	-38.9094	-0.00158796	-36.4799
0.0127	0.791473	-1.03434	2.358	0.650584	-24.0601	-0.857281	-3.07072	-0.779468	0.241548	-37.6889	-36.926	-38.299	-37.9938	9.12624e-005	-35.2571
