CALbump2			CALext		
t	x	y	t	x	y
0.0	14.76347178	9.262699172	0.0	-7.93844791	14.0747341
0.02491528802	14.7636318	9.260766603	0.02491528802	-7.925078382	14.06251043
0.04983057604	14.76390911	9.259499995	0.04983057604	-7.917165933	14.05704479
0.07474586406	14.76403253	9.25950305	0.07474586406	-7.911208166	14.05556841
0.09966115208	14.76522295	9.258817282	0.09966115208	-7.904603099	14.05576162
0.1245764401	14.76580824	9.259008457	0.1245764401	-7.905041051	14.05612864
0.1494917281	14.7648066	9.260481583	0.1494917281	-7.907038044	14.05942887
0.1744070161	14.76451984	9.261316321	0.1744070161	-7.911584286	14.05931698
0.1993223042	14.76518758	9.261908762	0.1993223042	-7.909515773	14.05996575
0.2242375922	14.76715231	9.261615059	0.2242375922	-7.91021067	14.06036324
0.2491528802	14.767544	9.263969723	0.2491528802	-7.911261587	14.06194158
0.2740681682	14.76680733	9.264170936	0.2740681682	-7.913603665	14.06222499
0.2989834562	14.76448641	9.264517624	0.2989834562	-7.916660455	14.06265063
0.3238987443	14.76683876	9.264049378	0.3238987443	-7.913210889	14.06185482
0.3488140323	14.76585927	9.263703961	0.3488140323	-7.914825151	14.06200375
0.3737293203	14.76688074	9.263642011	0.3737293203	-7.916213672	14.06237075
0.3986446083	14.76670022	9.263413947	0.3986446083	-7.915561783	14.06214614
0.4235598964	14.7657838	9.263098893	0.4235598964	-7.914826027	14.06229079
0.4484751844	14.76261109	9.263691617	0.4484751844	-7.917263036	14.06458774
0.4733904724	14.76338027	9.264418629	0.4733904724	-7.921162871	14.0647919
0.4983057604	14.74756694	9.264201613	0.4983057604	-7.920427507	14.06529326
0.5232210484	14.75526965	9.269925571	0.5232210484	-7.921394759	14.06505161
0.5481363365	14.76302034	9.272440181	0.5481363365	-7.921631291	14.06550472
0.5730516245	14.76636361	9.269330661	0.5730516245	-7.928512495	14.06557961
0.5979669125	14.76691061	9.270342326	0.5979669125	-7.929252651	14.06581758
0.6228822005	14.76695409	9.271419576	0.6228822005	-7.926249099	14.06566128
0.6477974885	14.77173562	9.274090539	0.6477974885	-7.929580602	14.06554584
0.6727127766	14.77032717	9.281734634	0.6727127766	-7.93562038	14.06385518
0.6976280646	14.91816314	9.294305259	0.6976280646	-7.947676276	14.06847647
0.7225433526	14.84066377	9.31255466	0.7225433526	-7.933104196	14.06660535
0.7474586406	14.89678077	9.328400647	0.7474586406	-7.931375508	14.06638757
0.7723739286	14.91598712	9.318910775	0.7723739286	-7.948609193	14.06117384
0.7972892167	15.03679499	9.288099292	0.7972892167	-7.936507376	14.06134935
0.8222045047	15.04935418	9.272956444	0.8222045047	-7.941452425	14.06127297
0.8471197927	15.05996149	9.26817953	0.8471197927	-7.93229822	14.06253313
0.8720350807	15.06596248	9.267955108	0.8720350807	-7.921607125	14.06239702
0.8969503687	15.08007434	9.268480575	0.8969503687	-7.922047063	14.06242188
0.9218656568	15.08166671	9.267474981	0.9218656568	-7.913481351	14.06185591
0.9467809448	15.09003307	9.269985847	0.9467809448	-7.917340641	14.06119038
0.9716962328	15.09132406	9.266569628	0.9716962328	-7.921297084	14.06176207
0.9966115208	15.08808896	9.265618556	0.9966115208	-7.922670866	14.06198859
1.021526809	15.09082095	9.26344232	1.021526809	-7.929163718	14.06276991
1.046442097	15.07745576	9.259791968	1.046442097	-7.930965538	14.06494704
1.071357385	15.07266524	9.259288998	1.071357385	-7.927292309	14.06615048
1.096272673	15.05695524	9.254711962	1.096272673	-7.92961017	14.0660286
1.121187961	15.04137772	9.249538776	1.121187961	-7.931688865	14.06636531
1.146103249	15.03987513	9.251250716	1.146103249	-7.931060422	14.06618039
1.171018537	15.02012069	9.251811961	1.171018537	-7.936259729	14.06598895
1.195933825	14.97476843	9.251584197	1.195933825	-7.934208766	14.06544358
1.220849113	14.9038221	9.248260869	1.220849113	-7.936281089	14.06426094
1.245764401	14.88839326	9.249826241	1.245764401	-7.936442147	14.06439844
1.270679689	14.87093821	9.252700745	1.270679689	-7.937212004	14.06276633
1.295594977	14.76149721	9.241303023	1.295594977	-7.941099018	14.06010522
1.320510265	14.73927455	9.238864497	1.320510265	-7.943868854	14.05970297
1.345425553	14.69035982	9.23842575	1.345425553	-7.937382863	14.05854436
1.370340841	14.64022789	9.236346386	1.370340841	-7.933542353	14.05740515
1.395256129	14.62413077	9.216788506	1.395256129	-7.930140222	14.0552233
1.420171417	14.58280804	9.196157689	1.420171417	-7.930975685	14.05484406
1.445086705	14.47521395	9.185506563	1.445086705	-7.928371668	14.05706181
1.470001993	14.45885037	9.182237301	1.470001993	-7.926921614	14.05796827
1.494917281	14.42685696	9.175211436	1.494917281	-7.928666373	14.05886887
1.519832569	14.3864785	9.172159957	1.519832569	-7.930479737	14.06098726
1.544747857	14.33104617	9.165253698	1.544747857	-7.933460912	14.06305565
1.569663145	14.31148837	9.168271978	1.569663145	-7.93474465	14.06259794
1.594578433	14.27679371	9.161187675	1.594578433	-7.93855351	14.06328755
1.619493721	14.19815379	9.165086843	1.619493721	-7.94049922	14.06214079
1.644409009	14.1127136	9.16735232	1.644409009	-7.936833154	14.05751917
1.669324297	14.03372517	9.166515187	1.669324297	-7.935644778	14.049392
1.694239585	14.00062478	9.164834618	1.694239585	-7.942254749	14.04988245
1.719154873	13.94519177	9.17049655	1.719154873	-7.944768285	14.05028922
1.744070161	13.96194025	9.134494599	1.744070161	-7.964926713	14.050456
1.768985449	13.89964364	9.124232765	1.768985449	-7.978414236	14.0503029
1.793900737	13.85568585	9.118237541	1.793900737	-8.008352562	14.05230049
1.818816026	13.86408302	9.133235187	1.818816026	-7.990247339	14.05258691
1.843731314	13.87526983	9.130791256	1.843731314	-7.993562054	14.05444413
1.868646602	13.86527584	9.124078086	1.868646602	-7.989202706	14.05540952
1.89356189	13.88218029	9.123821454	1.89356189	-7.982875857	14.05790304
1.918477178	13.86354944	9.116508986	1.918477178	-7.981307188	14.05766131
1.943392466	13.84874431	9.1126737	1.943392466	-7.985128871	14.05843613
1.968307754	13.83636252	9.11018834	1.968307754	-7.983050899	14.0561669
1.993223042	13.82383452	9.112647917	1.993223042	-7.978931986	14.05324414
2.01813833	13.78709975	9.112394626	2.01813833	-7.969498091	14.05385745
2.043053618	13.79644299	9.110302691	2.043053618	-7.96034716	14.05450444
2.067968906	13.81391621	9.108921054	2.067968906	-7.960845905	14.0544649
2.092884194	13.81205355	9.101610663	2.092884194	-7.956783213	14.05420098
2.117799482	13.8075003	9.102577086	2.117799482	-7.953596871	14.05438353
2.14271477	13.83987658	9.096805936	2.14271477	-7.958526697	14.05465996
2.167630058	13.80851995	9.083195114	2.167630058	-7.958331006	14.05616932
2.192545346	13.78906607	9.085972698	2.192545346	-7.963938599	14.05633837
2.217460634	13.76739977	9.083576454	2.217460634	-7.969608294	14.05653838
2.242375922	13.76556002	9.086843621	2.242375922	-7.974365517	14.05309072
2.26729121	13.77348446	9.091774302	2.26729121	-7.974036989	14.05519449
2.292206498	13.78358051	9.092310904	2.292206498	-7.973285536	14.05613353
2.317121786	13.79174626	9.073662591	2.317121786	-7.949722921	14.05533429
2.342037074	13.78176555	9.051995479	2.342037074	-7.952526266	14.05750233
2.366952362	13.78076226	9.046776774	2.366952362	-7.94248349	14.05699028
2.39186765	13.77927199	9.037042677	2.39186765	-7.940075995	14.05591095
2.416782938	13.78049324	9.034879705	2.416782938	-7.944477834	14.05633015
2.441698226	13.7794443	9.033894516	2.441698226	-7.937008413	14.05459067
2.466613514	13.77526665	9.025252348	2.466613514	-7.941781718	14.0561721
2.491528802	13.77704037	9.023834391	2.491528802	-7.93979306	14.05728675
2.51644409	13.76153193	9.008213948	2.51644409	-7.924639249	14.05621767
2.541359378	13.76818768	9.010109508	2.541359378	-7.922003949	14.05844678
2.566274666	13.77339123	9.015263043	2.566274666	-7.921838291	14.058721
2.591189954	13.77640236	9.017810209	2.591189954	-7.927073294	14.05935951
2.616105242	13.7715825	9.015595648	2.616105242	-7.930610418	14.05958015
2.64102053	13.76989911	9.019477665	2.64102053	-7.92965896	14.05902613
2.665935818	13.78922618	9.030321383	2.665935818	-7.937664402	14.05986973
2.690851106	13.79417196	9.027268617	2.690851106	-7.9419588	14.05995826
2.715766394	13.79264494	9.026841251	2.715766394	-7.942521792	14.06063228
2.740681682	13.78150255	9.02751164	2.740681682	-7.946437128	14.05788803
2.76559697	13.77075777	9.023330831	2.76559697	-7.951887436	14.05737518
2.790512258	13.76622416	9.021587817	2.790512258	-7.948467981	14.05802683
2.815427546	13.75889358	9.018870684	2.815427546	-7.949826941	14.05798699
2.840342834	13.75684421	9.018537961	2.840342834	-7.951669464	14.05833921
2.865258122	13.71348935	9.021716173	2.865258122	-7.955288337	14.05851247
2.89017341	13.71289443	9.024285893	2.89017341	-7.955241567	14.05828158
2.915088698	13.72128158	9.023295837	2.915088698	-7.951973346	14.05882946
2.940003986	13.72671436	9.019123553	2.940003986	-7.952347896	14.05866801
2.964919274	13.70669593	9.020988285	2.964919274	-7.953814355	14.05800544
2.989834562	13.68157123	9.013750999	2.989834562	-7.951590498	14.05764876
3.014749851	13.63485612	8.996729169	3.014749851	-7.962756429	14.0515834
