GMfas			GMext		
t	x	y	t	x	y
0.0000000000	12.8229779700	0.7172777772	0.0000000000	45.4041453700	11.6606503000
0.0230547550	12.8258853600	0.7182245251	0.0230547550	45.4043469900	11.6603581100
0.0461095101	12.8278165000	0.7188045877	0.0461095101	45.4041125200	11.6602329600
0.0691642651	12.8262994500	0.7190173899	0.0691642651	45.4041219700	11.6603804100
0.0922190202	12.8255067800	0.7184227851	0.0922190202	45.4037878800	11.6603208700
0.1152737752	12.8216110400	0.7169333737	0.1152737752	45.4039853100	11.6602475300
0.1383285303	12.8254473900	0.7176802395	0.1383285303	45.4041071200	11.6605249100
0.1613832853	12.8267928600	0.7176257826	0.1613832853	45.4040831600	11.6603928400
0.1844380403	12.8280215500	0.7182604708	0.1844380403	45.4042080100	11.6602977800
0.2074927954	12.8294188100	0.7183037822	0.2074927954	45.4042130700	11.6602261900
0.2305475504	12.8284655500	0.7180085070	0.2305475504	45.4037195100	11.6605381400
0.2536023055	12.8278108800	0.7190347171	0.2536023055	45.4035302200	11.6606415500
0.2766570605	12.8278918700	0.7192995904	0.2766570605	45.4037116800	11.6605738200
0.2997118156	12.8269355000	0.7195327668	0.2997118156	45.4034545300	11.6603574400
0.3227665706	12.8268700500	0.7192144884	0.3227665706	45.4038075000	11.6608880200
0.3458213256	12.8233204600	0.7188194098	0.3458213256	45.4029589200	11.6608034300
0.3688760807	12.8238779500	0.7185987436	0.3688760807	45.4029326300	11.6609592500
0.3919308357	12.8238592000	0.7186455411	0.3919308357	45.4033358300	11.6609528300
0.4149855908	12.8239167000	0.7202092042	0.4149855908	45.4034316400	11.6607661200
0.4380403458	12.8206165000	0.7205698898	0.4380403458	45.4033870400	11.6610375200
0.4610951009	12.8209001700	0.7206785607	0.4610951009	45.4024569700	11.6611163700
0.4841498559	12.8187662300	0.7203054523	0.4841498559	45.4029027000	11.6607767900
0.5072046110	12.8192921200	0.7203764904	0.5072046110	45.4030810400	11.6607713900
0.5302593660	12.8196432000	0.7204270035	0.5302593660	45.4029985000	11.6609794000
0.5533141210	12.8172928700	0.7197906874	0.5533141210	45.4023306800	11.6611305000
0.5763688761	12.8182176700	0.7188560628	0.5763688761	45.4025793800	11.6611262600
0.5994236311	12.8202282800	0.7192720841	0.5994236311	45.4025048600	11.6610552500
0.6224783862	12.8214850300	0.7187853785	0.6224783862	45.4019666500	11.6612481300
0.6455331412	12.8216803800	0.7186068661	0.6455331412	45.4028131800	11.6609136700
0.6685878963	12.8204129400	0.7184497067	0.6685878963	45.4023181400	11.6611305800
0.6916426513	12.8197030300	0.7189527022	0.6916426513	45.4030152700	11.6608436300
0.7146974063	12.8199156200	0.7178957432	0.7146974063	45.4025202500	11.6607754800
0.7377521614	12.8206462800	0.7159820749	0.7377521614	45.4018012800	11.6612339700
0.7608069164	12.8200446800	0.7156795535	0.7608069164	45.4024135000	11.6612972300
0.7838616715	12.8181652200	0.7148659653	0.7838616715	45.4014422100	11.6611286000
0.8069164265	12.8200274900	0.7151425316	0.8069164265	45.4014593500	11.6609742500
0.8299711816	12.8202728600	0.7157950760	0.8299711816	45.4011667400	11.6611980500
0.8530259366	12.8201002200	0.7162344924	0.8530259366	45.4011928500	11.6610132800
0.8760806916	12.8172897100	0.7156045628	0.8760806916	45.4011212200	11.6611842700
0.8991354467	12.8102164100	0.7143114972	0.8991354467	45.4013195900	11.6611795800
0.9221902017	12.7996658300	0.7137125798	0.9221902017	45.4010419700	11.6614756700
0.9452449568	12.7772865900	0.7073346638	0.9452449568	45.4016132200	11.6609319500
0.9682997118	12.7634680500	0.7072274087	0.9682997118	45.4015671100	11.6610552900
0.9913544669	12.7510816600	0.7101387174	0.9913544669	45.4008956700	11.6610312100
1.0144092220	12.7353010800	0.7093073774	1.0144092220	45.4005442500	11.6612544900
1.0374639770	12.7283015400	0.7051038551	1.0374639770	45.4006101400	11.6613178200
1.0605187320	12.7124844000	0.7021599751	1.0605187320	45.4011049200	11.6610777800
1.0835734870	12.7025674500	0.7047185226	1.0835734870	45.4008256700	11.6611365600
1.1066282420	12.6662551500	0.7007603993	1.1066282420	45.4009940900	11.6613987900
1.1296829970	12.6494901400	0.7011014236	1.1296829970	45.4011428500	11.6614541500
1.1527377520	12.5990282800	0.6810570618	1.1527377520	45.4011750300	11.6618858700
1.1757925070	12.5558348500	0.6725751700	1.1757925070	45.4011592900	11.6616877400
1.1988472620	12.5358008200	0.6919242404	1.1988472620	45.4014642600	11.6619143500
1.2219020170	12.5244952500	0.6965510707	1.2219020170	45.4009865400	11.6620468100
1.2449567720	12.5084502900	0.6934242230	1.2449567720	45.4020591000	11.6623324700
1.2680115270	12.4921291200	0.6850175550	1.2680115270	45.4013120300	11.6621512300
1.2910662820	12.4664373900	0.6845101726	1.2910662820	45.4016214200	11.6623182800
1.3141210370	12.3933364200	0.6822212551	1.3141210370	45.4008665100	11.6620908900
1.3371757930	12.3088025000	0.6581490595	1.3371757930	45.4002096500	11.6621591700
1.3602305480	12.0333292300	0.6400951496	1.3602305480	45.4020878500	11.6625734700
1.3832853030	11.9334093100	0.6219865556	1.3832853030	45.4025495600	11.6634397900
1.4063400580	11.7455790500	0.6073275463	1.4063400580	45.4038021700	11.6636141000
1.4293948130	11.6195056100	0.5980094547	1.4293948130	45.4050818300	11.6640155600
1.4524495680	11.5426718700	0.5656458554	1.4524495680	45.4043845500	11.6646064900
1.4755043230	11.4464059700	0.5569280472	1.4755043230	45.4045697100	11.6641582500
1.4985590780	11.3144757900	0.5670603374	1.4985590780	45.4052325200	11.6648789800
1.5216138330	11.2567566600	0.5716195585	1.5216138330	45.4062392900	11.6643335000
1.5446685880	11.1404867200	0.5686061581	1.5446685880	45.4053348000	11.6649551800
1.5677233430	11.1331139200	0.5622420818	1.5677233430	45.4060219000	11.6649685800
