"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
3.9807	1.46291	-1.66938	1.93593	-0.402122	8.52252	-0.887173	0.448472	-0.6711	-0.0163101	-13.1227	-11.7492	-13.1225	-12.3595	-0.0265058	-101.765
3.9813	2.37824	-2.58629	3.15849	-0.0967512	10.6573	-0.581737	0.122311	-0.6711	-0.0163101	-13.2753	-12.3596	-13.2751	-12.512	-0.0268123	-45.175
3.9820	2.68156	-2.89026	4.68353	-1.31672	6.99709	-1.80254	-0.163081	-1.58699	-0.0163101	-12.9702	-12.2072	-13.4276	-12.9701	-0.0274254	-55.2293
3.9827	3.29356	-2.58629	4.68353	-1.31672	1.50471	-2.71791	-0.163081	-0.975843	-0.0102548	-12.8172	-11.902	-13.4276	-12.3595	-0.0272648	-62.1013
3.9833	3.29356	-3.19673	4.07351	1.12473	2.11405	-2.10797	0.733864	-0.6711	-0.0102548	-12.8172	-12.2072	-13.4276	-12.6646	-0.0271188	-56.3131
3.9840	2.98756	-1.66938	3.7685	4.48079	7.30383	-1.49804	0.448472	-0.366358	-0.0102548	-13.1227	-12.2072	-13.2751	-12.9701	-0.0271188	-57.9735
3.9847	2.37824	7.48479	2.24094	6.31151	10.3547	-0.887173	-1.06003	0.244793	-0.0163101	-12.9702	-11.902	-13.1225	-12.9701	-0.0268123	-57.5353
3.9853	0.547585	16.0285	0.41088	5.09153	8.82926	-0.277241	-0.774634	-0.0616147	-0.0163101	-12.3595	-11.7492	-13.2751	-13.4278	-0.0268123	-57.0741
3.9860	-0.979748	19.0807	-2.33672	4.48079	3.94623	0.028194	1.06003	-0.0616147	-0.0163101	-12.207	-11.7492	-13.4276	-13.2752	-0.0269583	-57.5353
3.9867	-0.673744	19.3872	-6.30185	4.17542	-3.98768	0.33363	1.67158	0.854279	-0.0163101	-12.9702	-12.0544	-13.1225	-12.6646	-0.0268123	-58.2963
3.9873	-0.367741	20.3016	-6.60938	2.03933	-14.3672	0.028194	0.122311	1.77017	-0.0163101	-12.8172	-12.0544	-12.665	-12.6646	-0.0268123	-57.9735
3.9880	-1.58907	24.2682	-4.16678	-2.84358	-21.3851	0.028194	-0.774634	2.07492	-0.0163101	-12.5121	-11.902	-12.8175	-12.512	-0.0266518	-57.8351
3.9887	-1.89507	13.8932	-2.94674	-8.64109	-21.9944	-0.277241	0.122311	1.46543	-0.0102548	-12.6646	-11.902	-13.1225	-12.6646	-0.0263453	-57.9735
3.9893	-0.979748	-14.4887	-1.41918	-11.3879	-21.3851	-1.49804	0.122311	0.854279	-0.0163101	-12.3595	-11.7492	-13.1225	-12.8176	-0.0263453	-57.6737
3.9900	-1.28575	-26.999	-0.504148	-11.3879	-21.9944	-2.10797	-0.163081	1.16069	-0.0163101	-12.207	-11.5969	-13.2751	-12.6646	-0.0265058	-57.6737
3.9907	-1.28575	-18.7593	-2.33672	-6.50501	-20.469	-1.49804	0.448472	1.46543	-0.0102548	-12.207	-11.5969	-13.1225	-12.3595	-0.0265058	-57.9735
3.9913	-1.58907	-12.0469	-4.7768	3.87005	-21.0783	-0.887173	0.733864	0.854279	-0.0102548	-12.3595	-11.902	-12.8175	-12.2069	-0.0260388	-58.1349
3.9920	-1.89507	-8.38425	-5.08181	3.87005	-22.6037	0.639065	1.34542	-1.28225	-0.0102548	-12.5121	-11.902	-13.1225	-12.6646	-0.0261993	-58.1349
3.9927	-1.89507	-5.94248	-2.94674	-3.75818	-7.04269	2.16436	1.06003	-2.19648	-0.0102548	-12.3595	-11.5969	-12.97	-12.8176	-0.0265058	-57.8351
3.9933	-1.58907	-5.6385	-1.11417	-2.84358	16.4564	1.55443	-0.448472	-1.28225	-0.0163101	-12.5121	-11.7492	-12.97	-12.6646	-0.0265058	-57.9735
3.9940	-0.979748	-4.72159	-0.504148	1.42859	23.781	0.943561	-1.06003	-0.366358	-0.0102548	-12.6646	-11.902	-13.4276	-12.8176	-0.0266518	-58.2963
3.9947	-0.979748	-5.02806	-0.504148	1.73396	21.9488	1.249	-0.774634	-0.0616147	-0.0102548	-12.6646	-11.7492	-13.1225	-12.8176	-0.0268123	-58.1349
3.9953	-1.28575	-6.55292	-0.504148	1.73396	22.2556	1.249	-0.163081	-0.6711	-0.0102548	-12.6646	-11.7492	-12.8175	-12.6646	-0.0268123	-57.9735
3.9960	-0.673744	-4.11115	-0.809157	2.03933	16.4564	1.55443	0.448472	-0.975843	-0.0102548	-12.207	-11.7492	-13.2751	-12.8176	-0.0268123	-58.1349
3.9967	0.241582	0.159463	-0.199138	1.12473	12.4895	1.55443	1.06003	-0.366358	-0.0102548	-12.3595	-12.2072	-13.4276	-13.1227	-0.0268123	-58.1349
3.9973	1.15691	2.60124	0.41088	-0.402122	21.9488	2.16436	1.34542	-0.0616147	-0.0102548	-12.8172	-12.0544	-13.1225	-12.9701	-0.0271188	-57.9735
3.9980	1.46291	3.21168	-0.504148	-1.31672	32.0216	3.07973	1.34542	-0.0616147	-0.00410194	-12.8172	-11.7492	-12.97	-12.8176	-0.0272648	-57.9735
3.9987	0.850904	5.65345	-1.11417	-1.01286	24.6971	3.07973	1.67158	0.244793	-0.00410194	-12.9702	-12.2072	-13.1225	-12.9701	-0.0272648	-58.1349
3.9993	-0.673744	10.537	-1.11417	-1.31672	5.77426	2.16436	1.95697	0.244793	-0.00410194	-12.9702	-12.2072	-13.2751	-12.9701	-0.0272648	-57.6737
4.0000	-1.89507	11.1474	-1.41918	-1.62209	-9.17746	1.55443	2.28313	-0.0616147	-0.00410194	-13.1227	-12.3596	-13.4276	-12.9701	-0.0272648	-57.6737
4.0007	-2.20108	4.12859	-0.809157	-1.31672	-22.3011	1.55443	2.56852	0.549536	-0.00410194	-13.2753	-12.3596	-13.5805	-13.1227	-0.0272648	-57.9735
4.0013	-1.89507	-1.66938	0.41088	-1.62209	-28.7096	1.85893	0.733864	0.854279	-0.0102548	-12.8172	-12.0544	-13.5805	-12.9701	-0.0271188	-57.8351
4.0020	-1.28575	1.38035	0.71589	-1.92747	-20.1622	2.16436	-2.60929	0.244793	-0.00410194	-12.8172	-12.0544	-13.2751	-12.8176	-0.0271188	-57.9735
4.0027	-0.979748	2.9077	-0.809157	-2.23284	-10.4003	2.16436	-3.8324	-0.0616147	-0.00410194	-13.2753	-12.0544	-13.2751	-12.9701	-0.0272648	-57.9735
4.0033	-0.979748	-7.16337	-0.809157	-1.92747	-7.34528	1.85893	-2.60929	0.549536	-0.00410194	-12.9702	-11.902	-13.1225	-12.9701	-0.0272648	-57.9735
4.0040	-0.979748	-16.9305	0.41088	-2.53821	-6.73594	1.85893	-0.774634	0.549536	-0.00410194	-12.6646	-12.0544	-12.97	-12.6646	-0.0271188	-58.2963
4.0047	-1.58907	-14.7927	1.32591	-3.45432	-5.81985	1.85893	-0.163081	-0.366358	-0.0102548	-12.8172	-12.5124	-13.2751	-12.512	-0.0272648	-58.1349
4.0053	-1.89507	-9.90912	0.71589	-4.06355	-4.60117	1.85893	0.733864	-0.366358	-0.0102548	-13.1227	-12.2072	-13.2751	-12.512	-0.0272648	-57.9735
4.0060	-0.979748	-10.2156	1.0209	-2.23284	-3.07573	1.85893	0.448472	-0.0616147	-0.0102548	-12.8172	-11.902	-13.2751	-12.6646	-0.0269583	-58.2963
4.0067	0.241582	-11.13	1.63092	-0.707493	-0.634215	1.85893	-1.67158	-0.975843	-0.0102548	-12.8172	-11.902	-13.2751	-12.8176	-0.0266518	-58.4347
4.0073	0.850904	-9.60514	1.0209	-2.23284	0.281873	1.55443	-1.99774	-0.366358	-0.00410194	-12.9702	-11.7492	-12.97	-12.8176	-0.0266518	-58.1349
4.0080	1.76623	-6.55292	0.105871	3.56619	-0.020726	0.33363	-1.38619	0.244793	-0.00410194	-12.6646	-11.4441	-12.665	-12.512	-0.0265058	-57.8351
4.0087	1.46291	-4.41762	-0.199138	12.4159	3.33274	-1.19261	-0.448472	0.854279	-0.0102548	-12.3595	-11.5969	-12.8175	-12.512	-0.0261993	-57.5353
4.0093	0.547585	-4.72159	0.41088	8.14373	6.99709	-1.19261	-0.163081	1.46543	-0.0163101	-12.5121	-11.902	-13.1225	-12.6646	-0.0265058	-57.8351
4.0100	0.547585	-5.02806	1.0209	-2.53821	7.60643	-0.581737	-0.774634	0.854279	-0.0102548	-12.5121	-12.0544	-13.1225	-12.8176	-0.0265058	-58.1349
4.0107	0.547585	-4.72159	1.63092	-7.11575	7.91318	0.33363	-1.06003	0.244793	-0.00410194	-12.3595	-11.5969	-12.8175	-12.6646	-0.0261993	-57.9735
4.0113	0.850904	-0.450981	1.93593	-6.19964	7.91318	0.33363	-1.06003	0.854279	-0.0102548	-12.207	-11.5969	-12.665	-12.3595	-0.0261993	-57.6737
4.0120	1.46291	9.62009	1.93593	-5.28504	7.30383	-0.581737	-1.38619	0.549536	-0.0102548	-12.6646	-12.0544	-12.97	-12.512	-0.0265058	-57.6737
4.0127	1.76623	16.9454	1.93593	-8.03186	5.77426	-0.887173	-1.06003	-1.28225	-0.0102548	-12.5121	-11.7492	-13.1225	-12.8176	-0.0268123	-57.6737
4.0133	1.46291	19.0807	1.63092	-13.2186	4.86231	-0.581737	-0.163081	-1.28225	-0.0102548	-12.207	-11.2917	-13.1225	-12.512	-0.0268123	-57.6737
4.0140	1.46291	16.9454	1.93593	-8.94647	6.69034	-1.49804	-0.774634	0.244793	-0.0102548	-12.3595	-11.5969	-13.1225	-12.8176	-0.0265058	-57.8351
4.0147	1.76623	20.3016	2.24094	4.48079	9.43861	-1.49804	-1.67158	1.46543	-0.0102548	-12.3595	-11.5969	-12.97	-12.8176	-0.0268123	-57.8351
4.0153	1.15691	26.0996	2.85096	4.78616	6.69034	0.028194	-1.38619	1.16069	-0.0102548	-12.207	-11.7492	-12.97	-12.3595	-0.0268123	-57.8351
4.0160	-0.367741	-1.66938	2.54595	-2.84358	0.891217	0.639065	-0.163081	0.549536	-0.0102548	-12.9702	-12.3596	-13.4276	-12.6646	-0.0266518	-57.8351
4.0167	-1.58907	-35.2388	0.41088	2.65008	-3.07573	-0.581737	0.122311	0.549536	-0.0102548	-13.1227	-12.2072	-13.733	-12.9701	-0.0275713	-58.2963
4.0173	-3.1164	-25.1702	-1.72671	8.75296	-8.87072	-1.49804	0.448472	-1.28225	-0.0163101	-12.6646	-12.0544	-13.1225	-12.512	-0.0272648	-58.1349
4.0180	-2.8104	-8.08028	-1.41918	0.20862	-16.1953	-0.887173	1.06003	-2.80763	-0.0163101	-12.6646	-12.2072	-12.97	-12.9701	-0.0269583	-57.5353
4.0187	-0.367741	-5.94248	-0.504148	-6.81038	-13.7538	-0.887173	1.67158	-1.58699	-0.0102548	-12.6646	-11.902	-13.2751	-13.1227	-0.0275713	-57.6737
4.0193	0.850904	-3.19673	-0.809157	-4.67429	-2.15965	-1.19261	1.34542	-0.6711	-0.00410194	-12.9702	-11.7492	-13.2751	-12.9701	-0.0274254	-57.9735
4.0200	1.15691	-2.27982	-1.41918	-1.31672	7.91318	-0.581737	1.06003	-0.0616147	-0.0163101	-13.2753	-12.0544	-13.2751	-12.9701	-0.0272648	-57.9735
4.0207	2.07223	-4.41762	-0.809157	0.20862	12.4895	-0.887173	-0.448472	-0.0616147	-0.0102548	-13.2753	-12.3596	-13.2751	-12.8176	-0.0272648	-57.5353
4.0213	2.37824	-4.72159	-2.33672	-1.01286	11.2708	-1.80254	-1.38619	-0.0616147	-0.0102548	-13.1227	-12.3596	-13.5805	-12.9701	-0.0268123	-57.2125
4.0220	2.37824	-4.11115	-3.25175	1.42859	8.82926	-0.581737	0.122311	-0.0616147	-0.0102548	-13.4278	-12.6648	-13.8856	-12.8176	-0.0272648	-58.4347
4.0227	2.07223	-2.58629	-0.809157	12.1105	15.2377	1.85893	1.06003	-0.6711	-0.0102548	-13.4278	-12.2072	-13.5805	-12.512	-0.0278778	-58.4347
4.0233	0.241582	1.07637	-2.94674	17.6042	29.2734	2.4698	0.733864	-0.975843	-0.0102548	-12.8172	-11.902	-13.1225	-12.512	-0.0274254	-57.6737
4.0240	-0.0644218	1.68682	-5.08181	11.4998	41.1784	1.85893	-0.448472	-0.366358	-0.0102548	-12.3595	-12.0544	-13.2751	-12.8176	-0.0269583	-57.5353
4.0247	0.850904	-5.94248	-2.33672	6.92225	45.7547	0.943561	-1.67158	0.244793	-0.0102548	-12.8172	-11.902	-13.4276	-12.9701	-0.0271188	-57.3739
4.0253	1.46291	-11.7404	-1.41918	6.31151	37.8208	1.249	-2.28313	-0.0616147	-0.0102548	-12.9702	-11.7492	-12.97	-12.8176	-0.0271188	-57.5353
4.0260	0.547585	-17.2344	-2.03172	2.34471	15.5403	1.249	-0.774634	-0.366358	-0.0102548	-12.9702	-11.902	-12.8175	-12.8176	-0.0269583	-57.9735
4.0267	-1.89507	-30.9682	-1.41918	-1.62209	-11.619	0.639065	0.733864	-0.6711	-0.0102548	-12.9702	-12.2072	-13.4276	-13.1227	-0.0268123	-58.2963
4.0273	-2.8104	-35.8492	-2.03172	-1.92747	-36.6435	0.639065	0.448472	-0.0616147	-0.0102548	-12.6646	-11.902	-13.4276	-12.9701	-0.0269583	-57.8351
4.0280	-3.41972	-6.24895	-3.86177	-2.23284	-46.4096	0.639065	0.448472	1.16069	-0.0102548	-12.8172	-11.7492	-13.1225	-12.8176	-0.0269583	-57.6737
4.0287	-4.03173	33.7289	-3.25175	-1.92747	-32.6766	1.249	1.34542	1.77017	-0.0102548	-12.6646	-11.7492	-12.8175	-12.6646	-0.0266518	-57.5353
4.0293	-2.5044	32.8145	-2.03172	-2.23284	-12.8418	1.249	0.448472	0.854279	-0.0102548	-12.3595	-11.5969	-12.8175	-12.3595	-0.0265058	-57.3739
4.0300	-1.28575	5.65345	-2.03172	-2.23284	0.891217	1.55443	0.122311	0.244793	-0.0102548	-12.6646	-12.0544	-13.4276	-12.8176	-0.0272648	-57.9735
4.0307	-1.89507	-6.24895	-2.64173	-1.31672	8.82926	2.16436	0.448472	-0.0616147	-0.0163101	-12.3595	-11.902	-13.2751	-12.9701	-0.0274254	-57.8351
4.0313	-3.1164	-5.6385	-2.33672	-0.707493	9.74121	1.85893	-0.448472	-0.6711	-0.0102548	-12.0544	-11.2917	-12.8175	-12.512	-0.0269583	-57.5353
4.0320	-3.41972	-5.33204	-1.41918	-0.0967512	-0.020726	0.639065	-1.06003	-0.366358	-0.0102548	-12.3595	-11.1389	-12.8175	-12.512	-0.0269583	-57.6737
4.0327	-1.89507	-5.33204	-1.11417	-0.707493	-18.0275	-0.581737	0.122311	-0.366358	-0.0102548	-12.8172	-11.5969	-13.1225	-12.6646	-0.0268123	-57.6737
4.0333	-0.673744	-3.80717	-0.809157	-1.01286	-31.1511	-1.80254	1.06003	-0.6711	-0.0102548	-12.9702	-11.902	-13.2751	-12.8176	-0.0269583	-57.9735
4.0340	-0.367741	-1.66938	0.105871	-0.402122	-29.6257	-2.10797	1.67158	-0.366358	-0.0102548	-12.3595	-11.7492	-13.1225	-12.512	-0.0271188	-57.8351
4.0347	0.241582	-1.3654	0.71589	1.12473	-20.469	-1.49804	1.34542	-0.0616147	-0.0102548	-12.5121	-11.4441	-13.1225	-12.2069	-0.0271188	-57.6737
4.0353	0.241582	-1.97584	0.41088	2.03933	-11.0096	-0.581737	1.06003	-0.366358	-0.0163101	-12.9702	-11.7492	-13.1225	-12.8176	-0.0274254	-57.9735
4.0360	-1.28575	-2.89026	-0.199138	0.819362	-0.020726	0.943561	1.67158	-0.366358	-0.0163101	-12.5121	-11.902	-12.97	-12.9701	-0.0277173	-58.2963
4.0367	-1.89507	-2.89026	-0.504148	-0.402122	2.11405	1.55443	2.89468	-0.366358	-0.0102548	-12.3595	-11.4441	-13.1225	-12.512	-0.0275713	-57.6737
4.0373	-0.673744	-3.50071	0.41088	-0.0967512	-2.15965	0.943561	3.50624	-0.0616147	-0.0102548	-12.8172	-11.5969	-13.1225	-12.512	-0.0272648	-57.6737
4.0380	0.850904	-4.72159	1.93593	0.513991	2.42079	0.028194	2.28313	-0.0616147	-0.0163101	-12.3595	-11.902	-13.1225	-12.8176	-0.0274254	-57.6737
4.0387	1.76623	-5.94248	1.63092	0.20862	13.0988	-0.581737	1.34542	-0.0616147	-0.0102548	-12.3595	-11.7492	-12.8175	-12.8176	-0.0272648	-57.5353
4.0393	1.15691	-5.6385	-1.11417	-2.23284	20.1208	-0.887173	2.28313	-0.0616147	-0.0102548	-12.9702	-11.902	-12.97	-12.6646	-0.0277173	-57.8351
4.0400	0.241582	-5.33204	-1.11417	-2.23284	17.0658	-1.49804	1.95697	0.549536	-0.0102548	-13.1227	-11.7492	-13.1225	-12.512	-0.0277173	-57.8351
4.0407	0.547585	-5.94248	1.0209	4.17542	-0.634215	-2.10797	1.67158	0.854279	-0.0102548	-13.1227	-12.0544	-13.1225	-12.6646	-0.0265058	-57.2125
4.0413	0.241582	-1.97584	1.63092	6.61688	-23.2172	-1.49804	2.56852	0.549536	-0.0163101	-13.5804	-12.5124	-12.97	-12.6646	-0.0266518	-57.6737
4.0420	-0.979748	6.87434	1.0209	-0.0967512	-32.0672	0.028194	1.67158	-0.6711	-0.0163101	-13.4278	-12.5124	-12.8175	-12.8176	-0.0278778	-58.2963
4.0427	-0.979748	12.3683	0.71589	-3.75818	-24.7427	0.33363	-1.06003	-0.975843	-0.0163101	-12.9702	-12.0544	-13.2751	-12.8176	-0.0278778	-57.8351
4.0433	-0.0644218	12.9788	0.41088	-1.62209	-14.0605	1.249	-4.72934	-0.975843	-0.0163101	-12.8172	-11.902	-13.5805	-12.6646	-0.0274254	-57.5353
4.0440	-0.0644218	16.6389	0.105871	-2.53821	-8.26137	2.16436	-5.3409	-1.28225	-0.0163101	-12.6646	-12.3596	-13.2751	-12.9701	-0.0271188	-57.3739
4.0447	-0.673744	18.4703	1.63092	-7.72649	-6.1266	0.943561	-2.89468	-1.28225	-0.0163101	-13.1227	-12.3596	-12.97	-12.512	-0.0269583	-57.5353
4.0453	0.241582	0.769906	3.15849	-7.42112	-3.68508	0.028194	-1.06003	-1.58699	-0.0102548	-13.2753	-11.7492	-12.97	-12.3595	-0.0277173	-58.1349
4.0460	1.15691	-21.5075	2.54595	-0.402122	0.281873	0.639065	-0.448472	-0.975843	-0.0163101	-12.9702	-11.5969	-12.97	-12.9701	-0.0280238	-58.4347
4.0467	0.547585	-21.8115	1.63092	2.65008	0.891217	0.639065	-0.448472	-0.366358	-0.0163101	-12.6646	-11.902	-13.2751	-12.9701	-0.0272648	-58.2963
4.0473	-0.367741	-14.1822	1.63092	0.20862	-6.4292	0.028194	-0.774634	-0.0616147	-0.0102548	-12.5121	-11.902	-13.2751	-12.6646	-0.0271188	-57.8351
4.0480	0.850904	-10.2156	2.54595	-0.707493	-9.78681	0.33363	-2.89468	-0.366358	-0.0102548	-12.6646	-11.7492	-12.97	-12.6646	-0.0271188	-57.6737
4.0487	1.76623	-6.55292	3.7685	0.819362	-1.8529	0.639065	-4.44395	-0.6711	-0.0163101	-12.8172	-11.7492	-12.97	-12.3595	-0.0268123	-57.6737
4.0493	1.15691	-5.33204	2.54595	0.513991	5.77426	0.639065	-2.89468	-0.975843	-0.0163101	-12.8172	-11.5969	-13.1225	-12.3595	-0.0268123	-57.8351
4.0500	-0.0644218	-5.02806	-1.41918	-1.92747	8.21578	0.028194	-0.163081	-0.6711	-0.022463	-12.5121	-11.4441	-13.1225	-12.6646	-0.0269583	-57.8351
4.0507	-0.979748	-3.80717	-2.64173	-1.01286	15.2377	-0.277241	1.06003	-0.975843	-0.0163101	-12.5121	-11.5969	-12.97	-12.9701	-0.0269583	-57.6737
4.0513	-0.367741	-2.89026	0.105871	2.65008	18.5953	-0.277241	0.733864	-0.6711	-0.0102548	-12.3595	-11.7492	-13.1225	-12.8176	-0.0269583	-57.3739
4.0520	0.547585	-2.89026	2.24094	3.56619	11.5734	-1.49804	-1.67158	-0.6711	-0.0163101	-12.3595	-11.4441	-13.1225	-12.3595	-0.0272648	-57.5353
4.0527	1.15691	-2.27982	2.54595	2.03933	8.52252	-2.41341	-3.8324	-0.6711	-0.0163101	-12.5121	-11.7492	-13.1225	-12.512	-0.0274254	-57.9735
4.0533	1.76623	-2.27982	4.07351	1.73396	15.5403	-2.41341	-6.27861	-0.6711	-0.0163101	-12.5121	-11.7492	-12.8175	-12.6646	-0.0271188	-57.9735
4.0540	1.76623	-2.58629	4.07351	3.56619	17.0658	-2.10797	-6.564	-1.28225	-0.0163101	-12.6646	-11.7492	-12.97	-12.8176	-0.0269583	-57.8351
4.0547	0.241582	-2.58629	3.15849	4.78616	7.30383	-1.19261	-4.11779	-1.28225	-0.0163101	-12.6646	-11.7492	-13.4276	-12.6646	-0.0275713	-57.8351
4.0553	0.850904	-1.66938	2.54595	3.26082	-3.98768	0.943561	-1.67158	-0.0616147	-0.0163101	-12.5121	-11.7492	-13.4276	-12.512	-0.0278778	-58.1349
4.0560	2.07223	-0.754957	2.24094	0.819362	-6.1266	2.77523	0.733864	0.244793	-0.0102548	-12.6646	-11.7492	-13.1225	-12.6646	-0.0278778	-57.9735
4.0567	1.76623	-0.754957	1.93593	0.513991	2.42079	2.77523	1.34542	-0.0616147	-0.0102548	-12.8172	-11.5969	-12.8175	-12.6646	-0.0280238	-57.8351
4.0573	2.07223	-1.06142	2.85096	1.42859	3.33274	1.85893	-0.163081	-0.0616147	-0.0102548	-12.6646	-11.902	-13.1225	-12.8176	-0.0278778	-58.1349
4.0580	3.29356	-0.450981	3.7685	2.65008	-10.4003	1.85893	0.122311	-0.0616147	-0.0102548	-12.6646	-12.2072	-13.1225	-12.8176	-0.0275713	-57.8351
4.0587	1.15691	-0.144513	2.24094	2.65008	-18.3342	1.249	1.06003	-0.0616147	-0.00410194	-12.8172	-12.0544	-12.97	-12.9701	-0.0278778	-58.1349
4.0593	-1.58907	-0.144513	-0.504148	2.03933	-10.0935	0.943561	1.95697	-0.0616147	-0.0102548	-13.1227	-12.0544	-13.1225	-12.9701	-0.0284908	-58.2963
4.0600	-2.8104	-0.144513	-1.72671	2.03933	-0.020726	1.55443	2.56852	0.549536	-0.0102548	-12.6646	-12.0544	-13.2751	-12.9701	-0.0284908	-57.8351
4.0607	-2.5044	0.159463	-1.11417	1.42859	-1.24356	0.943561	2.28313	0.549536	-0.0102548	-12.8172	-12.0544	-13.1225	-12.512	-0.0277173	-57.5353
4.0613	-0.673744	1.07637	0.105871	-2.84358	-9.48421	-0.277241	1.67158	-0.6711	-0.0102548	-13.2753	-12.2072	-12.97	-12.0544	-0.0268123	-57.8351
4.0620	0.547585	2.29726	0.71589	-6.81038	-11.0096	-0.581737	1.34542	-1.58699	-0.0102548	-13.5804	-12.5124	-13.1225	-12.6646	-0.0274254	-57.9735
4.0627	-0.367741	1.38035	-0.199138	-5.28504	-7.04269	-0.581737	1.34542	-0.366358	-0.0163101	-13.2753	-12.3596	-13.4276	-13.1227	-0.0280238	-57.9735
4.0633	-1.28575	-0.144513	-1.41918	-3.75818	-4.60117	-0.887173	0.448472	0.244793	-0.0163101	-12.8172	-11.7492	-13.1225	-12.8176	-0.0275713	-57.5353
4.0640	-0.673744	-0.144513	-1.11417	-3.45432	-3.07573	-1.19261	-0.163081	-0.0616147	-0.0163101	-12.5121	-11.4441	-12.97	-12.6646	-0.0271188	-57.2125
4.0647	-0.0644218	0.159463	0.71589	-1.92747	-0.936814	-0.887173	-0.448472	-0.0616147	-0.0163101	-12.6646	-11.902	-12.97	-12.6646	-0.0269583	-57.3739
4.0653	0.547585	-0.144513	1.93593	0.20862	-0.020726	-0.887173	-0.163081	-0.366358	-0.0163101	-13.2753	-12.5124	-13.4276	-12.9701	-0.0271188	-57.8351
4.0660	1.15691	-0.450981	1.32591	2.34471	0.588618	-1.19261	0.122311	0.244793	-0.0163101	-13.2753	-12.2072	-13.4276	-13.1227	-0.0274254	-58.1349
4.0667	1.15691	-1.06142	1.32591	0.819362	2.72339	-0.581737	0.122311	0.854279	-0.0102548	-12.8172	-11.5969	-13.2751	-12.8176	-0.0277173	-57.6737
4.0673	1.46291	-0.754957	2.24094	-4.36892	4.86231	-0.581737	0.122311	0.549536	-0.0102548	-12.8172	-11.7492	-13.4276	-12.9701	-0.0275713	-57.5353
4.0680	1.46291	2.60124	2.85096	-5.28504	3.33274	-1.49804	0.733864	1.16069	-0.0163101	-12.8172	-12.0544	-13.1225	-13.1227	-0.0272648	-57.8351
4.0687	1.46291	3.21168	1.93593	-1.31672	-0.32747	-2.10797	1.06003	2.07492	-0.0163101	-12.6646	-11.902	-13.1225	-12.6646	-0.0272648	-57.8351
4.0693	1.76623	-1.66938	1.32591	-0.707493	-1.8529	-2.41341	0.122311	1.16069	-0.0163101	-12.5121	-11.902	-13.4276	-12.512	-0.0275713	-57.9735
4.0700	1.76623	-3.80717	1.93593	-4.67429	-1.5503	-2.41341	1.06003	-0.0616147	-0.022463	-12.207	-11.902	-13.1225	-12.6646	-0.0274254	-57.9735
4.0707	1.46291	1.38035	1.93593	-5.59041	2.11405	-2.10797	2.28313	-0.6711	-0.0163101	-12.3595	-11.5969	-12.8175	-12.512	-0.0274254	-57.6737
4.0713	1.46291	5.04301	1.63092	2.65008	4.24882	-2.41341	2.28313	-0.366358	-0.0102548	-12.207	-11.1389	-13.1225	-12.3595	-0.0274254	-57.3739
4.0720	2.07223	4.43257	2.24094	9.97445	-0.634215	-2.71791	2.28313	1.46543	-0.0163101	-12.0544	-11.2917	-13.1225	-12.2069	-0.0272648	-57.2125
4.0727	2.07223	3.21168	1.93593	13.9412	-3.98768	-2.71791	1.34542	2.07492	-0.022463	-12.3595	-11.7492	-13.1225	-12.512	-0.0275713	-57.6737
4.0733	1.46291	3.21168	1.32591	19.1295	-1.24356	-2.10797	0.448472	0.854279	-0.0163101	-12.5121	-11.7492	-13.1225	-12.9701	-0.0275713	-57.5353
4.0740	1.15691	8.3992	1.32591	18.8242	3.03014	-0.887173	0.122311	-0.0616147	-0.0163101	-12.6646	-11.902	-12.97	-12.9701	-0.0274254	-57.3739
4.0747	1.15691	16.0285	-0.504148	16.6881	7.91318	0.028194	-0.163081	-0.975843	-0.0163101	-12.6646	-11.902	-13.1225	-12.6646	-0.0278778	-57.6737
4.0753	-0.367741	16.0285	-2.03172	18.5188	12.7962	-0.277241	0.733864	-0.0616147	-0.0163101	-12.5121	-11.4441	-13.1225	-12.8176	-0.0280238	-57.8351
4.0760	-1.89507	11.7579	-1.41918	16.3827	17.3725	-0.277241	1.34542	1.46543	-0.0163101	-12.8172	-11.5969	-12.97	-12.8176	-0.0280238	-57.5353
