GMfasMMM			GMext		
t	x	y	t	x	y
0.0000000000	14.0921590900	0.6294085331	0.0000000000	43.9641104600	7.1244325260
0.0235205570	14.0831008700	0.6294133483	0.0235205570	43.9646076300	7.1245533140
0.0470411139	14.0834014300	0.6301664420	0.0470411139	43.9646948100	7.1246557300
0.0705616709	14.0899752700	0.6300420020	0.0705616709	43.9647546800	7.1245671280
0.0940822279	14.0998486700	0.6294860798	0.0940822279	43.9641691900	7.1247320050
0.1176027848	14.1006989100	0.6287592551	0.1176027848	43.9643520500	7.1247085800
0.1411233418	14.1058231000	0.6280185841	0.1411233418	43.9649011000	7.1245092240
0.1646438988	14.1119616500	0.6262235500	0.1646438988	43.9640717100	7.1246315660
0.1881644557	14.1128560500	0.6263812671	0.1881644557	43.9641046300	7.1244218490
0.2116850127	14.1089269900	0.6268443060	0.2116850127	43.9643267700	7.1244837580
0.2352055697	14.1012213500	0.6281558800	0.2352055697	43.9643725400	7.1242209660
0.2587261266	14.0941315000	0.6285736567	0.2587261266	43.9639705800	7.1243186040
0.2822466836	14.0904375300	0.6293403356	0.2822466836	43.9643253200	7.1245181300
0.3057672406	14.0880608300	0.6295768887	0.3057672406	43.9642439900	7.1245791300
0.3292877975	14.0869241700	0.6299575172	0.3292877975	43.9643880700	7.1245713070
0.3528083545	14.0828435600	0.6308998951	0.3528083545	43.9642439500	7.1245322870
0.3763289115	14.0784999500	0.6313612525	0.3763289115	43.9649030500	7.1245118680
0.3998494684	14.0763088300	0.6313377715	0.3998494684	43.9647184600	7.1247502460
0.4233700254	14.0719503000	0.6317719584	0.4233700254	43.9641479700	7.1247497270
0.4468905824	14.0741783400	0.6316778047	0.4468905824	43.9643003900	7.1248351520
0.4704111393	14.0746610700	0.6320232685	0.4704111393	43.9646138300	7.1244794870
0.4939316963	14.0774882900	0.6320116664	0.4939316963	43.9647840700	7.1245032220
0.5174522533	14.0869459600	0.6299484177	0.5174522533	43.9643979600	7.1249155310
0.5409728102	14.0932192900	0.6286244752	0.5409728102	43.9643030700	7.1245000050
0.5644933672	14.0911431700	0.6290193578	0.5644933672	43.9646114500	7.1245441540
0.5880139242	14.0884451700	0.6302068479	0.5880139242	43.9645348900	7.1245117440
0.6115344811	14.0856227000	0.6298814329	0.6115344811	43.9650003700	7.1243120120
0.6350550381	14.0819724100	0.6302548119	0.6350550381	43.9652335400	7.1243359980
0.6585755951	14.0817583600	0.6299851750	0.6585755951	43.9642216200	7.1245625130
0.6820961520	14.0808745100	0.6303581718	0.6820961520	43.9652407400	7.1243084170
0.7056167090	14.0776341300	0.6310170771	0.7056167090	43.9646259600	7.1245593970
0.7291372660	14.0720495800	0.6329973536	0.7291372660	43.9645087000	7.1243800060
0.7526578229	14.0635201100	0.6349918331	0.7526578229	43.9653387500	7.1239222920
0.7761783799	14.0604930300	0.6365593881	0.7761783799	43.9655028700	7.1237515620
0.7996989369	14.0545764200	0.6399504962	0.7996989369	43.9648912900	7.1242604950
0.8232194938	14.0302727000	0.6409082541	0.8232194938	43.9651838700	7.1239553840
0.8467400508	14.0137661700	0.6424360788	0.8467400508	43.9649676300	7.1239938620
0.8702606078	13.9964246100	0.6444503266	0.8702606078	43.9656528800	7.1241537680
0.8937811647	13.9530464800	0.6537710998	0.8937811647	43.9648314100	7.1244801070
0.9173017217	13.9375866500	0.6530707480	0.9173017217	43.9649880200	7.1244879010
0.9408222787	13.8014346900	0.6647430180	0.9408222787	43.9655491200	7.1249933330
0.9643428356	13.7569988800	0.6701453065	0.9643428356	43.9652906400	7.1248888350
0.9878633926	13.7142088500	0.6746068363	0.9878633926	43.9652017200	7.1249165290
1.0113839500	13.6276615200	0.6867006803	1.0113839500	43.9651958500	7.1251979380
1.0349045070	13.5713891300	0.6938104101	1.0349045070	43.9651973100	7.1255277430
1.0584250640	13.5150403700	0.6988073644	1.0584250640	43.9651426900	7.1255624830
1.0819456200	13.4698576900	0.7073508701	1.0819456200	43.9654439100	7.1252599530
1.1054661770	13.4289419700	0.7112919495	1.1054661770	43.9655904900	7.1258228910
1.1289867340	13.4112286700	0.7145028890	1.1289867340	43.9652021000	7.1261443950
1.1525072910	13.4023404300	0.7129216072	1.1525072910	43.9654013000	7.1259599480
1.1760278480	13.3751138700	0.7175050997	1.1760278480	43.9653661300	7.1267489010
1.1995484050	13.3615178300	0.7164468083	1.1995484050	43.9650426700	7.1266280810
1.2230689620	13.3401532800	0.7145094779	1.2230689620	43.9652019400	7.1263951810
1.2465895190	13.3349109700	0.7141560496	1.2465895190	43.9645652200	7.1267575130
1.2701100760	13.3197735500	0.7155276450	1.2701100760	43.9642549300	7.1267094690
1.2936306330	13.2962193900	0.7182699519	1.2936306330	43.9651978200	7.1271144270
1.3171511900	13.2376402600	0.7291905081	1.3171511900	43.9646529100	7.1274735950
1.3406717470	13.1186229500	0.7429880380	1.3406717470	43.9647693500	7.1283332190
1.3641923040	12.9730060200	0.7583263262	1.3641923040	43.9645768600	7.1297792630
1.3877128610	12.7017436900	0.7801099533	1.3877128610	43.9624887900	7.1340743850
1.4112334180	12.5722374400	0.7907191182	1.4112334180	43.9635250000	7.1341063260
1.4347539750	12.5324009500	0.7915824518	1.4347539750	43.9633823200	7.1340628030
1.4582745320	12.4706654700	0.7984860020	1.4582745320	43.9640525400	7.1333951940
1.4817950890	12.4212497000	0.8063774872	1.4817950890	43.9631204400	7.1345405160
1.5053156460	12.3685666900	0.8121709319	1.5053156460	43.9627186200	7.1340670750
1.5288362030	12.3131282700	0.8169619955	1.5288362030	43.9642807200	7.1350875610
1.5523567600	12.2736198000	0.8160628050	1.5523567600	43.9643743300	7.1351459660
1.5758773170	12.1680779600	0.8223769687	1.5758773170	43.9629086100	7.1361756580
1.5993978740	11.9350745300	0.8416408597	1.5993978740	43.9636103200	7.1358587290
1.6229184310	11.8498299100	0.8503311114	1.6229184310	43.9662766900	7.1346255860
1.6464389880	11.8229330100	0.8511344180	1.6464389880	43.9662739900	7.1341217730
1.6699595450	11.7481023300	0.8560030067	1.6699595450	43.9661454300	7.1343269000
1.6934801020	11.6866307100	0.8655346920	1.6934801020	43.9677427400	7.1333859400
1.7170006590	11.5168608900	0.8870304393	1.7170006590	43.9669585100	7.1355424560
1.7405212160	11.4604848200	0.8916850378	1.7405212160	43.9669109200	7.1348140990
1.7640417730	11.3685811700	0.8989650051	1.7640417730	43.9658115400	7.1360716810
1.7875623290	11.2685435800	0.9089192067	1.7875623290	43.9687417000	7.1353661380
1.8110828860	11.1629155500	0.9173945225	1.8110828860	43.9692244900	7.1345275940
1.8346034430	11.0159551100	0.9309013822	1.8346034430	43.9693593100	7.1344033680
1.8581240000	10.9842644500	0.9404268174	1.8581240000	43.9692723500	7.1336794710
1.8816445570	10.9241711800	0.9463024720	1.8816445570	43.9680738400	7.1339037750
1.9051651140	10.8162674200	0.9664061466	1.9051651140	43.9673643900	7.1347397520
1.9286856710	10.7135481500	0.9771473921	1.9286856710	43.9670391900	7.1350391300
1.9522062280	10.5746107500	1.0043973150	1.9522062280	43.9679210200	7.1372687580
1.9757267850	10.4380194600	1.0436035020	1.9757267850	43.9673854600	7.1375869490
1.9992473420	10.3618835600	1.0593868670	1.9992473420	43.9658663700	7.1371743450
2.0227678990	10.2785110300	1.0717113270	2.0227678990	43.9655512800	7.1366564970
2.0462884560	10.1527257500	1.1033613470	2.0462884560	43.9654779200	7.1398193420
2.0698090130	10.0987677500	1.1126604800	2.0698090130	43.9648803400	7.1396389300
2.0933295700	9.8878687860	1.1414182010	2.0933295700	43.9633876000	7.1416640880
2.1168501270	9.8434810120	1.1375547740	2.1168501270	43.9655459200	7.1428128100
2.1403706840	9.8183173430	1.1331218780	2.1403706840	43.9649513300	7.1403229760
2.1638912410	9.7296918730	1.1494808700	2.1638912410	43.9640351700	7.1410406870
2.1874117980	9.6550245530	1.1544185370	2.1874117980	43.9629480000	7.1412484330
2.2109323550	9.5783502740	1.1621415970	2.2109323550	43.9662592100	7.1420808190
2.2344529120	9.5218627270	1.1646977020	2.2344529120	43.9655961300	7.1431665640
2.2579734690	9.4847734630	1.1727629700	2.2579734690	43.9660789200	7.1425259930
2.2814940260	9.2975765010	1.1955346020	2.2814940260	43.9644161800	7.1456303560
2.3050145830	9.2131429570	1.2040964310	2.3050145830	43.9655775100	7.1479983480
2.3285351400	9.0921674270	1.2195470740	2.3285351400	43.9638127000	7.1500995300
2.3520556970	9.0002800950	1.2381757670	2.3520556970	43.9653213800	7.1526596520
2.3755762540	8.9338868710	1.2580339960	2.3755762540	43.9654353200	7.1522101570
2.3990968110	8.8488922360	1.2762618530	2.3990968110	43.9621175700	7.1531325020
2.4226173680	8.7806478450	1.3016866290	2.4226173680	43.9619067600	7.1553240410
2.4461379250	8.7458675590	1.3095774030	2.4461379250	43.9609784600	7.1548587800
2.4696584820	8.6495797100	1.3278904300	2.4696584820	43.9614607500	7.1554154940
2.4931790380	8.6027948430	1.3473768880	2.4931790380	43.9604096600	7.1571495600
2.5166995950	8.5417081600	1.3610485840	2.5166995950	43.9567849600	7.1565857110
2.5402201520	8.4877980850	1.3799405100	2.5402201520	43.9558163400	7.1624514110
2.5637407090	8.4507331010	1.3724225980	2.5637407090	43.9519738100	7.1631959450
2.5872612660	8.3655522140	1.3824462120	2.5872612660	43.9670072700	7.1627269690
2.6107818230	8.2314894030	1.4009093350	2.6107818230	43.9668737400	7.1691537050
2.6343023800	8.1233651460	1.4160369130	2.6343023800	43.9659756400	7.1762517110
2.6578229370	8.0850297920	1.4208381940	2.6578229370	43.9674245300	7.1798687840
2.6813434940	7.9715524260	1.4298612620	2.6813434940	43.9664587900	7.1836968020
2.7048640510	7.9147692300	1.4329721440	2.7048640510	43.9665024600	7.1865485400
2.7283846080	7.7022521500	1.4561143820	2.7283846080	43.9647678100	7.1903158370
2.7519051650	7.6395001590	1.4599578940	2.7519051650	43.9652956800	7.1924769130
2.7754257220	7.4116448090	1.5008946170	2.7754257220	43.9665708200	7.1966810520
2.7989462790	7.2352213820	1.5339796580	2.7989462790	43.9637791100	7.2010024670
2.8224668360	7.2200701390	1.5397790570	2.8224668360	43.9651435800	7.2009075530
2.8459873930	7.1614805740	1.5489598840	2.8459873930	43.9640224500	7.2024283720
2.8695079500	7.0075762200	1.5661110060	2.8695079500	43.9649582200	7.2037152040
2.8930285070	6.9388854260	1.5758447700	2.8930285070	43.9667879300	7.2030479250
2.9165490640	6.8437554520	1.5853983190	2.9165490640	43.9673387600	7.2045544710
2.9400696210	6.7914972170	1.5925502030	2.9400696210	43.9688623700	7.2050318650
2.9635901780	6.7315924240	1.5969578630	2.9635901780	43.9694334700	7.2050214980
