SOLfas2MM			SOLextMM		
t	x	y	t	x	y
0.00	-5.721546837	7.902762259	0.00	24.90526262	14.42105232
0.02498500899	-5.720916703	7.902572962	0.02498500899	24.90490073	14.41726817
0.04997001799	-5.719996316	7.902675713	0.04997001799	24.90520648	14.4169557
0.07495502698	-5.722147062	7.902868721	0.07495502698	24.90410686	14.41665054
0.09994003598	-5.714164475	7.902831608	0.09994003598	24.90340019	14.4165104
0.124925045	-5.712631961	7.902206039	0.124925045	24.90330529	14.4163959
0.149910054	-5.710061737	7.902764717	0.149910054	24.90319456	14.41619904
0.174895063	-5.707847435	7.902389489	0.174895063	24.90325199	14.41587381
0.199880072	-5.712006677	7.903726752	0.199880072	24.90121623	14.41592764
0.224865081	-5.712338322	7.902543823	0.224865081	24.9007735	14.41567116
0.2498500899	-5.719837653	7.902218512	0.2498500899	24.9010295	14.41542779
0.2748350989	-5.728178107	7.903980089	0.2748350989	24.90074178	14.41544438
0.2998201079	-5.72294362	7.903107427	0.2998201079	24.89953118	14.41517136
0.3248051169	-5.72289235	7.904067128	0.3248051169	24.89981047	14.41491343
0.3497901259	-5.723036744	7.902902337	0.3497901259	24.89992723	14.41496108
0.3747751349	-5.71743591	7.90368498	0.3747751349	24.90125628	14.41536094
0.3997601439	-5.713478991	7.902187594	0.3997601439	24.90075307	14.41536607
0.4247451529	-5.713309105	7.902213817	0.4247451529	24.90037237	14.41474318
0.4497301619	-5.712147731	7.902885819	0.4497301619	24.90168876	14.41479679
0.4747151709	-5.699192833	7.902284003	0.4747151709	24.89883127	14.41408021
0.4997001799	-5.685079997	7.901407516	0.4997001799	24.89981185	14.41436856
0.5246851889	-5.660792059	7.902817747	0.5246851889	24.90013117	14.4139258
0.5496701979	-5.68757021	7.902324837	0.5496701979	24.89942241	14.41479084
0.5746552069	-5.683339708	7.90414324	0.5746552069	24.90009543	14.41449192
0.5996402159	-5.66220271	7.905335318	0.5996402159	24.89861257	14.41398346
0.6246252249	-5.669257445	7.904847656	0.6246252249	24.89910233	14.41425378
0.6496102339	-5.670189061	7.903468329	0.6496102339	24.89979144	14.41435829
0.6745952429	-5.65745313	7.903070523	0.6745952429	24.89927231	14.41438782
0.6995802518	-5.640375268	7.903357557	0.6995802518	24.90025679	14.41412015
0.7245652608	-5.602432226	7.903650695	0.7245652608	24.89963893	14.41378852
0.7495502698	-5.601200334	7.903786657	0.7495502698	24.90060215	14.41396292
0.7745352788	-5.589473444	7.903608865	0.7745352788	24.90101246	14.41434771
0.7995202878	-5.599835099	7.901770836	0.7995202878	24.90204401	14.41434873
0.8245052968	-5.6337225	7.902429754	0.8245052968	24.9016128	14.41408485
0.8494903058	-5.658518551	7.896989945	0.8494903058	24.90443581	14.41424801
0.8744753148	-5.736923521	7.897890274	0.8744753148	24.90292716	14.41411417
0.8994603238	-5.756658589	7.903424872	0.8994603238	24.90461428	14.41418748
0.9244453328	-5.812662155	7.907746477	0.9244453328	24.91838523	14.41117977
0.9494303418	-5.825408769	7.892816669	0.9494303418	24.92001317	14.41037967
0.9744153508	-5.774352735	7.885917715	0.9744153508	24.92670226	14.40895145
0.9994003598	-5.762708584	7.893211772	0.9994003598	24.92975694	14.40801563
1.024385369	-5.774354722	7.907945409	1.024385369	24.92697975	14.40899914
1.049370378	-5.775770941	7.922319667	1.049370378	24.92598092	14.40987144
1.074355387	-5.689651634	7.912402457	1.074355387	24.92227586	14.41130675
1.099340396	-5.60731362	7.908254379	1.099340396	24.92774001	14.41128974
1.124325405	-5.548179647	7.911817689	1.124325405	24.93903561	14.4119512
1.149310414	-5.537658978	7.91347924	1.149310414	24.94103988	14.41022083
1.174295423	-5.388934171	7.92251472	1.174295423	24.9682534	14.40709772
1.199280432	-5.465493009	7.938006542	1.199280432	24.96117509	14.40370446
1.224265441	-5.516554374	7.965003423	1.224265441	24.95571246	14.40462246
1.24925045	-5.534161803	7.971824105	1.24925045	24.95332802	14.4049951
1.274235459	-5.544003087	7.977111639	1.274235459	24.95337155	14.40659812
1.299220468	-5.599769799	7.988797395	1.299220468	24.96059378	14.40879455
1.324205477	-5.617483049	7.998302659	1.324205477	24.98889348	14.40740132
1.349190486	-5.623210828	8.00934431	1.349190486	25.02625828	14.40676958
1.374175495	-5.660549692	8.000289663	1.374175495	25.02069456	14.40714327
1.399160504	-5.666992503	8.011667685	1.399160504	25.03120408	14.40661213
1.424145513	-5.66479088	8.035078863	1.424145513	25.05251144	14.40544971
1.449130522	-5.689156035	8.041576916	1.449130522	25.06852963	14.4048148
1.474115531	-5.711050492	8.052830896	1.474115531	25.06260356	14.40447971
1.49910054	-5.705962913	8.058459082	1.49910054	25.06353336	14.40499704
1.524085549	-5.786064598	8.077043945	1.524085549	25.06764364	14.40500863
1.549070558	-5.800844597	8.072943867	1.549070558	25.07251163	14.40443552
1.574055567	-5.823920219	8.07637958	1.574055567	25.08080307	14.40301198
1.599040576	-5.922768165	8.079173923	1.599040576	25.08783624	14.40086724
1.624025585	-5.951169564	8.073236638	1.624025585	25.08655431	14.40150659
1.649010594	-5.958941647	8.071352766	1.649010594	25.08706062	14.40226684
1.673995603	-5.968537222	8.075522216	1.673995603	25.08643206	14.40289824
1.698980612	-5.955781232	8.07414208	1.698980612	25.08480061	14.40387827
1.723965621	-5.961008316	8.079688756	1.723965621	25.08362986	14.40442822
1.74895063	-5.955813741	8.089202598	1.74895063	25.08353014	14.40462372
1.773935639	-5.969865574	8.096969372	1.773935639	25.0828483	14.40538065
1.798920648	-5.971604031	8.110520872	1.798920648	25.08427588	14.40642965
1.823905657	-5.992669923	8.117289528	1.823905657	25.0890405	14.40443503
1.848890666	-5.992075245	8.118393283	1.848890666	25.09315914	14.40251679
1.873875675	-6.062661757	8.111445119	1.873875675	25.08703142	14.40151408
1.898860684	-6.089877294	8.101146833	1.898860684	25.08330101	14.39962549
1.923845693	-6.115955509	8.106357652	1.923845693	25.07972111	14.3984691
1.948830702	-6.221134018	8.114380171	1.948830702	25.04725673	14.39351781
1.973815711	-6.376339758	8.110657623	1.973815711	25.04326045	14.39573753
1.99880072	-6.393713961	8.106712462	1.99880072	25.03552315	14.39703368
2.023785729	-6.403726878	8.111457766	2.023785729	25.03785374	14.39781993
2.048770738	-6.42230026	8.114807043	2.048770738	25.02878974	14.39982969
2.073755747	-6.397147187	8.116794607	2.073755747	25.0194449	14.40020087
2.098740756	-6.395364215	8.118623638	2.098740756	25.02165226	14.40084103
