"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
59.1487	-0.397996	0.762767	0.307584	-0.0865142	0.0884298	-4.80956	-0.653311	0.21821	3.38499	-1868.44	336.764	-88.8073	4976.81	-0.000155205	-101.622
59.1493	-0.397996	1.06787	-0.302778	0.218989	0.0884298	-5.11498	-0.653311	0.523384	3.38499	-1869.51	335.841	-89.8732	4975.89	-0.00076563	-52.1806
59.1500	0.823512	1.37298	-0.302778	-0.0865142	0.699148	-1.75847	0.262685	1.43891	3.38499	-1871.04	334.773	-91.399	4974.37	-0.00076563	-53.2514
59.1507	1.12836	1.67809	-0.302778	-0.0865142	0.392407	1.90655	0.567564	0.523384	3.38499	-1872.11	334.172	-92.468	4973.3	-0.000460364	-64.3917
59.1513	0.2117	1.06787	0.002403	-0.0865142	0.0884298	3.12514	-0.042193	-0.086964	3.37895	-1871.34	334.317	-91.7066	4974.06	-0.000460364	-57.5345
59.1520	-0.0931479	-0.152553	0.307584	-0.392018	-0.218311	0.684877	-0.042193	0.828559	3.37895	-1868.74	336.308	-89.1118	4976.81	-0.000155205	-58.7495
59.1527	-0.0931479	-1.37445	0.307584	-0.392018	0.0884298	-0.842214	0.567564	1.74408	3.37265	-1867.2	338.133	-87.586	4978.64	-0.000307838	-59.2025
59.1533	-0.702843	-3.20509	0.612764	0.829996	0.392407	-1.14763	0.567564	2.35443	3.37265	-1867.08	338.444	-87.2815	4979.25	-0.00122331	-59.6555
59.1540	-0.702843	-5.64594	0.612764	2.35481	0.392407	-0.536796	-0.347071	2.04926	3.37265	-1866.43	338.745	-86.6693	4980.16	-0.00122331	-59.8203
59.1547	0.823512	-6.25615	0.612764	2.66031	0.392407	0.0740408	-0.347071	0.828559	3.36661	-1866.31	338.901	-86.6693	4979.71	-0.000612997	-59.0583
59.1553	1.12836	-5.34083	0.002403	1.4383	-0.218311	-1.45305	-0.042193	-0.697312	3.36057	-1866.91	338.444	-87.1262	4978.33	-0.000460364	-58.4406
59.1560	0.516548	-3.20509	0.002403	-1.91683	0.392407	-4.19873	0.567564	-1.61283	3.36057	-1867.67	337.521	-87.586	4978.18	-0.000460364	-58.8936
59.1567	0.516548	1.37298	0.612764	-2.83334	0.699148	-4.80956	0.567564	-1.30766	3.36057	-1867.97	337.521	-87.7383	4978.18	-0.00076563	-59.2025
59.1573	-0.0931479	5.33937	0.002403	0.524492	-0.218311	-4.50415	0.262685	0.21821	3.35453	-1867.67	338.133	-87.586	4978.33	-0.000612997	-59.0583
59.1580	-0.702843	6.86637	0.002403	2.66031	0.0884298	-4.80956	0.262685	0.21821	3.35453	-1867.67	338.133	-87.7383	4977.72	-0.000155205	-59.3466
59.1587	-0.397996	6.86637	0.612764	1.4383	0.699148	-2.67164	-0.347071	-0.392138	3.35453	-1867.5	338.444	-87.7383	4977.72	-0.000307838	-59.5114
59.1593	-0.0931479	6.56126	0.307584	-0.0865142	-0.218311	3.12514	-0.042193	0.21821	3.34823	-1866.31	339.357	-86.2125	4979.4	-0.000155205	-59.0583
59.1600	-0.0931479	2.89851	0.307584	-1.00302	-0.218311	2.81972	0.262685	1.13373	3.34823	-1865.55	339.813	-85.4481	4980.16	-0.000460364	-58.8936
59.1607	-0.397996	-5.03573	0.917945	-1.61403	0.699148	-3.28247	-0.042193	1.74408	3.34823	-1865.84	339.813	-85.7557	4980.01	-0.00076563	-59.0583
59.1613	-0.0931479	-10.224	0.612764	-2.52784	0.699148	-6.94441	-0.042193	1.43891	3.34823	-1866.31	339.201	-86.2125	4979.71	-0.00076563	-58.7495
59.1620	0.823512	-11.4444	0.307584	-3.74985	0.392407	-9.69009	0.262685	0.523384	3.34823	-1867.38	337.521	-87.4338	4978.33	-0.00076563	-59.0583
59.1627	-0.0931479	-11.1393	0.612764	-3.74985	0.392407	-12.7443	-0.042193	-0.086964	3.34219	-1868.62	335.841	-88.655	4976.5	-0.000612997	-59.3466
59.1633	-0.702843	-9.6138	0.612764	-3.74985	0.0884298	-13.9629	-0.042193	0.21821	3.34823	-1869.21	335.084	-89.5687	4976.04	-0.000612997	-59.2025
59.1640	-0.0931479	-8.08826	0.002403	-4.05535	0.0884298	-12.1334	-0.347071	-0.086964	3.34219	-1869.51	335.084	-89.8732	4975.74	-0.00076563	-59.3466
59.1647	0.2117	-7.17294	0.002403	-0.0865142	-0.218311	-6.94441	-0.347071	0.523384	3.34219	-1869.68	335.24	-89.721	4975.74	-0.00122331	-59.6555
59.1653	0.516548	-4.12041	0.307584	6.01544	-0.826266	-2.97706	0.262685	-0.086964	3.34823	-1869.03	335.385	-89.2641	4976.35	-0.00122331	-59.3466
59.1660	0.516548	3.20362	0.002403	5.10163	-0.522288	-2.97706	0.262685	-2.22318	3.34823	-1868.62	335.997	-88.4997	4976.81	-0.000918156	-59.0583
59.1667	-0.0931479	10.2225	-0.302778	-0.0865142	-0.218311	-4.19873	-0.042193	-2.52836	3.34219	-1869.03	336.308	-88.8073	4976.65	-0.00107079	-59.5114
59.1673	-0.702843	8.3919	-0.302778	-4.05535	0.0884298	-4.80956	0.262685	-1.30766	3.33615	-1869.21	336.308	-89.1118	4976.65	-0.00107079	-59.5114
59.1680	-0.397996	1.06787	0.002403	-4.35815	-0.218311	-6.94441	-0.042193	-0.086964	3.33615	-1868.74	335.841	-88.655	4976.81	-0.000612997	-58.8936
59.1687	0.2117	-4.73062	0.307584	-5.27466	-0.522288	-13.0497	0.262685	-0.086964	3.34219	-1869.03	335.24	-89.4164	4976.2	-0.00076563	-59.2025
59.1693	-0.0931479	-5.95105	0.002403	-11.9876	-0.522288	-20.0681	0.567564	-0.086964	3.33615	-1869.98	334.317	-90.4854	4974.98	-0.000918156	-59.8203
59.1700	0.2117	-3.51019	-0.302778	-7.71599	0.0884298	-22.203	-0.042193	0.828559	3.33615	-1871.16	333.103	-91.5513	4973.6	-0.00107079	-59.3466
59.1707	0.2117	-2.89998	-0.302778	11.8146	0.699148	-21.5921	-0.347071	1.74408	3.33615	-1871.81	332.18	-92.6203	4972.69	-0.00122331	-59.5114
59.1713	-0.0931479	-3.8153	-0.607958	17.3083	0.699148	-20.679	-0.347071	0.21821	3.34219	-1871.51	332.637	-91.7066	4973.91	-0.00076563	-59.8203
59.1720	0.516548	1.98319	-0.607958	7.23745	-0.218311	-13.6574	0.262685	-1.61283	3.33615	-1869.51	334.773	-89.5687	4976.5	-0.000460364	-59.3466
59.1727	1.43321	9.61233	0.307584	1.1328	0.0884298	3.12514	0.567564	-2.52836	3.33011	-1867.2	337.376	-87.586	4978.49	-0.000612997	-59.3466
59.1733	1.43321	12.6649	0.917945	-1.61403	0.392407	20.5216	0.262685	-1.61283	3.33011	-1865.67	338.59	-86.0602	4979.4	-0.00076563	-59.6555
59.1740	0.516548	13.2751	0.917945	-2.83334	-0.218311	27.8455	-0.042193	1.13373	3.33615	-1865.55	338.444	-85.4481	4979.4	-0.000918156	-59.5114
59.1747	0.2117	12.6649	0.612764	-4.96916	0.0884298	23.5727	-0.042193	1.74408	3.33011	-1866.43	337.978	-86.3648	4978.64	-0.000918156	-59.0583
59.1753	-0.0931479	8.69701	0.002403	-7.41048	0.0884298	16.5543	0.567564	0.523384	3.33011	-1867.08	337.221	-87.4338	4977.42	-0.000918156	-59.2025
59.1760	-0.397996	5.03426	0.002403	7.84846	-0.218311	11.9761	0.873803	1.13373	3.33011	-1867.5	336.308	-88.0429	4977.11	-0.00107079	-59.5114
59.1767	0.823512	4.11894	0.612764	24.6322	-0.218311	8.61958	0.262685	2.35443	3.33011	-1867.5	336.308	-88.1951	4977.57	-0.00107079	-59.3466
59.1773	1.43321	4.11894	0.612764	8.76227	0.0884298	6.78707	-0.347071	1.13373	3.33011	-1867.38	336.152	-88.3474	4977.88	-0.00107079	-58.8936
59.1780	1.12836	4.42405	0.002403	-8.6325	0.699148	6.78707	-0.347071	-1.00249	3.33011	-1867.97	335.385	-89.1118	4976.81	-0.00122331	-59.6555
59.1787	1.43321	4.42405	0.307584	-4.05535	0.699148	3.43056	0.262685	-1.30766	3.33011	-1867.85	336.152	-88.9596	4977.11	-0.00122331	-59.8203
59.1793	0.516548	3.50873	0.612764	0.524492	0.392407	-6.63899	0.567564	-1.30766	3.33011	-1866.31	337.978	-87.2815	4979.1	-0.00076563	-59.2025
59.1800	-0.0931479	-0.152553	0.612764	-0.392018	0.0884298	-4.50415	-0.347071	-0.697312	3.32381	-1865.25	338.59	-86.6693	4979.86	-0.000918156	-59.3466
59.1807	-0.0931479	-4.12041	0.612764	-0.392018	0.392407	11.0598	-0.042193	-0.697312	3.33011	-1865.25	338.901	-86.5171	4980.16	-0.000612997	-59.3466
59.1813	-0.0931479	-5.64594	0.307584	-0.697521	0.0884298	13.1978	0.567564	-2.22318	3.33011	-1865.55	339.201	-86.3648	4980.01	-2.67965e-006	-58.8936
59.1820	-0.0931479	-5.34083	0.002403	-0.697521	-0.522288	5.56848	0.262685	-2.52836	3.32381	-1866.61	337.832	-87.4338	4978.49	-0.000612997	-59.0583
59.1827	0.516548	-4.12041	0.612764	0.218989	0.0884298	4.04139	0.567564	-0.392138	3.32381	-1868.15	335.696	-88.9596	4976.65	-0.00076563	-58.8936
59.1833	0.516548	-4.12041	0.917945	2.04931	0.392407	3.43056	1.17868	1.13373	3.31777	-1869.33	334.317	-89.4164	4975.28	-0.000307838	-58.7495
59.1840	0.2117	-7.47805	0.002403	3.57412	0.0884298	0.684877	0.567564	0.828559	3.32381	-1869.21	334.172	-89.4164	4975.59	-0.000612997	-59.2025
59.1847	1.12836	-12.0546	-0.302778	4.79613	-0.218311	0.0740408	0.873803	1.43891	3.31777	-1868.74	334.317	-89.2641	4976.2	-0.00107079	-59.2025
59.1853	0.823512	-19.3787	0.307584	4.49063	-0.218311	0.990295	0.873803	2.35443	3.32381	-1868.62	334.317	-88.9596	4976.5	-0.000918156	-59.3466
59.1860	-0.397996	-26.7042	-0.607958	0.829996	0.0884298	-1.45305	-0.042193	2.35443	3.32381	-1867.97	334.317	-88.4997	4976.96	-0.000918156	-59.3466
59.1867	0.2117	-16.0225	-1.21832	-2.83334	0.0884298	-7.55524	-0.042193	2.35443	3.32381	-1867.97	334.172	-87.8906	4977.11	-0.000460364	-58.7495
59.1873	0.516548	5.95105	-0.302778	-4.66366	-0.218311	-14.5737	0.567564	2.35443	3.32381	-1868.15	333.861	-87.8906	4976.96	-0.000155205	-58.7495
59.1880	-0.397996	5.95105	0.307584	-5.27466	-0.218311	-19.1519	0.567564	1.13373	3.32381	-1867.97	333.705	-88.3474	4976.65	-0.00076563	-59.3466
59.1887	-0.702843	-10.224	0.307584	-5.58017	0.699148	-17.9302	0.262685	0.828559	3.32381	-1868.44	333.404	-89.2641	4976.35	-0.00107079	-59.3466
59.1893	-0.0931479	-20.2955	0.612764	-6.19117	0.392407	-22.5084	0.262685	2.6596	3.31777	-1869.68	332.336	-90.4854	4975.43	-0.00107079	-59.3466
59.1900	-0.397996	-24.2619	0.612764	2.04931	-0.218311	-34.4104	-0.042193	4.18547	3.32381	-1870.75	331.268	-91.7066	4974.06	-0.00076563	-58.8936
59.1907	-0.702843	-22.4312	0.307584	14.8669	-0.218311	-25.2541	-0.347071	2.6596	3.32381	-1871.51	330.656	-92.6203	4972.99	-0.000918156	-59.0583
59.1913	-0.397996	-16.0225	-0.302778	6.01544	-0.218311	-3.89331	-0.042193	-2.52836	3.31777	-1871.16	331.112	-92.0112	4973.6	-0.00122331	-59.6555
59.1920	0.2117	-11.4444	-0.302778	-10.7683	-0.218311	6.17623	0.262685	-6.19045	3.31777	-1869.51	333.103	-90.0255	4975.89	-0.00137595	-59.6555
59.1927	0.516548	-1.06934	-0.302778	-12.5986	0.392407	20.827	0.567564	-4.3594	3.31777	-1867.5	335.24	-87.8906	4978.18	-0.000918156	-59.5114
59.1933	-0.0931479	10.5276	-0.607958	-11.0738	0.392407	34.8639	0.262685	-1.91801	3.31777	-1865.84	336.609	-86.2125	4979.71	-0.000460364	-59.0583
59.1940	-0.702843	11.443	-0.302778	-11.3793	0.0884298	29.3695	-0.347071	-1.61283	3.31777	-1865.67	336.453	-86.2125	4979.4	-0.00122331	-59.0583
59.1947	-0.702843	8.69701	0.002403	-8.32699	-0.218311	17.4705	-0.653311	-1.61283	3.31173	-1866.61	335.385	-87.1262	4978.18	-0.00122331	-59.5114
59.1953	-0.0931479	19.0736	0.307584	-0.0865142	0.0884298	7.09249	-0.042193	-0.086964	3.31777	-1867.38	334.172	-87.4338	4977.26	-0.000918156	-59.3466
59.1960	-0.0931479	36.7727	0.612764	6.32094	0.392407	-4.80956	0.262685	0.828559	3.31777	-1867.67	333.705	-87.7383	4977.57	-0.000918156	-59.3466
59.1967	-0.397996	32.8063	0.307584	4.49063	0.392407	-13.9629	0.567564	-0.392138	3.30569	-1867.85	334.016	-88.0429	4977.72	-0.000918156	-59.3466
59.1973	-0.702843	13.8853	0.002403	1.4383	0.0884298	-13.9629	0.567564	-2.22318	3.30569	-1867.85	333.705	-88.3474	4977.11	-0.00107079	-59.2025
59.1980	-0.702843	1.98319	-0.607958	2.04931	0.0884298	-8.16608	0.262685	-1.91801	3.30569	-1867.85	333.404	-88.655	4977.11	-0.00107079	-59.2025
59.1987	-0.702843	-1.98466	-0.607958	5.10163	-0.218311	-5.4204	-0.042193	0.21821	3.30569	-1867.2	334.016	-88.1951	4978.03	-0.00076563	-58.8936
59.1993	-1.00769	1.67809	-0.302778	8.15396	0.0884298	-15.4899	0.262685	1.13373	3.30569	-1866.02	335.385	-86.8216	4979.4	-0.000460364	-58.8936
59.2000	-0.397996	9.00212	0.002403	6.62645	0.0884298	-31.6648	0.262685	0.828559	3.30569	-1865.25	336.308	-86.0602	4980.01	-0.000612997	-59.2025
59.2007	-0.0931479	13.5802	-0.302778	4.18512	0.0884298	-20.9844	0.262685	1.43891	3.30569	-1864.6	337.065	-85.7557	4980.16	-0.000918156	-59.2025
59.2013	-0.397996	11.7481	-0.302778	4.18512	0.0884298	11.6707	0.567564	2.04926	3.30569	-1864.96	336.764	-85.908	4980.01	-0.000612997	-58.5847
59.2020	-0.702843	6.25615	-0.302778	1.1328	-0.218311	26.013	0.262685	2.35443	3.29939	-1866.43	334.317	-87.2815	4978.33	-0.000918156	-58.7495
59.2027	-0.397996	3.81383	0.002403	-6.49668	-0.522288	11.0598	0.567564	2.6596	3.29335	-1867.85	332.336	-88.8073	4976.65	-0.00122331	-59.2025
59.2033	-0.397996	5.03426	0.307584	-8.938	-0.218311	-16.4062	0.262685	1.74408	3.28731	-1868.62	331.268	-89.2641	4975.89	-0.00107079	-59.3466
59.2040	-0.397996	9.00212	0.307584	-1.00302	-0.218311	-36.5484	-0.042193	-0.697312	3.29335	-1868.91	330.5	-88.9596	4975.43	-0.00107079	-59.2025
59.2047	0.2117	16.3261	0.002403	8.45676	0.0884298	-20.3736	-0.347071	-2.83353	3.29939	-1868.44	330.5	-88.8073	4976.04	-0.00107079	-59.0583
59.2053	0.2117	16.6313	-0.302778	9.67878	0.0884298	3.73597	-0.347071	-4.66458	3.29939	-1867.97	330.5	-88.9596	4976.35	-0.00107079	-59.3466
59.2060	-0.397996	8.3919	-0.302778	2.96582	0.0884298	-14.5737	-0.042193	-5.5801	3.29335	-1868.15	330.656	-88.9596	4976.2	-0.00137595	-59.6555
