"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
72.8973	0.2117	-0.45766	0.002403	0.524492	-0.218311	0.379459	-0.653311	0.828559	1.96897	-1863.54	134.278	-89.2641	4976.04	-0.00076563	-94.9093
72.8980	0.2117	-0.764234	0.307584	0.829996	-0.522288	0.379459	-0.347071	-0.086964	1.96897	-1864.96	132.598	-90.9422	4974.21	-0.000918156	-45.1586
72.8987	-0.0931479	-0.45766	0.307584	0.218989	-0.218311	0.684877	-0.042193	-0.086964	1.96897	-1866.43	130.462	-92.1635	4973.14	-0.000612997	-61.1793
72.8993	-0.702843	0.152553	0.307584	-0.697521	0.392407	0.684877	-0.042193	0.21821	1.96293	-1866.91	129.238	-92.3157	4973.14	-0.00076563	-62.7238
72.9000	-0.397996	0.45766	0.002403	-0.392018	-0.218311	0.379459	0.262685	-0.392138	1.96293	-1865.55	129.85	-90.9422	4974.82	-0.00107079	-58.4406
72.9007	-0.397996	-0.764234	-0.302778	-0.0865142	-0.522288	0.379459	0.873803	-0.392138	1.96293	-1863.42	131.375	-88.8073	4977.42	-0.000918156	-59.8203
72.9013	-0.397996	-1.67955	0.612764	-0.392018	-0.218311	0.0740408	0.567564	-0.086964	1.96293	-1861.29	133.21	-86.9739	4979.25	-0.000155205	-59.5114
72.9020	-0.0931479	-1.37445	0.917945	-0.392018	-0.218311	0.0740408	0.567564	0.21821	1.96293	-1860.35	134.579	-85.7557	4979.71	-0.000307838	-59.5114
72.9027	0.2117	-0.45766	-0.302778	-0.697521	-0.522288	-0.231377	0.567564	0.523384	1.96897	-1860.64	134.278	-85.908	4979.1	-0.00076563	-59.8203
72.9033	-0.0931479	0.45766	-0.607958	-0.392018	0.0884298	-0.231377	-0.042193	0.21821	1.96293	-1861.29	133.667	-86.8216	4978.49	-0.000612997	-59.8203
72.9040	-0.397996	0.152553	0.612764	-0.0865142	0.392407	-0.536796	-0.347071	-0.392138	1.95663	-1862.36	133.366	-87.4338	4977.88	-0.000918156	-59.9644
72.9047	-0.0931479	-0.152553	0.612764	-0.392018	0.0884298	-0.231377	-0.042193	-0.392138	1.96293	-1862.77	133.511	-87.2815	4977.26	-0.00076563	-60.1291
72.9053	-0.0931479	-0.152553	0.307584	-0.392018	0.392407	0.379459	0.262685	-0.086964	1.96293	-1862.47	133.667	-86.9739	4977.42	-0.000307838	-59.8203
72.9060	-0.0931479	-0.152553	0.612764	-0.0865142	0.392407	0.379459	0.262685	-0.086964	1.96293	-1862.65	132.899	-87.4338	4977.57	-0.000460364	-59.6555
72.9067	-0.0931479	-1.37445	0.612764	0.218989	0.0884298	-0.536796	0.262685	-0.086964	1.96293	-1862.47	132.142	-88.0429	4977.42	-0.000460364	-59.8203
72.9073	-0.0931479	-1.67955	0.307584	-0.392018	-0.218311	-0.842214	0.262685	0.21821	1.96293	-1861.41	132.443	-87.7383	4978.18	-0.000612997	-59.6555
72.9080	0.2117	-1.67955	-0.302778	-0.392018	-0.522288	0.0740408	-0.042193	0.21821	1.95663	-1860.64	132.899	-87.2815	4979.71	-0.000918156	-59.6555
72.9087	-0.0931479	-0.764234	0.002403	0.218989	-0.522288	0.379459	-0.042193	-0.392138	1.96293	-1860.05	133.21	-87.2815	4980.16	-0.000460364	-59.3466
72.9093	-0.397996	-0.45766	0.307584	-0.0865142	0.0884298	0.0740408	-0.042193	-0.392138	1.96293	-1859.46	133.667	-87.586	4979.71	-0.000155205	-59.2025
72.9100	0.2117	-0.764234	0.307584	-0.0865142	0.699148	-0.231377	-0.653311	0.21821	1.95663	-1860.35	133.21	-88.0429	4979.1	-0.000460364	-59.3466
72.9107	-0.397996	-0.764234	-0.302778	-0.392018	0.392407	-0.231377	-0.347071	0.21821	1.95663	-1861.29	132.598	-88.4997	4977.72	-0.000460364	-59.8203
72.9113	-0.702843	-1.06934	0.002403	-0.697521	0.0884298	-0.231377	-0.347071	-0.086964	1.95663	-1862.36	132.142	-89.2641	4976.2	-0.000460364	-59.9644
72.9120	-0.397996	-1.37445	0.002403	-0.697521	0.0884298	0.379459	-0.347071	-0.086964	1.95663	-1863.54	131.686	-89.2641	4975.89	-0.000612997	-59.6555
72.9127	-0.0931479	-1.37445	-0.302778	-0.697521	0.0884298	0.0740408	-0.653311	-0.392138	1.95663	-1863.24	131.686	-88.1951	4976.04	-0.000460364	-59.8203
72.9133	-0.0931479	-1.06934	-0.302778	-0.697521	-0.218311	-0.231377	-0.347071	-0.086964	1.95059	-1862.95	131.686	-88.0429	4976.5	-0.00076563	-60.1291
72.9140	-0.397996	-1.06934	-0.302778	-0.697521	-0.826266	0.0740408	-0.042193	0.523384	1.94456	-1863.24	131.074	-88.1951	4976.65	-0.00076563	-60.2733
72.9147	-0.702843	-1.06934	0.002403	-0.0865142	0.0884298	0.684877	-0.042193	0.21821	1.94456	-1862.77	131.074	-87.8906	4976.81	-0.000612997	-60.2733
72.9153	-0.397996	-1.37445	0.307584	0.524492	0.392407	0.379459	-0.347071	-0.392138	1.93852	-1862.36	131.229	-88.0429	4977.42	-0.000612997	-60.1291
72.9160	0.2117	-1.06934	0.002403	0.218989	0.0884298	-0.231377	-0.042193	-0.086964	1.93221	-1862	131.074	-88.4997	4977.42	-0.000612997	-59.9644
72.9167	-0.0931479	-0.764234	0.002403	-0.0865142	0.392407	-0.231377	-0.042193	0.828559	1.93221	-1862.18	130.763	-89.1118	4976.81	-0.000612997	-59.9644
72.9173	-0.0931479	-1.98466	0.612764	-0.0865142	0.392407	0.0740408	-0.042193	0.523384	1.92618	-1863.42	130.763	-90.1808	4976.04	-0.000612997	-59.8203
72.9180	0.2117	-1.67955	0.307584	-0.0865142	0.0884298	0.379459	0.262685	-0.086964	1.92014	-1864.78	130.161	-91.5513	4974.98	-0.00076563	-59.5114
72.9187	0.516548	-1.06934	0.002403	-0.0865142	0.0884298	0.0740408	0.262685	0.523384	1.92014	-1865.67	129.549	-92.0112	4973.6	-0.00107079	-59.8203
72.9193	-0.0931479	-1.37445	0.307584	0.218989	0.392407	-0.536796	0.262685	0.828559	1.9141	-1865.55	130.161	-91.5513	4973.91	-0.000460364	-59.9644
72.9200	-0.397996	-1.67955	0.002403	-0.392018	0.392407	-0.231377	0.567564	0.21821	1.9078	-1864.31	131.987	-89.5687	4975.59	-2.67965e-006	-59.6555
72.9207	0.2117	-1.98466	-0.302778	-0.392018	0.0884298	-0.231377	0.873803	-0.392138	1.90176	-1862.77	133.667	-87.4338	4977.42	-0.000612997	-59.8203
72.9213	0.2117	-1.98466	0.307584	-0.0865142	0.699148	-0.536796	0.262685	-0.086964	1.89572	-1860.94	134.735	-85.6004	4979.1	-0.000612997	-59.9644
72.9220	-0.0931479	-1.98466	0.307584	-0.392018	0.392407	-0.231377	-0.347071	-0.697312	1.88968	-1859.87	134.89	-84.6867	4979.86	-0.000460364	-59.8203
72.9227	-0.0931479	-2.59487	-0.302778	-0.392018	-0.522288	-0.842214	-0.042193	-0.697312	1.88968	-1860.52	133.21	-85.4481	4979.1	-0.00076563	-60.1291
72.9233	-0.702843	-1.98466	-0.302778	-0.0865142	-0.218311	-0.536796	0.262685	-0.086964	1.88338	-1861.41	131.229	-86.9739	4978.18	-0.000460364	-60.2733
72.9240	0.516548	-1.37445	-0.302778	-0.0865142	1.00313	0.379459	-0.042193	-0.086964	1.87734	-1861.71	130.763	-87.8906	4977.88	-0.000307838	-60.1291
72.9247	-0.0931479	-1.67955	0.002403	-0.0865142	0.699148	0.0740408	-0.042193	-0.392138	1.87734	-1861.88	130.618	-88.655	4977.57	-0.00076563	-60.1291
72.9253	-1.31254	-1.67955	0.307584	-0.0865142	-0.218311	-0.536796	-0.042193	-0.392138	1.8713	-1862	130.918	-88.8073	4977.57	-0.000918156	-59.9644
72.9260	-0.0931479	0.152553	0.612764	0.218989	0.392407	0.0740408	-0.042193	0.21821	1.8713	-1861.88	131.987	-88.9596	4977.42	-0.00076563	-59.6555
72.9267	-0.0931479	0.45766	0.307584	0.218989	0.392407	0.0740408	0.262685	0.523384	1.8713	-1861.88	132.899	-88.9596	4977.57	-0.000612997	-60.1291
72.9273	-0.702843	-0.45766	0.002403	-0.0865142	-0.522288	-0.231377	-0.042193	0.21821	1.86526	-1861.41	134.434	-87.7383	4978.49	-0.000612997	-60.4174
72.9280	0.2117	-0.152553	0.002403	-0.0865142	-0.218311	-0.536796	-0.042193	-0.697312	1.85896	-1860.35	135.502	-86.3648	4979.4	-0.00076563	-60.1291
72.9287	0.2117	0.152553	0.002403	0.218989	1.00313	-0.536796	-0.042193	-1.00249	1.85896	-1859.46	135.958	-85.1435	4980.16	-0.000307838	-59.6555
