Trial 3			Trial 3	Marker	
t	x	y	t	x	y
0.000	30.964	0.000	0.000	16.027	0.000
0.023	30.964	0.000	0.023	16.026	0.000
0.046	30.965	0.000	0.046	16.027	0.000
0.069	30.964	0.000	0.069	16.027	0.000
0.092	30.965	0.000	0.092	16.027	0.000
0.115	30.964	0.000	0.115	16.027	0.000
0.138	30.964	0.000	0.138	16.027	0.000
0.161	30.964	0.000	0.161	16.027	0.000
0.184	30.965	0.000	0.184	16.027	0.000
0.207	30.964	0.000	0.207	16.028	0.000
0.230	30.965	0.000	0.230	16.027	0.000
0.254	30.964	0.000	0.254	16.027	0.000
0.277	30.964	0.000	0.277	16.027	0.000
0.300	30.964	0.000	0.300	16.027	0.000
0.323	30.964	0.000	0.323	16.027	0.000
0.346	30.963	0.000	0.346	16.027	0.000
0.369	30.964	0.000	0.369	16.027	0.000
0.392	30.965	0.000	0.392	16.027	0.000
0.415	30.964	0.000	0.415	16.027	0.000
0.438	30.964	0.000	0.438	16.027	0.000
0.461	30.964	0.000	0.461	16.027	0.000
0.484	30.964	0.000	0.484	16.028	0.000
0.507	30.964	0.000	0.507	16.027	0.000
0.530	30.964	0.000	0.530	16.027	0.000
0.553	30.964	0.000	0.553	16.027	0.000
0.576	30.964	0.000	0.576	16.027	0.000
0.599	30.965	0.000	0.599	16.027	0.000
0.622	30.965	0.000	0.622	16.027	0.000
0.645	30.965	0.000	0.645	16.027	0.000
0.668	30.965	0.000	0.668	16.027	0.000
0.691	30.965	0.000	0.691	16.027	0.000
0.714	30.966	0.000	0.714	16.027	0.000
0.737	30.966	0.000	0.737	16.027	0.000
0.761	30.965	0.000	0.761	16.027	0.000
0.784	30.965	0.000	0.784	16.027	0.000
0.807	30.966	0.000	0.807	16.026	0.000
0.830	30.965	0.000	0.830	16.027	0.000
0.853	30.965	0.000	0.853	16.027	0.000
0.876	30.965	0.000	0.876	16.027	0.000
0.899	30.964	0.000	0.899	16.027	0.000
0.922	30.966	0.000	0.922	16.028	0.000
0.945	30.965	0.000	0.945	16.027	0.000
0.968	30.965	0.000	0.968	16.028	0.000
0.991	30.964	0.000	0.991	16.028	0.000
1.014	30.965	0.000	1.014	16.028	0.000
1.037	30.965	0.000	1.037	16.028	0.000
1.060	30.964	0.000	1.060	16.028	0.000
1.083	30.965	0.000	1.083	16.028	0.000
1.106	30.965	0.000	1.106	16.028	0.000
1.129	30.965	0.000	1.129	16.027	0.000
1.152	30.965	0.000	1.152	16.028	0.000
1.175	30.965	0.000	1.175	16.028	0.000
1.198	30.964	0.000	1.198	16.028	0.000
1.221	30.964	0.000	1.221	16.027	0.000
1.244	30.964	0.000	1.244	16.027	0.000
1.268	30.963	0.000	1.268	16.028	0.000
1.291	30.963	0.000	1.291	16.026	0.000
1.314	30.961	0.000	1.314	16.027	0.000
1.337	30.957	0.000	1.337	16.024	0.000
1.360	30.847	0.000	1.360	16.025	0.000
1.383	30.823	0.000	1.383	16.026	0.000
1.406	30.670	0.000	1.406	16.032	0.000
1.429	30.658	0.000	1.429	16.032	0.000
1.452	30.563	0.000	1.452	16.032	0.000
1.475	30.501	0.000	1.475	16.025	0.000
1.498	30.495	0.000	1.498	16.026	0.000
1.521	30.474	0.000	1.521	16.031	0.000
1.544	30.466	0.000	1.544	16.032	0.000
1.567	30.470	0.000	1.567	16.027	0.000
1.590	30.467	0.000	1.590	16.025	0.000
1.613	30.468	0.000	1.613	16.030	0.000
1.636	30.475	0.000	1.636	16.029	0.000
1.659	30.475	0.000	1.659	16.034	0.000
1.682	30.473	0.000	1.682	16.034	0.000
1.705	30.470	0.000	1.705	16.040	0.000
1.728	30.470	0.000	1.728	16.036	0.000
1.751	30.468	0.000	1.751	16.035	0.000
1.775	30.466	0.000	1.775	16.037	0.000
1.798	30.466	0.000	1.798	16.036	0.000
1.821	30.464	0.000	1.821	16.034	0.000
1.844	30.467	0.000	1.844	16.035	0.000
1.867	30.468	0.000	1.867	16.035	0.000
1.890	30.463	0.000	1.890	16.033	0.000
1.913	30.462	0.000	1.913	16.032	0.000
1.936	30.452	0.000	1.936	16.033	0.000
1.959	30.442	0.000	1.959	16.031	0.000
1.982	30.402	0.000	1.982	16.031	0.000
2.005	30.385	0.000	2.005	16.028	0.000
2.028	30.354	0.000	2.028	16.029	0.000
2.051	30.324	0.000	2.051	16.029	0.000
2.074	30.301	0.000	2.074	16.026	0.000
2.097	30.262	0.000	2.097	16.026	0.000
2.120	30.195	0.000	2.120	16.029	0.000
2.143	30.181	0.000	2.143	16.029	0.000
2.166	30.166	0.000	2.166	16.028	0.000
2.189	30.148	0.000	2.189	16.027	0.000
2.212	30.132	0.000	2.212	16.026	0.000
2.235	30.113	0.000	2.235	16.028	0.000
2.258	30.100	0.000	2.258	16.027	0.000
2.282	30.100	0.000	2.282	16.026	0.000
2.305	30.104	0.000	2.305	16.028	0.000
2.328	30.115	0.000	2.328	16.028	0.000
2.351	30.115	0.000	2.351	16.027	0.000
2.374	30.114	0.000	2.374	16.028	0.000
2.397	30.114	0.000	2.397	16.029	0.000
2.420	30.111	0.000	2.420	16.028	0.000
2.443	30.110	0.000	2.443	16.028	0.000
2.466	30.112	0.000	2.466	16.028	0.000
2.489	30.115	0.000	2.489	16.029	0.000
2.512	30.113	0.000	2.512	16.029	0.000
2.535	30.109	0.000	2.535	16.029	0.000
2.558	30.104	0.000	2.558	16.028	0.000
2.581	30.103	0.000	2.581	16.029	0.000
2.604	30.106	0.000	2.604	16.030	0.000
2.627	30.106	0.000	2.627	16.029	0.000
2.650	30.106	0.000	2.650	16.028	0.000
2.673	30.107	0.000	2.673	16.030	0.000
2.696	30.108	0.000	2.696	16.031	0.000
2.719	30.107	0.000	2.719	16.030	0.000
2.742	30.106	0.000	2.742	16.029	0.000
2.765	30.104	0.000	2.765	16.029	0.000
2.789	30.104	0.000	2.789	16.028	0.000
2.812	30.103	0.000	2.812	16.029	0.000
2.835	30.102	0.000	2.835	16.030	0.000
2.858	30.101	0.000	2.858	16.027	0.000
2.881	30.097	0.000	2.881	16.028	0.000
2.904	30.091	0.000	2.904	16.027	0.000
2.927	30.078	0.000	2.927	16.028	0.000
2.950	30.080	0.000	2.950	16.027	0.000
2.973	30.092	0.000	2.973	16.027	0.000
2.996	30.093	0.000	2.996	16.026	0.000
3.019	30.075	0.000	3.019	16.026	0.000
3.042	30.078	0.000	3.042	16.026	0.000
3.065	30.069	0.000	3.065	16.028	0.000
3.088	30.022	0.000	3.088	16.030	0.000
3.111	30.014	0.000	3.111	16.031	0.000
3.134	30.012	0.000	3.134	16.029	0.000
3.157	30.010	0.000	3.157	16.029	0.000
3.180	29.994	0.000	3.180	16.032	0.000
3.203	29.976	0.000	3.203	16.031	0.000
3.226	29.972	0.000	3.226	16.032	0.000
3.249	29.970	0.000	3.249	16.032	0.000
