"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
9.0733	0.720927	0.246173	-0.102015	-0.0323439	4.83523	0.171091	12.9325	0.034998	-0.706205	-51.4226	-50.6584	-51.728	-51.727	0.00466728	-30.2131		
9.074	-0.212037	-0.058995	0.510074	0.272834	4.52125	-0.134078	81.288	0.340172	-0.706205	-51.88	-51.4217	-52.1846	-52.337	0.00438006	-61.9608		
9.0747	0.0848149	-0.058995	-0.102015	-0.0323439	3.9247	-0.134078	117.917	0.034998	-0.700052	-51.4226	-50.8124	-51.8797	-51.5749	0.00466728	-43.4845		
9.0753	1.31463	-0.058995	-1.02015	-0.0323439	4.52125	-0.134078	65.7338	0.034998	-0.706205	-51.4226	-50.6584	-51.728	-51.2691	0.00466728	-50.5142		
9.076	1.61148	-0.058995	-1.02015	0.272834	5.43178	0.171091	2.55876	0.034998	-0.706205	-51.7275	-50.9647	-51.728	-51.8791	0.00438006	-50.9704		
9.0767	1.01778	-0.058995	-1.02015	-0.0323439	4.52125	-0.134078	-10.2603	0.034998	-0.700052	-51.7275	-50.8124	-51.728	-51.8791	0.00452367	-49.4359		
9.0773	1.31463	-0.058995	-1.02015	-0.337522	2.70019	-0.134078	-0.794099	-0.270176	-0.706205	-51.4226	-50.5061	-51.728	-51.2691	0.00481089	-49.8921		
9.078	1.31463	-0.058995	-0.408059	-0.0323439	1.78966	-0.134078	6.83177	0.034998	-0.706205	-51.2702	-50.5061	-52.1846	-51.2691	0.00438006	-50.058		
9.0787	0.424074	-0.058995	-0.408059	-0.0323439	1.78966	-0.134078	12.9325	0.034998	-0.700052	-52.0324	-51.4217	-52.4896	-52.337	0.00387743	-50.6593		
9.0793	-0.508889	-0.058995	-0.408059	-0.0323439	1.16171	-0.134078	13.235	0.034998	-0.700052	-52.1849	-51.574	-52.033	-52.1849	0.00438006	-50.5142		
9.08	-0.508889	-0.058995	0.510074	-0.0323439	0.251181	-0.134078	9.27709	0.034998	-0.706205	-52.0324	-51.728	-52.033	-52.0328	0.00387743	-50.8045		
9.0807	-0.805741	-0.058995	1.73425	-0.0323439	-0.973325	0.171091	8.65946	0.034998	-0.700052	-52.1849	-52.0326	-52.7962	-52.6428	0.00344661	-51.4266		
9.0813	-1.73871	-0.058995	1.73425	-0.0323439	-2.51181	0.171091	9.88212	0.034998	-0.700052	-51.7275	-51.117	-52.1846	-51.727	0.00466728	-50.6593		
9.082	-1.10259	-0.058995	0.816118	0.272834	-2.51181	-0.134078	7.75192	0.034998	-0.700052	-51.5751	-50.9647	-51.728	-51.4228	0.0049545	-50.5142		
9.0827	0.720927	-0.058995	-0.714103	-0.0323439	-0.973325	-0.134078	0.415957	0.034998	-0.706205	-52.1849	-51.574	-52.3379	-52.1849	0.00452367	-50.9704		
9.0833	1.31463	-0.058995	-1.91788	-0.0323439	-0.376771	0.171091	-8.11746	0.034998	-0.700052	-51.88	-50.9647	-51.5747	-51.727	0.0049545	-50.3483		
9.084	1.01778	0.246173	-1.02015	0.272834	-0.973325	0.171091	-13.6131	0.034998	-0.6939	-51.4226	-50.5061	-51.2697	-51.5749	0.00509811	-50.058		
9.0847	1.01778	-0.058995	-0.102015	0.272834	-2.19783	-0.134078	-23.3818	0.034998	-0.700052	-51.4226	-51.117	-52.033	-51.8791	0.0049545	-50.5142		
