Calc			ExtMArker		
t	x	y	t	x	y
0	99.58256435	-2.993799015	0	44.47445948	17.14171606
0.059612519	99.49058764	-2.948597821	0.059612519	44.39911975	17.14117836
0.119225037	99.55400342	-2.832680679	0.119225037	44.27783996	17.14334168
0.178837556	99.54072136	-2.782699208	0.178837556	44.13449461	17.13676582
0.238450075	99.56948946	-2.818388874	0.238450075	44.09089858	17.13042043
0.298062593	99.56780959	-2.798064404	0.298062593	43.90803113	17.12700456
0.357675112	99.53625873	-2.766376092	0.357675112	43.71746276	17.12266241
0.41728763	99.34180039	-2.754748327	0.41728763	43.48015116	17.10960572
0.476900149	98.9025063	-2.745825389	0.476900149	43.12883392	17.10709773
0.536512668	98.72445856	-2.768881223	0.536512668	42.95716705	17.10282683
0.596125186	98.8066132	-2.771720429	0.596125186	42.77426027	17.09970745
0.655737705	98.82512607	-2.793861395	0.655737705	42.74392157	17.09714336
0.715350224	98.84835056	-2.797158283	0.715350224	42.73875061	17.09125677
0.774962742	98.80548267	-2.764133229	0.774962742	42.76031174	17.09560811
0.834575261	98.78880538	-2.75023613	0.834575261	42.75686111	17.09355893
0.894187779	98.82198511	-2.764595822	0.894187779	42.75633856	17.09097732
0.953800298	98.84754552	-2.778079284	0.953800298	42.76009092	17.0870423
1.013412817	98.85645356	-2.788463477	1.013412817	42.7598994	17.0863991
1.073025335	98.87511392	-2.807689092	1.073025335	42.77078489	17.08607547
1.132637854	98.81802476	-2.779046257	1.132637854	42.76799377	17.08559725
1.192250373	98.7574648	-2.766647616	1.192250373	42.74788389	17.08328312
1.251862891	98.65262794	-2.780628874	1.251862891	42.74671547	17.08320188
1.31147541	98.45314731	-2.776485659	1.31147541	42.7557913	17.08399641
1.371087928	98.27304598	-2.747025874	1.371087928	42.75296739	17.08496292
1.430700447	98.18099421	-2.768647501	1.430700447	42.75983874	17.08561379
1.490312966	98.08918674	-2.761728823	1.490312966	42.75519839	17.08554039
1.549925484	98.02665941	-2.755031671	1.549925484	42.75561901	17.08635171
1.609538003	98.04964389	-2.772527761	1.609538003	42.76313383	17.08546611
1.669150522	98.03505705	-2.780322347	1.669150522	42.7676395	17.08577045
1.72876304	98.0514143	-2.789020279	1.72876304	42.76840923	17.08538055
1.788375559	98.06238017	-2.792448889	1.788375559	42.77204157	17.0856326
1.847988077	98.070682	-2.793341079	1.847988077	42.78331623	17.08550311
