"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
14.6033	0.567678	0.253501	1.03805	-0.0736459	8.54349	-0.0343746	-0.370876	0.0577863	0.214555	-39.5206	-38.7566	-39.6734	-39.8259	0.00615931	-24.5838
14.6040	0.87335	0.253501	1.34222	-0.0736459	5.1901	-0.0343746	-0.0618126	0.0577863	0.220611	-39.063	-38.452	-39.5209	-39.5209	0.00676993	43.4971
14.6047	1.17902	-0.0516821	0.120703	-0.0736459	4.88398	-0.0343746	-0.0618126	0.0577863	0.214555	-39.5206	-39.0627	-39.8259	-39.5209	0.00646905	383.902
14.6053	1.4847	-0.0516821	-0.791811	0.231521	5.80234	-0.0343746	0.556314	0.0577863	0.214555	-39.8262	-39.2158	-40.131	-39.6734	0.00615931	583.788
14.6060	1.4847	-0.0516821	-0.48764	-0.0736459	4.57787	-0.0343746	0.556314	0.0577863	0.220611	-39.5206	-38.7566	-40.131	-39.8259	0.00630975	544.129
14.6067	0.87335	-0.0516821	-0.183468	-0.0736459	3.66647	-0.0343746	0.556314	0.0577863	0.214555	-39.6726	-38.9097	-39.8259	-40.131	0.00661949	544.89
14.6073	1.17902	0.253501	-0.791811	0.231521	3.05423	-0.0343746	1.4835	0.0577863	0.220611	-39.5206	-39.3674	-39.8259	-39.8259	0.00676993	558.616
14.6080	1.79037	0.253501	-0.48764	0.231521	2.44199	-0.0343746	2.10163	0.0577863	0.226759	-39.5206	-39.3674	-39.9785	-39.8259	0.00646905	554.951
14.6087	1.4847	-0.0516821	-0.48764	-0.0736459	1.82975	-0.0343746	1.4835	-0.247396	0.220611	-39.6726	-39.2158	-40.131	-39.9785	0.00615931	558.616
14.6093	0.262005	-0.0516821	-0.791811	-0.0736459	1.82975	-0.0343746	0.865377	-0.247396	0.214555	-39.5206	-39.2158	-40.131	-40.131	0.00615931	561.383
14.6100	0.262005	0.253501	0.120703	0.231521	1.22447	0.270786	1.4835	0.0577863	0.220611	-39.3671	-39.0627	-39.6734	-39.8259	0.00661949	563.976
14.6107	0.262005	0.253501	0.120703	0.231521	0.918356	-0.0343746	2.10163	0.0577863	0.220611	-39.5206	-38.7566	-39.6734	-39.6734	0.00707967	566.396
14.6113	-0.0436675	-0.0516821	0.120703	-0.0736459	1.22447	-0.0343746	1.17444	0.0577863	0.220611	-39.8262	-38.7566	-39.9785	-39.8259	0.00676993	568.989
14.6120	0.567678	0.253501	1.03805	0.231521	1.82975	0.270786	0.556314	0.0577863	0.220611	-39.5206	-38.7566	-39.9785	-39.8259	0.00692038	571.444
14.6127	0.262005	0.253501	0.424874	0.231521	2.44199	0.270786	0.865377	0.0577863	0.220611	-39.215	-38.9097	-39.8259	-39.9785	0.00676993	573.415
14.6133	-0.650646	-0.0516821	-0.48764	-0.0736459	1.53059	-0.0343746	1.17444	-0.247396	0.220611	-39.8262	-39.3674	-40.131	-40.131	0.00646905	576.008
14.6140	-0.650646	-0.0516821	-0.48764	0.231521	0	-0.0343746	0.865377	0.0577863	0.220611	-40.2838	-39.3674	-40.2835	-40.131	0.00676993	578.602
14.6147	-0.34934	-0.0516821	-0.183468	0.231521	-0.306119	-0.0343746	1.4835	0.0577863	0.226759	-40.8935	-40.2827	-41.0461	-41.0461	0.00539825	579.535
14.6153	-0.34934	-0.0516821	-0.48764	0.231521	0.918356	-0.0343746	2.10163	0.0577863	0.226759	-41.6566	-41.3511	-42.2664	-42.1138	0.00387612	580.607
14.6160	-0.34934	0.253501	0.120703	-0.0736459	1.22447	-0.0343746	2.10163	0.362949	0.226759	-40.7414	-40.1311	-41.0461	-40.8936	0.00554869	585.033
14.6167	-1.26199	0.253501	1.64639	-0.0736459	0.306119	-0.0343746	1.4835	0.0577863	0.226759	-39.8262	-38.9097	-39.6734	-39.8259	0.00692038	588.836
14.6173	-0.956318	0.253501	1.34222	0.231521	0.918356	0.270786	2.10163	0.0577863	0.226759	-39.5206	-38.9097	-39.8259	-40.131	0.00692038	590.98
14.6180	-0.650646	0.253501	0.424874	0.231521	1.82975	-0.0343746	2.41069	-0.247396	0.226759	-39.215	-39.0627	-39.8259	-39.9785	0.00707967	593.711
14.6187	-0.650646	-0.0516821	0.733874	-0.0736459	0.306119	-0.339555	1.79257	-0.247396	0.220611	-39.5206	-39.3674	-40.131	-39.9785	0.00646905	595.993
14.6193	0.262005	-0.0516821	0.424874	0.231521	-0.60528	-0.0343746	1.4835	0.0577863	0.226759	-39.9782	-39.3674	-40.2835	-40.131	0.00615931	598.448
14.6200	0.262005	-0.0516821	-0.48764	0.231521	-0.60528	-0.0343746	2.41069	0.0577863	0.226759	-39.6726	-39.0627	-39.6734	-39.8259	0.00676993	601.802
14.6207	-0.34934	-0.0516821	0.120703	-0.0736459	-0.306119	-0.0343746	3.64695	0.0577863	0.226759	-39.063	-38.7566	-39.5209	-39.5209	0.00661949	604.568
14.6213	-0.650646	0.253501	1.64639	-0.0736459	0.306119	-0.0343746	3.02882	0.362949	0.226759	-39.215	-38.605	-40.131	-39.9785	0.00600887	606.678
14.6220	-0.650646	-0.0516821	1.34222	-0.0736459	0.612237	-0.0343746	3.02882	0.0577863	0.226759	-39.6726	-38.7566	-40.2835	-40.131	0.00554869	608.821
14.6227	-0.650646	-0.0516821	0.120703	-0.0736459	0	-0.0343746	3.33788	-0.247396	0.226759	-39.5206	-38.9097	-39.8259	-39.8259	0.00554869	611.415
14.6233	-0.650646	-0.0516821	0.424874	0.231521	-1.21752	-0.0343746	2.41069	0.0577863	0.226759	-39.215	-38.7566	-39.6734	-39.8259	0.00569913	614.181
14.6240	-0.650646	0.253501	2.25956	0.536709	-1.82975	0.270786	0.865377	0.362949	0.226759	-39.5206	-38.7566	-39.8259	-39.6734	0.00554869	616.912
14.6247	-0.650646	0.253501	1.95056	0.231521	-0.60528	0.270786	0.247251	0.0577863	0.226759	-39.6726	-38.9097	-39.9785	-39.8259	0.00569913	619.505
14.6253	-0.956318	-0.0516821	1.03805	-0.0736459	0	-0.0343746	0.865377	0.0577863	0.232815	-39.6726	-38.7566	-40.131	-39.8259	0.00569913	621.96
14.6260	-0.34934	-0.0516821	1.34222	-0.0736459	0.612237	-0.0343746	0.556314	0.0577863	0.226759	-39.6726	-38.9097	-40.2835	-39.5209	0.00569913	624.381
14.6267	0.262005	0.253501	2.56373	0.231521	1.82975	0.270786	-0.0618126	0.362949	0.226759	-39.8262	-39.2158	-40.131	-40.131	0.00569913	626.386
14.6273	-0.0436675	0.253501	1.95056	0.231521	0.612237	0.270786	0.556314	0.362949	0.232815	-40.1303	-39.0627	-40.2835	-40.436	0.00554869	628.668
14.6280	-0.650646	0.253501	0.424874	-0.0736459	-1.52364	-0.0343746	0.556314	0.0577863	0.232815	-38.7574	-37.8413	-39.0618	-39.0618	0.00707967	632.783
14.6287	-0.650646	-0.0516821	0.120703	-0.378834	-0.60528	-0.339555	-0.370876	-0.247396	0.226759	-39.8262	-39.5204	-40.7411	-40.8936	0.00493807	632.472
14.6293	-0.650646	-0.0516821	0.733874	-0.0736459	1.22447	-0.0343746	-0.0618126	0.0577863	0.226759	-46.2343	-45.1655	-46.5386	-46.6926	-0.00253983	626.836
14.6300	-0.956318	-0.0516821	1.95056	-0.0736459	1.22447	-0.0343746	0.247251	-0.247396	0.232815	-46.0823	-45.014	-46.081	-45.776	-0.00100885	631.573
14.6307	-1.87334	-0.356845	2.25956	-0.0736459	0.918356	-0.339555	0.247251	-0.247396	0.232815	-40.5879	-39.825	-40.7411	-40.5886	0.00600887	641.185
14.6313	-1.56766	-0.0516821	1.03805	-0.0736459	0.306119	-0.0343746	0.556314	0.0577863	0.232815	-39.5206	-38.605	-39.5209	-39.6734	0.00723011	644.228
14.6320	-0.650646	-0.0516821	-0.183468	0.231521	-0.60528	0.270786	0.247251	0.0577863	0.232815	-39.8262	-39.0627	-40.131	-40.131	0.00707967	646.371
14.6327	-0.956318	-0.0516821	0.120703	0.231521	-1.82975	-0.0343746	0.247251	-0.247396	0.238964	-39.8262	-38.7566	-40.131	-39.9785	0.00769029	649.103
14.6333	-0.956318	-0.0516821	1.03805	-0.0736459	-2.74811	-0.0343746	0.247251	-0.247396	0.238964	-39.8262	-38.605	-39.8259	-39.8259	0.00769029	651.385
14.6340	-0.956318	-0.0516821	1.34222	0.231521	-2.44199	-0.0343746	-0.618126	0.0577863	0.238964	-39.6726	-38.9097	-39.8259	-39.6734	0.00784073	653.702
14.6347	-0.650646	0.253501	0.733874	-0.0736459	-1.52364	0.270786	-0.618126	0.0577863	0.232815	-39.8262	-39.5204	-40.436	-40.2835	0.00738055	655.534
14.6353	-0.0436675	0.253501	0.120703	-0.0736459	-0.60528	0.270786	0.247251	0.0577863	0.238964	-40.8935	-40.5888	-41.8088	-41.6563	0.00539825	656.295
14.6360	-0.956318	0.253501	0.424874	0.536709	-0.911399	0.270786	0.247251	0.0577863	0.245019	-41.199	-41.1981	-42.1138	-41.8088	0.00508851	658.577
14.6367	-1.56766	0.253501	1.03805	0.231521	-0.60528	0.270786	-0.370876	0.0577863	0.245019	-40.1303	-39.825	-40.8936	-40.436	0.00676993	662.83
14.6373	-1.56766	-0.0516821	0.424874	-0.0736459	0.306119	-0.0343746	-0.370876	-0.247396	0.238964	-39.5206	-38.9097	-39.9785	-39.9785	0.007531	666.184
14.6380	-1.26199	-0.0516821	-0.48764	-0.0736459	0.306119	-0.0343746	-0.92719	0.0577863	0.245019	-39.9782	-39.0627	-39.6734	-39.9785	0.00769029	668.5
