"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
65.0773	-1.49513	-0.302939	1.00251	-0.0417083	-0.46441	0.0801631	1.52269	-0.165604	-13.9271	-1681.08	-156.375	-55.6968	4998.93	-0.000960006	-34.4918
65.0780	-1.22329	0.00224344	1.29956	0.263477	0.743055	0.0801631	3.65446	0.139554	-13.9271	-1679.7	-154.568	-54.1679	4999.69	0.000108056	-43.3443
65.0787	-0.883487	0.00224344	0.705473	-0.0417083	0.139323	0.0801631	3.34992	-0.165604	-13.9331	-1678.02	-152.761	-52.3395	4999.69	0.00102371	-20.6069
65.0793	0.951448	-0.302939	0.0742603	-0.346893	-1.39323	-0.225021	2.43631	-0.165604	-13.9331	-1677.54	-152.31	-52.0338	4999.69	0.00102371	-35.4101
65.0800	1.83494	0.00224344	-1.74512	-0.0417083	-2.92578	0.0801631	-1.53872	0.139554	-13.9271	-1678.14	-152.568	-52.4924	4999.69	0.000718492	-31.7369
65.0807	0.951448	0.00224344	-3.56449	-0.0417083	-3.25087	0.0801631	-5.80226	0.139554	-13.9271	-1678.02	-152.89	-52.4924	4999.69	0.000565883	-30.8186
65.0813	0	0.00224344	-3.26745	-0.0417083	-4.45833	-0.225021	-7.32495	-0.165604	-13.9331	-1677.54	-152.568	-52.0338	4999.85	0.000718492	-31.5899
65.0820	-0.883487	0.00224344	-3.56449	-0.0417083	-6.87326	0.0801631	-7.32495	0.139554	-13.9331	-1679.1	-154.439	-53.7092	4999.54	-0.000349569	-32.6552
65.0827	-0.883487	0.00224344	-4.19571	-0.0417083	-7.52344	0.0801631	-6.71588	0.139554	-13.9331	-1681.5	-157.021	-56.1554	4998.63	-0.00126522	-34.0143
65.0833	-0.611645	0.00224344	-2.63624	-0.0417083	-5.38715	0.0801631	-5.19318	0.139554	-13.9331	-1681.08	-156.117	-55.5439	4998.93	-0.000349569	-33.096
65.0840	0.339803	0.307407	-1.44808	0.263477	-4.13325	0.385327	-2.45234	0.444745	-13.9392	-1679.52	-154.246	-53.7092	4999.69	0.000413274	-31.7369
65.0847	0.951448	0.00224344	-2.63624	-0.0417083	-2.92578	-0.225021	-2.1478	-0.165604	-13.9331	-1679.4	-154.117	-53.4034	4999.69	0.000413274	-31.5899
65.0853	0.611645	-0.302939	-3.86154	-0.0417083	0.743055	-0.225021	-3.67049	-0.165604	-13.9331	-1678.74	-153.342	-53.0976	4999.69	0.000565883	-31.8838
65.0860	0.611645	0.00224344	-2.97041	0.263477	3.15799	0.0801631	-3.06141	0.139554	-13.9392	-1677.84	-152.116	-52.3395	4999.69	0.000260665	-32.0307
65.0867	1.22329	0.00224344	-0.222781	0.263477	1.0217	0.0801631	3.04539	0.139554	-13.9331	-1677.24	-151.793	-51.2693	4999.54	0.000413274	-31.5899
65.0873	1.56309	0.00224344	1.00251	-0.0417083	-0.789496	0.0801631	11.893	-0.165604	-13.9271	-1676.47	-150.89	-50.5049	4999.69	0.00117632	-31.1124
65.0880	1.56309	-0.302939	0.705473	-0.0417083	-0.185764	-0.225021	17.0862	-0.165604	-13.9331	-1676.35	-150.632	-50.8106	4999.69	0.00148134	-31.2961
65.0887	0.951448	-0.302939	0.705473	-0.346893	1.95052	-0.225021	16.4771	0.139554	-13.9331	-1677.07	-151.535	-51.4222	4999.69	0.00102371	-31.5899
65.0893	0	0.00224344	1.00251	-0.346893	-0.185764	-0.225021	14.0248	-0.165604	-13.9392	-1677.24	-151.664	-51.5751	4999.69	0.000871101	-31.443
65.0900	-1.22329	0.00224344	-0.222781	-0.0417083	-6.26953	0.0801631	9.76126	-0.165604	-13.9452	-1676.77	-151.083	-51.2693	4999.69	0.00117632	-31.2961
65.0907	-2.44658	-0.302939	-1.44808	-0.0417083	-6.59462	0.0801631	4.56808	-0.165604	-13.9392	-1677.07	-151.664	-51.8809	4999.69	0.00102371	-31.5899
65.0913	-1.83494	0.00224344	-1.74512	-0.0417083	0.417969	0.0801631	0.609077	0.139554	-13.9331	-1677.72	-152.439	-52.4924	4999.69	0.000565883	-31.5899
65.0920	0	0.307407	-0.222781	0.263477	5.29427	0.0801631	-0.609077	0.139554	-13.9331	-1677.72	-152.568	-52.1866	4999.69	0.000718492	-31.2961
65.0927	1.56309	0.00224344	1.93077	-0.0417083	2.87934	0.0801631	0.304539	0.139554	-13.9331	-1676.77	-151.793	-50.9635	4999.69	0.000871101	-30.9655
65.0933	1.83494	0.00224344	2.52485	-0.0417083	-0.46441	0.0801631	0.913616	0.139554	-13.9392	-1675.87	-150.309	-50.0462	4999.69	0.000718492	-30.9655
65.0940	1.56309	0.00224344	3.15606	-0.0417083	0.417969	-0.225021	1.52269	0.139554	-13.9452	-1675.39	-149.664	-49.5939	4999.69	0.000871101	-31.1124
65.0947	2.10678	0.00224344	4.04719	-0.0417083	3.15799	-0.225021	3.959	0.139554	-13.9331	-1675.27	-150.309	-49.8933	4999.69	0.00132893	-30.9655
65.0953	1.83494	0.00224344	3.75014	-0.0417083	4.41189	-0.225021	6.39531	0.139554	-13.9271	-1676.35	-151.664	-51.1164	4999.69	0.00117632	-31.1124
65.0960	0.611645	-0.302939	3.15606	-0.0417083	5.01562	-0.225021	5.48169	-0.165604	-13.9331	-1677.54	-152.89	-52.3395	4999.69	0.00102371	-31.443
