mass_B			ExtMarker		
t	x	y	t	x	y
0	28.82982286	0	0	42.1246364	0
0.018507209	28.82894324	0	0.018507209	42.12397128	0
0.037014417	28.82976993	0	0.037014417	42.124652	0
0.055521626	28.8287565	0	0.055521626	42.12450584	0
0.074028834	28.8289294	0	0.074028834	42.12454015	0
0.092536043	28.82922441	0	0.092536043	42.12454931	0
0.111043251	28.82902916	0	0.111043251	42.12452506	0
0.12955046	28.82942811	0	0.12955046	42.12469127	0
0.148057669	28.82958699	0	0.148057669	42.12505478	0
0.166564877	28.8298953	0	0.166564877	42.12448082	0
0.185072086	28.83000436	0	0.185072086	42.12427263	0
0.203579294	28.83039258	0	0.203579294	42.12410242	0
0.222086503	28.82999013	0	0.222086503	42.12437881	0
0.240593711	28.82988	0	0.240593711	42.12434591	0
0.25910092	28.82957582	0	0.25910092	42.12477821	0
0.277608128	28.82964222	0	0.277608128	42.12466293	0
0.296115337	28.82928679	0	0.296115337	42.12431628	0
0.314622546	28.8295536	0	0.314622546	42.12466264	0
0.333129754	28.82962995	0	0.333129754	42.1246801	0
0.351636963	28.83014849	0	0.351636963	42.12442715	0
0.370144171	28.83040242	0	0.370144171	42.12445869	0
0.38865138	28.83052692	0	0.38865138	42.12427107	0
0.407158588	28.83051381	0	0.407158588	42.12444786	0
0.425665797	28.82982389	0	0.425665797	42.12433134	0
0.444173005	28.8294961	0	0.444173005	42.12440025	0
0.462680214	28.8291929	0	0.462680214	42.12479607	0
0.481187423	28.82885414	0	0.481187423	42.12465463	0
0.499694631	28.8289428	0	0.499694631	42.12435415	0
0.51820184	28.82931046	0	0.51820184	42.12401421	0
0.536709048	28.82917224	0	0.536709048	42.12460287	0
0.555216257	28.82914718	0	0.555216257	42.12464656	0
0.573723465	28.82970338	0	0.573723465	42.12467019	0
0.592230674	28.82971922	0	0.592230674	42.1241217	0
0.610737882	28.82973348	0	0.610737882	42.12473704	0
0.629245091	28.82957978	0	0.629245091	42.12426683	0
0.6477523	28.82966213	0	0.6477523	42.12460235	0
0.666259508	28.82958193	0	0.666259508	42.12443611	0
0.684766717	28.82927417	0	0.684766717	42.12432804	0
0.703273925	28.82947639	0	0.703273925	42.12429376	0
0.721781134	28.82928963	0	0.721781134	42.12412308	0
0.740288342	28.82910717	0	0.740288342	42.12401652	0
0.758795551	28.82914534	0	0.758795551	42.1243659	0
0.777302759	28.82865676	0	0.777302759	42.12476246	0
0.795809968	28.82843212	0	0.795809968	42.12419152	0
0.814317177	28.82801907	0	0.814317177	42.12454446	0
0.832824385	28.82848962	0	0.832824385	42.1246845	0
0.851331594	28.82745215	0	0.851331594	42.12439978	0
0.869838802	28.82855671	0	0.869838802	42.12444255	0
0.888346011	28.82937773	0	0.888346011	42.12448384	0
0.906853219	28.82947398	0	0.906853219	42.12493262	0
0.925360428	28.82904512	0	0.925360428	42.12461849	0
0.943867636	28.82962498	0	0.943867636	42.12435907	0
0.962374845	28.82891585	0	0.962374845	42.12462472	0
0.980882054	28.82911404	0	0.980882054	42.12445911	0
0.999389262	28.8295729	0	0.999389262	42.12461356	0
1.017896471	28.82953681	0	1.017896471	42.12470072	0
