mass_B			ExtMarker		
t	x	y	t	x	y
0	143.3853692	0	0	63.58153107	0
0.018388099	143.382385	0	0.018388099	63.57709078	0
0.036776198	143.3806786	0	0.036776198	63.58303586	0
0.055164298	143.3831291	0	0.055164298	63.58331454	0
0.073552397	143.3827643	0	0.073552397	63.57907457	0
0.091940496	143.381218	0	0.091940496	63.57340357	0
0.110328595	143.3815609	0	0.110328595	63.57679421	0
0.128716695	143.382252	0	0.128716695	63.57517666	0
0.147104794	143.3836716	0	0.147104794	63.57884127	0
0.165492893	143.382773	0	0.165492893	63.57923591	0
0.183880992	143.3817811	0	0.183880992	63.57932665	0
0.202269091	143.3809554	0	0.202269091	63.58302835	0
0.220657191	143.3820077	0	0.220657191	63.58554099	0
0.23904529	143.3823301	0	0.23904529	63.58277201	0
0.257433389	143.3771619	0	0.257433389	63.57568332	0
0.275821488	143.3773592	0	0.275821488	63.57600967	0
0.294209588	143.379292	0	0.294209588	63.58083821	0
0.312597687	143.3814277	0	0.312597687	63.58255835	0
0.330985786	143.3818473	0	0.330985786	63.58171404	0
0.349373885	143.3812932	0	0.349373885	63.58324753	0
0.367761984	143.3790527	0	0.367761984	63.57734458	0
0.386150084	143.3810388	0	0.386150084	63.57858781	0
0.404538183	143.3827147	0	0.404538183	63.58203477	0
0.422926282	143.3817665	0	0.422926282	63.58044691	0
0.441314381	143.3773707	0	0.441314381	63.580476	0
0.459702481	143.3791839	0	0.459702481	63.57911705	0
0.47809058	143.3809636	0	0.47809058	63.58359715	0
0.496478679	143.3835427	0	0.496478679	63.5823557	0
0.514866778	143.3817383	0	0.514866778	63.57635151	0
0.533254877	143.3765629	0	0.533254877	63.58217017	0
0.551642977	143.3763708	0	0.551642977	63.57807086	0
0.570031076	143.3801819	0	0.570031076	63.58160016	0
0.588419175	143.3810179	0	0.588419175	63.58069425	0
0.606807274	143.3806784	0	0.606807274	63.58487628	0
0.625195374	143.3887385	0	0.625195374	63.58169804	0
0.643583473	143.3906724	0	0.643583473	63.58161426	0
0.661971572	143.3894679	0	0.661971572	63.57894011	0
0.680359671	143.3862023	0	0.680359671	63.57858231	0
0.69874777	143.3820056	0	0.69874777	63.57009498	0
0.71713587	143.3772525	0	0.71713587	63.56757491	0
0.735523969	143.3797337	0	0.735523969	63.56864289	0
0.753912068	143.3843877	0	0.753912068	63.57397438	0
0.772300167	143.3851511	0	0.772300167	63.58068845	0
0.790688267	143.3835705	0	0.790688267	63.57931666	0
0.809076366	143.3837744	0	0.809076366	63.57955446	0
0.827464465	143.3831883	0	0.827464465	63.57703448	0
0.845852564	143.3794355	0	0.845852564	63.56768241	0
0.864240663	143.3799994	0	0.864240663	63.57157674	0
0.882628763	143.3807076	0	0.882628763	63.57634406	0
0.901016862	143.3814205	0	0.901016862	63.57513663	0
0.919404961	143.3762622	0	0.919404961	63.56599562	0
0.93779306	143.3716198	0	0.93779306	63.5597311	0
0.95618116	143.3753512	0	0.95618116	63.56466438	0
0.974569259	143.3805186	0	0.974569259	63.56796972	0
0.992957358	143.3784997	0	0.992957358	63.56654581	0
1.011345457	143.3774773	0	1.011345457	63.56188374	0
1.029733556	143.3841884	0	1.029733556	63.56836822	0
1.048121656	143.3852922	0	1.048121656	63.56359141	0
1.066509755	143.3856151	0	1.066509755	63.5655525	0
1.084897854	143.384351	0	1.084897854	63.57321332	0
1.103285953	143.3861119	0	1.103285953	63.57779999	0
1.121674053	143.3862255	0	1.121674053	63.5752222	0
1.140062152	143.3843734	0	1.140062152	63.57591199	0
1.158450251	143.3817899	0	1.158450251	63.56866744	0
1.17683835	143.3890511	0	1.17683835	63.57512821	0
1.195226449	143.3898352	0	1.195226449	63.57425215	0
1.213614549	143.3842443	0	1.213614549	63.57284711	0
1.232002648	143.3720829	0	1.232002648	63.57530788	0
1.250390747	143.3762614	0	1.250390747	63.57565206	0
1.268778846	143.3808527	0	1.268778846	63.58025362	0
1.287166946	143.375449	0	1.287166946	63.57519741	0
1.305555045	143.3696264	0	1.305555045	63.57200715	0
1.323943144	143.3586441	0	1.323943144	63.57391384	0
1.342331243	143.3563796	0	1.342331243	63.5775229	0
1.360719342	143.3567368	0	1.360719342	63.57895831	0
