mass_C			mass_A		
t	x	y	t	x	y
0	41.69450338	0	0	19.57846507	0
0.018292237	41.69473659	0	0.018292237	19.57811464	0
0.036584474	41.69507464	0	0.036584474	19.57810162	0
0.05487671	41.6952546	0	0.05487671	19.57827738	0
0.073168947	41.69448785	0	0.073168947	19.57828951	0
0.091461184	41.69490508	0	0.091461184	19.5788081	0
0.109753421	41.69606077	0	0.109753421	19.57763014	0
0.128045657	41.69717413	0	0.128045657	19.57857347	0
0.146337894	41.69643251	0	0.146337894	19.57805093	0
0.164630131	41.69522139	0	0.164630131	19.57871108	0
0.182922368	41.69285907	0	0.182922368	19.57812447	0
0.201214605	41.69393267	0	0.201214605	19.57845936	0
0.219506841	41.69427579	0	0.219506841	19.57860206	0
0.237799078	41.69329147	0	0.237799078	19.57796651	0
0.256091315	41.69277632	0	0.256091315	19.57803737	0
0.274383552	41.69580278	0	0.274383552	19.57898875	0
0.292675788	41.696514	0	0.292675788	19.57831485	0
0.310968025	41.69666042	0	0.310968025	19.57924031	0
0.329260262	41.69597766	0	0.329260262	19.57862495	0
0.347552499	41.6967487	0	0.347552499	19.57895443	0
0.365844736	41.69624611	0	0.365844736	19.57887329	0
0.384136972	41.69622239	0	0.384136972	19.57850559	0
0.402429209	41.6945094	0	0.402429209	19.57817461	0
0.420721446	41.69569975	0	0.420721446	19.57836424	0
0.439013683	41.69613515	0	0.439013683	19.57864153	0
0.457305919	41.69676334	0	0.457305919	19.57911728	0
0.475598156	41.69652343	0	0.475598156	19.57826489	0
0.493890393	41.69439485	0	0.493890393	19.57933596	0
0.51218263	41.69569644	0	0.51218263	19.57887354	0
0.530474867	41.69494567	0	0.530474867	19.57850161	0
0.548767103	41.69582206	0	0.548767103	19.57900164	0
0.56705934	41.69497064	0	0.56705934	19.57887266	0
0.585351577	41.69671914	0	0.585351577	19.57899014	0
0.603643814	41.69686391	0	0.603643814	19.57905153	0
0.62193605	41.69664144	0	0.62193605	19.5788014	0
0.640228287	41.69640472	0	0.640228287	19.57881257	0
0.658520524	41.69644864	0	0.658520524	19.57905038	0
0.676812761	41.69843491	0	0.676812761	19.58039259	0
