mass_B			mass_A		
t	x	y	t	x	y
0	13.66187535	0	0	45.448792	0
0.024756152	13.66238311	0	0.024756152	45.44807993	0
0.049512304	13.6625852	0	0.049512304	45.44843201	0
0.074268456	13.66217247	0	0.074268456	45.44819996	0
0.099024608	13.66256576	0	0.099024608	45.44852511	0
0.12378076	13.66227161	0	0.12378076	45.44862134	0
0.148536911	13.66185572	0	0.148536911	45.4487445	0
0.173293063	13.66156741	0	0.173293063	45.4488114	0
0.198049215	13.66149659	0	0.198049215	45.44822736	0
0.222805367	13.66233327	0	0.222805367	45.44876562	0
0.247561519	13.66250249	0	0.247561519	45.448493	0
0.272317671	13.66224507	0	0.272317671	45.44821294	0
0.297073823	13.66210275	0	0.297073823	45.44827798	0
0.321829975	13.66221891	0	0.321829975	45.44821521	0
0.346586127	13.66248537	0	0.346586127	45.44857288	0
0.371342279	13.66269755	0	0.371342279	45.44858636	0
0.396098431	13.66209399	0	0.396098431	45.44895638	0
0.420854582	13.66213366	0	0.420854582	45.44800746	0
0.445610734	13.66240623	0	0.445610734	45.44799272	0
0.470366886	13.66228796	0	0.470366886	45.44823416	0
0.495123038	13.66231429	0	0.495123038	45.44856231	0
0.51987919	13.66248689	0	0.51987919	45.44781931	0
0.544635342	13.66266896	0	0.544635342	45.44869936	0
0.569391494	13.66231472	0	0.569391494	45.44849435	0
0.594147646	13.66420865	0	0.594147646	45.44836609	0
0.618903798	13.66795748	0	0.618903798	45.44798811	0
0.64365995	13.66593513	0	0.64365995	45.44816738	0
0.668416101	13.66058471	0	0.668416101	45.44815897	0
0.693172253	13.65776154	0	0.693172253	45.44814451	0
0.717928405	13.65638635	0	0.717928405	45.44805196	0
0.742684557	13.65452162	0	0.742684557	45.44775201	0
0.767440709	13.65416153	0	0.767440709	45.4479826	0
0.792196861	13.65301943	0	0.792196861	45.44813792	0
0.816953013	13.65118231	0	0.816953013	45.44796919	0
0.841709165	13.65147241	0	0.841709165	45.44801849	0
0.866465317	13.65070785	0	0.866465317	45.44812188	0
0.891221469	13.65056401	0	0.891221469	45.44786911	0
0.91597762	13.65270966	0	0.91597762	45.44814314	0
0.940733772	13.65384139	0	0.940733772	45.44820977	0
0.965489924	13.65383572	0	0.965489924	45.44868218	0
0.990246076	13.65424862	0	0.990246076	45.44807522	0
1.015002228	13.65508822	0	1.015002228	45.44825144	0
1.03975838	13.6546737	0	1.03975838	45.44798894	0
1.064514532	13.65439755	0	1.064514532	45.44882062	0
1.089270684	13.65464067	0	1.089270684	45.44881127	0
1.114026836	13.65485084	0	1.114026836	45.44798368	0
1.138782988	13.65525019	0	1.138782988	45.44828095	0
1.163539139	13.65491643	0	1.163539139	45.44851619	0
1.188295291	13.65513368	0	1.188295291	45.44826429	0
1.213051443	13.65564504	0	1.213051443	45.44862726	0
1.237807595	13.65528066	0	1.237807595	45.44794477	0
1.262563747	13.65465673	0	1.262563747	45.44841742	0
1.287319899	13.65529802	0	1.287319899	45.44796568	0
1.312076051	13.65507021	0	1.312076051	45.44872835	0
1.336832203	13.65551853	0	1.336832203	45.44828085	0
1.361588355	13.65520632	0	1.361588355	45.44829171	0
1.386344507	13.65546321	0	1.386344507	45.44774897	0
1.411100659	13.65544603	0	1.411100659	45.44783625	0
1.43585681	13.65578498	0	1.43585681	45.44827782	0
1.460612962	13.65519294	0	1.460612962	45.44832887	0
1.485369114	13.65543123	0	1.485369114	45.44792401	0
1.510125266	13.65534993	0	1.510125266	45.4479628	0
1.534881418	13.65487064	0	1.534881418	45.44815131	0
1.55963757	13.65518878	0	1.55963757	45.44763689	0
1.584393722	13.6550786	0	1.584393722	45.44832698	0
1.609149874	13.65455552	0	1.609149874	45.44831757	0
1.633906026	13.65513621	0	1.633906026	45.44796479	0
1.658662178	13.65279619	0	1.658662178	45.44796114	0
1.683418329	13.64270881	0	1.683418329	45.44767042	0
1.708174481	13.57303796	0	1.708174481	45.44650386	0
1.732930633	13.52381565	0	1.732930633	45.44687169	0
1.757686785	13.40583787	0	1.757686785	45.44712733	0
1.782442937	13.39581043	0	1.782442937	45.44470834	0
1.807199089	13.33586322	0	1.807199089	45.44490029	0
1.831955241	13.32259721	0	1.831955241	45.44731682	0
1.856711393	13.21175317	0	1.856711393	45.44560194	0
1.881467545	13.09675139	0	1.881467545	45.44636062	0
1.906223697	12.90284636	0	1.906223697	45.44549403	0
1.930979848	12.67570082	0	1.930979848	45.4450356	0
1.955736	12.43930212	0	1.955736	45.44592365	0
1.980492152	12.31584937	0	1.980492152	45.4460202	0
2.005248304	12.07181941	0	2.005248304	45.44579909	0
2.030004456	11.95437308	0	2.030004456	45.4463673	0
2.054760608	11.79445389	0	2.054760608	45.44717864	0
2.07951676	11.65711643	0	2.07951676	45.44693262	0
2.104272912	11.45617869	0	2.104272912	45.44589192	0
2.129029064	11.19848763	0	2.129029064	45.44632014	0
2.153785216	11.06499405	0	2.153785216	45.4458592	0
2.178541368	11.02884977	0	2.178541368	45.44702085	0
2.203297519	10.83028528	0	2.203297519	45.44572837	0
2.228053671	10.73624317	0	2.228053671	45.44703262	0
2.252809823	10.62511678	0	2.252809823	45.44627536	0
2.277565975	10.46168125	0	2.277565975	45.44673958	0
2.302322127	10.37004927	0	2.302322127	45.44723364	0
2.327078279	10.15444563	0	2.327078279	45.44798214	0
2.351834431	10.03873322	0	2.351834431	45.44789659	0
2.376590583	9.913730154	0	2.376590583	45.44878217	0
2.401346735	9.853195643	0	2.401346735	45.44869008	0
2.426102887	9.727416076	0	2.426102887	45.44749446	0
2.450859038	9.489493592	0	2.450859038	45.4485149	0
2.47561519	9.447253659	0	2.47561519	45.44863249	0
2.500371342	9.35414364	0	2.500371342	45.44924506	0
2.525127494	9.186194946	0	2.525127494	45.44936272	0
2.549883646	9.061911989	0	2.549883646	45.44909498	0
2.574639798	8.98024178	0	2.574639798	45.44883732	0
2.59939595	8.885883823	0	2.59939595	45.44926889	0
2.624152102	8.826168881	0	2.624152102	45.44907831	0
2.648908254	8.755333099	0	2.648908254	45.44903263	0
2.673664406	8.644874671	0	2.673664406	45.44798541	0
2.698420558	8.498923459	0	2.698420558	45.44899698	0
2.723176709	8.423305406	0	2.723176709	45.44801701	0
2.747932861	8.295368984	0	2.747932861	45.44772737	0
2.772689013	8.194638102	0	2.772689013	45.44752087	0
2.797445165	8.120345444	0	2.797445165	45.44784039	0
2.822201317	8.049335247	0	2.822201317	45.44738125	0
2.846957469	7.986490754	0	2.846957469	45.44790086	0
2.871713621	7.907782513	0	2.871713621	45.44778152	0
2.896469773	7.847662908	0	2.896469773	45.4482977	0
2.921225925	7.696443164	0	2.921225925	45.44889117	0
2.945982077	7.661781026	0	2.945982077	45.44761486	0
2.970738228	7.615187209	0	2.970738228	45.44816649	0
2.99549438	7.53856608	0	2.99549438	45.44842742	0
3.020250532	7.394853737	0	3.020250532	45.44684464	0
3.045006684	7.364288494	0	3.045006684	45.44761461	0
3.069762836	7.340337102	0	3.069762836	45.44775006	0
3.094518988	7.309899328	0	3.094518988	45.44722964	0
3.11927514	7.180043502	0	3.11927514	45.44622439	0
3.144031292	7.183776933	0	3.144031292	45.44661474	0
3.168787444	7.155372254	0	3.168787444	45.44679747	0
3.193543596	7.103702406	0	3.193543596	45.44750705	0
3.218299747	7.025955068	0	3.218299747	45.44841244	0
3.243055899	7.029757561	0	3.243055899	45.4482689	0
3.267812051	7.006962528	0	3.267812051	45.44832529	0
3.292568203	6.905027245	0	3.292568203	45.44811927	0
3.317324355	6.877163622	0	3.317324355	45.44864818	0
3.342080507	6.827528759	0	3.342080507	45.44849774	0
3.366836659	6.744086215	0	3.366836659	45.44759119	0
3.391592811	6.703429685	0	3.391592811	45.44787195	0
3.416348963	6.619375466	0	3.416348963	45.44822985	0
3.441105115	6.494466776	0	3.441105115	45.44791223	0
3.465861267	6.442842061	0	3.465861267	45.44827441	0
3.490617418	6.370157123	0	3.490617418	45.44782821	0
3.51537357	6.268020843	0	3.51537357	45.44890552	0
