mass_C			extMMM		
t	x	y	t	x	y
0.0000000000	18.5630498500	-0.7038123167	0.0000000000	36.8532901200	5.1521016620
0.0251648296	18.5628844100	-0.7042248481	0.0251648296	36.8532725900	5.1518419390
0.0503296593	18.5631840200	-0.7044473245	0.0503296593	36.8535878400	5.1516894480
0.0754944889	18.5618763500	-0.7041874825	0.0754944889	36.8535075000	5.1516852300
0.1006593185	18.5630001800	-0.7042630091	0.1006593185	36.8535532700	5.1517254090
0.1258241482	18.5634528300	-0.7041511698	0.1258241482	36.8537687900	5.1517741680
0.1509889778	18.5615394000	-0.7041420288	0.1509889778	36.8534339500	5.1517729520
0.1761538074	18.5637808600	-0.7042454129	0.1761538074	36.8531595800	5.1517696640
0.2013186371	18.5636220800	-0.7042950119	0.2013186371	36.8534365000	5.1517277160
0.2264834667	18.5632772100	-0.7042622936	0.2264834667	36.8530470700	5.1517322610
0.2516482963	18.5626845900	-0.7041316067	0.2516482963	36.8535697300	5.1518041610
0.2768131260	18.5628286800	-0.7040890866	0.2768131260	36.8532405700	5.1517550240
0.3019779556	18.5637108500	-0.7042195566	0.3019779556	36.8531462800	5.1517084670
0.3271427852	18.5636759200	-0.7042167838	0.3271427852	36.8532563800	5.1517584180
0.3523076149	18.5627400900	-0.7041638877	0.3523076149	36.8538068800	5.1517857940
0.3774724445	18.5630393800	-0.7041316138	0.3774724445	36.8534841700	5.1517237010
0.4026372741	18.5627029400	-0.7040421635	0.4026372741	36.8534618600	5.1517212630
0.4278021038	18.5637399100	-0.7040614001	0.4278021038	36.8535435400	5.1517476230
0.4529669334	18.5640049900	-0.7041589272	0.4529669334	36.8532518200	5.1517338950
0.4781317630	18.5641518700	-0.7043065421	0.4781317630	36.8538311500	5.1518243400
0.5032965927	18.5633587800	-0.7042287710	0.5032965927	36.8536203000	5.1518715380
0.5284614223	18.5641002600	-0.7043459210	0.5284614223	36.8539748300	5.1517259760
0.5536262520	18.5634197300	-0.7043331889	0.5536262520	36.8538024800	5.1518374600
0.5787910816	18.5604954800	-0.7042280457	0.5787910816	36.8536358000	5.1517441470
0.6039559112	18.5578380400	-0.7035481906	0.6039559112	36.8534813000	5.1517380550
0.6291207409	18.5350194300	-0.7010311912	0.6291207409	36.8531952900	5.1518091680
0.6542855705	18.5112783600	-0.7003932143	0.6542855705	36.8530119900	5.1517566870
0.6794504001	18.4169291000	-0.6975902135	0.6794504001	36.8535027900	5.1518987480
0.7046152298	18.3903016200	-0.6928866931	0.7046152298	36.8535299400	5.1519192530
0.7297800594	18.2804598800	-0.6773499907	0.7297800594	36.8529653200	5.1520317680
0.7549448890	18.2225504300	-0.6759917131	0.7549448890	36.8531999900	5.1521915630
0.7801097187	18.1159143400	-0.6585863705	0.7801097187	36.8521792900	5.1521912870
0.8052745483	17.9957388500	-0.6435444757	0.8052745483	36.8518023100	5.1525863230
0.8304393779	17.7971138500	-0.6237663898	0.8304393779	36.8519784400	5.1531963170
0.8556042076	17.5014280400	-0.6061827051	0.8556042076	36.8525109500	5.1538285620
0.8807690372	17.3622493000	-0.5980081857	0.8807690372	36.8524112700	5.1541973590
0.9059338668	17.2475266600	-0.5842680006	0.9059338668	36.8497933200	5.1549295910
0.9310986965	17.1661336600	-0.5620029562	0.9310986965	36.8497794300	5.1549210750
0.9562635261	17.0402070300	-0.5468468293	0.9562635261	36.8482555100	5.1554418480
0.9814283557	16.8846859300	-0.5343375200	0.9814283557	36.8474052400	5.1554008980
1.0065931850	16.7804939900	-0.5342676920	1.0065931850	36.8444389500	5.1561462830
1.0317580150	16.6575445300	-0.5014120303	1.0317580150	36.8445990200	5.1566934200
1.0569228450	16.4295455700	-0.4757065173	1.0569228450	36.8409173800	5.1575839070
1.0820876740	16.3124349800	-0.4728105706	1.0820876740	36.8379053700	5.1581235830
1.1072525040	16.1577878900	-0.4683872688	1.1072525040	36.8356794200	5.1587617870
1.1324173340	16.0850728200	-0.4680926706	1.1324173340	36.8383978400	5.1588881580
1.1575821630	15.9371939700	-0.4625092872	1.1575821630	36.8277829500	5.1592628220
1.1827469930	15.6635642700	-0.4624245487	1.1827469930	36.8218067300	5.1597961150
1.2079118220	15.5347483100	-0.4605203640	1.2079118220	36.8164897800	5.1599493730
1.2330766520	15.3986199400	-0.4626861151	1.2330766520	36.8120199600	5.1592690510
1.2582414820	15.2966723800	-0.4707244076	1.2582414820	36.7798232300	5.1597219370
1.2834063110	15.0784405700	-0.4676709975	1.2834063110	36.7602668200	5.1599246640
1.3085711410	15.0174515300	-0.4689137888	1.3085711410	36.7685468600	5.1589955410
1.3337359710	14.9079161100	-0.4727673216	1.3337359710	36.7592892100	5.1590390740
1.3589008000	14.8034841800	-0.4697990771	1.3589008000	36.7511344800	5.1587016300
1.3840656300	14.6453839400	-0.4666607243	1.3840656300	36.7620525700	5.1582928890
1.4092304600	14.5385022100	-0.4720218651	1.4092304600	36.7581374300	5.1580510400
1.4343952890	14.4230287500	-0.4682189079	1.4343952890	36.7625084200	5.1582176680
1.4595601190	14.2684073500	-0.4639170246	1.4595601190	36.7581687300	5.1579887410
1.4847249480	14.1627768300	-0.4693886205	1.4847249480	36.7605509600	5.1577453920
1.5098897780	14.0026919000	-0.4689633689	1.5098897780	36.7597919600	5.1576021130
1.5350546080	13.8384938800	-0.4722690883	1.5350546080	36.7607137400	5.1576999200
1.5602194370	13.7369949600	-0.4736546397	1.5602194370	36.7555588100	5.1578492640
1.5853842670	13.5575005200	-0.4728751167	1.5853842670	36.7627053500	5.1581903480
1.6105490970	13.5251033500	-0.4691632186	1.6105490970	36.7622740100	5.1577059840
1.6357139260	13.4452500100	-0.4674548681	1.6357139260	36.7613459800	5.1573900510
1.6608787560	13.3932910100	-0.4700004044	1.6608787560	36.7564374800	5.1569694660
1.6860435850	13.2461684500	-0.4661065834	1.6860435850	36.7575850700	5.1572574870
1.7112084150	13.2179505000	-0.4653890848	1.7112084150	36.7595268800	5.1567160550
1.7363732450	13.0695365500	-0.4600348307	1.7363732450	36.7550200200	5.1568566030
1.7615380740	12.9752950600	-0.4699217609	1.7615380740	36.7526574200	5.1565992630
1.7867029040	12.8538879000	-0.4665951965	1.7867029040	36.7467189400	5.1562670270
1.8118677340	12.7907899300	-0.4666875812	1.8118677340	36.7495679200	5.1561692990
1.8370325630	12.7256639000	-0.4672522163	1.8370325630	36.7431347400	5.1563511830
1.8621973930	12.6597873300	-0.4694524983	1.8621973930	36.7211819800	5.1555209770
1.8873622230	12.5655587800	-0.4677192898	1.8873622230	36.6935590600	5.1558743340
1.9125270520	12.4631350400	-0.4619473718	1.9125270520	36.6722364800	5.1563518680
1.9376918820	12.4030788200	-0.4615404540	1.9376918820	36.6670671200	5.1562011640
1.9628567110	12.3569541400	-0.4680129661	1.9628567110	36.6754367300	5.1563835880
1.9880215410	12.2492093900	-0.4621882380	1.9880215410	36.6777873700	5.1562906040
2.0131863710	12.2318576400	-0.4637516628	2.0131863710	36.6848752300	5.1559669900
2.0383512000	12.2031173900	-0.4699671314	2.0383512000	36.6833089500	5.1555381640
2.0635160300	12.0931630900	-0.4619643691	2.0635160300	36.6862602200	5.1558739490
2.0886808600	12.0744741300	-0.4710515664	2.0886808600	36.6889858800	5.1556690950
2.1138456890	12.0145136300	-0.4637402684	2.1138456890	36.6873287700	5.1552099540
2.1390105190	11.8949983200	-0.4619544096	2.1390105190	36.6857951300	5.1550034120
2.1641753490	11.8168213500	-0.4606457269	2.1641753490	36.6829162300	5.1548029260
2.1893401780	11.7216253700	-0.4577893953	2.1893401780	36.6802733500	5.1546649290
2.2145050080	11.6715304600	-0.4630853775	2.2145050080	36.6802005800	5.1545194840
2.2396698370	11.5926543900	-0.4607223867	2.2396698370	36.6771420000	5.1543950160
2.2648346670	11.5289957200	-0.4641305024	2.2648346670	36.6772328100	5.1547799320
2.2899994970	11.4755662400	-0.4681116507	2.2899994970	36.6807063900	5.1542514530
2.3151643260	11.4138616900	-0.4583325670	2.3151643260	36.6826078400	5.1546020070
2.3403291560	11.3264669800	-0.4721911754	2.3403291560	36.6824723200	5.1545123010
