GM fasc			Ext		
t	x	y	t	x	y
0	0.709435573	1.625519448	0	4.622090602	8.503321426
0.059612519	0.714756439	1.626007262	0.059612519	4.62105779	8.500734491
0.119225037	0.758493095	1.625154323	0.119225037	4.620542345	8.500627299
0.178837556	0.841163054	1.622157962	0.178837556	4.620913294	8.5000881
0.238450075	0.961202908	1.61457395	0.238450075	4.620013185	8.500157635
0.298062593	1.050273848	1.608527026	0.298062593	4.618896159	8.499349876
0.357675112	1.160720793	1.603104016	0.357675112	4.617010986	8.498511771
0.41728763	1.264840229	1.599166277	0.41728763	4.613604143	8.498267108
0.476900149	1.271069846	1.602557833	0.476900149	4.606978229	8.498576591
0.536512668	1.30325659	1.603520016	0.536512668	4.602957002	8.498597942
0.596125186	1.392636028	1.593703462	0.596125186	4.606360923	8.498054506
0.655737705	1.450208193	1.591050233	0.655737705	4.607283801	8.49868327
0.715350224	1.505434762	1.593033246	0.715350224	4.611235131	8.497968295
0.774962742	1.598402609	1.585852275	0.774962742	4.61417994	8.497829679
0.834575261	1.723713926	1.572968589	0.834575261	4.616139597	8.497425329
0.894187779	1.81161103	1.562708445	0.894187779	4.616415074	8.497946813
0.953800298	1.841824992	1.558160024	0.953800298	4.620032948	8.498357995
1.013412817	1.871369965	1.554464489	1.013412817	4.618210823	8.49892163
1.073025335	1.940737602	1.544934355	1.073025335	4.61923826	8.499457834
1.132637854	1.984576534	1.528861984	1.132637854	4.622726525	8.499847136
1.192250373	2.076666534	1.531709767	1.192250373	4.622006246	8.499780363
1.251862891	2.101488289	1.527377744	1.251862891	4.624171238	8.499711239
1.31147541	1.954921041	1.531390759	1.31147541	4.619746993	8.500190889
1.371087928	1.919341483	1.531836867	1.371087928	4.618679062	8.49934634
1.430700447	1.936622169	1.539279045	1.430700447	4.633186604	8.498212243
1.490312966	1.962837341	1.543315359	1.490312966	4.643519814	8.495219924
1.549925484	2.066638054	1.537259384	1.549925484	4.652713813	8.49453013
1.609538003	2.150058063	1.531137045	1.609538003	4.660825206	8.493163777
1.669150522	2.215867793	1.525934418	1.669150522	4.688043637	8.49183634
1.72876304	2.30658307	1.519611887	1.72876304	4.692605252	8.491022448
1.788375559	2.329407493	1.517946116	1.788375559	4.68721697	8.491341241
1.847988077	2.373441524	1.513548405	1.847988077	4.691900081	8.492852119
1.907600596	2.430150752	1.505284085	1.907600596	4.694942032	8.493518991
1.967213115	2.51789662	1.499471803	1.967213115	4.696432455	8.494189907
2.026825633	2.618776462	1.496522293	2.026825633	4.698390825	8.49414199
2.086438152	2.677840867	1.495762657	2.086438152	4.697942937	8.494395844
2.146050671	2.773585472	1.492003268	2.146050671	4.695820555	8.493485226
2.205663189	2.841213671	1.489228859	2.205663189	4.697979808	8.492622893
2.265275708	2.879729791	1.486719123	2.265275708	4.696694729	8.491955366
2.324888227	2.955156911	1.48353856	2.324888227	4.697731462	8.490668251
2.384500745	3.033552643	1.478438636	2.384500745	4.701117712	8.490966469
2.444113264	3.10220324	1.476127873	2.444113264	4.694906597	8.491283651
2.503725782	3.14824777	1.472713852	2.503725782	4.693540278	8.492288663
