Bump_2			mass_A		
t	x	y	t	x	y
0	37.05364859	-0.93865745	0	7.724975907	3.116850791
0.059612519	37.02647153	-0.937448765	0.059612519	7.724807161	3.116189618
0.119225037	36.91386547	-0.94064414	0.119225037	7.720426662	3.115922186
0.178837556	36.76747839	-0.951334442	0.178837556	7.69980665	3.116333801
0.238450075	36.61305969	-0.962353326	0.238450075	7.712201607	3.113903224
0.298062593	36.47890984	-0.97834706	0.298062593	7.578426115	3.112061871
0.357675112	36.20889799	-1.017383433	0.357675112	7.44005077	3.105982919
0.41728763	36.05320426	-1.039342285	0.41728763	7.167708599	3.097142202
0.476900149	35.98552354	-1.048469163	0.476900149	6.986646652	3.083884033
0.536512668	35.90755457	-1.056706421	0.536512668	6.811262546	3.080032113
0.596125186	35.9085995	-1.056643562	0.596125186	6.687848137	3.077736487
0.655737705	35.89551647	-1.056539721	0.655737705	6.518167703	3.073140869
0.715350224	35.91089936	-1.055471022	0.715350224	6.407017871	3.068908623
0.774962742	36.02963564	-1.04908645	0.774962742	6.360416662	3.065395645
0.834575261	36.06416483	-1.042953092	0.834575261	6.330705947	3.063638506
0.894187779	36.08843153	-1.039653641	0.894187779	6.330656069	3.063463747
0.953800298	36.1149439	-1.040961399	0.953800298	6.340611799	3.064310326
1.013412817	36.11235715	-1.043350977	1.013412817	6.343073596	3.064705415
1.073025335	36.11974705	-1.046609239	1.073025335	6.345564213	3.064472658
1.132637854	36.14872635	-1.047746206	1.132637854	6.352526288	3.063655608
1.192250373	36.21761113	-1.048425285	1.192250373	6.356846097	3.062920749
1.251862891	36.34580017	-1.046558932	1.251862891	6.35829206	3.062570725
1.31147541	36.3431793	-1.042034356	1.31147541	6.3651092	3.062498491
1.371087928	36.34140354	-1.040910457	1.371087928	6.363520857	3.060227292
1.430700447	36.3376188	-1.040470055	1.430700447	6.365214311	3.060257098
1.490312966	36.32826683	-1.037996721	1.490312966	6.381590374	3.060998871
1.549925484	36.32653506	-1.035867613	1.549925484	6.417015858	3.063097487
1.609538003	36.32695172	-1.035399432	1.609538003	6.424517062	3.063986268
1.669150522	36.33411449	-1.037549253	1.669150522	6.426452206	3.064373762
1.72876304	36.34031382	-1.039461424	1.72876304	6.425207397	3.064762889
1.788375559	36.35766092	-1.042723027	1.788375559	6.429445159	3.065332116
1.847988077	36.41782061	-1.042990423	1.847988077	6.438445514	3.06643409
1.907600596	36.45465729	-1.040965615	1.907600596	6.438539494	3.066520162
1.967213115	36.48950316	-1.040774978	1.967213115	6.434723299	3.065960309
2.026825633	36.53362263	-1.040894759	2.026825633	6.443584219	3.066238564
2.086438152	36.57945661	-1.038254389	2.086438152	6.451645255	3.066428606
2.146050671	36.58513952	-1.031625781	2.146050671	6.496229658	3.067268876
2.205663189	36.61727738	-1.031821346	2.205663189	6.49817498	3.067285776
2.265275708	36.63383493	-1.028783645	2.265275708	6.493703287	3.0678735
2.324888227	36.65203789	-1.028550711	2.324888227	6.507553644	3.069049865
2.384500745	36.69616658	-1.026479695	2.384500745	6.508639293	3.069704636
2.444113264	36.73892416	-1.024227181	2.444113264	6.501596745	3.069464958
2.503725782	36.75862727	-1.022441295	2.503725782	6.496458714	3.06935166
2.563338301	36.77334087	-1.022058232	2.563338301	6.502602535	3.068649732
2.62295082	36.77685418	-1.020738718	2.62295082	6.499499731	3.068706712
2.682563338	36.77742617	-1.021440291	2.682563338	6.489724135	3.068373492
2.742175857	36.76808318	-1.019489264	2.742175857	6.491693025	3.068114605
2.801788376	36.76318654	-1.018489737	2.801788376	6.492821044	3.06756023
2.861400894	36.76336098	-1.019464769	2.861400894	6.486881224	3.067722929
2.921013413	36.76118453	-1.017503278	2.921013413	6.488358808	3.067671508
2.980625931	36.74909402	-1.013176877	2.980625931	6.491130431	3.067494504
3.04023845	36.74430766	-1.010214674	3.04023845	6.499405199	3.067494757
3.099850969	36.74294122	-1.008851754	3.099850969	6.498988765	3.06754315
3.159463487	36.74856927	-1.003039253	3.159463487	6.501508309	3.06827351
3.219076006	36.74830355	-0.998750818	3.219076006	6.497216532	3.067812304
3.278688525	36.74449467	-0.99260695	3.278688525	6.497726638	3.067796683
3.338301043	36.74194301	-0.980737713	3.338301043	6.504733809	3.068180523
3.397913562	36.66187269	-0.962832935	3.397913562	6.491903053	3.068703416
3.45752608	36.63215267	-0.964315541	3.45752608	6.478331525	3.068051189
3.517138599	36.58389056	-0.961031866	3.517138599	6.472003112	3.067890907
3.576751118	36.56745996	-0.962068014	3.576751118	6.474680391	3.067685419
3.636363636	36.54026479	-0.964413605	3.636363636	6.478534057	3.067791888
3.695976155	36.52776623	-0.964664254	3.695976155	6.482472999	3.067970676
3.755588674	36.54175028	-0.964562953	3.755588674	6.483883732	3.067842349
3.815201192	36.5483415	-0.963162534	3.815201192	6.485213386	3.067844847
3.874813711	36.55322406	-0.962600702	3.874813711	6.486002514	3.067596891
3.93442623	36.56557735	-0.964863354	3.93442623	6.487383966	3.067327804
3.994038748	36.58006968	-0.964062833	3.994038748	6.488961071	3.066860901
