MTJ			mass_A		
t	x	y	t	x	y
0.00000000	31.54694354	0.00000000	0.00000000	48.76376069	0.00000000
0.02571950	31.54677750	0.00000000	0.02571950	48.76182727	0.00000000
0.05143901	31.54686976	0.00000000	0.05143901	48.76191201	0.00000000
0.07715851	31.54661499	0.00000000	0.07715851	48.76185287	0.00000000
0.10287801	31.54748332	0.00000000	0.10287801	48.76218792	0.00000000
0.12859752	31.54698950	0.00000000	0.12859752	48.76183402	0.00000000
0.15431702	31.54713908	0.00000000	0.15431702	48.76119393	0.00000000
0.18003652	31.54747859	0.00000000	0.18003652	48.76206659	0.00000000
0.20575602	31.54717930	0.00000000	0.20575602	48.76161742	0.00000000
0.23147553	31.54825785	0.00000000	0.23147553	48.76128857	0.00000000
0.25719503	31.54823838	0.00000000	0.25719503	48.76134939	0.00000000
0.28291453	31.54753186	0.00000000	0.28291453	48.76215214	0.00000000
0.30863404	31.54806994	0.00000000	0.30863404	48.76192536	0.00000000
0.33435354	31.54843698	0.00000000	0.33435354	48.76161815	0.00000000
0.36007304	31.54849014	0.00000000	0.36007304	48.76151141	0.00000000
0.38579255	31.54845989	0.00000000	0.38579255	48.76123679	0.00000000
0.41151205	31.54874912	0.00000000	0.41151205	48.76113855	0.00000000
0.43723155	31.54815592	0.00000000	0.43723155	48.76113665	0.00000000
0.46295106	31.54819915	0.00000000	0.46295106	48.76170136	0.00000000
0.48867056	31.54736570	0.00000000	0.48867056	48.76125160	0.00000000
0.51439006	31.54469940	0.00000000	0.51439006	48.76050375	0.00000000
0.54010957	31.54178570	0.00000000	0.54010957	48.76099929	0.00000000
0.56582907	31.54200398	0.00000000	0.56582907	48.76072508	0.00000000
0.59154857	31.54091804	0.00000000	0.59154857	48.76075830	0.00000000
0.61726807	31.54050724	0.00000000	0.61726807	48.76093549	0.00000000
0.64298758	31.54231020	0.00000000	0.64298758	48.76124633	0.00000000
0.66870708	31.54254522	0.00000000	0.66870708	48.76086864	0.00000000
0.69442658	31.54406507	0.00000000	0.69442658	48.76071430	0.00000000
0.72014609	31.54479931	0.00000000	0.72014609	48.76065541	0.00000000
0.74586559	31.54546130	0.00000000	0.74586559	48.76083917	0.00000000
0.77158509	31.54603539	0.00000000	0.77158509	48.76053676	0.00000000
0.79730460	31.54599770	0.00000000	0.79730460	48.76155367	0.00000000
0.82302410	31.54580986	0.00000000	0.82302410	48.76089901	0.00000000
0.84874360	31.54594601	0.00000000	0.84874360	48.76082582	0.00000000
0.87446311	31.54594364	0.00000000	0.87446311	48.76047330	0.00000000
0.90018261	31.54654148	0.00000000	0.90018261	48.76085370	0.00000000
0.92590211	31.54665928	0.00000000	0.92590211	48.76074698	0.00000000
0.95162161	31.54634361	0.00000000	0.95162161	48.76084909	0.00000000
0.97734112	31.54680322	0.00000000	0.97734112	48.76105199	0.00000000
1.00306062	31.54705336	0.00000000	1.00306062	48.76082462	0.00000000
1.02878012	31.54734449	0.00000000	1.02878012	48.76125932	0.00000000
1.05449963	31.54717097	0.00000000	1.05449963	48.76146078	0.00000000
1.08021913	31.54696190	0.00000000	1.08021913	48.76102902	0.00000000
1.10593863	31.54749139	0.00000000	1.10593863	48.76096009	0.00000000
1.13165814	31.54762867	0.00000000	1.13165814	48.76126127	0.00000000
1.15737764	31.54755186	0.00000000	1.15737764	48.76153958	0.00000000
1.18309714	31.54792857	0.00000000	1.18309714	48.76164143	0.00000000
1.20881665	31.54646328	0.00000000	1.20881665	48.76156360	0.00000000
1.23453615	31.54530828	0.00000000	1.23453615	48.76083412	0.00000000
1.26025565	31.47457196	0.00000000	1.26025565	48.75836081	0.00000000
1.28597516	31.38348426	0.00000000	1.28597516	48.75878338	0.00000000
1.31169466	31.35065347	0.00000000	1.31169466	48.75866635	0.00000000
1.33741416	31.07974527	0.00000000	1.33741416	48.75667752	0.00000000
1.36313366	30.73204041	0.00000000	1.36313366	48.75296894	0.00000000
1.38885317	30.69222052	0.00000000	1.38885317	48.75523427	0.00000000
1.41457267	30.50895521	0.00000000	1.41457267	48.75649872	0.00000000
1.44029217	30.35157192	0.00000000	1.44029217	48.75946384	0.00000000
1.46601168	30.27980828	0.00000000	1.46601168	48.75971831	0.00000000
1.49173118	30.08318217	0.00000000	1.49173118	48.75917574	0.00000000
1.51745068	29.97494214	0.00000000	1.51745068	48.75974599	0.00000000
1.54317019	29.72344313	0.00000000	1.54317019	48.76023971	0.00000000
1.56888969	29.65157007	0.00000000	1.56888969	48.76135097	0.00000000
1.59460919	29.49844876	0.00000000	1.59460919	48.76250414	0.00000000
1.62032870	29.34486464	0.00000000	1.62032870	48.76273790	0.00000000
1.64604820	29.32422611	0.00000000	1.64604820	48.76251529	0.00000000
1.67176770	29.23079302	0.00000000	1.67176770	48.76234383	0.00000000
1.69748721	29.17653915	0.00000000	1.69748721	48.76263628	0.00000000
1.72320671	29.11347538	0.00000000	1.72320671	48.76074762	0.00000000
1.74892621	29.01302517	0.00000000	1.74892621	48.76127453	0.00000000
1.77464571	28.81749691	0.00000000	1.77464571	48.76045201	0.00000000
1.80036522	28.73300010	0.00000000	1.80036522	48.76054095	0.00000000
1.82608472	28.66532325	0.00000000	1.82608472	48.75920834	0.00000000
1.85180422	28.73031715	0.00000000	1.85180422	48.75741972	0.00000000
1.87752373	28.50189629	0.00000000	1.87752373	48.75507078	0.00000000
1.90324323	28.35380984	0.00000000	1.90324323	48.75432172	0.00000000
1.92896273	28.30609153	0.00000000	1.92896273	48.75689250	0.00000000
1.95468224	27.98815323	0.00000000	1.95468224	48.75587698	0.00000000
1.98040174	27.65860426	0.00000000	1.98040174	48.75507809	0.00000000
2.00612124	27.56539406	0.00000000	2.00612124	48.75738738	0.00000000
2.03184075	27.32425302	0.00000000	2.03184075	48.75591644	0.00000000
2.05756025	26.94594521	0.00000000	2.05756025	48.75476657	0.00000000
2.08327975	26.45502198	0.00000000	2.08327975	48.75121667	0.00000000
2.10899925	26.31923148	0.00000000	2.10899925	48.75167944	0.00000000
2.13471876	25.94265273	0.00000000	2.13471876	48.76426310	0.00000000
2.16043826	25.77808662	0.00000000	2.16043826	48.76543343	0.00000000
2.18615776	25.61853974	0.00000000	2.18615776	48.76098300	0.00000000
2.21187727	25.29760793	0.00000000	2.21187727	48.76278213	0.00000000
2.23759677	24.93995763	0.00000000	2.23759677	48.76410724	0.00000000
2.26331627	24.41437376	0.00000000	2.26331627	48.77017197	0.00000000
2.28903578	24.32159276	0.00000000	2.28903578	48.77167615	0.00000000
2.31475528	24.14772330	0.00000000	2.31475528	48.76024409	0.00000000
2.34047478	24.09120852	0.00000000	2.34047478	48.74792628	0.00000000
2.36619429	24.08979814	0.00000000	2.36619429	48.72702279	0.00000000
2.39191379	24.06591451	0.00000000	2.39191379	48.71722939	0.00000000
2.41763329	23.94123134	0.00000000	2.41763329	48.71739688	0.00000000
2.44335279	23.85873350	0.00000000	2.44335279	48.71201321	0.00000000
2.46907230	23.82950835	0.00000000	2.46907230	48.70821664	0.00000000
2.49479180	23.65240251	0.00000000	2.49479180	48.69622641	0.00000000
2.52051130	23.57486749	0.00000000	2.52051130	48.69436722	0.00000000
2.54623081	23.46670547	0.00000000	2.54623081	48.69309907	0.00000000
2.57195031	23.44361321	0.00000000	2.57195031	48.69492386	0.00000000
2.59766981	23.29820862	0.00000000	2.59766981	48.68669628	0.00000000
2.62338932	23.01833004	0.00000000	2.62338932	48.67023412	0.00000000
2.64910882	22.77012413	0.00000000	2.64910882	48.64056734	0.00000000
2.67482832	22.56365700	0.00000000	2.67482832	48.64147645	0.00000000
2.70054783	22.42375111	0.00000000	2.70054783	48.63729882	0.00000000
