mass_B			ExtMarker		
t	x	y	t	x	y
0	20.6536419	0	0	41.07366229	0
0.025182574	20.65397158	0	0.025182574	41.07332461	0
0.050365147	20.65382714	0	0.050365147	41.07355463	0
0.075547721	20.6534762	0	0.075547721	41.07348318	0
0.100730295	20.65380424	0	0.100730295	41.07317634	0
0.125912868	20.65351085	0	0.125912868	41.0731871	0
0.151095442	20.65342317	0	0.151095442	41.07335808	0
0.176278016	20.65399523	0	0.176278016	41.07328217	0
0.201460589	20.65368701	0	0.201460589	41.07369698	0
0.226643163	20.65382359	0	0.226643163	41.07360936	0
0.251825737	20.65389593	0	0.251825737	41.07383682	0
0.27700831	20.65390762	0	0.27700831	41.07358805	0
0.302190884	20.65407403	0	0.302190884	41.07351441	0
0.327373458	20.65379676	0	0.327373458	41.07360403	0
0.352556031	20.65382112	0	0.352556031	41.07329269	0
0.377738605	20.65398917	0	0.377738605	41.07327985	0
0.402921179	20.65414951	0	0.402921179	41.07306834	0
0.428103752	20.65405712	0	0.428103752	41.07347439	0
0.453286326	20.65408155	0	0.453286326	41.07361871	0
0.4784689	20.65433384	0	0.4784689	41.07360279	0
0.503651473	20.65265544	0	0.503651473	41.07366425	0
0.528834047	20.65233327	0	0.528834047	41.07356598	0
0.554016621	20.65270239	0	0.554016621	41.07360023	0
0.579199194	20.65301914	0	0.579199194	41.0735269	0
0.604381768	20.65344608	0	0.604381768	41.07325006	0
0.629564342	20.65365955	0	0.629564342	41.07361021	0
0.654746915	20.65355966	0	0.654746915	41.0735546	0
0.679929489	20.65392277	0	0.679929489	41.07378868	0
0.705112063	20.65435808	0	0.705112063	41.07345769	0
0.730294636	20.65511418	0	0.730294636	41.07348937	0
0.75547721	20.65441937	0	0.75547721	41.07369576	0
0.780659783	20.65464302	0	0.780659783	41.0735875	0
0.805842357	20.65393082	0	0.805842357	41.07350668	0
0.831024931	20.65446329	0	0.831024931	41.07311677	0
0.856207504	20.65471658	0	0.856207504	41.07383738	0
0.881390078	20.65381082	0	0.881390078	41.07361427	0
0.906572652	20.65446098	0	0.906572652	41.07350932	0
0.931755225	20.65464255	0	0.931755225	41.07332817	0
0.956937799	20.65448094	0	0.956937799	41.0735495	0
0.982120373	20.65434861	0	0.982120373	41.07369836	0
1.007302946	20.65435851	0	1.007302946	41.07337835	0
1.03248552	20.65402041	0	1.03248552	41.07325254	0
1.057668094	20.65392209	0	1.057668094	41.07317598	0
1.082850667	20.65426709	0	1.082850667	41.07370701	0
1.108033241	20.65440176	0	1.108033241	41.07345214	0
1.133215815	20.65440623	0	1.133215815	41.07341729	0
1.158398388	20.65443579	0	1.158398388	41.07350881	0
1.183580962	20.65430132	0	1.183580962	41.07330149	0
1.208763536	20.65443003	0	1.208763536	41.07373108	0
1.233946109	20.65447491	0	1.233946109	41.07357918	0
1.259128683	20.654679	0	1.259128683	41.07365871	0
1.284311257	20.65407311	0	1.284311257	41.07348911	0
1.30949383	20.65476004	0	1.30949383	41.0735307	0
1.334676404	20.65438388	0	1.334676404	41.0734358	0
1.359858978	20.65450812	0	1.359858978	41.07305598	0
1.385041551	20.65424889	0	1.385041551	41.07344868	0
1.410224125	20.6540941	0	1.410224125	41.07353338	0
1.435406699	20.65430498	0	1.435406699	41.0730906	0
1.460589272	20.65456452	0	1.460589272	41.07342693	0
1.485771846	20.65441422	0	1.485771846	41.07370783	0
1.51095442	20.65412914	0	1.51095442	41.07344564	0
1.536136993	20.65448154	0	1.536136993	41.07345503	0
1.561319567	20.65371042	0	1.561319567	41.07378934	0
1.586502141	20.65402543	0	1.586502141	41.07361473	0
1.611684714	20.65416278	0	1.611684714	41.07374477	0
1.636867288	20.65419718	0	1.636867288	41.07321827	0
1.662049861	20.65352013	0	1.662049861	41.07354552	0
1.687232435	20.65421301	0	1.687232435	41.07359797	0
1.712415009	20.65431996	0	1.712415009	41.07353537	0
1.737597582	20.65444749	0	1.737597582	41.07358674	0
1.762780156	20.65439295	0	1.762780156	41.07313594	0
1.78796273	20.65443107	0	1.78796273	41.07344408	0
1.813145303	20.65405702	0	1.813145303	41.07364083	0
1.838327877	20.6544694	0	1.838327877	41.0730097	0
1.863510451	20.65421378	0	1.863510451	41.07313182	0
1.888693024	20.65426355	0	1.888693024	41.0734673	0
1.913875598	20.65421169	0	1.913875598	41.07360864	0
1.939058172	20.65440981	0	1.939058172	41.07342239	0
1.964240745	20.65424562	0	1.964240745	41.07337981	0
1.989423319	20.65402714	0	1.989423319	41.07338284	0
2.014605893	20.65386452	0	2.014605893	41.07356815	0
2.039788466	20.65444532	0	2.039788466	41.07354388	0
2.06497104	20.64747143	0	2.06497104	41.07324217	0
2.090153614	20.60582853	0	2.090153614	41.07138287	0
2.115336187	20.2353909	0	2.115336187	41.0639709	0
2.140518761	20.18521035	0	2.140518761	41.0635651	0
2.165701335	19.88557703	0	2.165701335	41.05870764	0
2.190883908	19.69526347	0	2.190883908	41.06131027	0
2.216066482	19.55585801	0	2.216066482	41.07400165	0
2.241249056	19.39926754	0	2.241249056	41.07356294	0
2.266431629	19.26846817	0	2.266431629	41.07346963	0
2.291614203	19.13696732	0	2.291614203	41.07145294	0
2.316796777	19.02651136	0	2.316796777	41.06552107	0
2.34197935	18.90657258	0	2.34197935	41.067798	0
2.367161924	18.77891323	0	2.367161924	41.06543561	0
2.392344498	18.66414519	0	2.392344498	41.06836115	0
2.417527071	18.38875565	0	2.417527071	41.07506542	0
2.442709645	18.28769858	0	2.442709645	41.07808944	0
2.467892219	18.23504918	0	2.467892219	41.07761619	0
2.493074792	18.03889726	0	2.493074792	41.08137745	0
2.518257366	17.92101644	0	2.518257366	41.08008336	0
2.54343994	17.84135129	0	2.54343994	41.0780228	0
2.568622513	17.6807312	0	2.568622513	41.07405365	0
2.593805087	17.59521361	0	2.593805087	41.07255302	0
2.618987661	17.4697252	0	2.618987661	41.06813623	0
2.644170234	17.39432452	0	2.644170234	41.06464778	0
2.669352808	17.2963012	0	2.669352808	41.06568049	0
2.694535382	17.10311288	0	2.694535382	41.06059643	0
2.719717955	17.07315306	0	2.719717955	41.06180494	0
2.744900529	16.94853942	0	2.744900529	41.05413539	0
2.770083102	16.69704649	0	2.770083102	41.05267197	0
2.795265676	16.48999667	0	2.795265676	41.05341226	0
2.82044825	16.34799674	0	2.82044825	41.04945209	0
2.845630823	16.16787928	0	2.845630823	41.05390131	0
2.870813397	16.04090206	0	2.870813397	41.05853988	0
2.895995971	15.78951626	0	2.895995971	41.06559921	0
2.921178544	15.74210956	0	2.921178544	41.06726738	0
2.946361118	15.50575641	0	2.946361118	41.06172799	0
2.971543692	15.41141021	0	2.971543692	41.06035127	0
2.996726265	15.29705641	0	2.996726265	41.05420866	0
3.021908839	15.1424408	0	3.021908839	41.05536878	0
3.047091413	14.98553236	0	3.047091413	41.0578931	0
3.072273986	14.90514833	0	3.072273986	41.05920096	0
3.09745656	14.84271133	0	3.09745656	41.06212908	0
3.122639134	14.80943015	0	3.122639134	41.05956107	0
3.147821707	14.81078411	0	3.147821707	41.06426154	0
3.173004281	14.7948352	0	3.173004281	41.06504021	0
3.198186855	14.78230342	0	3.198186855	41.06712909	0
3.223369428	14.78164639	0	3.223369428	41.06591315	0
3.248552002	14.78820405	0	3.248552002	41.06845955	0
3.273734576	14.70300286	0	3.273734576	41.06908485	0
3.298917149	14.65880861	0	3.298917149	41.07018937	0
3.324099723	14.6451386	0	3.324099723	41.07161343	0
3.349282297	14.57213108	0	3.349282297	41.07203379	0
3.37446487	14.45304234	0	3.37446487	41.07467791	0
3.399647444	14.42147028	0	3.399647444	41.07408083	0
3.424830018	14.27743167	0	3.424830018	41.07109833	0
3.450012591	14.15611424	0	3.450012591	41.0670456	0
3.475195165	13.98200539	0	3.475195165	41.05821646	0
3.500377739	13.87182254	0	3.500377739	41.05707573	0
3.525560312	13.67572969	0	3.525560312	41.06023894	0
3.550742886	13.65881122	0	3.550742886	41.06391397	0
3.57592546	13.46568373	0	3.57592546	41.06869674	0
3.601108033	13.23923842	0	3.601108033	41.06935477	0
3.626290607	13.10107039	0	3.626290607	41.06688053	0
3.651473181	12.91546374	0	3.651473181	41.07108891	0
3.676655754	12.87435914	0	3.676655754	41.07287203	0
3.701838328	12.77972072	0	3.701838328	41.07397016	0
3.727020902	12.68494375	0	3.727020902	41.0754642	0
3.752203475	12.52227277	0	3.752203475	41.07376853	0
3.777386049	12.38516397	0	3.777386049	41.07286875	0
3.802568623	12.22072033	0	3.802568623	41.07138441	0
3.827751196	12.18801387	0	3.827751196	41.07242881	0
3.85293377	12.06742358	0	3.85293377	41.07167053	0
3.878116343	11.96190255	0	3.878116343	41.07084255	0
3.903298917	11.77266342	0	3.903298917	41.07222222	0
3.928481491	11.62460068	0	3.928481491	41.07208377	0
3.953664064	11.48641571	0	3.953664064	41.07247941	0
3.978846638	11.38211151	0	3.978846638	41.06869862	0
4.004029212	11.17816165	0	4.004029212	41.06472273	0
4.029211785	11.03067442	0	4.029211785	41.06060145	0
4.054394359	10.89384708	0	4.054394359	41.05631751	0
4.079576933	10.87100342	0	4.079576933	41.05398952	0
4.104759506	10.83178648	0	4.104759506	41.05338434	0
4.12994208	10.76880335	0	4.12994208	41.05537054	0
4.155124654	10.73243981	0	4.155124654	41.0558637	0
4.180307227	10.64189463	0	4.180307227	41.06070597	0
4.205489801	10.5680595	0	4.205489801	41.05953267	0
4.230672375	10.41837894	0	4.230672375	41.04705309	0
4.255854948	10.3833894	0	4.255854948	41.05085058	0
4.281037522	10.22029717	0	4.281037522	41.05810644	0
4.306220096	10.13527268	0	4.306220096	41.06257367	0
4.331402669	10.06913558	0	4.331402669	41.06532637	0
4.356585243	10.03364548	0	4.356585243	41.06728816	0
4.381767817	9.921087124	0	4.381767817	41.06715268	0
4.40695039	9.853590647	0	4.40695039	41.06672927	0
4.432132964	9.793411023	0	4.432132964	41.06669477	0
4.457315538	9.706998126	0	4.457315538	41.06882299	0
4.482498111	9.689306846	0	4.482498111	41.07058691	0
4.507680685	9.582863631	0	4.507680685	41.07062911	0
4.532863259	9.5516348	0	4.532863259	41.07087434	0
4.558045832	9.48944449	0	4.558045832	41.07233794	0
4.583228406	9.417776421	0	4.583228406	41.0720175	0
4.60841098	9.364644096	0	4.60841098	41.07185766	0
4.633593553	9.333057545	0	4.633593553	41.07307755	0
4.658776127	9.333996205	0	4.658776127	41.07244049	0
4.683958701	9.255630543	0	4.683958701	41.07099883	0
4.709141274	9.243436268	0	4.709141274	41.07075474	0
4.734323848	9.219347505	0	4.734323848	41.07007528	0
4.759506422	9.138645236	0	4.759506422	41.0691656	0
4.784688995	9.113964462	0	4.784688995	41.07080434	0
4.809871569	9.055462194	0	4.809871569	41.06818427	0
4.835054143	9.00572593	0	4.835054143	41.06753184	0
4.860236716	8.981686664	0	4.860236716	41.06924088	0
4.88541929	8.960930965	0	4.88541929	41.06960762	0
4.910601864	8.94290023	0	4.910601864	41.06875852	0
4.935784437	8.942823308	0	4.935784437	41.06973827	0
4.960967011	8.914155403	0	4.960967011	41.06855917	0
4.986149584	8.924468066	0	4.986149584	41.06993931	0
5.011332158	8.916859467	0	5.011332158	41.07098918	0
5.036514732	8.920836268	0	5.036514732	41.07100235	0
5.061697305	8.914323688	0	5.061697305	41.07212113	0
5.086879879	8.9112579	0	5.086879879	41.07176112	0
5.112062453	8.905314013	0	5.112062453	41.07154447	0
5.137245026	8.89700235	0	5.137245026	41.07070238	0
5.1624276	8.897662004	0	5.1624276	41.07069119	0
5.187610174	8.899507054	0	5.187610174	41.07163052	0
5.212792747	8.89966485	0	5.212792747	41.0720568	0
5.237975321	8.893891862	0	5.237975321	41.07132791	0
5.263157895	8.899477418	0	5.263157895	41.07204795	0
5.288340468	8.902902771	0	5.288340468	41.07228133	0
5.313523042	8.893776686	0	5.313523042	41.07232131	0
5.338705616	8.881633165	0	5.338705616	41.0718566	0
5.363888189	8.865123136	0	5.363888189	41.07174754	0
5.389070763	8.832602308	0	5.389070763	41.07132387	0
5.414253337	8.826677313	0	5.414253337	41.07113275	0
5.43943591	8.82776834	0	5.43943591	41.07246855	0
5.464618484	8.821239209	0	5.464618484	41.0721067	0
5.489801058	8.749138741	0	5.489801058	41.06855642	0
5.514983631	8.726530699	0	5.514983631	41.06646496	0
5.540166205	8.735608565	0	5.540166205	41.06861821	0
5.565348779	8.746664853	0	5.565348779	41.07001829	0
5.590531352	8.737232724	0	5.590531352	41.07062864	0
5.615713926	8.723162505	0	5.615713926	41.06893307	0
5.6408965	8.743731249	0	5.6408965	41.06921414	0
5.666079073	8.730046022	0	5.666079073	41.069634	0
5.691261647	8.731580138	0	5.691261647	41.06975571	0
5.716444221	8.731230146	0	5.716444221	41.06949299	0
5.741626794	8.736112305	0	5.741626794	41.07035853	0
5.766809368	8.739877545	0	5.766809368	41.0715155	0
5.791991942	8.747183465	0	5.791991942	41.07153405	0
5.817174515	8.757418998	0	5.817174515	41.07245628	0
5.842357089	8.758523091	0	5.842357089	41.07282873	0
5.867539663	8.753861351	0	5.867539663	41.0727889	0
5.892722236	8.752846682	0	5.892722236	41.07261989	0
5.91790481	8.747439445	0	5.91790481	41.07245789	0
5.943087384	8.744106801	0	5.943087384	41.07087904	0
5.968269957	8.76045071	0	5.968269957	41.07175961	0
5.993452531	8.76890173	0	5.993452531	41.07266144	0
6.018635105	8.768155818	0	6.018635105	41.07326569	0
6.043817678	8.761624278	0	6.043817678	41.07375359	0
6.069000252	8.750592291	0	6.069000252	41.07287647	0
6.094182825	8.759186756	0	6.094182825	41.07315435	0
6.119365399	8.761989276	0	6.119365399	41.07379406	0
6.144547973	8.756955544	0	6.144547973	41.07346604	0
6.169730546	8.756368716	0	6.169730546	41.07291865	0
6.19491312	8.754274633	0	6.19491312	41.07202154	0
6.220095694	8.754079139	0	6.220095694	41.07275649	0
6.245278267	8.754608978	0	6.245278267	41.07301502	0
6.270460841	8.757256235	0	6.270460841	41.07245806	0
6.295643415	8.757494285	0	6.295643415	41.07284683	0
6.320825988	8.757954427	0	6.320825988	41.07324691	0
6.346008562	8.751169055	0	6.346008562	41.07242428	0
6.371191136	8.752763684	0	6.371191136	41.072383	0
6.396373709	8.756476615	0	6.396373709	41.07341688	0
6.421556283	8.757653771	0	6.421556283	41.07309855	0
6.446738857	8.756546089	0	6.446738857	41.0735991	0
6.47192143	8.758488618	0	6.47192143	41.07317477	0
6.497104004	8.761758227	0	6.497104004	41.07363638	0
6.522286578	8.784521321	0	6.522286578	41.07477956	0
6.547469151	8.790251846	0	6.547469151	41.0754597	0
6.572651725	8.78808061	0	6.572651725	41.07485731	0
6.597834299	8.801996603	0	6.597834299	41.07446089	0
6.623016872	8.848105806	0	6.623016872	41.07525462	0
6.648199446	8.891690139	0	6.648199446	41.07595988	0
6.67338202	8.907635902	0	6.67338202	41.07526062	0
6.698564593	8.924420846	0	6.698564593	41.07495	0
6.723747167	8.918383686	0	6.723747167	41.0748907	0
6.748929741	8.933984599	0	6.748929741	41.0736656	0
6.774112314	8.938801764	0	6.774112314	41.07370929	0
6.799294888	8.963784616	0	6.799294888	41.07470922	0
6.824477462	9.003306577	0	6.824477462	41.07406068	0
6.849660035	9.009664755	0	6.849660035	41.07447623	0
6.874842609	9.100558806	0	6.874842609	41.07668694	0
6.900025183	9.345674105	0	6.900025183	41.07935911	0
6.925207756	9.453790562	0	6.925207756	41.07917434	0
6.95039033	9.757377353	0	6.95039033	41.07763484	0
