mass_B			mass_A		
t	x	y	t	x	y
0	19.49000271	0	0	41.172552	0
0.02602811	19.49070788	0	0.02602811	41.17262356	0
0.052056221	19.48981872	0	0.052056221	41.17199003	0
0.078084331	19.48838002	0	0.078084331	41.17224986	0
0.104112441	19.49032221	0	0.104112441	41.17208848	0
0.130140552	19.48977061	0	0.130140552	41.17224703	0
0.156168662	19.49002702	0	0.156168662	41.17124651	0
0.182196773	19.48917783	0	0.182196773	41.17167669	0
0.208224883	19.4878147	0	0.208224883	41.17139694	0
0.234252993	19.48715646	0	0.234252993	41.17161147	0
0.260281104	19.48979408	0	0.260281104	41.17192242	0
0.286309214	19.4899079	0	0.286309214	41.17189421	0
0.312337324	19.49036314	0	0.312337324	41.17235267	0
0.338365435	19.48899948	0	0.338365435	41.17174249	0
0.364393545	19.48872612	0	0.364393545	41.17262327	0
0.390421655	19.48988123	0	0.390421655	41.17256735	0
0.416449766	19.48967713	0	0.416449766	41.17253676	0
0.442477876	19.4909464	0	0.442477876	41.17365826	0
0.468505987	19.49090196	0	0.468505987	41.17388695	0
0.494534097	19.4898351	0	0.494534097	41.17339234	0
0.520562207	19.49013761	0	0.520562207	41.17392633	0
0.546590318	19.49047587	0	0.546590318	41.1723831	0
0.572618428	19.4912298	0	0.572618428	41.17296375	0
0.598646538	19.49095747	0	0.598646538	41.17348478	0
0.624674649	19.49098313	0	0.624674649	41.17400457	0
0.650702759	19.49153757	0	0.650702759	41.17393108	0
0.676730869	19.49230369	0	0.676730869	41.17253929	0
0.70275898	19.49043528	0	0.70275898	41.17279337	0
0.72878709	19.48907205	0	0.72878709	41.17368624	0
0.7548152	19.48937127	0	0.7548152	41.17238095	0
0.780843311	19.48746575	0	0.780843311	41.17274682	0
0.806871421	19.48963208	0	0.806871421	41.17253522	0
0.832899532	19.48623554	0	0.832899532	41.1726938	0
0.858927642	19.48552006	0	0.858927642	41.17250533	0
0.884955752	19.48608662	0	0.884955752	41.17343042	0
0.910983863	19.48650006	0	0.910983863	41.17188464	0
0.937011973	19.48387399	0	0.937011973	41.17199427	0
0.963040083	19.48286847	0	0.963040083	41.1721588	0
0.989068194	19.4854306	0	0.989068194	41.17217389	0
1.015096304	19.48773621	0	1.015096304	41.17260205	0
1.041124414	19.48792167	0	1.041124414	41.17280547	0
1.067152525	19.49154759	0	1.067152525	41.17272965	0
1.093180635	19.49265565	0	1.093180635	41.17328919	0
1.119208745	19.49420658	0	1.119208745	41.1728895	0
1.145236856	19.49335772	0	1.145236856	41.17265311	0
1.171264966	19.48774417	0	1.171264966	41.17260345	0
1.197293077	19.48295292	0	1.197293077	41.17153701	0
1.223321187	19.47950945	0	1.223321187	41.1719283	0
1.249349297	19.47877166	0	1.249349297	41.17092122	0
1.275377408	19.47872655	0	1.275377408	41.17034054	0
1.301405518	19.4738688	0	1.301405518	41.16656386	0
1.327433628	19.47505978	0	1.327433628	41.16517255	0
1.353461739	19.47689968	0	1.353461739	41.16672856	0
1.379489849	19.47443475	0	1.379489849	41.16527637	0
1.405517959	19.47194235	0	1.405517959	41.16866445	0
1.43154607	19.47412387	0	1.43154607	41.16966062	0
1.45757418	19.47758773	0	1.45757418	41.16752442	0
1.48360229	19.47905502	0	1.48360229	41.17014932	0
1.509630401	19.44903423	0	1.509630401	41.16538468	0
1.535658511	19.3560883	0	1.535658511	41.1635394	0
1.561686622	19.31952727	0	1.561686622	41.15471234	0
1.587714732	19.18901795	0	1.587714732	41.15784697	0
1.613742842	19.09593037	0	1.613742842	41.16023496	0
1.639770953	19.03168763	0	1.639770953	41.16486546	0
1.665799063	18.96779854	0	1.665799063	41.17144638	0
1.691827173	18.89135076	0	1.691827173	41.1759763	0
1.717855284	18.85571127	0	1.717855284	41.18037289	0
1.743883394	18.7754161	0	1.743883394	41.181663	0
1.769911504	18.65886992	0	1.769911504	41.18245583	0
1.795939615	18.61822048	0	1.795939615	41.1799586	0
1.821967725	18.5146943	0	1.821967725	41.17447707	0
1.847995836	18.31929955	0	1.847995836	41.17390949	0
1.874023946	18.23856035	0	1.874023946	41.17073128	0
1.900052056	18.20036942	0	1.900052056	41.17215416	0
1.926080167	18.09463678	0	1.926080167	41.1695322	0
1.952108277	17.91235502	0	1.952108277	41.17097177	0
1.978136387	17.77186928	0	1.978136387	41.17165845	0
2.004164498	17.71633986	0	2.004164498	41.17026279	0
2.030192608	17.59812666	0	2.030192608	41.17675906	0
2.056220718	17.53941422	0	2.056220718	41.18223147	0
2.082248829	17.40414918	0	2.082248829	41.19123331	0
2.108276939	17.33222501	0	2.108276939	41.18049645	0
2.134305049	17.29371214	0	2.134305049	41.17765039	0
2.16033316	17.23216236	0	2.16033316	41.17457457	0
2.18636127	17.11268041	0	2.18636127	41.17228903	0
2.212389381	17.09301509	0	2.212389381	41.16975202	0
2.238417491	16.92843737	0	2.238417491	41.15260894	0
2.264445601	16.88345176	0	2.264445601	41.15583698	0
2.290473712	16.77209927	0	2.290473712	41.15328806	0
2.316501822	16.71943433	0	2.316501822	41.15674532	0
2.342529932	16.58351195	0	2.342529932	41.16100798	0
2.368558043	16.51581506	0	2.368558043	41.16118333	0
2.394586153	16.44598917	0	2.394586153	41.163284	0
2.420614263	16.36721342	0	2.420614263	41.16225888	0
2.446642374	16.27014883	0	2.446642374	41.16416415	0
2.472670484	16.18951794	0	2.472670484	41.16190071	0
2.498698594	16.00462008	0	2.498698594	41.15386104	0
2.524726705	15.97252446	0	2.524726705	41.15658615	0
2.550754815	15.86767664	0	2.550754815	41.15509088	0
2.576782926	15.59079671	0	2.576782926	41.16753374	0
2.602811036	15.54561338	0	2.602811036	41.16983284	0
2.628839146	15.45629767	0	2.628839146	41.16654166	0
2.654867257	15.25484807	0	2.654867257	41.15471543	0
2.680895367	15.21894627	0	2.680895367	41.15719356	0
2.706923477	15.10614811	0	2.706923477	41.16169694	0
2.732951588	14.94497668	0	2.732951588	41.15443756	0
2.758979698	14.92498541	0	2.758979698	41.15936067	0
2.785007808	14.78826571	0	2.785007808	41.15610015	0
2.811035919	14.71786158	0	2.811035919	41.16037919	0
2.837064029	14.63441553	0	2.837064029	41.163147	0
2.86309214	14.57290343	0	2.86309214	41.16274296	0
2.88912025	14.43599969	0	2.88912025	41.15982529	0
