"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	-0.569959	0.0374434	-1.00972	-0.13855	-1.17061	-0.125112	0.153171	-0.479324	-0.0293232	-12.5121	-11.7492	-12.6649	-12.5121	-0.0011567	-1.36918
0.0007	0.348308	-0.267738	-0.712746	-0.443726	-0.870455	-0.125112	0.153171	-0.174149	-0.0293232	-12.8172	-12.0544	-12.9698	-12.8172	-0.0011567	-71.8713
0.0013	1.26658	0.0374434	0.801839	-0.13855	0.660345	-0.125112	-0.765857	0.131025	-0.0231031	-12.8172	-12.0544	-13.2751	-12.9702	-0.00128522	-66.6771
0.0020	0.981596	0.0374434	1.72247	0.166626	0.960502	0.180058	-1.37854	0.131025	-0.0231031	-12.6646	-11.902	-13.5805	-12.9702	-0.00128522	-62.4174
0.0027	0.664952	-0.267738	0.801839	-0.443726	0.660345	-0.125112	-0.153171	-0.174149	-0.0231031	-12.8172	-11.902	-13.4276	-12.9702	-0.00128522	-66.6771
0.0033	0.348308	-0.267738	0.801839	-0.13855	0.360188	-0.125112	1.36578	-0.479324	-0.0293232	-12.6646	-11.902	-12.8174	-12.6646	-0.0011567	-65.3079
0.0040	-0.854938	0.0374434	0.504861	-0.13855	-0.870455	-0.125112	1.36578	-0.174149	-0.0293232	-12.6646	-11.902	-13.2751	-12.6646	-0.00128522	-65.1558
0.0047	-2.37483	-0.267738	-0.0890932	-0.13855	-0.870455	-0.125112	0.459514	-0.174149	-0.0231031	-12.9702	-11.902	-13.7329	-12.9702	-0.001478	-65.46
0.0053	-1.48823	-0.267738	-0.0890932	0.166626	-0.540283	-0.125112	0.153171	-0.174149	-0.0231031	-13.1227	-12.0544	-13.4276	-12.9702	-0.00128522	-65.46
0.0060	-0.253315	-0.267738	-0.712746	-0.13855	-1.47077	-0.125112	0.153171	-0.174149	-0.0293232	-13.2753	-12.5124	-13.7329	-12.9702	-0.001478	-65.46
0.0067	-0.253315	-0.267738	-1.00972	-0.443726	-1.47077	-0.125112	0.153171	-0.174149	-0.0293232	-13.4278	-12.6648	-13.8854	-13.2753	-0.00160652	-65.6122
0.0073	0.0633288	-0.267738	-0.712746	-0.13855	-0.870455	-0.125112	0.153171	-0.174149	-0.0293232	-13.2753	-12.3596	-13.4276	-13.2753	-0.00192783	-65.7643
0.0080	-0.569959	0.0374434	-1.00972	-0.13855	-1.17061	-0.125112	-0.153171	0.131025	-0.0293232	-13.1227	-12.3596	-13.2751	-13.1227	-0.00173504	-66.0686
0.0087	-0.854938	0.0374434	-0.712746	-0.13855	-0.870455	-0.125112	0.153171	0.131025	-0.0231031	-13.1227	-12.3596	-13.4276	-13.1227	-0.00205635	-66.2207
0.0093	0.0633288	0.0374434	0.801839	-0.13855	-0.540283	0.180058	0.459514	-0.174149	-0.0231031	-12.8172	-12.2072	-13.4276	-13.1227	-0.00205635	-66.2207
0.0100	0.664952	0.0374434	1.12851	-0.13855	-0.240126	-0.125112	0.459514	-0.174149	-0.0293232	-12.5121	-12.0544	-12.8174	-12.6646	-0.0011567	-65.46
0.0107	0.664952	-0.267738	-0.0890932	-0.13855	0.0600314	-0.430304	0.153171	-0.174149	-0.0231031	-12.6646	-11.902	-12.9698	-12.6646	-0.000835392	-65.1558
0.0113	0.348308	-0.267738	-0.415768	-0.13855	0.360188	-0.125112	-0.459514	-0.174149	-0.0231031	-12.8172	-11.902	-13.2751	-12.9702	-0.000835392	-65.3079
0.0120	-0.253315	-0.267738	-0.0890932	-0.13855	0.360188	-0.125112	-0.459514	-0.174149	-0.0231031	-12.8172	-12.0544	-13.1227	-13.1227	-0.000514087	-65.1558
0.0127	0.0633288	0.0374434	-0.0890932	-0.13855	0.360188	0.180058	-1.0722	0.131025	-0.0231031	-12.8172	-11.902	-13.1227	-12.8172	-0.00070687	-65.0036
0.0133	0.981596	0.0374434	0.207884	0.166626	0.660345	0.180058	-0.765857	0.131025	-0.0293232	-12.6646	-11.902	-13.2751	-12.5121	-0.00070687	-65.3079
0.0140	0.981596	0.342605	-0.0890932	0.166626	0.360188	0.180058	0.153171	0.131025	-0.0355433	-12.6646	-11.7492	-13.1227	-12.9702	-0.000514087	-65.46
0.0147	0.0633288	0.342605	-0.415768	0.166626	0.0600314	0.180058	0.459514	0.131025	-0.0293232	-12.3595	-11.5969	-12.9698	-12.9702	-0.000835392	-65.46
0.0153	-0.569959	0.0374434	-1.00972	0.166626	0.660345	0.180058	0.753093	0.131025	-0.0231031	-12.6646	-11.5969	-13.1227	-12.6646	-0.0011567	-65.1558
0.0160	0.0633288	0.0374434	-1.00972	-0.13855	1.59083	-0.125112	0.753093	0.131025	-0.0293232	-12.6646	-11.902	-13.1227	-12.6646	-0.000835392	-65.0036
0.0167	0.664952	0.0374434	-1.00972	-0.13855	2.19115	-0.125112	0.459514	0.131025	-0.0293232	-12.3595	-11.902	-13.1227	-12.6646	-0.000835392	-65.3079
0.0173	0.981596	0.0374434	-0.712746	-0.13855	1.89099	0.180058	0.153171	0.131025	-0.0231031	-12.6646	-11.5969	-13.2751	-12.8172	-0.00128522	-65.46
0.0180	1.26658	0.0374434	-0.0890932	-0.13855	0.360188	0.180058	0.153171	0.131025	-0.0231031	-12.8172	-11.7492	-13.2751	-12.9702	-0.00160652	-65.3079
0.0187	1.8682	0.0374434	-0.415768	-0.13855	-0.540283	-0.125112	1.36578	-0.174149	-0.0293232	-12.6646	-11.902	-13.1227	-13.1227	-0.001478	-65.46
0.0193	2.78647	0.0374434	-0.415768	-0.13855	-0.870455	-0.125112	2.28481	-0.174149	-0.0293232	-12.8172	-11.7492	-13.1227	-13.1227	-0.001478	-65.6122
0.0200	1.26658	0.0374434	-0.712746	0.166626	-1.77093	0.180058	0.753093	0.131025	-0.0293232	-12.6646	-11.7492	-13.1227	-12.9702	-0.001478	-65.6122
0.0207	-1.48823	0.0374434	-1.93035	-0.13855	-2.70141	-0.125112	-1.68489	-0.174149	-0.0355433	-12.5121	-11.7492	-12.9698	-12.6646	-0.00128522	-65.3079
0.0213	-2.08985	-0.267738	-1.93035	-0.443726	-2.37124	-0.430304	-1.99123	-0.174149	-0.0293232	-12.9702	-11.902	-12.9698	-12.5121	-0.00128522	-65.46
0.0220	-0.854938	0.0374434	-0.415768	-0.13855	-1.47077	-0.125112	-0.153171	0.131025	-0.0293232	-12.9702	-12.0544	-13.2751	-12.6646	-0.0011567	-65.6122
0.0227	0.0633288	0.0374434	-0.415768	-0.13855	-0.870455	-0.125112	1.05944	0.131025	-0.0293232	-12.5121	-12.2072	-13.4276	-12.8172	-0.0011567	-65.46
0.0233	-0.854938	0.0374434	-1.3067	-0.13855	-0.240126	-0.125112	0.153171	-0.174149	-0.0293232	-12.6646	-12.2072	-13.4276	-12.9702	-0.001478	-65.6122
0.0240	-1.17158	-0.267738	-1.3067	-0.13855	-0.240126	-0.125112	-1.0722	-0.174149	-0.0293232	-13.1227	-12.2072	-13.7329	-13.1227	-0.00160652	-65.3079
0.0247	0.0633288	0.0374434	-1.3067	0.166626	-0.870455	-0.125112	-1.0722	-0.174149	-0.0293232	-13.1227	-12.2072	-13.5805	-13.1227	-0.001478	-65.3079
0.0253	0.0633288	-0.267738	-1.63338	-0.443726	-1.17061	-0.430304	-1.99123	-0.479324	-0.0293232	-12.9702	-12.0544	-12.9698	-12.9702	-0.00160652	-65.6122
0.0260	-0.569959	-0.267738	-1.00972	-0.443726	-1.17061	-0.430304	-3.81652	-0.479324	-0.0293232	-12.8172	-12.2072	-13.2751	-12.9702	-0.001478	-65.3079
0.0267	0.348308	0.0374434	0.207884	0.166626	-1.17061	0.180058	-3.81652	0.131025	-0.0293232	-13.2753	-12.2072	-13.5805	-13.1227	-0.00160652	-65.6122
0.0273	0.981596	0.0374434	1.12851	0.166626	-1.17061	0.180058	-0.153171	0.131025	-0.0293232	-13.4278	-11.7492	-13.2751	-12.9702	-0.00192783	-65.7643
0.0280	0.664952	-0.267738	1.12851	-0.13855	-1.17061	-0.125112	3.20384	-0.174149	-0.0355433	-13.2753	-11.902	-13.4276	-12.8172	-0.001478	-65.46
0.0287	0.664952	-0.267738	1.42549	-0.13855	-0.870455	-0.125112	3.20384	-0.174149	-0.0293232	-12.9702	-12.0544	-13.2751	-12.5121	-0.0011567	-65.46
0.0293	0.348308	0.0374434	1.72247	-0.13855	-0.870455	-0.125112	1.97846	-0.174149	-0.0231031	-12.6646	-11.5969	-12.9698	-12.6646	-0.000835392	-65.46
0.0300	-1.48823	0.0374434	0.801839	-0.13855	-0.540283	-0.125112	0.753093	-0.174149	-0.0231031	-12.8172	-12.0544	-13.2751	-12.8172	-0.000835392	-64.8515
0.0307	-1.17158	-0.267738	-0.0890932	-0.13855	0.660345	-0.125112	-0.459514	-0.174149	-0.0293232	-12.9702	-12.3596	-13.2751	-12.9702	-0.000835392	-64.8515
0.0313	0.981596	0.0374434	0.504861	-0.13855	0.960502	-0.125112	-0.459514	-0.174149	-0.0355433	-12.8172	-11.902	-13.2751	-12.8172	-0.000963914	-65.6122
0.0320	2.18484	0.0374434	1.42549	0.166626	1.29068	0.180058	1.97846	-0.174149	-0.0293232	-12.8172	-11.902	-13.1227	-12.6646	-0.000963914	-65.7643
0.0327	2.78647	0.0374434	1.42549	0.166626	1.59083	0.180058	3.81652	0.131025	-0.0293232	-12.6646	-12.2072	-12.9698	-12.6646	-0.000835392	-65.3079
0.0333	2.18484	0.0374434	1.12851	0.166626	1.29068	0.180058	2.28481	0.131025	-0.0293232	-12.5121	-11.902	-13.2751	-12.8172	-0.000963914	-65.3079
0.0340	-0.569959	0.0374434	0.504861	-0.13855	0.0600314	0.180058	-0.459514	0.131025	-0.0355433	-12.6646	-11.5969	-13.4276	-12.9702	-0.000835392	-65.1558
0.0347	-2.08985	-0.267738	-0.0890932	-0.13855	-0.870455	-0.125112	-0.765857	-0.174149	-0.0355433	-12.9702	-11.5969	-13.2751	-12.8172	-0.000835392	-65.0036
0.0353	-0.569959	0.0374434	0.207884	-0.13855	-0.240126	-0.125112	-0.459514	-0.174149	-0.0355433	-12.6646	-11.5969	-13.1227	-12.8172	-0.000963914	-65.1558
0.0360	-0.253315	0.0374434	-0.0890932	0.166626	0.360188	0.180058	-0.459514	0.131025	-0.0413191	-12.3595	-11.7492	-13.1227	-12.6646	-0.000835392	-65.1558
0.0367	-1.17158	0.0374434	-0.712746	0.166626	-0.240126	-0.125112	-0.459514	0.131025	-0.0413191	-12.6646	-11.7492	-13.2751	-12.6646	-0.0011567	-65.1558
0.0373	-0.854938	0.0374434	-1.00972	-0.13855	-0.240126	-0.125112	-0.153171	0.131025	-0.0413191	-12.8172	-11.7492	-12.9698	-12.8172	-0.00128522	-65.3079
