"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
0.0000	1.13838	-0.00508999	0.063764	0.00427669	-0.0286514	-0.0170773	0.809933	-0.195103	-5.43463	-1757.18	-221.392	-77.3605	-85.7544	-0.000160807	-14.5016
0.0007	0.831329	-0.00508999	0.368722	-0.300906	0.582579	-0.0170773	0.809933	0.110076	-5.43463	-1757.65	-221.855	-78.1243	-86.5173	-0.000313434	-80.7253
0.0013	0.831329	0.300084	0.063764	0.00427669	0.582579	0.288093	0.809933	0.110076	-5.4281	-1758.72	-222.481	-79.0407	-86.9751	0.000144364	-56.9244
0.0020	1.44334	0.300084	-0.546499	0.309441	0.276964	0.288093	0.809933	0.110076	-5.4281	-1758.72	-222.481	-78.5825	-86.2122	0.000449534	-63.4846
0.0027	1.44334	-0.00508999	-0.241541	0.309441	0.276964	-0.0170773	0.195689	0.110076	-5.4281	-1756.78	-220.631	-76.5999	-84.5337	0.000144364	-64.8427
0.0033	0.831329	-0.00508999	0.368722	0.00427669	0.276964	-0.322276	-0.108716	-0.195103	-5.4225	-1754.3	-218.345	-74.4615	-82.3975	0.000144364	-62.1035
0.0040	1.13838	-0.00508999	0.368722	-0.300906	0.276964	-0.322276	0.500093	-0.195103	-5.4225	-1753.23	-217.448	-73.2426	-81.1768	0.000296949	-63.0242
0.0047	1.13838	-0.00508999	0.063764	0.00427669	0.276964	-0.0170773	0.500093	0.110076	-5.4225	-1753.23	-217.584	-73.3954	-81.6345	0.000144364	-63.1623
0.0053	0.831329	0.300084	-0.241541	0.309441	-0.332675	-0.0170773	0.195689	0.110076	-5.4225	-1753.83	-217.883	-74.1591	-82.3975	-8.22164e-006	-63.0242
0.0060	0.831329	0.300084	-0.241541	0.00427669	-0.332675	0.288093	-0.108716	0.110076	-5.4225	-1754.3	-218.046	-74.3118	-82.2449	-0.000313434	-62.725
0.0067	0.526369	-0.00508999	-0.241541	0.00427669	-0.0286514	-0.0170773	0.195689	0.110076	-5.4225	-1754.17	-218.345	-74.3118	-82.3975	-0.000618605	-62.8631
0.0073	0.221409	-0.00508999	-0.546499	0.00427669	-0.332675	-0.0170773	0.195689	-0.195103	-5.41597	-1754.43	-218.971	-75.2252	-83.313	-0.000466019	-63.0242
0.0080	-0.69347	-0.310264	-0.546499	-0.300906	-0.332675	-0.322276	-0.108716	-0.195103	-5.41037	-1755.24	-219.107	-75.6834	-83.7708	-0.000160807	-63.3235
0.0087	-0.69347	-0.00508999	0.368722	0.00427669	-0.638291	-0.0170773	0.195689	-0.195103	-5.41037	-1755.24	-218.808	-75.378	-83.313	-0.000160807	-63.3235
0.0093	-0.38851	-0.00508999	0.368722	0.309441	-0.638291	0.288093	0.195689	0.110076	-5.41597	-1754.43	-218.046	-74.6143	-82.0923	-0.000160807	-62.8631
0.0100	-0.38851	-0.00508999	-0.241541	0.00427669	-0.332675	-0.0170773	-0.108716	-0.195103	-5.41597	-1753.56	-216.822	-74.0063	-81.3293	-0.000313434	-62.725
0.0107	-0.69347	-0.00508999	-0.546499	0.00427669	-0.638291	-0.0170773	-0.108716	0.110076	-5.41037	-1752.76	-216.359	-73.2426	-81.0242	-0.000313434	-63.0242
0.0113	-0.99843	-0.00508999	-0.546499	-0.300906	-1.24952	-0.0170773	-0.41312	0.110076	-5.41037	-1752.76	-216.359	-73.2426	-80.8716	-0.000466019	-63.1623
0.0120	-0.99843	-0.310264	-0.241541	-0.300906	-1.55355	-0.322276	-0.41312	-0.195103	-5.41037	-1753.7	-216.822	-74.1591	-81.6345	-0.000466019	-63.4846
0.0127	-0.38851	-0.00508999	-0.241541	0.00427669	-0.943906	-0.0170773	-0.41312	0.110076	-5.41037	-1754.9	-218.046	-75.2252	-83.0078	-0.000160807	-63.3235
0.0133	0.221409	0.300084	-0.241541	0.309441	-0.332675	0.288093	-0.717525	0.415255	-5.41037	-1755.97	-219.434	-75.9889	-84.2285	-0.000160807	-62.8631
0.0140	-0.0835506	-0.00508999	-0.241541	0.00427669	-0.943906	-0.0170773	-0.41312	0.110076	-5.41037	-1756.31	-220.195	-76.9054	-84.9915	-0.000313434	-63.0242
0.0147	-0.38851	-0.310264	0.674027	-0.300906	-1.24952	-0.0170773	-0.108716	-0.195103	-5.40384	-1756.44	-220.495	-77.0581	-85.144	-0.000466019	-63.3235
0.0153	0.221409	-0.00508999	0.674027	0.00427669	-0.638291	0.288093	-0.41312	0.110076	-5.40384	-1756.31	-220.195	-76.7526	-84.6863	-0.000466019	-63.1623
0.0160	-0.38851	-0.00508999	0.063764	0.00427669	-0.332675	0.288093	-0.108716	0.110076	-5.40384	-1756.31	-220.032	-76.9054	-84.5337	-0.000160807	-63.3235
0.0167	-0.38851	-0.00508999	-0.546499	0.00427669	-0.332675	-0.0170773	0.500093	0.110076	-5.40384	-1756.11	-219.733	-76.5999	-84.0759	-8.22164e-006	-63.3235
0.0173	0.831329	-0.00508999	-0.241541	0.00427669	-0.0286514	0.288093	0.195689	0.110076	-5.40384	-1755.24	-219.107	-75.8362	-83.4656	-0.000160807	-63.0242
0.0180	0.221409	-0.00508999	-0.241541	-0.300906	-0.0286514	-0.0170773	-0.108716	-0.195103	-5.40384	-1755.37	-218.971	-75.6834	-83.6182	0.000144364	-63.0242
0.0187	-0.38851	-0.310264	-0.546499	-0.300906	0.276964	-0.322276	-0.41312	-0.195103	-5.40384	-1755.97	-219.434	-75.9889	-83.6182	0.000296949	-63.1623
0.0193	-0.0835506	-0.310264	0.063764	0.00427669	0.582579	-0.0170773	-0.41312	0.110076	-5.40384	-1756.11	-220.331	-76.4472	-84.3811	-8.22164e-006	-63.1623
0.0200	0.526369	-0.00508999	0.368722	0.00427669	0.276964	0.288093	-0.108716	0.110076	-5.40384	-1757.18	-221.093	-77.666	-85.6018	-8.22164e-006	-62.725
0.0207	0.831329	-0.00508999	0.368722	0.00427669	0.582579	-0.0170773	-0.108716	-0.195103	-5.39824	-1758.45	-222.181	-78.888	-86.3647	-8.22164e-006	-62.725
0.0213	0.831329	-0.00508999	0.368722	-0.300906	0.582579	-0.0170773	0.195689	-0.195103	-5.39171	-1759.05	-223.242	-78.888	-86.6699	0.000144364	-62.8631
0.0220	0.526369	-0.00508999	0.368722	-0.300906	0.886603	-0.0170773	0.809933	-0.195103	-5.39171	-1757.65	-221.855	-77.9715	-85.4492	0.000144364	-62.4027
0.0227	0.526369	-0.00508999	0.063764	0.00427669	0.886603	-0.0170773	0.809933	0.110076	-5.38517	-1755.7	-220.032	-76.5999	-83.9233	-0.000160807	-62.2646
0.0233	0.831329	-0.00508999	0.368722	0.00427669	1.19222	-0.0170773	0.500093	-0.195103	-5.38517	-1754.9	-219.107	-74.9197	-82.8552	-0.000160807	-62.5638
0.0240	0.831329	-0.00508999	0.368722	0.00427669	0.886603	-0.0170773	0.500093	-0.195103	-5.39171	-1754.17	-217.883	-73.7009	-81.9397	-0.000313434	-62.8631
0.0247	0.526369	-0.310264	0.368722	0.00427669	0.886603	-0.0170773	0.500093	-0.195103	-5.38517	-1754.17	-217.448	-73.8536	-81.7871	-8.22164e-006	-62.8631
0.0253	0.831329	-0.00508999	0.979331	0.00427669	0.582579	-0.322276	0.195689	-0.195103	-5.38517	-1754.9	-218.509	-74.4615	-82.0923	0.000296949	-62.725
0.0260	1.44334	-0.00508999	1.28429	0.00427669	-0.0286514	-0.0170773	0.195689	-0.195103	-5.38517	-1754.9	-218.971	-74.6143	-82.55	0.000296949	-62.4027
0.0267	1.13838	-0.00508999	0.979331	0.00427669	0.276964	0.288093	-0.108716	-0.195103	-5.37958	-1755.04	-218.971	-75.0725	-82.8552	-8.22164e-006	-62.5638
0.0273	0.526369	-0.00508999	1.28429	0.00427669	0.582579	-0.0170773	-0.108716	-0.195103	-5.37958	-1755.5	-219.107	-75.6834	-82.7026	-0.000160807	-62.4027
0.0280	0.221409	-0.00508999	1.28429	0.00427669	0.276964	-0.0170773	0.500093	0.110076	-5.38517	-1755.5	-219.27	-75.5307	-82.8552	-0.000160807	-62.5638
0.0287	-0.0835506	-0.00508999	0.979331	0.00427669	-0.0286514	-0.0170773	0.500093	0.110076	-5.38517	-1755.04	-218.971	-75.0725	-83.0078	-0.000160807	-62.725
0.0293	-0.38851	-0.00508999	0.674027	0.00427669	-0.638291	-0.0170773	0.195689	0.110076	-5.37958	-1754.63	-218.345	-74.4615	-82.2449	-8.22164e-006	-62.2646
0.0300	-0.0835506	-0.00508999	-0.241541	0.00427669	-0.332675	-0.0170773	-0.108716	-0.195103	-5.37958	-1754.3	-217.883	-73.8536	-81.4819	-8.22164e-006	-62.5638
0.0307	-0.0835506	-0.310264	-0.546499	0.00427669	-0.638291	-0.0170773	-0.108716	-0.195103	-5.37304	-1753.96	-217.284	-73.3954	-81.0242	-0.000160807	-62.725
0.0313	-0.38851	-0.00508999	0.368722	0.00427669	-0.638291	-0.0170773	-0.717525	0.110076	-5.37304	-1753.56	-216.686	-72.7844	-80.719	-0.000160807	-62.5638
0.0320	-0.69347	-0.00508999	0.368722	0.00427669	-0.638291	-0.0170773	-0.717525	0.110076	-5.37958	-1753.56	-217.121	-73.0899	-81.6345	-0.000160807	-62.5638
0.0327	0.221409	0.300084	0.674027	0.00427669	-0.638291	0.288093	-0.108716	0.110076	-5.36744	-1755.04	-218.509	-74.4615	-82.55	-0.000160807	-62.725
0.0333	0.526369	0.300084	0.368722	0.00427669	-0.638291	-0.0170773	0.195689	0.110076	-5.36744	-1756.31	-219.733	-75.6834	-83.313	-0.000160807	-62.4027
0.0340	-0.0835506	-0.00508999	0.368722	0.00427669	-0.638291	-0.322276	-0.41312	0.110076	-5.36744	-1755.84	-219.733	-76.7526	-84.2285	-0.000313434	-61.482
0.0347	-0.0835506	-0.00508999	0.979331	-0.300906	-0.638291	-0.0170773	-0.108716	-0.195103	-5.36744	-1756.57	-220.631	-77.666	-85.4492	-0.000618605	-62.1035
0.0353	-0.0835506	-0.00508999	0.368722	0.00427669	-0.332675	-0.0170773	0.195689	-0.195103	-5.36744	-1757.98	-221.256	-77.8188	-85.2966	-0.000466019	-63.1623
0.0360	-0.69347	0.300084	0.063764	0.309441	-0.332675	0.288093	-0.108716	0.110076	-5.36091	-1757.18	-220.631	-76.9054	-84.5337	-0.000466019	-63.1623
0.0367	-0.99843	-0.00508999	0.674027	0.00427669	-0.332675	-0.0170773	-1.02193	-0.195103	-5.36091	-1756.44	-220.331	-76.1417	-84.2285	-0.000466019	-63.1623
0.0373	-0.69347	-0.00508999	0.368722	0.00427669	-0.332675	-0.0170773	-0.717525	-0.195103	-5.36091	-1756.57	-220.331	-75.8362	-83.9233	-0.000160807	-63.0242
0.0380	-0.0835506	-0.00508999	0.674027	0.00427669	-0.0286514	-0.0170773	-0.108716	0.110076	-5.36091	-1756.44	-220.195	-75.5307	-83.7708	-0.000160807	-62.725
0.0387	-0.0835506	-0.00508999	1.28429	0.00427669	0.582579	-0.0170773	-0.108716	0.110076	-5.36091	-1756.91	-221.093	-75.6834	-84.3811	-0.000160807	-63.0242
0.0393	-0.69347	-0.00508999	0.674027	-0.300906	0.582579	-0.322276	-0.108716	-0.195103	-5.36091	-1757.65	-222.181	-76.7526	-85.144	-8.22164e-006	-63.3235
0.0400	-0.38851	-0.00508999	0.674027	0.00427669	0.886603	-0.322276	0.195689	-0.195103	-5.36091	-1758.11	-222.78	-77.8188	-85.6018	0.000144364	-62.725
0.0407	0.526369	-0.00508999	0.674027	0.00427669	0.886603	-0.0170773	0.195689	-0.195103	-5.35531	-1759.18	-223.705	-78.5825	-86.3647	-8.22164e-006	-62.725
0.0413	0.221409	-0.00508999	0.063764	0.00427669	0.582579	-0.0170773	-0.108716	0.110076	-5.35531	-1759.79	-224.14	-79.1934	-86.9751	-0.000160807	-63.0242
0.0420	-0.0835506	-0.00508999	0.063764	0.00427669	1.19222	-0.0170773	0.195689	0.110076	-5.35531	-1758.72	-223.079	-78.277	-86.3647	-0.000160807	-62.725
