"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
14.5593	0.486602	-0.0376331	0.692298	-0.0223803	-1.60754	-0.0699918	0.769412	0.0716245	-0.309221	-12.8172	-11.4441	-13.2751	-12.8172	-0.00389383	-41.9604		
14.56	0.790728	-0.0376331	0.369226	-0.0223803	-1.27872	-0.0699918	0.769412	0.0716245	-0.309221	-12.9702	-11.5969	-12.97	-12.5121	-0.00389383	-77.8238		
14.5607	0.790728	-0.0376331	0.692298	-0.0223803	-0.657628	-0.0699918	0.471575	0.0716245	-0.315309	-13.1227	-12.0544	-12.97	-12.3595	-0.0035848	-52.0422		
14.5613	0.182476	-0.0376331	0.0692298	-0.0223803	-0.365349	-0.0699918	0.161328	-0.233572	-0.321396	-12.6646	-12.0544	-12.97	-12.5121	-0.00327576	-62.8644		
14.562	0.182476	-0.0376331	0.369226	-0.0223803	-0.986443	-0.0699918	0.471575	0.0716245	-0.315309	-12.6646	-11.902	-12.97	-12.8172	-0.00315215	-62.1023		
14.5627	0.486602	-0.0376331	0.992294	-0.0223803	-0.657628	-0.0699918	0.471575	0.0716245	-0.309221	-12.9702	-12.0544	-13.1225	-12.8172	-0.00327576	-60.4256		
14.5633	-0.121651	-0.342811	0.0692298	-0.0223803	-0.657628	-0.0699918	-0.136509	-0.233572	-0.309221	-12.8172	-12.2072	-13.1225	-12.8172	-0.0035848	-61.3401		
14.564	-0.425777	-0.342811	-0.530762	-0.327556	-0.986443	-0.375165	-0.446755	-0.233572	-0.303133	-12.9702	-12.0544	-13.4276	-13.1227	-0.00346118	-61.4926		
14.5647	-0.121651	-0.0376331	-0.230766	-0.327556	-0.365349	-0.375165	-0.136509	-0.233572	-0.303133	-13.1227	-12.0544	-13.2751	-12.8172	-0.00327576	-61.3401		
14.5653	0.182476	-0.342811	-0.530762	-0.0223803	0.255744	-0.0699918	0.161328	-0.233572	-0.303133	-12.9702	-12.2072	-13.1225	-12.8172	-0.00377022	-61.645		
