FASC_Dist			mass_A		
t	x	y	t	x	y
0.00000000	34.07458673	0.00000000	0.00000000	50.40521336	0.00000000
0.01838810	34.07470098	0.00000000	0.01838810	50.40408321	0.00000000
0.03677620	34.07313173	0.00000000	0.03677620	50.40387147	0.00000000
0.05516430	34.06641568	0.00000000	0.05516430	50.40401535	0.00000000
0.07355240	34.06599660	0.00000000	0.07355240	50.40405014	0.00000000
0.09194050	34.07421071	0.00000000	0.09194050	50.40393221	0.00000000
0.11032860	34.07503075	0.00000000	0.11032860	50.40384602	0.00000000
0.12871669	34.07278553	0.00000000	0.12871669	50.40415922	0.00000000
0.14710479	34.07254074	0.00000000	0.14710479	50.40394750	0.00000000
0.16549289	34.07585239	0.00000000	0.16549289	50.40404143	0.00000000
0.18388099	34.07607795	0.00000000	0.18388099	50.40419914	0.00000000
0.20226909	34.07442907	0.00000000	0.20226909	50.40402885	0.00000000
0.22065719	34.07309171	0.00000000	0.22065719	50.40412878	0.00000000
0.23904529	34.07289978	0.00000000	0.23904529	50.40420467	0.00000000
0.25743339	34.07208494	0.00000000	0.25743339	50.40406741	0.00000000
0.27582149	34.07009387	0.00000000	0.27582149	50.40406746	0.00000000
0.29420959	34.07125005	0.00000000	0.29420959	50.40425086	0.00000000
0.31259769	34.07273633	0.00000000	0.31259769	50.40430333	0.00000000
0.33098579	34.07191345	0.00000000	0.33098579	50.40425465	0.00000000
0.34937389	34.07160203	0.00000000	0.34937389	50.40411220	0.00000000
0.36776198	34.07159793	0.00000000	0.36776198	50.40419333	0.00000000
0.38615008	34.07361009	0.00000000	0.38615008	50.40412185	0.00000000
0.40453818	34.07483238	0.00000000	0.40453818	50.40421466	0.00000000
0.42292628	34.07267166	0.00000000	0.42292628	50.40425643	0.00000000
0.44131438	34.07183527	0.00000000	0.44131438	50.40406285	0.00000000
0.45970248	34.07348897	0.00000000	0.45970248	50.40417206	0.00000000
0.47809058	34.07575430	0.00000000	0.47809058	50.40404412	0.00000000
0.49647868	34.07666820	0.00000000	0.49647868	50.40404561	0.00000000
0.51486678	34.07605769	0.00000000	0.51486678	50.40426715	0.00000000
0.53325488	34.07929204	0.00000000	0.53325488	50.40404610	0.00000000
0.55164298	34.07915807	0.00000000	0.55164298	50.40380743	0.00000000
0.57003108	34.07868718	0.00000000	0.57003108	50.40378337	0.00000000
0.58841918	34.07787960	0.00000000	0.58841918	50.40368532	0.00000000
0.60680727	34.07992288	0.00000000	0.60680727	50.40389847	0.00000000
0.62519537	34.08332792	0.00000000	0.62519537	50.40397863	0.00000000
0.64358347	34.08222351	0.00000000	0.64358347	50.40401479	0.00000000
0.66197157	34.07923046	0.00000000	0.66197157	50.40400694	0.00000000
0.68035967	34.08170551	0.00000000	0.68035967	50.40412324	0.00000000
0.69874777	34.08388662	0.00000000	0.69874777	50.40408495	0.00000000
0.71713587	34.07921415	0.00000000	0.71713587	50.40390514	0.00000000
0.73552397	34.07733963	0.00000000	0.73552397	50.40394456	0.00000000
0.75391207	34.07684823	0.00000000	0.75391207	50.40395781	0.00000000
0.77230017	34.07604995	0.00000000	0.77230017	50.40402868	0.00000000
0.79068827	34.07526212	0.00000000	0.79068827	50.40383932	0.00000000
0.80907637	34.07591879	0.00000000	0.80907637	50.40398202	0.00000000
0.82746447	34.07663875	0.00000000	0.82746447	50.40402229	0.00000000
