"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
312.3313	0.368969	0.11536	0.300941	0.128584	2.98227	0.011791	0.317017	-0.0923675	-1.96101	-12.3595	-11.5969	-13.2751	-12.8176	0.0120337	-92.4606		
312.332	-0.245979	-0.189817	-0.601882	-0.176593	2.98227	-0.29337	0	-0.0923675	-1.96101	-12.5121	-11.5969	-13.2751	-12.6646	0.0121921	-58.1361		
312.3327	-0.573951	0.11536	-0.300941	-0.176593	-0.0864427	-0.29337	0.317017	-0.0923675	-1.95476	-12.5121	-11.4441	-12.8175	-12.3595	0.0123504	-52.0417		
312.3333	-0.245979	0.11536	0	-0.176593	-5.273	-0.29337	0	-0.0923675	-1.96101	-12.3595	-11.4441	-12.665	-12.512	0.0121921	-64.5352		
312.334	0.0409965	-0.189817	-0.300941	-0.48177	-7.39085	-0.29337	-0.281793	-0.0923675	-1.96101	-12.8172	-11.5969	-12.97	-12.6646	0.0119282	-58.7456		
312.3347	-0.245979	-0.189817	0	-0.48177	-6.4832	-0.29337	-0.281793	-0.0923675	-1.95476	-12.9702	-11.7492	-13.4276	-12.6646	0.0119282	-59.2026		
312.3353	-0.245979	-0.189817	0.6395	-0.176593	-4.36535	0.011791	0	-0.0923675	-1.95476	-12.8172	-12.0544	-13.2751	-12.8176	0.0121921	-59.6597		
312.336	0.368969	0.11536	0.6395	-0.176593	-2.20429	0.011791	0.634034	-0.0923675	-1.96101	-12.5121	-11.902	-12.8175	-12.6646	0.0126671	-59.5074		
312.3367	0.368969	-0.189817	-0.300941	-0.176593	-1.90174	-0.29337	0.317017	-0.397543	-1.96101	-12.5121	-11.7492	-12.97	-13.1227	0.0126671	-59.2026		
312.3373	-0.573951	-0.189817	-1.20376	-0.176593	-1.90174	-0.29337	0	-0.0923675	-1.95476	-13.1227	-11.902	-13.4276	-13.4278	0.0120337	-59.8121		
