"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0	0.311483	-0.240265	-0.597115	-0.211588	-0.407643	-0.0414982	-0.311271	-0.136106	0.609108	-12.6646	-11.2914	-12.97	-12.5123	-0.00746096	-93.0786		
0.0007	0.311483	0.0648936	-0.298557	0.0935807	0.815286	-0.0414982	-0.0183101	-0.136106	0.615196	-12.9701	-11.9021	-12.8175	-12.0543	-0.00657399	-43.6401		
0.0013	0.89984	0.0648936	0	0.0935807	2.03822	-0.0414982	-0.0183101	-0.136106	0.615196	-13.4278	-12.5123	-13.1225	-12.3598	-0.00657399	-57.9834		
0.002	0.89984	0.0648936	0	-0.211588	2.03822	-0.0414982	-0.0183101	-0.136106	0.615196	-12.8176	-11.7491	-12.97	-12.5123	-0.00761748	-61.3403		
0.0027	0.588357	0.0648936	0.634434	0.0935807	1.71792	-0.0414982	-0.0183101	-0.136106	0.615196	-12.6646	-11.5965	-13.1225	-12.6648	-0.00824358	-56.6101		
0.0033	0.89984	0.0648936	0.634434	0.0935807	2.94085	-0.0414982	0.292961	-0.136106	0.615196	-12.8176	-12.0546	-13.2751	-12.8173	-0.00808705	-57.8308		
0.004	0.588357	0.0648936	0.634434	0.0935807	4.45496	-0.0414982	-0.0183101	-0.136106	0.615196	-12.9701	-12.0546	-13.1225	-12.6648	-0.00746096	-57.8308		
0.0047	0	0.0648936	0.335877	-0.211588	5.99818	-0.0414982	-0.311271	-0.136106	0.615196	-12.8176	-11.5965	-12.3595	-12.3598	-0.00704356	-57.9834		
0.0053	0.311483	0.0648936	0	0.0935807	4.45496	0.263671	0.292961	0.169061	0.609108	-12.8176	-11.5965	-12.207	-12.3598	-0.00720008	-58.136		
0.006	-0.311483	0.0648936	0	0.0935807	-1.01911	-0.0414982	0.292961	0.169061	0.609108	-13.2752	-12.3597	-13.1225	-12.5123	-0.00673051	-58.136		
0.0067	-0.934449	-0.240265	0	-0.211588	-5.29936	-0.346687	-0.311271	-0.136106	0.609108	-13.2752	-12.3597	-13.4276	-12.5123	-0.00641747	-57.5256		
0.0073	-0.622966	-0.240265	-0.597115	-0.211588	-6.52229	-0.0414982	0.292961	-0.136106	0.609108	-12.0544	-11.5965	-13.4276	-12.6648	-0.00673051	-56.9153		
0.008	-0.934449	-0.240265	-0.597115	0.0935807	-6.52229	-0.0414982	-0.0183101	-0.136106	0.609108	-11.5967	-11.2914	-13.2751	-12.9698	-0.00657399	-57.0679		
0.0087	-1.52281	0.0648936	-0.298557	-0.211588	-5.29936	-0.0414982	-0.622543	-0.136106	0.615196	-12.512	-11.7491	-13.1225	-12.8173	-0.00673051	-57.8308		
0.0093	-0.622966	0.0648936	0	0.0935807	-3.78526	-0.0414982	-0.311271	0.169061	0.615196	-12.8176	-11.444	-12.8175	-12.3598	-0.00735661	-58.2886		
0.01	-0.934449	0.0648936	0.335877	-0.211588	-4.36761	-0.0414982	-0.0183101	0.169061	0.609108	-12.0544	-11.1389	-12.665	-12.3598	-0.00720008	-57.6782		
0.0107	-1.52281	-0.240265	0	-0.211588	-9.25932	-0.346687	-0.311271	-0.136106	0.609108	-11.7493	-11.444	-13.1225	-12.8173	-0.00673051	-56.9153		
