"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
0	-3.09462	-0.335904	-2.6026	-0.301107	-2.16626	-0.131421	4.76798	0.0598235	-1.07468	-13.2751	-12.0545	-13.5803	-13.2751	-0.0259758	-36.3256		
0.0007	3.62818	-0.0307164	-3.21221	0.00406901	-0.643444	0.173752	5.68197	0.0598235	-1.07468	-12.8175	-12.2071	-13.5803	-13.1225	-0.0253328	-78.7308		
0.0013	7.25635	-0.0307164	-1.38336	0.309245	1.80164	0.173752	5.37731	0.0598235	-1.06854	-12.8175	-11.9019	-13.1224	-12.8175	-0.0252042	-52.6386		
0.002	7.25635	-0.0307164	-2.9074	0.00406901	5.46927	-0.131421	4.14342	-0.245368	-1.0624	-12.8175	-11.4441	-12.665	-12.97	-0.0257829	-64.2352		
0.0027	2.08087	-0.0307164	-6.56511	0.00406901	10.6597	-0.131421	3.5341	0.0598235	-1.06854	-12.8175	-11.7493	-13.1224	-13.4276	-0.0261044	-63.3265		
0.0033	17.0204	0.274452	-5.65068	0.309245	14.0056	0.173752	1.09679	0.364995	-1.06854	-13.5805	-12.6648	-13.7331	-13.2751	-0.0257829	-62.0933		
0.004	63.1196	-0.0307164	-2.6026	0.309245	10.6597	0.173752	-2.86384	0.0598235	-1.07468	-13.2751	-12.3596	-13.5803	-13.1225	-0.0257829	-63.3265		
0.0047	93.0521	-0.0307164	-3.51702	0.00406901	3.32446	-0.131421	-4.08249	0.0598235	-1.06854	-12.665	-12.0545	-12.9701	-12.97	-0.0259758	-62.8721		
0.0053	81.7407	-0.0307164	-6.86992	-0.301107	0.5791	-0.131421	-3.47316	0.0598235	-1.06854	-12.665	-12.2071	-13.2752	-12.8175	-0.0264259	-63.175		
0.006	64.3468	-0.0307164	-7.78434	0.00406901	3.94646	0.173752	-2.86384	-0.245368	-1.07468	-12.512	-11.9019	-13.4275	-12.665	-0.0265545	-63.3265		
