mass_B			mass_A		
t	x	y	t	x	y
0.0000000	35.8692199	0.0000000	0.0000000	13.2300977	0.0000000
0.0252188	35.8703135	0.0000000	0.0252188	13.2304829	0.0000000
0.0504375	35.8696266	0.0000000	0.0504375	13.2300129	0.0000000
0.0756563	35.8655210	0.0000000	0.0756563	13.2285340	0.0000000
0.1008751	35.8611463	0.0000000	0.1008751	13.2251555	0.0000000
0.1260939	35.8613790	0.0000000	0.1260939	13.2278228	0.0000000
0.1513126	35.8636143	0.0000000	0.1513126	13.2281968	0.0000000
0.1765314	35.8664256	0.0000000	0.1765314	13.2289274	0.0000000
0.2017502	35.8674406	0.0000000	0.2017502	13.2296854	0.0000000
0.2269690	35.8686903	0.0000000	0.2269690	13.2286543	0.0000000
0.2521877	35.8712806	0.0000000	0.2521877	13.2303557	0.0000000
0.2774065	35.8753375	0.0000000	0.2774065	13.2311340	0.0000000
0.3026253	35.8715850	0.0000000	0.3026253	13.2302855	0.0000000
0.3278440	35.8703847	0.0000000	0.3278440	13.2297692	0.0000000
0.3530628	35.8713671	0.0000000	0.3530628	13.2284369	0.0000000
0.3782816	35.8720494	0.0000000	0.3782816	13.2297704	0.0000000
0.4035004	35.8708835	0.0000000	0.4035004	13.2299305	0.0000000
0.4287191	35.8681453	0.0000000	0.4287191	13.2266174	0.0000000
0.4539379	35.8647393	0.0000000	0.4539379	13.2251304	0.0000000
0.4791567	35.8671955	0.0000000	0.4791567	13.2262968	0.0000000
0.5043755	35.8660294	0.0000000	0.5043755	13.2215099	0.0000000
0.5295942	35.8668850	0.0000000	0.5295942	13.2214598	0.0000000
0.5548130	35.8672931	0.0000000	0.5548130	13.2219504	0.0000000
0.5800318	35.8690466	0.0000000	0.5800318	13.2259625	0.0000000
0.6052505	35.8693081	0.0000000	0.6052505	13.2244907	0.0000000
0.6304693	35.8714635	0.0000000	0.6304693	13.2285139	0.0000000
0.6556881	35.8712695	0.0000000	0.6556881	13.2290312	0.0000000
0.6809069	35.8706095	0.0000000	0.6809069	13.2288823	0.0000000
0.7061256	35.8705528	0.0000000	0.7061256	13.2297353	0.0000000
0.7313444	35.8719138	0.0000000	0.7313444	13.2298648	0.0000000
0.7565632	35.8720565	0.0000000	0.7565632	13.2297462	0.0000000
0.7817820	35.8699111	0.0000000	0.7817820	13.2243532	0.0000000
0.8070007	35.8712480	0.0000000	0.8070007	13.2238655	0.0000000
0.8322195	35.8720661	0.0000000	0.8322195	13.2249530	0.0000000
0.8574383	35.8726389	0.0000000	0.8574383	13.2198055	0.0000000
0.8826570	35.8760672	0.0000000	0.8826570	13.2211401	0.0000000
0.9078758	35.8754965	0.0000000	0.9078758	13.2215714	0.0000000
0.9330946	35.8745550	0.0000000	0.9330946	13.2189990	0.0000000
0.9583134	35.8726122	0.0000000	0.9583134	13.2178965	0.0000000
0.9835321	35.8765384	0.0000000	0.9835321	13.2195006	0.0000000
1.0087509	35.8761100	0.0000000	1.0087509	13.2225238	0.0000000
1.0339697	35.8734805	0.0000000	1.0339697	13.2257524	0.0000000
1.0591885	35.8736868	0.0000000	1.0591885	13.2271136	0.0000000
1.0844072	35.8722177	0.0000000	1.0844072	13.2282847	0.0000000
1.1096260	35.8706468	0.0000000	1.1096260	13.2269375	0.0000000
1.1348448	35.8706203	0.0000000	1.1348448	13.2268643	0.0000000
1.1600636	35.8696594	0.0000000	1.1600636	13.2272025	0.0000000
1.1852823	35.8677492	0.0000000	1.1852823	13.2278703	0.0000000
1.2105011	35.8683956	0.0000000	1.2105011	13.2289540	0.0000000
1.2357199	35.8695771	0.0000000	1.2357199	13.2295127	0.0000000
1.2609386	35.8716905	0.0000000	1.2609386	13.2319401	0.0000000
1.2861574	35.8726611	0.0000000	1.2861574	13.2336068	0.0000000
1.3113762	35.8732248	0.0000000	1.3113762	13.2359794	0.0000000
1.3365950	35.8719713	0.0000000	1.3365950	13.2426057	0.0000000
1.3618137	35.8580767	0.0000000	1.3618137	13.2326254	0.0000000
1.3870325	35.8590853	0.0000000	1.3870325	13.2323066	0.0000000
1.4122513	35.8499129	0.0000000	1.4122513	13.2312582	0.0000000
1.4374701	35.9051988	0.0000000	1.4374701	13.2312973	0.0000000
1.4626888	35.8622344	0.0000000	1.4626888	13.2460987	0.0000000
1.4879076	35.9230660	0.0000000	1.4879076	13.2503774	0.0000000
1.5131264	35.8837828	0.0000000	1.5131264	13.2650340	0.0000000
1.5383451	35.9022070	0.0000000	1.5383451	13.2478384	0.0000000
1.5635639	35.8502011	0.0000000	1.5635639	13.2283189	0.0000000
1.5887827	35.8621231	0.0000000	1.5887827	13.2224690	0.0000000
1.6140015	35.8598023	0.0000000	1.6140015	13.2197280	0.0000000
1.6392202	35.8359602	0.0000000	1.6392202	13.2171168	0.0000000
1.6644390	35.8923238	0.0000000	1.6644390	13.2078791	0.0000000
1.6896578	35.8614983	0.0000000	1.6896578	13.2183521	0.0000000
1.7148766	35.8629055	0.0000000	1.7148766	13.2262067	0.0000000
1.7400953	35.8713258	0.0000000	1.7400953	13.2301575	0.0000000
1.7653141	35.8825975	0.0000000	1.7653141	13.2247627	0.0000000
1.7905329	36.0213902	0.0000000	1.7905329	13.2103485	0.0000000
1.8157516	36.0465086	0.0000000	1.8157516	13.2086675	0.0000000
1.8409704	36.1503654	0.0000000	1.8409704	13.2137143	0.0000000
1.8661892	36.2141433	0.0000000	1.8661892	13.1761710	0.0000000
