"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"
27.1287	-10.5871	0.330407	-8.24755	0.271603	32.4552	0.429679	18.3141	0.474236	-9.15585	-1724.98	-86.6594	-30.0656	-98.877	-0.00032642	-54.0076
27.1293	-11.5039	0.0252354	-10.0711	0.271603	30.2986	0.124517	-25.0101	0.169076	-9.15585	-1724.86	-86.6594	-29.2958	-98.5718	-0.00032642	-62.2516
27.1300	-11.5039	0.0252354	-11.6046	-0.0335648	27.8758	0.124517	-111.716	0.169076	-9.14406	-1724.86	-86.0844	-28.8468	-98.2666	-0.000173861	-47.758
27.1307	-10.2914	0.0252354	-10.9829	-0.0335648	20.8469	0.124517	-100.727	0.169076	-9.13143	-1724.86	-85.4572	-28.8468	-98.114	-0.000173861	-55.847
27.1313	-9.0789	0.330407	-9.44945	0.271603	12.9128	0.124517	-62.8973	0.474236	-9.13143	-1724.68	-85.614	-28.6971	-98.114	-0.000173861	-54.1627
27.1320	-7.83683	0.330407	-8.24755	-0.0335648	6.49636	0.429679	-18.3141	0.169076	-9.13143	-1724.68	-85.7708	-28.6971	-98.2666	0.000131333	-53.5643
27.1327	-4.79082	0.0252354	-4.57967	-0.338753	0.106498	0.124517	58.2616	-0.136108	-9.1129	-1725.33	-86.189	-29.1461	-99.0295	0.00028393	-54.1627
27.1333	-0.828043	-0.279956	0.310837	-0.0335648	-6.30999	-0.180668	67.4186	-0.136108	-9.10701	-1726.69	-87.4434	-30.5147	-100.25	-0.000173861	-54.1627
27.1340	2.21797	0.0252354	2.13442	-0.338753	-9.98415	-0.180668	14.0217	-0.136108	-9.10111	-1727.76	-88.1751	-31.4342	-100.861	-0.000173861	-54.3178
27.1347	3.13473	0.0252354	0.911789	-0.0335648	-10.277	0.124517	-5.78037	-0.136108	-9.09522	-1727.28	-87.6002	-30.5147	-100.555	0.000131333	-54.1627
27.1353	1.30121	0.0252354	-0.600952	0.271603	-5.08526	0.124517	-0.629546	-0.136108	-9.08848	-1726.1	-85.9276	-28.6971	-98.877	0.00043649	-53.8746
27.1360	-1.12377	0.330407	-1.53346	0.271603	1.62409	0.124517	2.46095	0.169076	-9.07669	-1724.98	-84.2028	-27.4568	-97.5037	0.00043649	-53.7195
27.1367	-0.207011	0.0252354	-0.911789	0.271603	1.01173	0.124517	26.8415	-0.136108	-9.06406	-1724.27	-83.1575	-26.5587	-96.8933	-2.12635e-005	-53.5643
27.1373	1.59694	-0.279956	0.911789	-0.0335648	-2.66244	-0.180668	78.7504	-0.136108	-9.06406	-1723.62	-83.1575	-25.9386	-96.4355	-2.12635e-005	-53.4092
27.1380	1.92224	0.0252354	1.82358	-0.0335648	-4.79239	-0.180668	116.867	-0.136108	-9.05816	-1723.62	-83.4711	-25.9386	-96.4355	0.000131333	-53.5643
27.1387	1.92224	0.0252354	2.13442	0.271603	-6.30999	0.124517	104.962	-0.136108	-9.04637	-1724.09	-83.9415	-26.2379	-96.8933	0.000131333	-53.7195
27.1393	2.5137	0.0252354	3.04621	0.271603	-5.69762	0.124517	76.2895	0.169076	-9.03963	-1725.16	-84.83	-26.8581	-97.8088	-2.12635e-005	-53.8746
27.1400	3.13473	0.0252354	3.04621	0.271603	-4.79239	0.124517	43.6103	0.169076	-9.03374	-1726.1	-85.4572	-27.3071	-98.5718	-2.12635e-005	-54.3178
27.1407	4.67253	0.0252354	3.97872	0.271603	-6.30999	0.124517	-25.0101	-0.136108	-9.02784	-1726.4	-85.3004	-27.3071	-98.4192	0.000131333	-54.473
27.1413	5.58929	0.0252354	5.18062	0.271603	-8.43994	0.124517	-78.1209	-0.136108	-9.02195	-1726.69	-85.614	-27.7776	-98.7244	-0.000173861	-54.473
27.1420	4.96826	0.0252354	4.26883	-0.0335648	-10.5965	-0.180668	-64.0992	-0.136108	-9.00932	-1726.99	-86.3458	-27.7776	-98.7244	-0.000173861	-54.473
27.1427	4.96826	0.0252354	4.57967	-0.338753	-12.407	-0.180668	-32.3358	-0.136108	-9.00342	-1726.4	-85.4572	-26.3876	-97.6563	0.000131333	-54.0076
27.1433	5.88502	0.0252354	6.11313	-0.0335648	-12.7265	-0.180668	-29.0163	-0.136108	-8.99753	-1724.56	-83.4711	-24.7197	-95.9778	-2.12635e-005	-53.8746
27.1440	5.26399	0.0252354	5.18062	-0.0335648	-12.1141	0.124517	-44.5833	-0.136108	-8.99079	-1723.62	-82.6871	-24.2706	-95.2148	-0.000173861	-53.8746
27.1447	2.839	0.330407	2.44525	0.271603	-11.2089	0.124517	-62.8973	0.169076	-8.98489	-1723.91	-83.0007	-24.57	-95.52	-2.12635e-005	-53.4092
27.1453	0.0887189	0.0252354	0.310837	0.271603	-9.98415	0.124517	-88.1936	0.169076	-8.979	-1725.45	-84.2028	-25.7889	-97.0459	-0.00032642	-53.5643
