"Time,s"	"LT MED. GASTRO,uV"	"RT MED. GASTRO,uV"	"LT LAT. GASTRO,uV"	"RT LAT. GASTRO,uV"	"LT SOLEUS,uV"	"RT SOLEUS,uV"	"LT TIB.ANT.,uV"	"RT TIB.ANT.,uV"	"2D GONIOMETER,deg"	"CN ANGLE,mV"	"CN TORQUE,mV"	"CN velocity,mV"	"CN DIRECTION,mV"	"Force Achilles machine,V"	"Trigger,mV"		
7.9287	-0.512241	0.0238048	0.331086	-0.0268558	4.57946	0.10051	-0.548995	-0.134892	1.31729	-11.9019	-11.2917	-12.665	-12.6646	-0.00659002	-54.0167		
7.9293	-0.210923	0.0238048	0.331086	-0.332031	7.94483	0.10051	-1.46399	-0.134892	1.31729	-11.7493	-11.5969	-13.2751	-12.9701	-0.00595484	-71.7271		
7.93	0.391714	0.0238048	0.625385	-0.0268558	11.9066	0.10051	-0.861169	0.170281	1.31729	-12.5121	-11.902	-13.4276	-12.512	-0.00547845	-59.049		
7.9307	0.693032	0.32897	0.938077	-0.0268558	13.4402	0.10051	-1.16258	0.170281	1.32339	-12.8172	-12.2072	-13.5805	-12.6646	-0.00579604	-64.5349		
7.9313	0.0903955	0.0238048	0.331086	-0.332031	11.9066	0.10051	-1.46399	-0.134892	1.32339	-12.8172	-12.2072	-13.2751	-12.512	-0.00595484	-64.3837		
7.932	-0.210923	-0.28138	-0.294299	-0.332031	9.77661	-0.204664	-0.548995	-0.134892	1.31729	-12.8172	-11.902	-12.3595	-12.0544	-0.00690761	-64.2325		
7.9327	-0.210923	0.0238048	0.0183937	-0.0268558	8.54122	0.10051	-0.548995	0.170281	1.32339	-12.5121	-11.5969	-12.3595	-12.512	-0.00762219	-64.3837		
7.9333	-0.512241	0.32897	-0.588597	-0.0268558	7.32713	0.10051	-0.548995	0.170281	1.31729	-12.3595	-12.0544	-13.2751	-12.8176	-0.00690761	-63.9302		
7.934	-0.843691	0.0238048	-1.19559	-0.0268558	3.98306	0.10051	-0.548995	-0.134892	1.31729	-12.8172	-12.2072	-13.2751	-12.3595	-0.00674882	-64.3837		
7.9347	-0.512241	-0.28138	-0.294299	-0.0268558	0.617694	0.10051	-0.861169	-0.134892	1.32339	-12.9702	-11.902	-12.97	-12.512	-0.0073046	-64.3837		
7.9353	-0.210923	0.0238048	0.0183937	-0.0268558	-1.83178	0.10051	-1.46399	-0.134892	1.32949	-12.8172	-11.902	-13.2751	-12.9701	-0.00690761	-64.0814		
7.936	-0.512241	-0.28138	-0.294299	-0.332031	-7.00764	-0.204664	-0.548995	-0.134892	1.32949	-12.9702	-11.902	-12.97	-12.6646	-0.00698701	-64.2325		
7.9367	0.391714	0.0238048	0.331086	-0.0268558	-14.633	0.10051	-0.548995	0.170281	1.32339	-12.6646	-11.7492	-12.97	-12.9701	-0.0074634	-63.779		
7.9373	0.99435	0.0238048	0.938077	-0.0268558	-18.2965	0.10051	-1.16258	0.170281	1.32339	-12.5121	-12.2072	-13.733	-13.2752	-0.00690761	-63.4766		
7.938	0.99435	0.0238048	1.23238	-0.0268558	-16.7842	0.10051	-1.16258	0.170281	1.32339	-13.1227	-12.2072	-13.2751	-12.6646	-0.00643122	-64.3837		
7.9387	0.391714	0.0238048	0.938077	-0.0268558	-12.503	0.10051	-0.548995	-0.134892	1.32949	-13.1227	-11.4441	-12.512	-12.512	-0.00698701	-64.5349		
7.9393	0.391714	0.0238048	0.938077	-0.0268558	-5.17585	-0.204664	-0.247586	-0.134892	1.32949	-12.5121	-11.4441	-13.1225	-12.8176	-0.00659002	-63.3254		
7.94	0.693032	0.0238048	0.625385	-0.0268558	0.617694	-0.204664	0.0538231	0.170281	1.32949	-12.5121	-11.902	-13.4276	-12.6646	-0.00579604	-63.3254		
7.9407	0.693032	0.0238048	0.0183937	-0.0268558	2.74767	-0.204664	0.0538231	0.170281	1.32339	-12.8172	-11.902	-13.1225	-12.512	-0.00627243	-64.0814		
7.9413	0.693032	0.0238048	0.331086	0.27832	3.36537	0.10051	0.0538231	0.170281	1.32339	-12.8172	-11.5969	-12.8175	-12.6646	-0.00643122	-64.0814		
7.942	-0.210923	0.32897	0.625385	0.27832	2.74767	0.405683	0.667406	0.475455	1.32339	-12.6646	-11.5969	-12.97	-12.8176	-0.00579604	-63.3254		
7.9427	-0.512241	0.32897	0.0183937	0.27832	1.83178	0.405683	0.667406	0.170281	1.32949	-12.207	-12.0544	-13.2751	-13.1227	-0.00563725	-62.8719		
7.9433	-0.210923	0.0238048	0.0183937	-0.0268558	2.74767	0.10051	0.667406	0.170281	1.32339	-12.207	-11.902	-13.2751	-12.9701	-0.00579604	-63.4766		
7.944	-0.843691	0.0238048	0.331086	-0.0268558	4.57946	0.10051	0.97958	-0.134892	1.32339	-12.5121	-11.7492	-12.97	-12.512	-0.00563725	-63.779		
