Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.055261	69.343	0.22506	71.05	0.24755
0.11052	69.174	0.22393	72.569	0.23591
0.16578	69.183	0.22285	72.581	0.23481
0.22104	69.443	0.22128	72.855	0.23316
0.2763	69.524	0.2201	72.938	0.23196
0.33156	69.704	0.21894	73.126	0.23074
0.38683	69.794	0.21903	73.22	0.23082
0.44209	69.779	0.21916	73.206	0.23095
0.49735	69.804	0.21847	73.235	0.23026
0.55261	69.887	0.21878	73.322	0.23058
0.60787	69.795	0.21924	73.228	0.23104
0.66313	69.772	0.21875	73.205	0.23053
0.71839	69.782	0.21804	73.219	0.22979
0.77365	69.867	0.21796	73.31	0.22968
0.82891	69.963	0.21733	73.411	0.22902
0.88417	69.982	0.2176	73.432	0.22929
0.93943	70.033	0.21842	73.486	0.2301
0.99469	70	0.21802	73.454	0.2297
1.05	69.913	0.21815	73.364	0.22985
1.1052	70.071	0.21788	73.53	0.22953
1.1605	70.112	0.21761	73.573	0.22924
1.2157	70.116	0.21726	73.578	0.22888
1.271	70.105	0.21749	73.566	0.22909
1.3263	70.133	0.21687	73.596	0.22844
1.3815	70.117	0.21613	73.58	0.22768
1.4368	70.062	0.21624	73.524	0.2278
1.492	70.114	0.21562	73.579	0.22715
1.5473	70.154	0.21518	73.621	0.22669
1.6026	70.267	0.21448	73.74	0.22595
1.6578	70.263	0.2144	73.735	0.22585
1.7131	70.42	0.21328	73.901	0.22469
1.7683	70.39	0.21358	73.867	0.22501
1.8236	70.358	0.21353	73.834	0.22495
1.8789	70.376	0.2131	73.855	0.22449
1.9341	70.356	0.21248	73.833	0.22387
1.9894	70.4	0.21213	73.88	0.22351
2.0447	70.344	0.21168	73.823	0.22308
2.0999	70.317	0.21196	73.796	0.22335
2.1552	70.315	0.21187	73.795	0.22325
2.2104	70.349	0.21218	73.833	0.22355
2.2657	70.366	0.21227	73.852	0.22361
2.321	70.381	0.21171	73.869	0.22304
2.3762	70.4	0.21151	73.89	0.22283
2.4315	70.375	0.21124	73.864	0.22254
2.4867	70.422	0.21079	73.913	0.22208
2.542	70.492	0.21176	73.988	0.22305
2.5973	70.431	0.21205	73.925	0.22334
2.6525	70.458	0.21167	73.953	0.22292
2.7078	70.514	0.21079	74.011	0.22201
2.763	70.538	0.21047	74.036	0.22166
2.8183	70.472	0.21035	73.967	0.22154
2.8736	70.551	0.21047	74.051	0.22164
2.9288	70.612	0.21035	74.115	0.22149
2.9841	70.624	0.21054	74.127	0.22166
3.0393	70.684	0.21041	74.191	0.22151
3.0946	70.69	0.21032	74.197	0.2214
3.1499	70.688	0.21019	74.195	0.22127
3.2051	70.772	0.21049	74.285	0.22154
3.2604	70.768	0.21036	74.28	0.22141
3.3156	70.823	0.20996	74.339	0.22098
3.3709	70.793	0.21031	74.308	0.22132
3.4262	70.855	0.20992	74.374	0.22091
3.4814	70.833	0.21031	74.351	0.2213
3.5367	70.899	0.20997	74.42	0.22095
3.592	70.905	0.2102	74.427	0.22117
3.6472	70.933	0.21042	74.458	0.22138
3.7025	70.951	0.2102	74.476	0.22115
3.7577	71.019	0.21025	74.549	0.22119
3.813	70.976	0.21034	74.506	0.22127
3.8683	70.971	0.21011	74.501	0.22102
3.9235	71.016	0.20974	74.549	0.22064
3.9788	71.056	0.20971	74.592	0.22061
4.034	71.099	0.20923	74.636	0.22012
4.0893	71.095	0.20931	74.631	0.2202
4.1446	71.038	0.20949	74.574	0.22039
4.1998	71.082	0.209	74.621	0.21988
4.2551	71.093	0.20914	74.634	0.22001
4.3103	71.116	0.2089	74.658	0.21976
4.3656	71.158	0.20956	74.707	0.22042
4.4209	71.078	0.20927	74.624	0.22012
4.4761	71.115	0.20819	74.663	0.21903
4.5314	71.175	0.20821	74.726	0.21903
4.5866	71.133	0.20806	74.682	0.21888
4.6419	71.177	0.20757	74.729	0.21838
4.6972	71.168	0.20782	74.719	0.21862
4.7524	71.266	0.20764	74.823	0.21843
4.8077	71.305	0.20772	74.865	0.2185
4.863	71.372	0.20743	74.936	0.2182
4.9182	71.32	0.20719	74.882	0.21797
4.9735	71.309	0.20769	74.872	0.21848
5.0287	71.273	0.20776	74.836	0.21854
5.084	71.382	0.20708	74.95	0.21783
5.1393	71.324	0.2075	74.89	0.21825
5.1945	71.354	0.20757	74.922	0.21829
5.2498	71.443	0.20578	75.013	0.21647
5.305	71.645	0.20562	75.225	0.21629
5.3603	71.546	0.20606	75.121	0.21674
5.4156	71.459	0.20692	75.033	0.21761
5.4708	71.294	0.20689	74.86	0.2176
5.5261	71.37	0.20694	74.941	0.21763
5.5813	71.385	0.20738	74.957	0.21807
5.6366	71.423	0.2078	75	0.21847
5.6919	71.39	0.20872	74.966	0.21941
5.7471	71.305	0.20933	74.879	0.22003
5.8024	71.299	0.2103	74.874	0.22099
5.8576	71.319	0.21038	74.897	0.22105
5.9129	71.461	0.20998	75.046	0.22063
5.9682	71.533	0.20927	75.121	0.21989
6.0234	71.741	0.20863	75.342	0.21921
6.0787	71.825	0.20816	75.43	0.21872
6.134	71.819	0.20879	75.424	0.21936
6.1892	71.868	0.20899	75.477	0.21955
6.2445	71.831	0.20899	75.437	0.21954
6.2997	71.843	0.20899	75.45	0.21953
6.355	71.818	0.20884	75.425	0.21937
6.4103	71.941	0.20892	75.555	0.21944
6.4655	71.828	0.20914	75.437	0.21968
6.5208	71.945	0.20913	75.562	0.21966
6.576	71.944	0.20926	75.561	0.21978
6.6313	71.989	0.20923	75.608	0.21974
6.6866	71.953	0.20903	75.571	0.21954
6.7418	72.004	0.21	75.626	0.2205
