Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.051935	60.748	0.22988
0.10387	60.759	0.22956
0.1558	60.778	0.22951
0.20774	60.806	0.22932
0.25967	60.864	0.22917
0.31161	60.885	0.22911
0.36354	60.873	0.22889
0.41548	60.919	0.22873
0.46741	60.958	0.22834
0.51935	61.003	0.22816
0.57128	61.006	0.2283
0.62321	61.085	0.22778
0.67515	61.126	0.22756
0.72708	61.226	0.22719
0.77902	61.191	0.22716
0.83095	61.225	0.22663
0.88289	61.315	0.22581
0.93482	61.296	0.22593
0.98676	61.337	0.22578
1.0387	61.377	0.22557
1.0906	61.42	0.22558
1.1426	61.451	0.22517
1.1945	61.5	0.22501
1.2464	61.564	0.22473
1.2984	61.599	0.22463
1.3503	61.634	0.22443
1.4022	61.697	0.22407
1.4542	61.74	0.22411
1.5061	61.812	0.22366
1.558	61.844	0.22357
1.61	61.876	0.22355
1.6619	61.906	0.2236
1.7138	61.887	0.22357
1.7658	61.901	0.22351
1.8177	61.96	0.2236
1.8696	62.011	0.22339
1.9216	62.032	0.22336
1.9735	62.043	0.22333
2.0254	62.121	0.22297
2.0774	62.124	0.22312
2.1293	62.167	0.22279
2.1813	62.239	0.22235
2.2332	62.301	0.22207
2.2851	62.314	0.22216
2.3371	62.388	0.22194
2.389	62.432	0.2219
2.4409	62.423	0.222
2.4929	62.459	0.22145
2.5448	62.494	0.22138
2.5967	62.527	0.22124
2.6487	62.571	0.22107
2.7006	62.613	0.22117
2.7525	62.609	0.22091
2.8045	62.639	0.22067
2.8564	62.636	0.22052
2.9083	62.679	0.2203
2.9603	62.697	0.22018
3.0122	62.695	0.22003
3.0641	62.755	0.21997
3.1161	62.771	0.22028
3.168	62.842	0.22015
3.2199	62.851	0.22012
3.2719	62.885	0.22009
3.3238	62.929	0.21976
3.3757	62.94	0.21959
3.4277	62.981	0.21933
3.4796	62.998	0.21923
3.5316	63.034	0.21906
3.5835	63.06	0.21892
3.6354	63.088	0.21878
3.6874	63.098	0.21857
3.7393	63.126	0.21816
3.7912	63.2	0.2178
3.8432	63.205	0.21775
3.8951	63.236	0.21756
3.947	63.25	0.21758
3.999	63.272	0.21754
4.0509	63.309	0.2173
4.1028	63.381	0.21716
4.1548	63.376	0.21731
4.2067	63.387	0.21723
4.2586	63.451	0.21729
