GMfas1			EXT		
t	x	y	t	x	y
0	23.13617034	8.933132437	0	20.05134763	29.88422002
0.055260831	23.21527416	8.937911507	0.055260831	20.05091263	29.88396223
0.110521662	23.30007088	8.943505377	0.110521662	20.05088384	29.88414867
0.165782493	23.34546781	8.942077118	0.165782493	20.04977632	29.88431888
0.221043324	23.42677042	8.947746176	0.221043324	20.05048501	29.8841655
0.276304156	23.50373735	8.953420513	0.276304156	20.04980673	29.88431204
0.331564987	23.59558991	8.962986479	0.331564987	20.05036777	29.88423182
0.386825818	23.65643428	8.964381272	0.386825818	20.04946483	29.88417105
0.442086649	23.72233632	8.957464851	0.442086649	20.04736759	29.88415824
0.49734748	23.79923297	8.959720337	0.49734748	20.04862136	29.8840793
0.552608311	23.84461796	8.955655554	0.552608311	20.04737675	29.88411759
0.607869142	23.88539879	8.956704558	0.607869142	20.04480218	29.88417535
0.663129973	23.93739855	8.959828497	0.663129973	20.04416347	29.88420459
0.718390805	23.9749085	8.959715407	0.718390805	20.04354706	29.88415063
0.773651636	24.03915722	8.966954184	0.773651636	20.0453056	29.88412397
0.828912467	24.10201156	8.976381991	0.828912467	20.04512321	29.88415222
0.884173298	24.15555913	8.97576898	0.884173298	20.04457087	29.88422032
0.939434129	24.19566947	8.97394242	0.939434129	20.04420399	29.88412143
0.99469496	24.29651672	8.98130313	0.99469496	20.04546629	29.8840152
1.049955791	24.35495069	8.982953735	1.049955791	20.04580973	29.88412382
1.105216622	24.41876015	8.978298134	1.105216622	20.04694746	29.8840758
1.160477454	24.53934527	8.96537036	1.160477454	20.0459141	29.88420045
1.215738285	24.59079275	8.96480944	1.215738285	20.04782771	29.88415092
1.270999116	24.62224844	8.965508546	1.270999116	20.047499	29.8842048
1.326259947	24.70869382	8.959975125	1.326259947	20.04759664	29.88418293
1.381520778	24.74854234	8.967156403	1.381520778	20.04871555	29.88437083
1.436781609	24.80894108	8.955796859	1.436781609	20.04892586	29.88418495
1.49204244	24.86627559	8.959459566	1.49204244	20.04837719	29.88438472
1.547303271	24.91811779	8.95967058	1.547303271	20.04926673	29.88417809
1.602564103	24.92443895	8.956702383	1.602564103	20.04756535	29.88432323
1.657824934	24.92701394	8.955996988	1.657824934	20.04724648	29.88429815
1.713085765	24.97073957	8.961332267	1.713085765	20.04556516	29.8843902
1.768346596	25.05459951	8.951198754	1.768346596	20.04777413	29.8841732
1.823607427	25.09057787	8.946259704	1.823607427	20.04707393	29.88427687
1.878868258	25.19169973	8.948471895	1.878868258	20.04887728	29.88417292
1.934129089	25.24309108	8.953085646	1.934129089	20.04802365	29.88430492
1.98938992	25.28712073	8.96791002	1.98938992	20.04801775	29.88415085
2.044650752	25.31616909	8.969296095	2.044650752	20.0463825	29.88426258
2.099911583	25.36169244	8.960122286	2.099911583	20.04724655	29.88432685
2.155172414	25.374922	8.954685543	2.155172414	20.04223339	29.88420256
2.210433245	25.42980307	8.95807477	2.210433245	20.04366529	29.88427094
2.265694076	25.4981882	8.952258731	2.265694076	20.04270487	29.88443353
2.320954907	25.5041681	8.95543168	2.320954907	20.04323955	29.88432604
2.376215738	25.563084	8.95145006	2.376215738	20.04504643	29.8844163
2.431476569	25.60186926	8.950441415	2.431476569	20.04596397	29.88448461
2.486737401	25.68147355	8.953283706	2.486737401	20.0461253	29.88425493
2.541998232	25.72599308	8.954514235	2.541998232	20.04632037	29.88420087
2.597259063	25.80671458	8.957459658	2.597259063	20.04630851	29.88406596
2.652519894	25.86469464	8.976681415	2.652519894	20.04688575	29.88406132
2.707780725	25.92667864	8.972431777	2.707780725	20.04691375	29.8842692
