SOLend			SOLext		
t	x	y	t	x	y
0	4.423357568	8.452554561	0	-11.6934304	14.14598509
0.059612519	4.445696629	8.454786664	0.059612519	-11.69907241	14.14527221
0.119225037	4.563552879	8.468715486	0.119225037	-11.80456244	14.14609063
0.178837556	4.6244961	8.482693944	0.178837556	-11.8684265	14.14755147
0.238450075	4.786739004	8.50014068	0.238450075	-11.97302746	14.14877164
0.298062593	4.865681988	8.524837025	0.298062593	-12.0847046	14.14753743
0.357675112	4.963756018	8.534387778	0.357675112	-12.15323545	14.14528374
0.41728763	5.039840256	8.540781803	0.41728763	-12.23509212	14.14565295
0.476900149	5.062670356	8.551966291	0.476900149	-12.34061741	14.14586347
0.536512668	5.222194189	8.576180685	0.536512668	-12.51185166	14.14663726
0.596125186	5.388039038	8.603914695	0.596125186	-12.68528282	14.14685665
0.655737705	5.529022404	8.63606534	0.655737705	-12.93088454	14.1470846
0.715350224	5.654588517	8.651946614	0.715350224	-13.16080009	14.14704439
0.774962742	5.562049578	8.674268944	0.774962742	-13.28132361	14.14608735
0.834575261	5.566637599	8.681465294	0.834575261	-13.32596802	14.14629301
0.894187779	5.547925252	8.684288591	0.894187779	-13.35442895	14.14703875
0.953800298	5.556643695	8.687609796	0.953800298	-13.35423544	14.14698047
1.013412817	5.474475985	8.689111975	1.013412817	-13.34291074	14.14661049
1.073025335	5.327527939	8.683447285	1.073025335	-13.33355454	14.1466948
1.132637854	5.298208855	8.686637562	1.132637854	-13.33600652	14.14585495
1.192250373	5.160115181	8.686322014	1.192250373	-13.3382732	14.14540529
1.251862891	4.964330962	8.684959391	1.251862891	-13.33954731	14.14515518
1.31147541	4.811105821	8.686123953	1.31147541	-13.34174619	14.14493439
1.371087928	4.711507812	8.688418937	1.371087928	-13.34228236	14.14454898
1.430700447	4.586154635	8.681785056	1.430700447	-13.34243529	14.14466544
1.490312966	4.518892428	8.681715808	1.490312966	-13.34135512	14.1449794
1.549925484	4.446799722	8.682358425	1.549925484	-13.33933514	14.14497864
1.609538003	4.383381637	8.681993985	1.609538003	-13.33907213	14.14504422
1.669150522	4.259300069	8.678992303	1.669150522	-13.33868422	14.14546393
1.72876304	4.152156595	8.674859179	1.72876304	-13.3388607	14.14544704
1.788375559	4.048964528	8.673759557	1.788375559	-13.34051703	14.14540486
1.847988077	4.060502855	8.674478031	1.847988077	-13.33846809	14.1452421
1.907600596	4.038023573	8.674661966	1.907600596	-13.33971055	14.14518337
1.967213115	3.972326996	8.673452451	1.967213115	-13.34227047	14.14507278
2.026825633	3.800003714	8.670400841	2.026825633	-13.34150038	14.14516057
2.086438152	3.701139589	8.669219054	2.086438152	-13.34123787	14.14525586
2.146050671	3.622211318	8.669808391	2.146050671	-13.34202057	14.14538363
2.205663189	3.470280312	8.669097332	2.205663189	-13.34199197	14.14524618
2.265275708	3.307520914	8.666890393	2.265275708	-13.34272431	14.14546602
2.324888227	3.173968435	8.665476158	2.324888227	-13.34188893	14.14540587
2.384500745	3.022524343	8.662012968	2.384500745	-13.34277067	14.14544053
2.444113264	2.964441119	8.661564371	2.444113264	-13.3405525	14.14526898
2.503725782	2.976832336	8.6679546	2.503725782	-13.34083746	14.14538271
2.563338301	2.875610522	8.6697656	2.563338301	-13.34122294	14.14544269
2.62295082	2.799908876	8.670076515	2.62295082	-13.34219147	14.14534458
2.682563338	2.728136372	8.667715418	2.682563338	-13.34162558	14.14546613
2.742175857	2.636464049	8.665634085	2.742175857	-13.33990059	14.14540972
2.801788376	2.491197297	8.661223353	2.801788376	-13.34009146	14.14549363
2.861400894	2.458849117	8.662559703	2.861400894	-13.33983928	14.14549231
2.921013413	2.342566358	8.662077783	2.921013413	-13.33922491	14.1454688
2.980625931	2.294118918	8.666898567	2.980625931	-13.33955075	14.14551204
3.04023845	2.241108327	8.668141473	3.04023845	-13.34073777	14.14538097
3.099850969	2.09717535	8.668406854	3.099850969	-13.34083531	14.14546236
3.159463487	2.022782714	8.66926076	3.159463487	-13.34054399	14.1453165
3.219076006	1.89186642	8.667595004	3.219076006	-13.34085054	14.14538413
3.278688525	1.714178476	8.665698319	3.278688525	-13.34214291	14.14537672
3.338301043	1.723085955	8.669533793	3.338301043	-13.34187997	14.145405
3.397913562	1.654995565	8.670474341	3.397913562	-13.3423874	14.14546936
3.45752608	1.558336202	8.67102704	3.45752608	-13.34163254	14.14526676
3.517138599	1.440671674	8.6680331	3.517138599	-13.34130753	14.1453495
3.576751118	1.334931103	8.66706912	3.576751118	-13.34129987	14.14531607
3.636363636	1.32507223	8.667443279	3.636363636	-13.34271171	14.14535993
3.695976155	1.303429451	8.667829824	3.695976155	-13.34091106	14.14538377
3.755588674	1.24243151	8.671791586	3.755588674	-13.34218385	14.14540367
3.815201192	1.204989337	8.673449786	3.815201192	-13.34372536	14.14538284
3.874813711	1.175901543	8.674426388	3.874813711	-13.34277843	14.14557963
3.93442623	1.166678731	8.675994966	3.93442623	-13.34234576	14.14567146
3.994038748	1.108004226	8.674412971	3.994038748	-13.34401867	14.14557282
4.053651267	1.131623794	8.674754183	4.053651267	-13.34304734	14.1456253
4.113263785	1.128562541	8.675572789	4.113263785	-13.3428663	14.14566864
4.172876304	1.140867203	8.675595258	4.172876304	-13.3424296	14.14538441
4.232488823	1.131087816	8.675918182	4.232488823	-13.3436791	14.14551416
4.292101341	1.123054837	8.676005594	4.292101341	-13.34354939	14.14562731
4.35171386	1.130441572	8.676418137	4.35171386	-13.34339477	14.14556903
4.411326379	1.12093453	8.676991295	4.411326379	-13.34312486	14.1455788
4.470938897	1.134947178	8.677771413	4.470938897	-13.34194873	14.14571185
4.530551416	1.12638234	8.678815863	4.530551416	-13.34271946	14.14560283
4.590163934	1.139545083	8.679439867	4.590163934	-13.34255312	14.14550189
4.649776453	1.13077355	8.681626742	4.649776453	-13.34230484	14.14545671
4.709388972	1.114040235	8.681330618	4.709388972	-13.34298839	14.14547195
4.76900149	1.068356741	8.680818504	4.76900149	-13.34345721	14.14577886
4.828614009	1.04459771	8.680883032	4.828614009	-13.34526445	14.14564217
4.888226528	1.098609781	8.68116774	4.888226528	-13.34531972	14.14556088
4.947839046	1.173196033	8.682034037	4.947839046	-13.34427839	14.14567767
5.007451565	1.215222612	8.676586339	5.007451565	-13.34437089	14.14571058
5.067064083	1.232736064	8.667828667	5.067064083	-13.34662554	14.14579148
5.126676602	1.220368075	8.666088364	5.126676602	-13.34844075	14.14590008
5.186289121	1.264752375	8.6683913	5.186289121	-13.34918549	14.14587466
5.245901639	1.272743264	8.671685294	5.245901639	-13.34961809	14.14562158
5.305514158	1.346164124	8.675438276	5.305514158	-13.34935543	14.14545398
5.365126677	1.467061892	8.679280282	5.365126677	-13.3482001	14.14568549
5.424739195	1.62221723	8.685275252	5.424739195	-13.34815458	14.14546332
5.484351714	1.745903992	8.685559754	5.484351714	-13.34712639	14.14576014
5.543964232	1.815172973	8.685284287	5.543964232	-13.34671768	14.14561556
5.603576751	1.901383914	8.68510349	5.603576751	-13.34711584	14.14573455
5.66318927	1.994411308	8.686101351	5.66318927	-13.34586491	14.14553978
5.722801788	2.134906751	8.68805819	5.722801788	-13.34601972	14.14550474
5.782414307	2.147679321	8.685855571	5.782414307	-13.34571121	14.14551218
5.842026826	2.202293617	8.684012156	5.842026826	-13.34508368	14.14572637
5.901639344	2.295012986	8.680851153	5.901639344	-13.3444042	14.14611642
5.961251863	2.355552353	8.684862369	5.961251863	-13.34486102	14.14590132
6.020864382	2.426738706	8.686801463	6.020864382	-13.3454429	14.1459742
6.0804769	2.494011249	8.691415714	6.0804769	-13.34747883	14.14580259
6.140089419	2.573351351	8.698970159	6.140089419	-13.34681307	14.14594329
6.199701937	2.670004844	8.696236273	6.199701937	-13.34670284	14.1458671
6.259314456	2.734340548	8.69340052	6.259314456	-13.34899037	14.14578123
6.318926975	2.765790264	8.689389532	6.318926975	-13.35366702	14.14564864
6.378539493	2.84008135	8.689902584	6.378539493	-13.35756988	14.14582815
6.438152012	2.89171893	8.690727262	6.438152012	-13.37225757	14.14596608
6.497764531	2.965429445	8.688092297	6.497764531	-13.41206874	14.14705464
6.557377049	3.002314778	8.687493071	6.557377049	-13.46242392	14.14759595
6.616989568	3.036973453	8.689749275	6.616989568	-13.49960347	14.14793721
6.676602086	3.170158996	8.691066624	6.676602086	-13.51179546	14.14759283
6.736214605	3.185729227	8.694275885	6.736214605	-13.565302	14.14625101
6.795827124	3.265155877	8.698260033	6.795827124	-13.62159098	14.14573253
6.855439642	3.310659564	8.703052525	6.855439642	-13.67526023	14.14668271
6.915052161	3.353583768	8.705362912	6.915052161	-13.7351345	14.14605759
6.97466468	3.333533383	8.695981662	6.97466468	-13.808091	14.14566261
7.034277198	3.314344795	8.691993684	7.034277198	-13.88002294	14.14616174
7.093889717	3.340905762	8.693223184	7.093889717	-13.94425801	14.14493421
7.153502235	3.47873957	8.703128911	7.153502235	-13.98752315	14.14456593
7.213114754	3.614979125	8.703800619	7.213114754	-14.04511108	14.14514014
7.272727273	3.625826534	8.698783025	7.272727273	-14.10157754	14.14549223
7.332339791	3.595075564	8.695857268	7.332339791	-14.18867238	14.14491011
7.39195231	3.613734202	8.695025316	7.39195231	-14.23793052	14.14647869
7.451564829	3.699334112	8.700553287	7.451564829	-14.30166983	14.1458066
7.511177347	3.731570488	8.702066157	7.511177347	-14.34255312	14.14519424
7.570789866	3.7160327	8.695448327	7.570789866	-14.35868706	14.14482559
7.630402385	3.744318162	8.684847239	7.630402385	-14.38470194	14.14569638
7.690014903	3.763609299	8.679040187	7.690014903	-14.39478559	14.14583443
7.749627422	3.805742207	8.678811476	7.749627422	-14.3964944	14.14599182
7.80923994	3.847304714	8.677144304	7.80923994	-14.39810563	14.14586963
7.868852459	3.861737993	8.679453863	7.868852459	-14.39792432	14.14585537
7.928464978	3.911283013	8.68071952	7.928464978	-14.39809507	14.14596063
7.988077496	3.927828792	8.681397804	7.988077496	-14.39573967	14.14587122
8.047690015	3.99637636	8.685723823	8.047690015	-14.39635451	14.14585776
8.107302534	4.073920898	8.690548663	8.107302534	-14.39445055	14.1459003
8.166915052	4.140340071	8.689333486	8.166915052	-14.39588187	14.14599846
8.226527571	4.127529907	8.685506003	8.226527571	-14.39554348	14.14587976
8.286140089	4.13294341	8.683367437	8.286140089	-14.39572989	14.14584458
8.345752608	4.123209721	8.681769501	8.345752608	-14.39486424	14.14587788
8.405365127	4.12870515	8.681092141	8.405365127	-14.39487688	14.14586381
8.464977645	4.122076576	8.679846731	8.464977645	-14.39455473	14.14577994
8.524590164	4.103389613	8.680652607	8.524590164	-14.39473198	14.1457898
8.584202683	4.072978251	8.678044061	8.584202683	-14.39428567	14.14584515
8.643815201	4.060626942	8.67771218	8.643815201	-14.39535444	14.14580075
8.70342772	4.033737796	8.67542717	8.70342772	-14.39512661	14.1458196
