mass_C			mass_B		
t	x	y	t	x	y
0	21.83285121	0	0	33.70706413	0
0.023021318	23.90217359	0	0.023021318	36.90190292	0
0.046042635	23.90247527	0	0.046042635	36.90181351	0
0.069063953	23.90256205	0	0.069063953	36.90219147	0
0.092085271	23.90260088	0	0.092085271	36.90195774	0
0.115106589	23.90197058	0	0.115106589	36.90225531	0
0.138127906	23.90271339	0	0.138127906	36.90235243	0
0.161149224	21.635854	0	0.161149224	33.40301144	0
0.184170542	23.90215228	0	0.184170542	36.90172179	0
0.20719186	23.9022237	0	0.20719186	36.90210826	0
0.230213177	23.90198337	0	0.230213177	36.90197717	0
0.253234495	23.90240314	0	0.253234495	36.90182442	0
0.276255813	23.901679	0	0.276255813	36.9016392	0
0.299277131	23.90212931	0	0.299277131	36.90158207	0
0.322298448	23.90254973	0	0.322298448	36.90184739	0
0.345319766	23.90209261	0	0.345319766	36.9022559	0
0.368341084	23.90242485	0	0.368341084	36.90162325	0
0.391362402	23.90203928	0	0.391362402	36.90193196	0
0.414383719	23.90244119	0	0.414383719	36.90210004	0
0.437405037	23.90254659	0	0.437405037	36.90177226	0
0.460426355	23.90196617	0	0.460426355	36.90236404	0
0.483447673	23.90290718	0	0.483447673	36.90224189	0
0.50646899	23.90273533	0	0.50646899	36.90236232	0
0.529490308	23.90227674	0	0.529490308	36.90273714	0
0.552511626	23.90239302	0	0.552511626	36.90263802	0
0.575532944	23.903136	0	0.575532944	36.90254044	0
0.598554261	23.90279884	0	0.598554261	36.90279029	0
0.621575579	23.90323464	0	0.621575579	36.90207017	0
0.644596897	23.90390027	0	0.644596897	36.90302021	0
0.667618215	23.9045439	0	0.667618215	36.90265806	0
0.690639532	23.9045789	0	0.690639532	36.90257883	0
0.71366085	23.90382015	0	0.71366085	36.90237532	0
0.736682168	23.90404249	0	0.736682168	36.90229864	0
0.759703485	23.90430025	0	0.759703485	36.90237081	0
0.782724803	23.90368151	0	0.782724803	36.90239075	0
0.805746121	23.90426207	0	0.805746121	36.90176663	0
0.828767439	23.90392425	0	0.828767439	36.90283199	0
0.851788756	23.90433466	0	0.851788756	36.90248183	0
0.874810074	23.9035704	0	0.874810074	36.90231608	0
0.897831392	23.90436707	0	0.897831392	36.90246123	0
0.92085271	23.90376214	0	0.92085271	36.90232855	0
0.943874027	23.90309284	0	0.943874027	36.90258507	0
0.966895345	23.90394362	0	0.966895345	36.90271222	0
0.989916663	23.90374895	0	0.989916663	36.90256457	0
1.012937981	23.90275118	0	1.012937981	36.90185587	0
1.035959298	23.90291061	0	1.035959298	36.90176207	0
1.058980616	23.90364014	0	1.058980616	36.90228496	0
1.082001934	23.90240031	0	1.082001934	36.90167842	0
1.105023252	23.90221271	0	1.105023252	36.90199767	0
1.128044569	23.90245074	0	1.128044569	36.90211664	0
1.151065887	23.9015832	0	1.151065887	36.90187003	0
1.174087205	23.89557459	0	1.174087205	36.90208276	0
1.197108522	23.88615749	0	1.197108522	36.90250391	0
1.22012984	23.86434726	0	1.22012984	36.90256776	0
1.243151158	23.85359273	0	1.243151158	36.90177963	0
1.266172476	23.8244821	0	1.266172476	36.90170261	0
1.289193793	23.81504007	0	1.289193793	36.90085782	0
1.312215111	23.80256868	0	1.312215111	36.89880831	0
1.335236429	23.77753964	0	1.335236429	36.8952812	0
1.358257747	23.68125511	0	1.358257747	36.8854799	0
1.381279064	23.59946989	0	1.381279064	36.86694299	0
1.404300382	23.46855782	0	1.404300382	36.81697846	0
1.4273217	23.2393981	0	1.4273217	36.78551866	0
1.450343018	23.0830786	0	1.450343018	36.75157291	0
1.473364335	22.81674763	0	1.473364335	36.71269369	0
1.496385653	22.75849426	0	1.496385653	36.7084518	0
1.519406971	22.64877394	0	1.519406971	36.68970479	0
1.542428289	22.55159937	0	1.542428289	36.68506579	0
1.565449606	22.38134617	0	1.565449606	36.70467133	0
1.588470924	22.33980441	0	1.588470924	36.69809482	0
1.611492242	22.29158649	0	1.611492242	36.87935968	0
1.63451356	22.22543227	0	1.63451356	36.88083568	0
1.657534877	22.0809104	0	1.657534877	36.87553538	0
1.680556195	22.01304643	0	1.680556195	36.88739442	0
1.703577513	21.92223813	0	1.703577513	36.88462077	0
1.726598831	21.79891541	0	1.726598831	36.8755533	0
1.749620148	21.74550363	0	1.749620148	36.87376739	0
1.772641466	21.68664079	0	1.772641466	36.86852138	0
1.795662784	21.6466107	0	1.795662784	36.86916747	0
1.818684101	21.55908952	0	1.818684101	36.86910501	0
1.841705419	21.44833235	0	1.841705419	36.86897807	0
