mass_B			mass_A		
t	x	y	t	x	y
0	39.61333655	0	0	45.77789223	0
0.018709424	39.61338061	0	0.018709424	45.77764249	0
0.037418848	39.61310153	0	0.037418848	45.77795935	0
0.056128272	39.61325425	0	0.056128272	45.77695592	0
0.074837696	39.61289834	0	0.074837696	45.77787214	0
0.09354712	39.61212232	0	0.09354712	45.77831599	0
0.112256544	39.61260743	0	0.112256544	45.77847221	0
0.130965968	39.61283186	0	0.130965968	45.77726461	0
0.149675392	39.61279933	0	0.149675392	45.7783195	0
0.168384815	39.61306769	0	0.168384815	45.77878446	0
0.187094239	39.61319938	0	0.187094239	45.77763135	0
0.205803663	39.61341878	0	0.205803663	45.77783434	0
0.224513087	39.61324145	0	0.224513087	45.77889963	0
0.243222511	39.61300084	0	0.243222511	45.77818582	0
0.261931935	39.61251783	0	0.261931935	45.77858342	0
0.280641359	39.61220855	0	0.280641359	45.7787927	0
0.299350783	39.61247534	0	0.299350783	45.77811892	0
0.318060207	39.61228248	0	0.318060207	45.77832898	0
0.336769631	39.61238959	0	0.336769631	45.77818378	0
0.355479055	39.61265114	0	0.355479055	45.7788701	0
0.374188479	39.61204772	0	0.374188479	45.77827769	0
0.392897903	39.611666	0	0.392897903	45.77814763	0
0.411607327	39.61222179	0	0.411607327	45.77820401	0
0.430316751	39.61187492	0	0.430316751	45.77852659	0
0.449026175	39.61098784	0	0.449026175	45.78007016	0
0.467735598	39.6090993	0	0.467735598	45.78000304	0
0.486445022	39.60752782	0	0.486445022	45.77935661	0
0.505154446	39.60413834	0	0.505154446	45.77882113	0
0.52386387	39.60059382	0	0.52386387	45.77972255	0
0.542573294	39.59846593	0	0.542573294	45.77842758	0
0.561282718	39.60112587	0	0.561282718	45.77863357	0
0.579992142	39.59949193	0	0.579992142	45.77850439	0
0.598701566	39.60086413	0	0.598701566	45.77892465	0
0.61741099	39.59705116	0	0.61741099	45.77933944	0
0.636120414	39.59526945	0	0.636120414	45.7797146	0
0.654829838	39.59482462	0	0.654829838	45.77697684	0
0.673539262	39.59269846	0	0.673539262	45.77770299	0
0.692248686	39.59082415	0	0.692248686	45.77694114	0
0.71095811	39.59390086	0	0.71095811	45.77692809	0
0.729667534	39.58624281	0	0.729667534	45.77599805	0
0.748376958	39.57522073	0	0.748376958	45.77691045	0
0.767086381	39.5156952	0	0.767086381	45.77466238	0
0.785795805	39.50444492	0	0.785795805	45.77502187	0
0.804505229	39.46822537	0	0.804505229	45.77063729	0
0.823214653	39.40726925	0	0.823214653	45.76299485	0
0.841924077	39.37164145	0	0.841924077	45.75993496	0
0.860633501	39.32477347	0	0.860633501	45.77923532	0
0.879342925	39.30064742	0	0.879342925	45.77821831	0
0.898052349	39.2501473	0	0.898052349	45.77841688	0
0.916761773	39.18691127	0	0.916761773	45.77967518	0
0.935471197	39.10964343	0	0.935471197	45.7676232	0
0.954180621	39.06200244	0	0.954180621	45.75955431	0
0.972890045	38.98098942	0	0.972890045	45.78414024	0
0.991599469	38.94409635	0	0.991599469	45.77820433	0
1.010308893	38.89302249	0	1.010308893	45.77465475	0
1.029018317	38.88174753	0	1.029018317	45.77863667	0
1.04772774	38.81964282	0	1.04772774	45.7781543	0
1.066437164	38.78492733	0	1.066437164	45.77840853	0
1.085146588	38.72692945	0	1.085146588	45.77874523	0
1.103856012	38.66449289	0	1.103856012	45.78002134	0
1.122565436	38.59897566	0	1.122565436	45.77911223	0
1.14127486	38.57721226	0	1.14127486	45.77744509	0
1.159984284	38.49640556	0	1.159984284	45.77654743	0
1.178693708	38.40547428	0	1.178693708	45.77196885	0
1.197403132	38.37080931	0	1.197403132	45.77111507	0
1.216112556	38.30393455	0	1.216112556	45.76925787	0
1.23482198	38.24203113	0	1.23482198	45.76793025	0
