Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2
0.055261	55.28	0.36662	52.245	0.38465
0.11052	55.324	0.36583	52.287	0.38382
0.16578	55.378	0.36552	52.338	0.38352
0.22104	55.347	0.36624	52.311	0.38424
0.2763	55.403	0.36567	52.364	0.38363
0.33156	55.491	0.36469	52.448	0.38263
0.38683	55.515	0.36531	52.473	0.38326
0.44209	55.57	0.36575	52.53	0.38366
0.49735	55.633	0.36535	52.59	0.38323
0.55261	55.676	0.36583	52.632	0.38369
0.60787	55.741	0.36483	52.695	0.38264
0.66313	55.795	0.36453	52.746	0.38232
0.71839	55.79	0.36416	52.744	0.38193
0.77365	55.932	0.36328	52.879	0.381
0.82891	55.959	0.36328	52.907	0.38097
0.88417	56.026	0.36266	52.971	0.38032
0.93943	56.085	0.36158	53.026	0.37922
0.99469	56.108	0.3616	53.05	0.37923
1.05	56.102	0.36265	53.046	0.38031
1.1052	56.132	0.3623	53.076	0.37993
1.1605	56.244	0.36207	53.183	0.37964
1.2157	56.32	0.3624	53.256	0.37995
1.271	56.324	0.3628	53.262	0.38035
1.3263	56.377	0.3621	53.313	0.37966
1.3815	56.438	0.36389	53.373	0.38143
1.4368	56.429	0.36297	53.365	0.38049
1.492	56.438	0.36304	53.374	0.38056
1.5473	56.486	0.36293	53.421	0.38042
1.6026	56.572	0.36295	53.504	0.38043
1.6578	56.61	0.36341	53.542	0.38087
1.7131	56.7	0.36333	53.629	0.38075
1.7683	56.734	0.36269	53.66	0.38008
1.8236	56.718	0.36251	53.646	0.37989
1.8789	56.777	0.36215	53.703	0.37952
1.9341	56.808	0.36319	53.734	0.38054
1.9894	56.772	0.36252	53.7	0.37986
2.0447	56.793	0.3616	53.72	0.37892
2.0999	56.823	0.36133	53.75	0.37863
2.1552	56.885	0.36174	53.811	0.37904
2.2104	56.946	0.36254	53.871	0.37982
2.2657	56.997	0.36228	53.921	0.37953
2.321	56.998	0.36176	53.921	0.37901
2.3762	57.029	0.36221	53.952	0.37944
2.4315	57.062	0.36129	53.984	0.37851
2.4867	57.093	0.36262	54.016	0.37982
2.542	57.137	0.36209	54.059	0.37926
2.5973	57.186	0.36094	54.104	0.37809
2.6525	57.196	0.36148	54.115	0.37861
2.7078	57.231	0.36101	54.15	0.37812
2.763	57.269	0.36088	54.188	0.37797
2.8183	57.307	0.36055	54.224	0.37762
2.8736	57.339	0.36043	54.255	0.37748
2.9288	57.354	0.36052	54.271	0.37756
2.9841	57.39	0.36076	54.307	0.37778
3.0393	57.401	0.36019	54.318	0.3772
3.0946	57.435	0.36012	54.352	0.37709
3.1499	57.48	0.35932	54.394	0.37627
3.2051	57.476	0.3593	54.392	0.37623
3.2604	57.543	0.35842	54.457	0.37532
3.3156	57.572	0.35822	54.486	0.3751
3.3709	57.609	0.35745	54.521	0.37431
3.4262	57.664	0.35714	54.575	0.37395
3.4814	57.704	0.35552	54.614	0.37231
3.5367	57.803	0.3556	54.709	0.37235
3.592	57.811	0.35489	54.718	0.37163
3.6472	57.863	0.35511	54.77	0.37181
3.7025	57.882	0.35483	54.789	0.37153
3.7577	57.929	0.3546	54.834	0.37129
3.813	57.947	0.35539	54.853	0.37209
3.8683	57.963	0.35585	54.869	0.37254
3.9235	58.018	0.35559	54.922	0.37225
3.9788	58.042	0.35467	54.945	0.3713
4.034	57.998	0.35412	54.903	0.37077
4.0893	58.053	0.35395	54.958	0.37055
4.1446	58.043	0.35344	54.948	0.37004
4.1998	58.09	0.35396	54.995	0.37054
4.2551	58.073	0.35295	54.978	0.36952
4.3103	58.123	0.35363	55.028	0.37018
4.3656	58.141	0.35296	55.046	0.36947
4.4209	58.2	0.35219	55.102	0.36867
4.4761	58.195	0.35142	55.098	0.36788
4.5314	58.247	0.35114	55.148	0.36757
4.5866	58.285	0.35096	55.185	0.36738
4.6419	58.32	0.35058	55.22	0.36698
4.6972	58.363	0.35097	55.263	0.36735
4.7524	58.43	0.35099	55.328	0.36735
4.8077	58.424	0.35098	55.323	0.36731
4.863	58.45	0.3502	55.349	0.36651
4.9182	58.476	0.34985	55.375	0.36615
4.9735	58.451	0.34985	55.351	0.36613
5.0287	58.501	0.34969	55.4	0.36596
5.084	58.498	0.34978	55.398	0.36604
5.1393	58.527	0.34964	55.424	0.36589
5.1945	58.53	0.34886	55.425	0.36512
5.2498	58.357	0.34866	55.26	0.36494
5.305	58.377	0.34689	55.275	0.36314
5.3603	58.318	0.34701	55.219	0.36328
5.4156	58.302	0.34737	55.203	0.36362
5.4708	58.378	0.34772	55.274	0.36396
5.5261	58.361	0.34825	55.26	0.36447
5.5813	58.391	0.34756	55.288	0.36375
5.6366	58.431	0.34709	55.327	0.36327
5.6919	58.423	0.34729	55.319	0.36345
5.7471	58.441	0.34707	55.338	0.36322
5.8024	58.483	0.34723	55.378	0.36336
5.8576	58.466	0.34743	55.363	0.36356
5.9129	58.543	0.34685	55.437	0.36294
5.9682	58.537	0.34689	55.433	0.36298
6.0234	58.58	0.34627	55.473	0.36234
6.0787	58.547	0.34672	55.442	0.3628
6.134	58.537	0.34626	55.433	0.36234
6.1892	58.559	0.34666	55.454	0.36272
6.2445	58.571	0.3455	55.465	0.36155
6.2997	58.602	0.34554	55.496	0.36159
6.355	58.626	0.34522	55.52	0.36126
6.4103	58.644	0.34587	55.538	0.36189
6.4655	58.697	0.34618	55.592	0.36218
6.5208	58.687	0.34542	55.582	0.36143
6.576	58.688	0.34585	55.585	0.36185
6.6313	58.708	0.3453	55.602	0.36132
6.6866	58.633	0.34572	55.53	0.36175
6.7418	58.703	0.34532	55.597	0.36133
6.7971	58.675	0.34505	55.571	0.36105
6.8523	58.692	0.34532	55.588	0.36129
6.9076	58.675	0.3445	55.571	0.36048
6.9629	58.722	0.34402	55.617	0.35997
7.0181	58.722	0.34371	55.617	0.35964
7.0734	58.716	0.34319	55.611	0.35912
7.1286	58.698	0.34295	55.593	0.35887
7.1839	58.69	0.34272	55.587	0.35862
7.2392	58.729	0.34255	55.625	0.35843
7.2944	58.763	0.34237	55.658	0.35822
7.3497	58.774	0.34263	55.668	0.3585
7.405	58.79	0.34254	55.685	0.35837
7.4602	58.824	0.34215	55.717	0.35798
7.5155	58.814	0.34206	55.706	0.35788
7.5707	58.834	0.34122	55.725	0.35705
7.626	58.873	0.34192	55.763	0.35772
7.6813	58.929	0.3413	55.816	0.35707
7.7365	58.965	0.34066	55.851	0.3564
7.7918	58.966	0.34027	55.852	0.35599
7.847	58.989	0.34025	55.874	0.35598
7.9023	58.966	0.34081	55.854	0.35655
7.9576	58.997	0.34078	55.883	0.3565
8.0128	58.992	0.3406	55.88	0.35628
8.0681	58.962	0.34014	55.848	0.35582
8.1233	58.98	0.34013	55.866	0.3558
8.1786	58.97	0.34021	55.859	0.35589
8.2339	59.002	0.34087	55.89	0.35653
8.2891	59.016	0.34117	55.905	0.35681
8.3444	59.061	0.34108	55.948	0.35671
8.3996	59.066	0.34095	55.952	0.35656
8.4549	59.058	0.34121	55.947	0.35682
8.5102	59.074	0.34091	55.963	0.35649
8.5654	59.091	0.34056	55.979	0.35613
8.6207	59.11	0.34066	55.998	0.35622
8.676	59.124	0.34078	56.012	0.35632
8.7312	59.136	0.34066	56.024	0.3562
8.7865	59.124	0.34071	56.012	0.35625
8.8417	59.145	0.34159	56.034	0.35711
8.897	59.167	0.34187	56.057	0.35738
8.9523	59.212	0.34123	56.099	0.35671
9.0075	59.204	0.34067	56.091	0.35616
9.0628	59.234	0.34114	56.119	0.35661
9.118	59.199	0.3413	56.086	0.3568
9.1733	59.227	0.34101	56.112	0.3565
9.2286	59.198	0.3414	56.083	0.3569
9.2838	59.176	0.34165	56.064	0.35716
9.3391	59.195	0.34141	56.084	0.3569
9.3943	59.222	0.3408	56.109	0.35628
9.4496	59.269	0.34057	56.154	0.35602
9.5049	59.254	0.34096	56.141	0.3564
9.5601	59.352	0.33964	56.235	0.35506
9.6154	59.323	0.34063	56.208	0.35605
9.6706	59.357	0.34037	56.24	0.35578
9.7259	59.381	0.33998	56.264	0.35538
9.7812	59.403	0.33996	56.285	0.35533
9.8364	59.436	0.33938	56.317	0.35474
9.8917	59.415	0.33898	56.297	0.35436
9.9469	59.384	0.33968	56.271	0.35505
10.002	59.488	0.33974	56.37	0.3551
10.057	59.522	0.33982	56.404	0.35516
10.113	59.576	0.33976	56.456	0.35506
10.168	59.568	0.33899	56.448	0.35428
10.223	59.651	0.33741	56.527	0.35268
10.279	59.632	0.33887	56.511	0.35415
10.334	59.675	0.33829	56.553	0.35354
10.389	59.741	0.33777	56.617	0.35302
10.444	59.861	0.33803	56.735	0.35321
10.5	60.002	0.33737	56.873	0.35254
10.555	60.092	0.33725	56.959	0.35241
10.61	60.216	0.33617	57.077	0.35129
10.665	60.241	0.33599	57.103	0.35111
10.721	60.28	0.33579	57.141	0.3509
10.776	60.336	0.33553	57.195	0.35061
10.831	60.384	0.33461	57.24	0.34966
10.886	60.489	0.33458	57.342	0.34961
10.942	60.535	0.3351	57.387	0.35011
10.997	60.569	0.33399	57.419	0.34899
11.052	60.599	0.33383	57.447	0.34881
11.107	60.635	0.33341	57.482	0.34838
11.163	60.605	0.33375	57.454	0.34873
11.218	60.624	0.33318	57.472	0.34815
11.273	60.613	0.33311	57.461	0.34808
11.328	60.625	0.33288	57.473	0.34785
11.384	60.664	0.33336	57.511	0.34832
11.439	60.658	0.33314	57.504	0.3481
11.494	60.74	0.33398	57.585	0.3489
11.55	60.774	0.33454	57.618	0.34945
11.605	60.855	0.33435	57.696	0.34924
11.66	60.828	0.33407	57.67	0.34899
11.715	60.87	0.33426	57.712	0.34917
11.771	60.918	0.33444	57.759	0.34934
11.826	60.872	0.33542	57.714	0.35034
11.881	60.97	0.33465	57.809	0.34951
11.936	60.961	0.33286	57.801	0.34773
11.992	61.01	0.33373	57.849	0.34858
12.047	61.009	0.33324	57.847	0.34812
12.102	61.021	0.33393	57.859	0.34877
12.157	60.99	0.33314	57.829	0.34798
12.213	60.996	0.33211	57.834	0.34696
12.268	61.002	0.33318	57.841	0.34802
12.323	61.068	0.33342	57.906	0.34823
12.378	61.142	0.33384	57.977	0.34863
12.434	61.137	0.33371	57.972	0.3485
12.489	61.194	0.33422	58.029	0.34898
12.544	61.193	0.33416	58.028	0.34892
12.599	61.254	0.33461	58.087	0.34935
12.655	61.224	0.33475	58.057	0.3495
12.71	61.265	0.33479	58.097	0.34953
12.765	61.222	0.33486	58.056	0.34962
12.821	61.27	0.33471	58.102	0.34944
12.876	61.261	0.33446	58.094	0.34921
12.931	61.28	0.33446	58.112	0.3492
12.986	61.3	0.33493	58.131	0.34965
13.042	61.326	0.33419	58.156	0.34888
13.097	61.351	0.33367	58.179	0.34837
13.152	61.392	0.33437	58.22	0.34909
13.207	61.406	0.3354	58.233	0.35012
13.263	61.518	0.33539	58.34	0.35009
13.318	61.568	0.33636	58.389	0.35106
13.373	61.604	0.33693	58.426	0.35161
13.428	61.645	0.33529	58.464	0.34995
13.484	61.659	0.3352	58.478	0.34987
13.539	61.691	0.33546	58.51	0.3501
13.594	61.695	0.33491	58.514	0.34955
13.649	61.706	0.33383	58.523	0.3485
13.705	61.737	0.33528	58.553	0.34995
13.76	61.863	0.33598	58.676	0.35059
13.815	61.853	0.33558	58.667	0.35019
13.87	61.887	0.33505	58.699	0.34964
13.926	61.877	0.33494	58.691	0.34953
13.981	61.923	0.33481	58.735	0.34937
14.036	61.932	0.33403	58.744	0.34862
14.092	62.004	0.33386	58.813	0.34842
14.147	61.995	0.33335	58.805	0.34793
14.202	62.003	0.33385	58.813	0.34844
14.257	62.067	0.33367	58.873	0.34826
14.313	62.061	0.33398	58.868	0.3486
14.368	62.102	0.33421	58.907	0.34883
14.423	62.072	0.33399	58.879	0.34863
14.478	62.154	0.33534	58.958	0.34995
14.534	62.159	0.3342	58.963	0.34882
14.589	62.147	0.33397	58.953	0.34857
14.644	62.173	0.33304	58.977	0.34763
14.699	62.24	0.33171	59.042	0.34627
14.755	62.242	0.33174	59.042	0.3463
14.81	62.262	0.33141	59.061	0.34595
14.865	62.267	0.33153	59.067	0.34609
14.92	62.277	0.33188	59.077	0.34643
14.976	62.288	0.33118	59.086	0.34575
15.031	62.325	0.33203	59.123	0.34658
15.086	62.338	0.33157	59.134	0.34614
15.141	62.389	0.33217	59.184	0.34671
15.197	62.343	0.33175	59.141	0.34631
15.252	62.404	0.33184	59.2	0.34638
15.307	62.406	0.33111	59.202	0.34565
15.363	62.38	0.32998	59.177	0.34452
15.418	62.428	0.33031	59.224	0.34483
15.473	62.43	0.33012	59.226	0.34464
15.528	62.459	0.32981	59.254	0.34431
15.584	62.502	0.32978	59.296	0.34428
15.639	62.494	0.3294	59.287	0.34387
15.694	62.498	0.32908	59.291	0.34357
15.749	62.541	0.32944	59.333	0.34389
15.805	62.536	0.32841	59.328	0.34285
15.86	62.503	0.32807	59.296	0.34254
15.915	62.525	0.3276	59.318	0.34205
15.97	62.54	0.32753	59.332	0.34199
16.026	62.554	0.32743	59.346	0.34188
16.081	62.513	0.32692	59.307	0.34137
16.136	62.519	0.32692	59.312	0.34137
16.191	62.489	0.32626	59.285	0.3407
16.247	62.435	0.32646	59.233	0.34094
16.302	62.416	0.32703	59.216	0.3415
16.357	62.45	0.32628	59.247	0.34075
16.412	62.407	0.32665	59.207	0.34113
16.468	62.433	0.32625	59.231	0.34072
16.523	62.461	0.32608	59.257	0.34055
16.578	62.456	0.32626	59.252	0.34072
16.634	62.454	0.32662	59.249	0.34107
16.689	62.409	0.32554	59.207	0.33999
16.744	62.384	0.32523	59.183	0.33969
16.799	62.424	0.3253	59.222	0.33975
16.855	62.432	0.32493	59.23	0.33937
16.91	62.41	0.32476	59.208	0.33919
16.965	62.42	0.32443	59.217	0.33887
17.02	62.431	0.32413	59.226	0.33856
17.076	62.447	0.32332	59.24	0.33774
17.131	62.457	0.32302	59.25	0.33743
17.186	62.428	0.32315	59.221	0.33755
17.241	62.427	0.32296	59.22	0.33734
17.297	62.441	0.32284	59.234	0.33722
17.352	62.47	0.32292	59.261	0.33728
17.407	62.469	0.32305	59.259	0.33741
17.462	62.529	0.32281	59.319	0.33713
17.518	62.474	0.32221	59.265	0.33653
17.573	62.514	0.32206	59.303	0.33635
17.628	62.504	0.32153	59.294	0.33582
17.683	62.492	0.32137	59.284	0.33563
17.739	62.439	0.32111	59.231	0.3354
17.794	62.421	0.32033	59.215	0.33461
17.849	62.404	0.32057	59.198	0.33487
17.905	62.382	0.31978	59.177	0.33409
17.96	62.383	0.32011	59.178	0.33442
18.015	62.388	0.31938	59.182	0.33369
18.07	62.38	0.31966	59.172	0.334
18.126	62.363	0.31971	59.157	0.33404
18.181	62.401	0.31959	59.195	0.33389
18.236	62.342	0.31824	59.137	0.33255
18.291	62.367	0.31826	59.161	0.33257
18.347	62.372	0.31801	59.166	0.33232
18.402	62.353	0.31812	59.147	0.33246
18.457	62.411	0.31832	59.204	0.33263
18.512	62.332	0.31839	59.128	0.33273
18.568	62.355	0.31809	59.15	0.3324
18.623	62.326	0.31767	59.121	0.33201
18.678	62.322	0.31812	59.116	0.33249
18.733	62.323	0.31897	59.115	0.33336
18.789	62.29	0.3192	59.084	0.33357
18.844	62.279	0.31908	59.074	0.33345
18.899	62.238	0.31857	59.034	0.33296
18.954	62.235	0.31855	59.032	0.33293
19.01	62.219	0.31834	59.017	0.33273
19.065	62.227	0.3183	59.024	0.33269
19.12	62.207	0.31778	59.004	0.33219
19.176	62.219	0.31776	59.014	0.33217
19.231	62.127	0.31881	58.926	0.33329
19.286	62.128	0.31919	58.927	0.33365
19.341	62.046	0.3196	58.848	0.3341
19.397	62.046	0.31959	58.848	0.33406
19.452	62.049	0.31842	58.849	0.3329
19.507	62.022	0.31839	58.823	0.33289
19.562	61.997	0.318	58.799	0.33249
19.618	61.964	0.31805	58.768	0.33258
19.673	62.063	0.31752	58.864	0.33199
19.728	61.915	0.31618	58.719	0.33071
19.783	61.965	0.31693	58.768	0.33145
19.839	61.963	0.31632	58.767	0.33083
19.894	61.906	0.31681	58.711	0.33136
19.949	61.931	0.31664	58.735	0.33118
20.004	61.917	0.31653	58.721	0.33107
20.06	61.886	0.31657	58.69	0.33111
20.115	61.902	0.31663	58.705	0.33117
20.17	61.915	0.31639	58.718	0.33092
20.225	61.851	0.31648	58.655	0.33104
20.281	61.88	0.31594	58.683	0.33047
20.336	61.844	0.31545	58.647	0.33
20.391	61.839	0.31524	58.643	0.32978
20.447	61.798	0.31473	58.602	0.3293
20.502	61.774	0.31613	58.579	0.3307
20.557	61.743	0.31546	58.548	0.33005
20.612	61.734	0.31583	58.538	0.33045
20.668	61.716	0.31628	58.523	0.33091
20.723	61.674	0.31612	58.48	0.33076
20.778	61.667	0.31658	58.473	0.33124
20.833	61.615	0.31571	58.422	0.33038
20.889	61.551	0.31606	58.36	0.33076
20.944	61.54	0.31602	58.349	0.33073
20.999	61.495	0.316	58.306	0.33072
21.054	61.479	0.31615	58.29	0.33089
21.11	61.429	0.3165	58.24	0.33126
21.165	61.396	0.31556	58.209	0.33032
21.22	61.391	0.31507	58.203	0.32983
21.275	61.334	0.31492	58.149	0.32971
21.331	61.322	0.31519	58.137	0.32998
21.386	61.322	0.31454	58.135	0.32936
