Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	
0.056935	56.436	0.38536	56.145	0.38019
0.11387	56.441	0.38611	56.149	0.38094
0.1708	56.477	0.38595	56.185	0.38079
0.22774	56.449	0.38567	56.157	0.38051
0.28467	56.488	0.38529	56.196	0.38013
0.34161	56.482	0.38493	56.189	0.37978
0.39854	56.5	0.38541	56.205	0.38027
0.45548	56.532	0.38517	56.237	0.38003
0.51241	56.482	0.38547	56.186	0.38033
0.56935	56.485	0.38532	56.19	0.38018
0.62628	56.457	0.38519	56.161	0.38006
0.68322	56.457	0.38583	56.159	0.3807
0.74015	56.402	0.38635	56.104	0.38122
0.79708	56.414	0.38625	56.115	0.38113
0.85402	56.42	0.3863	56.121	0.38118
0.91095	56.39	0.38664	56.091	0.38152
0.96789	56.434	0.38669	56.134	0.38157
1.0248	56.417	0.38688	56.116	0.38176
1.0818	56.44	0.38719	56.138	0.38208
1.1387	56.417	0.38773	56.115	0.38261
1.1956	56.415	0.3879	56.113	0.38279
1.2526	56.231	0.38853	55.929	0.38341
1.3095	56.196	0.38924	55.893	0.38412
1.3664	56.174	0.38937	55.872	0.38424
1.4234	56.264	0.38832	55.961	0.38321
1.4803	56.251	0.38882	55.948	0.38371
1.5372	56.198	0.3891	55.895	0.38398
1.5942	56.2	0.3898	55.896	0.38469
1.6511	56.078	0.39001	55.774	0.38489
1.708	56.189	0.38893	55.884	0.38383
1.765	56.108	0.38997	55.802	0.38486
1.8219	56.084	0.38972	55.779	0.38461
1.8788	56.057	0.38924	55.753	0.38412
1.9358	56.002	0.39026	55.698	0.38514
1.9927	56.062	0.38984	55.756	0.38472
2.0496	56.033	0.39046	55.728	0.38534
2.1066	56.081	0.39039	55.774	0.38529
2.1635	56.095	0.38985	55.788	0.38475
2.2205	56.153	0.38942	55.845	0.38432
2.2774	56.164	0.3895	55.856	0.3844
2.3343	56.153	0.38892	55.845	0.38384
2.3913	56.113	0.38993	55.804	0.38484
2.4482	56.018	0.38969	55.708	0.3846
2.5051	56.067	0.38932	55.758	0.38423
2.5621	56.115	0.38881	55.805	0.38372
2.619	56.147	0.38829	55.837	0.38321
2.6759	56.063	0.38936	55.752	0.38427
2.7329	56.102	0.38986	55.79	0.38478
2.7898	56.24	0.38965	55.927	0.38459
2.8467	56.267	0.38957	55.954	0.3845
2.9037	56.267	0.3896	55.953	0.38454
2.9606	56.249	0.38997	55.934	0.3849
3.0175	56.368	0.38934	56.052	0.38429
3.0745	56.28	0.38976	55.965	0.38469
3.1314	56.239	0.38984	55.924	0.38477
3.1883	56.332	0.38972	56.016	0.38466
3.2453	56.318	0.38978	56.001	0.38474
3.3022	56.316	0.39011	55.998	0.38506
3.3591	56.305	0.38993	55.986	0.38489
3.4161	56.356	0.39002	56.037	0.38498
3.473	56.293	0.38981	55.974	0.38477
3.5299	56.291	0.39092	55.971	0.38588
3.5869	56.327	0.39056	56.006	0.38553
3.6438	56.387	0.39035	56.065	0.38533
3.7008	56.355	0.39039	56.032	0.38537
3.7577	56.299	0.39146	55.976	0.38644
3.8146	56.339	0.39189	56.015	0.38687
3.8716	56.302	0.39158	55.979	0.38656
3.9285	56.301	0.39222	55.977	0.3872
