Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F3	Pennation Angle R1_F3
0.11052	77.502	0.255	74.288	0.26322
0.16578	77.523	0.25477	74.309	0.26298
0.22104	77.48	0.25505	74.267	0.26328
0.2763	77.567	0.25605	74.353	0.26429
0.33156	77.539	0.25581	74.327	0.26405
0.38683	77.509	0.25629	74.299	0.26453
0.44209	77.424	0.25528	74.217	0.26352
0.49735	77.475	0.25677	74.267	0.26503
0.55261	77.641	0.25764	74.428	0.26588
0.60787	77.608	0.25808	74.397	0.26633
0.66313	77.551	0.25688	74.344	0.26514
0.71839	77.754	0.2582	74.54	0.26644
0.77365	77.678	0.25776	74.467	0.26602
0.82891	77.73	0.2572	74.517	0.26545
0.88417	77.689	0.26015	74.48	0.26842
0.93943	77.734	0.25971	74.524	0.26798
0.99469	77.723	0.25931	74.512	0.26758
1.05	77.727	0.25987	74.516	0.26817
1.1052	77.663	0.25873	74.456	0.26704
1.1605	77.731	0.2601	74.522	0.26841
1.2157	77.822	0.25925	74.609	0.26758
1.271	77.632	0.26014	74.428	0.26851
1.3263	77.89	0.26095	74.676	0.26929
1.3815	77.726	0.26029	74.517	0.26864
1.4368	77.857	0.25901	74.643	0.26736
1.492	77.904	0.26039	74.689	0.26875
1.5473	77.923	0.26173	74.707	0.27011
1.6026	78.079	0.26267	74.858	0.27104
1.6578	77.885	0.26142	74.671	0.26982
1.7131	77.773	0.26079	74.561	0.26919
1.7683	77.687	0.25958	74.478	0.26798
1.8236	77.734	0.25912	74.522	0.26752
1.8789	77.683	0.25889	74.472	0.2673
1.9341	77.688	0.25882	74.477	0.26722
1.9894	77.742	0.25699	74.525	0.26542
2.0447	77.714	0.2574	74.501	0.26584
2.0999	77.695	0.25755	74.482	0.26601
2.1552	77.589	0.25782	74.381	0.2663
2.2104	77.702	0.25714	74.489	0.26562
2.2657	77.669	0.25759	74.458	0.26607
2.321	77.838	0.25689	74.62	0.26535
2.3762	77.545	0.25949	74.338	0.26801
2.4315	77.702	0.26029	74.491	0.26878
2.4867	77.618	0.25883	74.41	0.26734
2.542	77.466	0.25885	74.263	0.26738
2.5973	77.447	0.25909	74.246	0.26763
2.6525	77.664	0.26036	74.455	0.26887
2.7078	77.605	0.26005	74.399	0.26857
2.763	77.674	0.25949	74.465	0.26801
2.8183	77.754	0.26007	74.542	0.26859
